,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
BalanceCurrentAssets,47852000,51386000,50167000,61186000,51281000,55022000,56557000,78493000,66790000,65369000,8463000,13839000,14426000,8927000,6377000,13882000,16212000,18272000,25283000,25242000,19639000,21739000,24765000,29210000,31484000,28272000,35523000,35573000,24189000,21903000,16281000,33819000,20127000,33514000,14608000,27305000,26426000,21988000,14774000,18570000,15528000,17795000,12514000,18011000,14015000,16089000,9964000,16352000
BalanceInventory,16181000,19330000,9281000,22506000,22772000,9600000,8954000,13333000,12229000,41895000,18769000,18483000,48181000,18140000,11338000,51612000,25437000,22590000,37320000,19061000,18131000,61072000,28597000,29656000,30941000,39107000,35261000,62932000,65200000,63055000,26941000,27171000,29519000,31433000,31044000,41193000,43575000,50374000,29613000,37033000,33607000,50142000,33307000,38343000,36499000,67388000,41564000,41531000
BalanceCurrentReceivables,,,,,,29690000,31198000,31606000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5493000,187000,166000
BalanceCurrentInvestments,118000,7061000,9461000,6675000,25713000,31440000,35246000,19862000,28953000,31774000,42133000,26632000,18814000,11496000,10271000,14488000,22155000,15267000,4552000,16060000,23248000,9888000,14659000,10300000,11609000,11162000,11195000,2236000,1383000,4380000,228000,338000,471000,1080000,1622000,498000,728000,1824000,2720000,1066000,194000,197000,257000,586000,,,,
BalanceCash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceOtherCurrentAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32962000,31095000,36011000,29446000,90564000,78423000,78056000,101751000,83974000,81850000,103238000,90158000
BalanceAssetsForSale,91941000,124650000,93890000,89079000,135739000,102238000,95359000,100917000,96586000,98338000,124739000,147224000,113952000,96450000,97680000,97280000,97097000,98877000,95986000,99102000,102684000,83376000,87434000,87032000,102114000,92064000,95010000,95570000,114378000,102457000,101564000,15046000,12288000,12698000,11835000,59172000,59588000,60539000,64429000,62117000,60773000,65553000,67578000,64568000,66491000,62787000,59078000,59943000
BalanceTotalAssets,61325000,60354000,61516000,60812000,59226000,57079000,56725000,60555000,59133000,59615000,52604000,47997000,47403000,44449000,44865000,47902000,46320000,45916000,45808000,42640000,42356000,41115000,39330000,43616000,41943000,40980000,500000,500000,500000,500000,730000,730000,730000,730000,730000,730000,740000,740000,740000,740000,740000,740000,740000,740000,740000,740000,740000,740000
BalanceCapital,740000,740000,740000,740000,740000,732000,732000,732000,732000,732000,732000,732000,732000,732000,732000,732000,732000,732000,732000,732000,732000,,,,,,,,,,,,,,,,,,,,,,0,0,0,-20000,-92000,-92000
BalanceShareCapital,-273000,-273000,-273000,-273000,-273000,,,,,,,,,,,,,8227000,5078000,5077000,11790000,52035000,52035000,52035000,52035000,52035000,52035000,37774000,38372000,37124000,37550000,37469000,37553000,37208000,37132000,36989000,37081000,37039000,36907000,37159000,37294000,37316000,37563000,37541000,37597000,37508000,37646000,37774000
BalanceOwnShares,37774000,37774000,37774000,37774000,37774000,37774000,37774000,37774000,37774000,37774000,37774000,37774000,,,,,,0,0,0,,1057000,577000,1114000,986000,826000,499000,92000,-103000,-441000,-598000,-722000,-1182000,-1812000,-3134000,-3126000,-1540000,-1275000,-1844000,-2253000,-2650000,-70000,-1023000,-664000,-415000,264000,163000,125000
BalanceReserve,-360000,-475000,4476000,4129000,3510000,2932000,3347000,2893000,2554000,2407000,2457000,2442000,2360000,610000,2307000,582000,1054000,932000,841000,2627000,2733000,3090000,5050000,5133000,10071000,8817000,8841000,7481000,6899000,6678000,5192000,5210000,4739000,4495000,5904000,4702000,4309000,15657000,16364000,14728000,7682000,7650000,7716000,8863000,8201000,8204000,7582000,6941000
BalanceNonshareCapital,6209000,22002000,21744000,22060000,333000,280000,229000,179000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentLiabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6673000,6532000,,,,,,,,,381000,,,,
BalanceNoncurrentTradeLiabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentBorrowings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2074000,2177000,2213000,2181000
BalanceNoncurrentObligations,610000,2307000,582000,1054000,932000,841000,2627000,2733000,3090000,5050000,5133000,10071000,8817000,8841000,7481000,6899000,6678000,5192000,5210000,4739000,4495000,5904000,4702000,4309000,8984000,16364000,8196000,7682000,7650000,7716000,8863000,8201000,8204000,7582000,6941000,6209000,22002000,21744000,21679000,15509000,16350000,20871000,15251000,30782000,16528000,16935000,35211000,20348000
BalanceNoncurrentLeasing,19122000,34072000,19021000,23784000,53017000,26073000,20371000,67577000,32794000,28706000,34314000,32230000,37046000,63990000,87035000,50746000,33666000,36013000,40437000,34466000,35774000,37224000,46291000,46969000,29215000,33015000,33498000,46794000,37997000,43444000,47099000,45413000,35877000,35970000,14202000,15390000,19913000,14262000,27294000,15530000,13726000,33265000,18969000,17467000,32963000,16639000,22031000,51375000
BalanceNoncurrentOtherLiabilities,24259000,17846000,55004000,26116000,22026000,27981000,25892000,25649000,31811000,69227000,41771000,24400000,27262000,24898000,32751000,33430000,29570000,37989000,37229000,20623000,24825000,29662000,41812000,34935000,40237000,39729000,42449000,34634000,28374000,,,,,,268000,0,0,,461000,479000,522000,,0,0,0,,9707000,3995000
BalanceCurrentLiabilities,4000000,3895000,4000000,9837000,31226000,16999000,6476000,7248000,6950000,13878000,978000,6391000,7072000,9151000,7978000,7334000,3048000,4291000,2380000,2421000,6582000,2218000,498000,6783000,,,,,,,,,,,,,,,,,,,,,,,,
BalanceCurrentTradePayablesv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceCurrentBorrowings,,,,,,,,,,,,,,,,,,,,,,,,,1294000,960000,958000,989000,3220000,998000,3209000,1485000,900000,1133000,1109000,2382000,1753000,1642000,1814000,2525000,2866000,2683000,2680000,2438000,2338000,1560000,953000,809000
BalanceCurrentObligations,2499000,2018000,1801000,1661000,1715000,1366000,1263000,1230000,589000,614000,856000,788000,691000,682000,786000,788000,746000,745000,813000,13000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceCurrentLeasing,,,,,,,,,,,,,,,,,,32962000,31095000,36011000,29446000,0,90564000,78423000,78056000,0,101751000,83974000,81850000,0,103238000,90158000,91941000,0,124650000,93890000,89079000,0,135739000,102238000,95359000,100917000,96586000,98338000,124739000,147224000,113952000,96450000
BalanceCurrentOtherLiabilities,97680000,97280000,97097000,98877000,95986000,99102000,102684000,83376000,87434000,87032000,102114000,92064000,95010000,95570000,114378000,102457000,101564000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceReckoning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceTotalEquityAndLiabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashflowOperatingCashflow,-1160000,-3556000,-2165000,-3027000,4329000,-7172000,4065000,-3367000,1739000,-11772000,6050000,3312000,-1781000,-13392000,10346000,2773000,-8795000,18905000,-15427000,-6972000,-15018000,1047000,6947000,5608000,8104000,-6612000,-16242000,-8244000,24463000,248000,6231000,-3310000,-1046000,7295000,-1418000,-13386000,5331000,1020000,-2077000,433000,5312000,97000,3036000,-201000,-3101000,6140000,3783000,-8166000
CashflowAmortization,330000,310000,317000,353000,286000,320000,266000,176000,172000,424000,213000,284000,477000,394000,467000,254000,368000,444000,405000,439000,598000,710000,631000,568000,479000,483000,521000,538000,540000,636000,667000,669000,647000,646000,599000,749000,715000,696000,650000,666000,699000,785000,765000,768000,845000,595000,874000,851000
CashflowInvestingCashflow,-405000,1716000,-278000,-92000,31000,6464000,-1665000,-29594000,-20384000,78786000,-323000,-530000,-288000,-241000,-1432000,-158000,-371000,31000,-271000,-1671000,-495000,-2324000,-921000,-1544000,-392000,-482000,-380000,-1179000,-1167000,-2886000,-2236000,-630000,-553000,-853000,-164000,173000,237000,83000,-694000,668000,-467000,-263000,-347000,-663000,-120000,-832000,-407000,-203000
CashflowCapex,716000,267000,109000,245000,55000,151000,125000,47000,42000,444000,325000,530000,290000,241000,1401000,192000,389000,-73000,270000,1677000,537000,2461000,894000,1597000,338000,690000,390000,1239000,1292000,2887000,2239000,583000,647000,818000,581000,222000,139000,168000,796000,275000,578000,313000,396000,776000,368000,926000,488000,403000
CashflowFinancingCashflow,24000,-3466000,2422000,3071000,-4309000,7600000,30175000,17330000,-46665000,0,1024000,54000,268000,177000,206000,-95000,684000,197000,819000,2917000,6555000,-7251000,153000,-45000,206000,5907000,20931000,-16108000,-10722000,756000,-399000,2907000,-6887000,1615000,4253000,-6421000,1895000,-1381000,-991000,-4712000,775000,-2146000,-260000,3451000,-4213000,-2278000,6513000,400000
CashflowShareCapitalCash,0,,,37860000,,0,0,,,10000,0,,,0,,,,300000,,,,,,,,,,,,,,,,,,,,,,,,,0,3500000,,,,
CashflowDividend,,,,,,,,,,,,,,,,,0,0,,,732000,0,,,1056000,0,,,283000,283000,100000,100000,367000,100000,50000,50000,367000,0,-1541000,-5306000,-21000,-48000,28000,6915000,2400000,-2786000,-1315000,20349000
CashflowNetCashflow,5727000,3806000,-2015000,-13369000,9091000,2821000,-9282000,19641000,-15501000,-7824000,-12596000,5278000,-1225000,4217000,7667000,-6888000,-10715000,11508000,7188000,-13360000,4751000,-4339000,1308000,-445000,33000,-8960000,-853000,2998000,-4152000,110000,133000,609000,543000,-1124000,230000,1095000,1098000,-1856000,,,,,,,,,,
