,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3
IncomeEBIT_sq,,30.16,52.40,41.80,-15.40,5.34,-18.50,-23.55,102.76,-12.20,-19.72,-86.96,65.07,-48.11,-6.81,72.76,2.57,-21.23,18.36,56.36,11.73,-27.54,40.43,-79.22,86.94,-15.00,6.48,9.70,-32.07,-5.65,16.23,-10.10,-2.81,-4.90,11.22,-7.08,-12.12,-10.52,-19.57
IncomeFinanceIncome,246000,-20000,233000,-188000,12000,105000,284000,-161000,111000,114000,126000,210000,337000,372000,235000,248000,264000,238000,143000,200000,357000,376000,232000,204000,242000,251000,168000,180000,225000,212000,132000,153000,202000,194000,155000,193000,235000,195000,116000
IncomeFinanceIncome_yy,,,,,-95.12,625.00,21.89,14.36,825.00,8.57,-55.63,230.43,203.60,226.32,86.51,18.10,-21.66,-36.02,-39.15,-19.35,35.23,57.98,62.24,2.00,-32.21,-33.24,-27.59,-11.76,-7.02,-15.54,-21.43,-15.00,-10.22,-8.49,17.42,26.14,16.34,0.52,-25.16
IncomeFinanceIncome_sy,,,,,-17.29,66.53,-58.62,14.36,9.77,8.57,150.75,-29.69,20.66,76.45,45.45,18.19,8.75,-27.51,-37.75,-27.13,-26.62,17.26,7.58,-8.48,-13.02,-71.91,-14.66,-14.31,-16.52,103.50,-21.43,28.04,2.58,-59.28,130.42,-42.05,16.34,76.70,-25.16
IncomeFinanceIncome_qq,,-108.13,1265.00,-180.69,106.38,775.00,170.48,-156.69,168.94,2.70,10.53,66.67,60.48,10.39,-36.83,5.53,6.45,-9.85,-39.92,39.86,78.50,5.32,-38.30,-12.07,18.63,3.72,-33.07,7.14,25.00,-5.78,-37.74,15.91,32.03,-3.96,-20.10,24.52,21.76,-17.02,-40.51
IncomeFinanceIncome_sq,,27.84,-31.87,73.03,-31.33,140.52,-56.41,99.23,0.23,-8.94,10.53,-43.72,7.44,-2.50,-14.97,5.53,-8.09,-16.17,-41.66,39.78,0.21,47.78,-34.92,41.03,-7.59,-30.39,42.04,7.14,12.05,62.58,-43.87,69.88,-23.54,-15.92,37.33,10.38,44.00,-1.22,-40.51
IncomeFinanceCosts,146000,-140000,129000,-129000,,1000,108000,-107000,3000,0,2000,-2000,1000,1000,0,1000,1000,0,1000,1000,1000,1000,3000,6000,8000,6000,5000,5000,38000,7000,7000,-25000,5000,4000,4000,6000,6000,4000,4000
IncomeFinanceCosts_yy,,,,,-100.00,100.71,-16.28,17.05,,-100.00,-98.15,98.13,-66.67,,-100.00,150.00,,-100.00,,,,,200.00,500.00,700.00,500.00,66.67,-16.67,375.00,16.67,40.00,-600.00,-86.84,-42.86,-42.86,124.00,20.00,,
IncomeFinanceCosts_sy,,,,,277.69,134.19,9.46,88.41,,-42.50,196.87,98.13,249.56,,134.46,90.44,,-72.09,,,,,223.78,67.00,10.50,-38.43,-9.07,-19.59,4.14,26.12,40.00,-17.60,45.46,-32.19,23.25,56.20,-50.78,,
IncomeFinanceCosts_qq,,-195.89,192.14,-200.00,100.00,,10700.00,-199.07,102.80,-100.00,,-200.00,150.00,,-100.00,,,-100.00,,,,,200.00,100.00,33.33,-25.00,-16.67,,660.00,-81.58,,-457.14,120.00,-20.00,,50.00,,-33.33,
IncomeFinanceCosts_sq,,38.92,81.04,26.05,100.00,,-25.64,-23.19,-12.54,-5.19,,75.94,150.00,,-42.42,,,-47.68,,,,,-8.32,113.63,-39.74,-25.00,-0.41,,6.06,-41.69,,7.71,30.36,-7.54,,225.98,,-3.80,
IncomeOtherIncome,,,,152000,79000,-10000,,177000,131000,96000,2000,106000,122000,23000,26000,72000,87000,89000,86000,84000,52000,5000,10000,29000,129000,45000,14000,6000,54000,21000,40000,4000,20000,34000,62000,21000,62000,-31000,-31438000
IncomeOtherIncome_yy,,,,,,,,16.45,65.82,1060.00,,-40.11,-6.87,-76.04,1200.00,-32.08,-28.69,286.96,230.77,16.67,-40.23,-94.38,-88.37,-65.48,148.08,800.00,40.00,-79.31,-58.14,-53.33,185.71,-33.33,-62.96,61.90,55.00,425.00,210.00,-191.18,-50806.45
IncomeOtherIncome_sy,,,,,,,,-45.92,48.88,153.93,,62.00,71.60,-302.15,647.49,68.90,-36.67,199.29,56.81,-6.53,-40.23,38.36,-88.37,24.47,98.88,-19.87,40.00,-89.65,44.07,94.25,100.00,108.85,33.84,-19.05,95.33,-100.00,-75.05,46.86,-50806.45
IncomeOtherIncome_qq,,,,,-48.03,-112.66,100.00,,-25.99,-26.72,-97.92,5200.00,15.09,-81.15,13.04,176.92,20.83,2.30,-3.37,-2.33,-38.10,-90.38,100.00,190.00,344.83,-65.12,-68.89,-57.14,800.00,-61.11,90.48,-90.00,400.00,70.00,82.35,-66.13,195.24,-150.00,-101312.90
IncomeOtherIncome_sq,,,,,-59.14,-126.88,89.66,,250.36,54.34,-526.08,2661.96,100.63,-244.26,61.49,109.64,4.37,2.30,-3.37,-9.58,0.75,-90.38,-50.88,63.50,91.16,-111.31,84.90,-82.84,116.70,-65.26,-15.22,16.92,20.95,-13.94,82.35,-83.06,1.06,23.60,-101312.90
IncomeNetGrossProfit,-738000,-601000,-417000,356000,75000,1080000,1804000,9008000,4639000,5576000,4434000,3596000,3558000,3605000,3594000,6077000,4438000,6076000,8329000,28901000,11827000,10310000,8354000,8278000,6975000,7930000,7787000,14967000,7002000,7084000,7630000,13469000,8908000,9331000,9498000,14317000,7804000,6883000,-25919000
IncomeNetGrossProfit_yy,,,,,110.16,279.70,532.61,2430.34,6085.33,416.30,145.79,-60.08,-23.30,-35.35,-18.94,68.99,24.73,68.54,131.75,375.58,166.49,69.68,0.30,-71.36,-41.02,-23.08,-6.79,80.80,0.39,-10.67,-2.02,-10.01,27.22,31.72,24.48,6.30,-12.39,-26.24,-372.89
IncomeNetGrossProfit_sy,,,,,294.65,51.28,44.31,-21.46,46.52,100.77,83.00,-60.08,-22.80,-76.32,-28.38,68.99,24.73,68.54,93.87,36.71,33.98,9.52,14.45,-57.14,-10.21,-22.00,-4.09,99.57,-33.63,8.94,0.58,7.48,1.34,1.72,17.20,-19.48,-12.39,76.46,-372.89
IncomeNetGrossProfit_qq,,18.56,30.62,185.37,-78.93,1340.00,67.04,399.33,-48.50,20.20,-20.48,-18.90,-1.06,1.32,-0.31,69.09,-26.97,36.91,37.08,246.99,-59.08,-12.83,-18.97,-0.91,-15.74,13.69,-1.80,92.20,-53.22,1.17,7.71,76.53,-33.86,4.75,1.79,50.74,-45.49,-11.80,-476.57
IncomeNetGrossProfit_sq,,100.92,53.94,72.76,-48.64,10.65,67.04,-50.48,114.56,12.09,-20.48,-31.79,44.01,-33.70,-0.31,35.26,-24.93,-20.86,3.02,39.53,27.66,-12.02,7.75,-42.63,113.78,-12.76,2.70,3.28,-34.71,2.22,32.96,18.70,-21.18,-5.72,26.10,-30.36,-12.88,-17.05,-476.57
IncomeExtraordinarProfit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeExtraordinarProfit_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeExtraordinarProfit_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeExtraordinarProfit_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeExtraordinarProfit_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeBeforeTaxProfit,-738000,-601000,-417000,356000,75000,1080000,1804000,9008000,4639000,5576000,4434000,3596000,3558000,3605000,3594000,6077000,4438000,6076000,8329000,28901000,11827000,10310000,8354000,8278000,6975000,7930000,7787000,14967000,7002000,7084000,7630000,13469000,8908000,9331000,9498000,14317000,7804000,6883000,-25919000
IncomeBeforeTaxProfit_yy,,,,,110.16,279.70,532.61,2430.34,6085.33,416.30,145.79,-60.08,-23.30,-35.35,-18.94,68.99,24.73,68.54,131.75,375.58,166.49,69.68,0.30,-71.36,-41.02,-23.08,-6.79,80.80,0.39,-10.67,-2.02,-10.01,27.22,31.72,24.48,6.30,-12.39,-26.24,-372.89
IncomeBeforeTaxProfit_sy,,,,,294.65,51.28,44.31,-21.46,46.52,100.77,83.00,-60.08,-22.80,-76.32,-28.38,68.99,24.73,68.54,93.87,36.71,33.98,9.52,14.45,-57.14,-10.21,-22.00,-4.09,99.57,-33.63,8.94,0.58,7.48,1.34,1.72,17.20,-19.48,-12.39,76.46,-372.89
IncomeBeforeTaxProfit_qq,,18.56,30.62,185.37,-78.93,1340.00,67.04,399.33,-48.50,20.20,-20.48,-18.90,-1.06,1.32,-0.31,69.09,-26.97,36.91,37.08,246.99,-59.08,-12.83,-18.97,-0.91,-15.74,13.69,-1.80,92.20,-53.22,1.17,7.71,76.53,-33.86,4.75,1.79,50.74,-45.49,-11.80,-476.57
IncomeBeforeTaxProfit_sq,,100.92,53.94,72.76,-48.64,10.65,67.04,-50.48,114.56,12.09,-20.48,-31.79,44.01,-33.70,-0.31,35.26,-24.93,-20.86,3.02,39.53,27.66,-12.02,7.75,-42.63,113.78,-12.76,2.70,3.28,-34.71,2.22,32.96,18.70,-21.18,-5.72,26.10,-30.36,-12.88,-17.05,-476.57
IncomeDiscontinuedProfit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeDiscontinuedProfit_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeDiscontinuedProfit_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeDiscontinuedProfit_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeDiscontinuedProfit_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeNetProfit,-743000,-609000,-415000,377000,75000,1067000,1804000,7606000,4025000,4302000,3541000,2882000,2871000,2915000,2884000,4933000,3588000,4915000,6868000,23404000,9575000,8347000,6757000,6706000,5642000,6420000,6330000,12095000,5669000,5741000,6180000,10902000,7211000,7551000,7690000,11581000,6307000,5572000,-26751000
IncomeNetProfit_yy,,,,,110.09,275.21,534.70,1917.51,5266.67,303.19,96.29,-62.11,-28.67,-32.24,-18.55,71.17,24.97,68.61,138.14,374.44,166.86,69.83,-1.62,-71.35,-41.08,-23.09,-6.32,80.36,0.48,-10.58,-2.37,-9.86,27.20,31.53,24.43,6.23,-12.54,-26.21,-447.87
IncomeNetProfit_sy,,,,,245.55,47.18,36.92,-6.83,45.07,100.61,71.60,-62.11,-13.17,-69.72,-32.00,71.17,13.38,68.61,92.54,42.18,54.32,11.64,6.92,-58.25,-14.08,-17.78,-2.92,126.82,-34.82,11.16,-2.37,-21.34,17.97,-3.46,18.89,-52.28,-12.54,88.60,-447.87
IncomeNetProfit_qq,,18.03,31.86,190.84,-80.11,1322.67,69.07,321.62,-47.08,6.88,-17.69,-18.61,-0.38,1.53,-1.06,71.05,-27.27,36.98,39.74,240.77,-59.09,-12.83,-19.05,-0.75,-15.87,13.79,-1.40,91.07,-53.13,1.27,7.65,76.41,-33.86,4.72,1.84,50.60,-45.54,-11.65,-580.10
IncomeNetProfit_sq,,93.88,49.84,64.59,-47.12,4.54,69.07,-52.35,126.15,6.88,-17.69,-35.60,77.06,-28.34,-1.06,23.59,-27.27,-11.32,4.59,50.27,23.42,-25.66,5.08,-51.14,110.53,-2.76,6.46,12.25,-25.18,-16.98,13.50,27.94,-24.85,1.38,30.08,-47.17,35.13,-11.65,-580.10
IncomeShareholderNetProfit,-743000,-609000,-415000,377000,75000,1067000,1804000,7606000,4025000,4302000,3541000,2882000,2871000,2915000,2884000,4933000,3588000,4915000,6868000,23404000,9575000,8347000,6757000,6706000,5642000,6420000,6330000,12095000,5669000,5741000,6180000,10902000,7211000,7551000,7690000,11581000,6307000,5572000,-26751000
IncomeShareholderNetProfit_yy,,,,,110.09,275.21,534.70,1917.51,5266.67,303.19,96.29,-62.11,-28.67,-32.24,-18.55,71.17,24.97,68.61,138.14,374.44,166.86,69.83,-1.62,-71.35,-41.08,-23.09,-6.32,80.36,0.48,-10.58,-2.37,-9.86,27.20,31.53,24.43,6.23,-12.54,-26.21,-447.87
IncomeShareholderNetProfit_sy,,,,,296.63,59.80,38.70,-7.41,44.88,102.07,71.43,-62.11,-13.98,-70.34,-32.60,71.17,20.13,68.61,92.66,34.17,54.54,16.60,6.90,-58.25,-14.12,10.08,-2.41,126.82,-34.78,6.20,-2.37,-26.02,17.94,-3.48,18.87,-45.10,-12.54,88.69,-447.87
IncomeShareholderNetProfit_qq,,18.03,31.86,190.84,-80.11,1322.67,69.07,321.62,-47.08,6.88,-17.69,-18.61,-0.38,1.53,-1.06,71.05,-27.27,36.98,39.74,240.77,-59.09,-12.83,-19.05,-0.75,-15.87,13.79,-1.40,91.07,-53.13,1.27,7.65,76.41,-33.86,4.72,1.84,50.60,-45.54,-11.65,-580.10
IncomeShareholderNetProfit_sq,,95.78,45.98,58.92,-45.10,4.54,69.07,-50.17,114.24,4.72,-17.69,-35.69,106.50,-29.75,-1.06,23.40,-26.48,-11.40,4.59,57.76,26.70,-35.45,-3.22,-45.44,109.59,-2.76,6.52,12.25,-22.35,-19.16,13.49,18.28,-4.54,1.38,24.58,-47.17,31.54,-11.65,-580.10
BalanceNoncurrentAssets,966000,2983000,751000,2837000,593000,3648000,3457000,4762000,5180000,4903000,4889000,4880000,4963000,5576000,5527000,5588000,5390000,5391000,4690000,6685000,4376000,4435000,4795000,4949000,4778000,4793000,4879000,5459000,5450000,5210000,5168000,5383000,5438000,6216000,6700000,4663000,4444000,4231000,18039000
BalanceNoncurrentAssets_yy,,,,,-38.61,22.29,360.32,67.85,773.52,34.40,41.42,2.48,-4.19,13.73,13.05,14.51,8.60,-3.32,-15.14,19.63,-18.81,-17.73,2.24,-25.97,9.19,8.07,1.75,10.31,14.06,8.70,5.92,-1.39,-0.22,19.31,29.64,-13.38,-18.28,-31.93,169.24
