,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
BalanceCurrentInvestments,24942000,60790000,62043000,60956000,45877000,48506000,16175000,30196000,19390000,18578000,7118000,12373000,25299000,25967000,38715000,13952000,28234000,34890000,27228000,25683000,12108000,26881000,17509000,23543000,8297000,10922000,13829000,20831000,13446000,,,,,
BalanceCash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceOtherCurrentAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,216783000,261672000,302494000,333500000
BalanceAssetsForSale,341341000,334407000,358610000,325822000,326575000,337854000,359786000,322614000,311830000,342624000,365478000,373043000,357132000,367452000,390637000,368184000,371206000,370223000,381845000,358121000,368650000,378873000,420055000,425701000,446090000,476690000,,88222000,97743000,160646000,152626000,169319000,171466000,163960000
BalanceTotalAssets,177786000,185398000,185083000,186506000,192853000,194380000,190282000,191237000,196484000,198237000,200492000,208782000,217937000,220644000,212189000,216469000,233517000,239745000,233203000,235277000,251519000,257794000,252593000,,3003000,3003000,4004000,4004000,4004000,4004000,4004000,4004000,4004000,4004000
BalanceCapital,4004000,4004000,4004000,4004000,4004000,4004000,4004000,4004000,4004000,4004000,4004000,4004000,4004000,4004000,4004000,4004000,4004000,4004000,4004000,4004000,,,,,,,,,,,,,,
BalanceShareCapital,,,,,,,,,,,,,,,,,,,,,,88000,87000,87000,87000,87000,87000,87000,87000,87000,687000,87000,87000,87000
BalanceOwnShares,54000,54000,51000,51000,50000,50000,51000,51000,51000,51000,51000,51000,51000,51000,51000,50000,51000,,,,8134000,8148000,7932000,8697000,8784000,10543000,11719000,11711000,11035000,10086000,10259000,10208000,10423000,10412000
BalanceReserve,10543000,10582000,9948000,10617000,10880000,10975000,10747000,11380000,12119000,12543000,12386000,12688000,13927000,14133000,14269000,,22555000,46406000,45665000,39238000,18892000,24557000,26993000,34169000,52933000,53358000,72092000,63199000,59301000,66883000,49056000,54943000,48233000,44246000
BalanceNonshareCapital,43467000,40547000,39095000,38560000,44929000,46167000,44734000,38554000,37513000,41953000,40370000,40363000,,4149000,3112000,3775000,3621000,3569000,4212000,4501000,5523000,5478000,6020000,6245000,2062000,1786000,1877000,2084000,2193000,2244000,2915000,2922000,2256000,1434000
BalanceNoncurrentLiabilities,1750000,1859000,1650000,1691000,1719000,1771000,1576000,2938000,3252000,,14852000,41106000,39294000,34593000,11877000,16267000,18089000,24776000,42889000,44010000,64894000,60054000,56770000,64725000,46691000,49579000,44827000,40970000,39394000,33363000,34029000,31323000,38432000,35257000
BalanceNoncurrentTradeLiabilities,34552000,32105000,30909000,31373000,27719000,30058000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentBorrowings,,,,,,,,,,,,,,,,,,,,,,,,,,161000,,,944000,884000,3725000,3479000,3775000,3506000
BalanceNoncurrentObligations,3235000,3639000,3643000,3324000,3495000,,3554000,2188000,2596000,1024000,3446000,4078000,4403000,3870000,4566000,3328000,953000,1083000,745000,281000,281000,3010000,1162000,361000,1151000,3984000,2748000,1762000,1159000,5485000,4985000,1495000,1194000,5361000
BalanceNoncurrentLeasing,6389000,3558000,,106006000,109389000,88035000,133704000,144433000,129600000,157114000,102148000,76533000,88378000,91102000,56303000,47941000,75036000,114773000,111073000,100080000,112766000,127771000,98820000,100492000,108727000,109067000,66318000,71628000,94730000,134577000,118302000,133793000,169465000,
BalanceNoncurrentOtherLiabilities,67618000,85596000,74534000,116879000,101579000,97986000,125297000,81822000,53153000,62558000,77197000,48401000,36554000,52523000,72912000,65135000,76457000,77083000,89715000,76161000,76402000,89573000,86559000,52477000,46240000,60464000,89286000,79853000,103694000,142989000,,37815000,22395000,12741000
BalanceCurrentLiabilities,16006000,41303000,30736000,31058000,17397000,21549000,24086000,11957000,6125000,9591000,21089000,40521000,42862000,21620000,31857000,34532000,19095000,20382000,16740000,20546000,9398000,20892000,30390000,42227000,32461000,24893000,21889000,,,,,,,
BalanceCurrentTradePayablesv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceCurrentBorrowings,,,,,,,,,,,,,287000,,,395000,353000,1012000,987000,1058000,1080000,1085000,1223000,1344000,1296000,1455000,,573000,1398000,760000,819000,1551000,878000,759000
BalanceCurrentObligations,2929000,1831000,1734000,1948000,1777000,1796000,1424000,1340000,2789000,2003000,3826000,3524000,3169000,3355000,1402000,975000,3385000,3416000,2791000,1841000,4644000,3910000,3132000,,,,,,,,,,,
BalanceCurrentLeasing,,,,,,,,,,,,,,,,,,,,,,,,0,216783000,0,261672000,302494000,333500000,0,341341000,334407000,358610000,0
BalanceCurrentOtherLiabilities,325822000,326575000,337854000,359786000,322614000,311830000,342624000,365478000,373043000,357132000,367452000,390637000,368184000,371206000,370223000,381845000,358121000,368650000,378873000,420055000,425701000,446090000,476690000,,,,,,,,,,,
BalanceReckoning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceTotalEquityAndLiabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashflowOperatingCashflow,3287000,6932000,4372000,4742000,-2127000,3976000,6554000,6721000,-5427000,4608000,-1093000,3235000,-1629000,-2128000,3452000,4893000,12133000,-5967000,4880000,8784000,2981000,10163000,11766000,15676000,-2206000,10630000,6655000,6504000,-5102000,-9869000,-6459000,13410000,20727000,-5617000
CashflowAmortization,507000,482000,507000,623000,628000,659000,636000,671000,645000,636000,616000,602000,586000,609000,609000,1359000,1433000,1456000,1431000,1533000,1467000,1516000,1555000,1509000,865000,939000,986000,995000,915000,925000,988000,1019000,1093000,1152000
CashflowInvestingCashflow,-105000,51000,3448000,4154000,-13547000,-367000,-7869000,856000,-3116000,-3963000,-6669000,-12827000,-6347000,-12051000,-11625000,-3687000,-6145000,-228000,-657000,-654000,-527000,-1513000,-1886000,-816000,-1153000,-4807000,-1714000,-647000,947000,-1649000,-406000,-243000,-1830000,-352000
CashflowCapex,106000,50000,133000,273000,104000,376000,-480000,9274000,3137000,5312000,6626000,11732000,6417000,12810000,11643000,3841000,6181000,869000,395000,353000,666000,988000,701000,2592000,1153000,4909000,1517000,697000,1010000,1668000,732000,551000,1831000,353000
CashflowFinancingCashflow,-982000,-8209000,6673000,-5943000,51522000,-2356000,-9122000,1773000,-6536000,1984000,-8059000,-6918000,21997000,3373000,7361000,-12666000,-733000,19121000,-3555000,4618000,-27217000,5632000,-3224000,-22522000,1814000,-19398000,9832000,-15229000,10189000,-3728000,9490000,-10225000,-11919000,-1628000
CashflowShareCapitalCash,,,,15680000,63771000,0,0,0,,34000,0,,,,,,,,,,102000,0,,,55648000,,,59557000,,,,,5093000,0
CashflowDividend,,,8758000,0,,,8008000,0,,,,,,4004000,0,,,3604000,-1000,12012000,0,0,,10010000,0,0,,2200000,-1226000,14493000,2953000,35848000,1253000,-10437000
CashflowNetCashflow,9350000,-15079000,2629000,-15821000,-16510000,14021000,-10806000,-812000,-11460000,5255000,12926000,668000,12748000,-24763000,14282000,6656000,-7662000,-1545000,-13575000,14773000,-9372000,6034000,-15246000,2625000,2942000,6978000,-7597000,,,,,,,
