,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
BalanceNoncurrentOtherLiabilities,889249000,923403000,,673982000,575515000,994974000,925057000,901487000,893742000,802437000,1072243000,982062000,974820000,1078844000,1206102000,1135394000,1102328000,1226560000,1259862000,1221998000,1043321000,1101324000,1267927000,1137426000,951656000,914617000,999482000,1077985000
BalanceCurrentLiabilities,927935000,,206582000,195468000,255504000,188200000,185205000,209115000,185571000,241586000,257587000,327728000,308022000,355202000,309851000,352251000,334915000,237505000,169392000,204822000,225547000,302662000,168301000,211830000,123818000,146416000,140929000,209927000
BalanceCurrentTradePayablesv,,245811000,222201000,433730000,461924000,460136000,443107000,360614000,405724000,334145000,294689000,336961000,348553000,356536000,357899000,395221000,386543000,383048000,450301000,411978000,421958000,388851000,392365000,362580000,349573000,375109000,384078000,
BalanceCurrentBorrowings,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceCurrentObligations,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceCurrentLeasing,219679000,155936000,274583000,272975000,234232000,219606000,254303000,422951000,388350000,339441000,420901000,489568000,456230000,379403000,483651000,623040000,656785000,375755000,454103000,536637000,576352000,345957000,426715000,501986000,560433000,332422000,,1910000
BalanceCurrentOtherLiabilities,1910000,31157000,1958000,21914000,21914000,1949000,1982000,1980000,12962000,12960000,12779000,12777000,12775000,12773000,12774000,12773000,12443000,9696000,6670000,3922000,1504000,1504000,1507000,1514000,1508000,0,5326437000,0
BalanceReckoning,5368682000,6362800000,6259184000,6267290000,6278517000,6302052000,6470936000,6427158000,6561114000,6812100000,6867688000,6891853000,6764225000,6820538000,4974381000,4954545000,4678077000,4702469000,4801300000,4680349000,4411390000,4423945000,4455712000,4454577000,4134380000,,,
BalanceTotalEquityAndLiabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashflowOperatingCashflow,185161000,90507000,245272000,157897000,151724000,217979000,98018000,90371000,212675000,257052000,39586000,140861000,125899000,107326000,-74851000,133901000,106012000,302074000,56200000,142433000,276236000,61182000,-11841000,136104000,285587000,68948000,31959000,61658000
CashflowAmortization,33368000,99974000,69341000,53195000,65529000,90292000,88912000,86692000,90153000,90098000,88476000,90981000,90063000,83429000,91994000,91349000,90921000,106671000,57734000,45701000,48425000,55969000,49265000,48522000,53117000,44788000,48074000,47308000
CashflowInvestingCashflow,-123845000,-132864000,-23083000,-76581000,-257497000,-143870000,-67658000,21209000,-112353000,-101678000,-11056000,-271239000,-121744000,-145746000,-124862000,-143226000,-15935000,-130948000,-67537000,-12417000,-15753000,-88001000,-22083000,-8043000,-858000,-26640000,-36894000,-12638000
CashflowCapex,144420000,108267000,79195000,83192000,265792000,147034000,73243000,-18929000,116154000,140768000,11756000,310423000,122377000,172052000,123971000,128702000,63700000,93485000,73344000,13802000,17054000,91152000,20911000,12824000,36196000,28341000,39394000,14288000
CashflowFinancingCashflow,-195792000,-57258000,-51866000,-66456000,-68724000,-144854000,-60524000,-86424000,-64749000,-67561000,-119954000,126383000,101861000,-48226000,76835000,1619000,-51820000,-50749000,-90358000,-86986000,-126225000,-83445000,-109856000,-77446000,-171198000,-88750000,-52258000,-74396000
CashflowShareCapitalCash,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashflowDividend,,0,,,,17000,,,,,34560000,0,,-288000,60988000,,,,65562000,0,,,-134476000,-99615000,170323000,14860000,-174497000,-70745000
CashflowNetCashflow,-30164000,25156000,35573000,87813000,-91424000,-3994000,106015000,-86646000,-122878000,-7706000,38257000,120377000,-101695000,43030000,134258000,-110264000,-143780000,50615000,113531000,-46442000,-57193000,-25376000,,,,,,
