,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeShareholderNetProfit,-1350000,-1598000,3637000,4794000,-1149000,633000,3493000,5311000,-1108000,1050000,514000,2584000,-2840000,-1225000,222000,6355000,-2359000,-704000,-2545000,2715000,3255000,-1325000,,,,
BalanceNoncurrentAssets,7799000,7868000,8287000,11218000,11457000,13054000,13031000,16689000,15017000,17312000,17663000,17022000,17306000,18806000,21883000,25013000,30106000,37259000,39773000,42068000,42378000,41818000,42427000,42781000,42863000,43000000
BalanceIntangibleAssets,852000,773000,675000,2278000,2161000,2484000,2494000,2664000,1578000,2938000,2983000,3007000,2964000,2928000,3007000,2940000,2859000,2864000,2778000,2901000,2922000,3104000,3251000,3591000,3776000,4131000
BalanceProperty,5763000,6142000,6618000,8387000,8727000,9792000,9721000,13139000,12593000,13225000,13210000,12903000,12700000,13976000,17216000,20803000,25816000,33022000,35314000,37344000,37136000,36578000,37334000,37462000,36931000,36710000
BalanceNoncurrentReceivables,,,,,,,34000,,,,,,,,,,,,,,,,,,,
BalanceNoncurrInvestments,,,,,,,,,,26000,26000,315000,170000,236000,269000,134000,132000,51000,53000,48000,48000,46000,37000,79000,1184000,953000
BalanceOtherNoncurrentAssets,994000,553000,569000,778000,782000,886000,846000,1149000,1470000,1086000,1616000,1587000,1490000,1034000,1162000,1239000,1549000,1772000,2267000,2088000,1794000,1682000,2119000,2080000,20131000,23549000
BalanceCurrentAssets,22978000,21080000,19346000,24654000,30339000,32496000,32581000,33375000,40323000,41049000,39062000,41398000,45359000,40231000,28527000,28914000,35920000,48857000,40684000,38044000,34026000,46462000,52941000,53752000,6731000,5679000
BalanceInventory,6156000,4158000,6358000,6858000,8237000,4904000,8908000,8241000,7316000,5848000,7571000,8774000,9265000,7574000,8094000,9227000,12761000,9002000,13123000,9768000,12524000,11269000,14237000,15405000,9089000,14366000
BalanceCurrentReceivables,9845000,11775000,10348000,10338000,12061000,16302000,11830000,15551000,18394000,20228000,15197000,21821000,19832000,17035000,10186000,14846000,17037000,33008000,18685000,21565000,16809000,26866000,32840000,20113000,,
BalanceCurrentInvestments,,0,0,2000,509000,20000,511000,4364000,571000,88000,50000,60000,58000,45000,408000,402000,574000,179000,164000,21000,366000,450000,2506000,3130000,2088000,5247000
BalanceCash,4532000,1928000,7027000,8477000,10092000,9369000,7657000,8396000,12012000,12250000,7685000,13966000,15057000,9503000,3568000,4008000,2119000,4927000,2833000,2123000,5059000,1602000,12133000,1181000,1416000,1730000
BalanceOtherCurrentAssets,615000,712000,429000,1055000,1198000,2454000,1415000,1853000,2390000,3956000,3068000,2236000,507000,699000,865000,1712000,4154000,3770000,3714000,2549000,2902000,3812000,3595000,,,
BalanceAssetsForSale,,,,,,,,,,,,,,,,,,,,,,,,27930000,31417000,31265000
BalanceTotalAssets,32297000,30803000,37708000,43370000,49185000,47598000,50687000,57986000,58071000,56368000,60204000,67242000,65244000,58633000,66173000,75693000,90925000,83062000,79862000,76453000,89243000,95804000,96752000,7402000,11912000,14014000
BalanceCapital,15180000,13821000,16801000,20724000,25342000,24282000,24101000,28139000,31778000,30808000,30954000,39087000,40880000,38273000,36393000,36761000,43951000,41764000,40089000,37560000,40080000,43079000,41795000,4902000,4902000,4902000
BalanceShareCapital,4902000,4902000,5182000,5182000,5182000,5223000,5223000,5223000,5223000,5223000,5223000,5569000,5569000,5637000,5637000,5637000,5637000,5637000,5637000,5637000,5637000,5637000,5637000,,,
BalanceOwnShares,,,,,,,,,,,,,,,,,,,,,,,,1047000,1826000,1964000
BalanceReserve,1937000,2201000,11267000,11554000,11379000,11609000,14394000,14956000,13285000,13423000,20308000,27581000,26790000,26955000,29491000,29637000,30472000,30644000,30643000,30659000,30464000,30208000,28472000,,,
BalanceNonshareCapital,,,,,,,,,,,,,,,,,,,,,,,,3091000,3390000,3987000
BalanceNoncurrentLiabilities,4323000,8639000,4637000,5846000,8428000,14401000,7746000,8153000,7731000,7562000,7632000,7521000,6419000,6128000,6380000,9203000,10291000,10548000,10083000,10543000,10393000,9706000,23239000,1685000,1767000,1975000
BalanceNoncurrentTradeLiabilities,4921000,,6962000,,,,,,,,,,,,,,,,,,,2020000,1362000,2122000,2999000,5473000
BalanceNoncurrentBorrowings,5019000,4954000,5462000,4690000,4189000,4197000,4009000,3740000,3510000,3528000,6362000,7444000,6809000,6432000,6851000,6514000,5812000,17668000,,,,,,,,
BalanceNoncurrentObligations,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentLeasing,,,,,,,,,,,,,,,,,,,1406000,1623000,2012000,2304000,2356000,2515000,2847000,2955000
BalanceNoncurrentOtherLiabilities,2420000,2792000,2691000,3041000,3373000,3435000,3512000,2679000,2618000,2852000,2841000,2847000,3739000,3651000,3692000,3879000,3894000,5571000,17437000,16115000,13264000,12794000,8343000,16270000,16800000,15415000
BalanceCurrentLiabilities,8915000,18840000,21694000,18562000,17998000,21618000,20634000,17945000,14232000,23400000,29729000,36683000,30750000,29690000,28350000,38770000,43019000,31718000,16470000,14964000,11947000,6124000,7773000,10127000,8379000,10699000
BalanceCurrentTradePayablesv,14485000,10147000,9322000,12993000,11155000,9745000,6983000,11285000,16877000,20283000,16576000,12781000,13278000,15084000,20059000,18756000,,,,2139000,4775000,1992000,2028000,4032000,2446000,3107000
BalanceCurrentBorrowings,3912000,3008000,4467000,2826000,2749000,7045000,8553000,9795000,8650000,11600000,10585000,16479000,14957000,7211000,,,,,,,,,,,,
BalanceCurrentObligations,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceCurrentLeasing,,,,,,,,,,,,,,,783000,987000,878000,4045000,7853000,3215000,4681000,4754000,8288000,3468000,4763000,4930000
BalanceCurrentOtherLiabilities,4296000,4729000,4158000,4963000,4026000,4738000,3870000,6299000,5127000,4953000,4117000,6922000,7606000,5222000,184000,164000,439000,486000,490000,507000,254000,627000,641000,378000,468000,888000
BalanceReckoning,854000,411000,474000,332000,429000,306000,397000,356000,370000,285000,397000,529000,27930000,31417000,31265000,32298000,30803000,37708000,43370000,49185000,47598000,50687000,57986000,58071000,56368000,60204000
BalanceTotalEquityAndLiabilities,67242000,65244000,58633000,66173000,75693000,90925000,83062000,79862000,76453000,89243000,95804000,96752000,,,,,,,,,,,,,,
CashflowOperatingCashflow,1534000,-2286000,5213000,2764000,-2706000,160000,3156000,3922000,-411000,-1235000,3378000,3770000,-41000,-776000,993000,8347000,257000,-1849000,300000,-2045000,4264000,-3636000,1562000,-1715000,-896000,9588000
CashflowAmortization,240000,258000,256000,328000,415000,431000,435000,450000,489000,455000,511000,437000,504000,572000,518000,504000,493000,507000,693000,650000,724000,736000,735000,730000,668000,680000
CashflowInvestingCashflow,-1366000,-557000,-617000,-1449000,-139000,-1136000,-323000,-4063000,-526000,-282000,-471000,-713000,361000,-1532000,-3894000,-3961000,-4914000,-7386000,-2569000,-2400000,173000,-353000,-1371000,-1358000,-384000,21208000
CashflowCapex,1390000,557000,617000,1625000,157000,1135000,325000,4086000,479000,350000,497000,119000,190000,1502000,3774000,3896000,4922000,6908000,2774000,2387000,236000,389000,1533000,1217000,325000,650000
CashflowFinancingCashflow,-570000,1802000,-1438000,-2029000,241000,6085000,-1383000,1756000,187000,-168000,-1401000,-208000,-82000,-2257000,9182000,-3295000,-897000,3300000,2709000,2556000,-1629000,1895000,-901000,6009000,-2177000,-20265000
CashflowShareCapitalCash,,,,,,4046000,-129000,28000,41000,0,0,0,,7785000,-1208000,,,,,,,,,,,
CashflowDividend,,,,,,,,783000,1045000,0,0,,564000,,564000,0,0,,-402000,-1041000,3158000,-715000,-2604000,5109000,1450000,1615000
CashflowNetCashflow,-750000,-1685000,1506000,2849000,238000,-4565000,6281000,1091000,-5554000,-5935000,440000,-1889000,2808000,-2094000,-710000,2936000,-3457000,10531000,,,,,,,,
