,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
BalanceNoncurrentAssets,4520000,4971000,6064000,6654000,7439000,9374000,2713000,4318000,5686000,6599000,6951000,13001000,12721000,12826000,12524000,12562000,9189000,11233000,12057000,12091000,12205000,12428000,14521000,14080000,13682000,13393000,8660000,7056000,4235000,3615000
BalanceIntangibleAssets,4016000,5139000,5735000,6381000,7805000,1117000,2209000,3301000,4390000,5272000,9640000,5673000,5784000,5514000,5590000,8520000,9274000,9142000,9182000,9200000,9374000,13384000,13045000,12713000,12432000,7952000,6645000,3732000,486000,538000
BalanceProperty,479000,460000,590000,1083000,1085000,1151000,1399000,1263000,1108000,967000,776000,653000,532000,391000,285000,210000,241000,185000,186000,228000,514000,460000,452000,431000,414000,392000,377000,400000,400000,422000
BalanceNoncurrentReceivables,428000,436000,443000,450000,899000,926000,874000,507000,525000,251000,259000,243000,251000,263000,1615000,2611000,2647000,2716000,2739000,356000,349000,261000,263000,261000,96000,,,,,
BalanceNoncurrInvestments,,,,,,,,1813000,5964000,6080000,6103000,6217000,,,,,,,,,,19000,17000,24000,31000,32000,43000,61000,59000,60000
BalanceOtherNoncurrentAssets,72000,64000,56000,57000,50000,132000,113000,121000,134000,63000,77000,103000,87000,267000,226000,256000,267000,33000,19000,30000,1295000,1298000,1841000,19586000,19126000,18333000,17307000,15170000,13706000,12472000
BalanceCurrentAssets,12207000,5069000,5023000,5055000,4882000,4140000,9468000,7933000,6598000,5704000,4070000,3907000,7216000,7111000,5402000,5192000,3182000,3009000,2475000,,,,,,,,,,,
BalanceInventory,,,,,,,508000,722000,1270000,1789000,1862000,1868000,1753000,2035000,1695000,1691000,1872000,2073000,1897000,359000,401000,626000,428000,377000,514000,851000,964000,700000,834000,1082000
BalanceCurrentReceivables,971000,878000,748000,969000,863000,3305000,2017000,1550000,2024000,1054000,942000,4127000,4334000,3214000,3160000,986000,819000,361000,,,,,,,,,,,,
BalanceCurrentInvestments,,,,,,,,,,,,,,,,,,,858000,640000,170000,18946000,18583000,17654000,16395000,14137000,12928000,11574000,11076000,4051000
BalanceCash,4120000,4282000,3881000,3235000,5619000,5150000,3658000,1816000,1078000,1022000,1229000,626000,377000,202000,209000,5000,11000,78000,257000,1045000,212000,166000,165000,61000,69000,78000,64000,49000,47000,25000
BalanceOtherCurrentAssets,25000,32000,42000,36000,44000,120000,75000,76000,75000,107000,116000,116000,139000,115000,112000,206000,,,,,,,,,,,,,,
BalanceAssetsForSale,,,,,,,,,,,,,,,1973000,5815000,6269000,7905000,26240000,26565000,27707000,20020000,19488000,19392000,19071000,19158000,18070000,17744000,17881000,17406000
BalanceTotalAssets,16702000,18657000,19166000,18655000,17795000,16275000,16335000,21737000,21191000,19084000,18585000,11842000,12038000,6710000,4931000,5202000,6568000,25074000,25200000,25874000,17212000,17568000,17351000,17054000,16581000,16317000,15859000,15866000,15129000,14916000
BalanceCapital,16682000,16171000,15523000,14610000,13602000,13168000,16066000,15221000,13756000,12238000,5456000,6250000,2484000,576000,586000,586000,756000,756000,756000,756000,756000,756000,756000,756000,748000,748000,748000,748000,748000,1603000
BalanceShareCapital,1603000,1845000,1845000,1845000,1845000,1845000,1845000,1845000,1845000,1845000,2045000,2045000,,,,,,,,0,,,,-332000,,,,,,
BalanceOwnShares,,,,,,,,,,,2456000,3906000,3928000,22043000,24184000,24184000,24202000,24202000,24202000,24202000,24202000,23492000,23823000,23823000,23823000,23823000,31773000,31774000,32475000,32475000
BalanceReserve,32475000,32475000,32607000,32607000,32607000,32607000,34308000,36217000,36217000,11000,9000,18000,23000,34000,46000,26000,25000,,,,,249000,1053000,141000,118000,125000,128000,175000,172000,104000
BalanceNonshareCapital,89000,114000,81000,57000,208000,191000,130000,118000,115000,373000,341000,335000,507000,421000,352000,260000,168000,137000,96000,58000,54000,25000,33000,54000,,,,,,
BalanceNoncurrentLiabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,197000,182000
BalanceNoncurrentTradeLiabilities,119000,106000,93000,342000,278000,304000,462000,388000,314000,234000,140000,107000,33000,,,,,,,,,,,,,,,,,
BalanceNoncurrentBorrowings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentObligations,,,,,,,,,73000,39000,7000,,,,,,,,,11000,9000,11000,12000,22000,31000,63000,31000,45000,33000,38000
BalanceNoncurrentLeasing,26000,28000,30000,23000,19000,21000,18000,33000,54000,,,,,665000,867000,1189000,1025000,1216000,1414000,2441000,1560000,1534000,1596000,2225000,1493000,1717000,1878000,2181000,1728000,1672000
BalanceNoncurrentOtherLiabilities,1917000,2991000,3034000,2548000,2985000,5496000,5798000,5224000,6258000,6272000,4394000,4169000,208000,367000,654000,536000,593000,654000,785000,833000,812000,859000,1532000,822000,890000,1471000,1228000,980000,1006000,1155000
BalanceCurrentLiabilities,1740000,1715000,1768000,2158000,2942000,2999000,2475000,2395000,3133000,2241000,2066000,117000,131000,129000,108000,87000,175000,182000,202000,299000,300000,300000,305000,283000,251000,127000,,,,1115000
BalanceCurrentTradePayablesv,1100000,1914000,3131000,2035000,1655000,1666000,,,,,,,,,,,,,,,,,,,,,,,,
BalanceCurrentBorrowings,,,,,,,,,,,,,,,,,,,,,,217000,185000,108000,82000,48000,20000,14000,8000,
BalanceCurrentObligations,,165000,190000,250000,188000,344000,403000,1357000,370000,324000,280000,286000,250000,430000,83000,736000,208000,215000,351000,1169000,773000,760000,813000,1431000,1589000,835000,732000,1104000,1811000,437000
BalanceCurrentLeasing,175000,179000,156000,193000,192000,182000,117000,155000,99000,157000,107000,116000,114000,73000,355000,324000,303000,498000,,110000,,,,5815000,6269000,0,7905000,26240000,26565000,27707000
BalanceCurrentOtherLiabilities,20020000,19488000,19392000,19071000,19158000,18070000,17744000,17881000,17406000,16702000,18657000,19166000,18655000,17795000,16275000,16335000,21737000,21191000,19084000,18585000,11842000,10725000,6710000,,,,,,,
BalanceReckoning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceTotalEquityAndLiabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashflowOperatingCashflow,794000,442000,267000,809000,1300000,902000,870000,1064000,-625000,124000,-207000,631000,-958000,347000,272000,-329000,-269000,-1533000,1955000,-2597000,-1683000,-438000,212000,-249000,-905000,-901000,-435000,-1236000,-1614000,-1277000
CashflowAmortization,211000,219000,222000,223000,342000,351000,388000,400000,160000,161000,188000,188000,175000,157000,154000,387000,377000,449000,408000,-87000,152000,141000,118000,123000,467000,473000,450000,487000,187000,156000
CashflowInvestingCashflow,-489000,-618000,-578000,-892000,-798000,-1199000,-1692000,-2332000,-1555000,-1230000,-1061000,-761000,-6265000,115000,-77000,6000,-305000,3975000,-2554000,1318000,-124000,-272000,-262000,-728000,320000,-94000,-104000,-224000,-255000,1247000
CashflowCapex,489000,628000,568000,892000,798000,1199000,1693000,2331000,1117000,1112000,1175000,1419000,6162000,-5646000,144000,5911000,342000,-309000,1246000,52000,138000,316000,287000,653000,168000,131000,104000,224000,255000,74000
CashflowFinancingCashflow,-35000,112000,-191000,-39000,18274000,-66000,-107000,9000,-78000,-103000,-86000,-368000,199000,-394000,-33000,-78000,-72000,-58000,-213000,-35000,-28000,-6000,1184000,-16000,744000,364000,1467000,1755000,-54000,0
CashflowShareCapitalCash,0,0,0,18313000,-28000,0,76000,,,,,,,,,,,,,,,,,1030000,2109000,-1000,,,,
CashflowDividend,,,,,,,,,,,,,,,,,,,,,,45000,0,0,,270000,-64000,-502000,-122000,18776000
CashflowNetCashflow,-363000,-929000,-1259000,-2258000,-1209000,-1354000,-498000,-7024000,68000,162000,-401000,-646000,2384000,-469000,-1492000,-1842000,-738000,-56000,207000,-601000,-251000,-175000,7000,-114000,-84000,,,,,
