,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeDistributionExpenses,147000,,,,168000,,,,434000,,,,,,30000,0,806000,,,,955000,,523000,223000,276000,221000,2442000,482000,680000,3348000,-292000,1173000,1323000,1214000,1428000,103000,129000,,
IncomeDistributionExpenses_yy,,,,,14.29,,,,158.33,,,,-100.00,,,,,,-100.00,,18.49,,,,-71.10,,366.92,116.14,146.38,1414.93,-111.96,143.36,94.56,-63.74,589.04,-91.22,-90.25,-100.00,-100.00
IncomeDistributionExpenses_sy,,,,,-16.50,,,,25.57,,,,-6.27,,,,,,23.78,,2.11,,,,6.19,,12.89,8.34,4.19,6.10,1.53,6.80,-2.40,5.31,-3.16,-7.62,-5.88,8.23,7.24
IncomeDistributionExpenses_qq,,-100.00,,,,-100.00,,,,-100.00,,,,,,-100.00,,-100.00,,,,-100.00,,-57.36,23.77,-19.93,1004.98,-80.26,41.08,392.35,-108.72,501.71,12.79,-8.24,17.63,-92.79,25.24,-100.00,
IncomeDistributionExpenses_sq,,-28.79,,,,-16.09,,,,-26.71,,,,,,-1.88,,-20.68,,,,-15.59,,-3.69,22.90,-17.59,5.58,-1.42,22.52,-18.29,4.84,0.78,21.77,-14.18,3.55,-8.98,24.26,-18.52,
IncomeAdministrativExpenses,4095000,,,,4441000,,,,5276000,,,,,,16897000,6885000,14500000,38282000,-7660000,14671000,13797000,14031000,12765000,12088000,10921000,8857000,-1545000,4369000,14837000,7258000,5053000,5993000,6573000,6025000,6685000,3736000,2754000,963000,1310000
IncomeAdministrativExpenses_yy,,,,,8.45,,,,18.80,,,,-100.00,,,,,,-145.33,113.09,-4.85,-63.35,266.64,-17.61,-20.85,-36.88,-112.10,-63.86,35.86,-18.05,427.06,37.17,-55.70,-16.99,32.30,-37.66,-58.10,-84.02,-80.40
IncomeAdministrativExpenses_sy,,,,,-15.02,,,,11.22,,,,-3.42,,,,,,-0.50,4.22,7.63,0.81,3.47,1.59,2.67,6.10,4.48,9.38,3.20,3.18,6.89,-1.84,4.29,3.99,4.66,5.10,0.81,7.38,7.83
IncomeAdministrativExpenses_qq,,-100.00,,,,-100.00,,,,-100.00,,,,,,-59.25,110.60,164.01,-120.01,291.53,-5.96,1.70,-9.02,-5.30,-9.65,-18.90,-117.44,382.78,239.60,-51.08,-30.38,18.60,9.68,-8.34,10.95,-44.11,-26.28,-65.03,36.03
IncomeAdministrativExpenses_sq,,-21.06,,,,-7.80,,,,-19.23,,,,,,-5.92,14.86,-5.56,3.99,-1.40,16.87,-10.45,4.86,-5.50,15.70,-6.90,3.22,-5.40,15.59,-5.06,0.66,-1.20,12.78,1.38,2.96,-0.94,8.67,-1.87,6.94
IncomeGrossProfit,1128000,-62000,-1000,299000,214000,-492000,190000,-201000,-353000,-608000,-468000,1030000,1028000,-675000,-641000,1907000,10372000,-1375000,960000,2565000,4513000,548000,-2046000,-305000,7328000,-192000,-1146000,3438000,-4606000,1683000,-744000,5887000,2455000,-1096000,-4730000,-5116000,-13051000,-3024000,-4170000
IncomeGrossProfit_yy,,,,,-81.03,-693.55,19100.00,-167.22,-264.95,-23.58,-346.32,612.44,391.22,-11.02,-36.97,85.15,908.95,-103.70,249.77,34.50,-56.49,139.85,-313.12,-111.89,62.38,-135.04,43.99,1227.21,-162.85,976.56,35.08,71.23,153.30,-165.12,-535.75,-186.90,-631.61,-175.91,11.84
IncomeGrossProfit_sy,,,,,-9.16,6.46,23.35,39.94,32.72,20.88,39.07,104.80,12.85,33.20,-26.39,4.27,45.34,11.95,70.90,34.56,15.12,15.43,20.12,18.11,27.29,11.32,21.78,28.36,-25.10,-12.94,2.34,-14.32,2.82,28.16,8.05,2.93,3.81,-2.81,15.05
IncomeGrossProfit_qq,,-105.50,98.39,30000.00,-28.43,-329.91,138.62,-205.79,-75.62,-72.24,23.03,320.09,-0.19,-165.66,5.04,397.50,443.89,-113.26,169.82,167.19,75.95,-87.86,-473.36,85.09,2502.62,-102.62,-496.88,400.00,-233.97,136.54,-144.21,891.26,-58.30,-144.64,-331.57,-8.16,-155.10,76.83,-37.90
IncomeGrossProfit_sq,,-86.72,-23.87,26.67,157.41,-68.84,22.64,21.40,79.91,-72.99,13.99,-2.00,59.85,-27.45,15.95,-1.79,65.63,-50.02,7.86,18.00,46.73,-33.54,11.04,12.78,65.02,-51.67,-5.87,15.60,5.30,-22.62,9.32,-4.74,32.41,-32.68,13.17,-13.58,38.96,-47.69,39.56
IncomeOtherOperatingIncome,43000,,,,38000,,,,143000,,,,425000,,305000,342000,790000,659000,778000,178000,2770000,245000,1046000,563000,2892000,130000,1169000,1291000,4593000,1603000,8717000,2341000,2737000,2027000,2649000,2125000,1648000,1375000,1622000
IncomeOtherOperatingIncome_yy,,,,,-11.63,,,,276.32,,,,197.20,,,,85.88,,155.08,-47.95,250.63,-62.82,34.45,216.29,4.40,-46.94,11.76,129.31,58.82,1133.08,645.68,81.33,-40.41,26.45,-69.61,-9.23,-39.79,-32.17,-38.77
IncomeOtherOperatingIncome_sy,,,,,14.97,,,,60.71,,,,59.39,,,,9.15,,10.87,26.25,12.35,-17.50,44.00,4.52,-0.49,-6.57,,-5.03,-6.15,-11.84,20.87,2.33,-12.80,-2.31,-18.17,7.99,-34.97,,-11.52
IncomeOtherOperatingIncome_qq,,-100.00,,,,-100.00,,,,-100.00,,,,-100.00,,12.13,130.99,-16.58,18.06,-77.12,1456.18,-91.16,326.94,-46.18,413.68,-95.50,799.23,10.44,255.77,-65.10,443.79,-73.14,16.92,-25.94,30.69,-19.78,-22.45,-16.57,17.96
IncomeOtherOperatingIncome_sq,,-31.22,,,,-12.45,,,,-35.32,,,,-37.29,,-29.62,54.69,-16.20,-44.26,16.91,30.69,1.84,8.82,-12.22,29.76,-42.02,-5.74,10.44,34.45,-28.28,62.35,-23.30,12.26,-7.44,30.69,-19.69,-22.45,16.16,-9.20
IncomeOtherOperatingCosts,967000,,,,57000,,,,113000,,,,497000,,1356000,840000,3323000,534000,399000,343000,1342000,174000,352000,265000,1373000,221000,448000,190000,2773000,1108000,1811000,640000,2058000,346000,11024000,456000,147106000,51000,464000
IncomeOtherOperatingCosts_yy,,,,,-94.11,,,,98.25,,,,339.82,,,,568.61,,-70.58,-59.17,-59.61,-67.42,-11.78,-22.74,2.31,27.01,27.27,-28.30,101.97,401.36,304.24,236.84,-25.78,-68.77,508.72,-28.75,7048.01,-85.26,-95.79
IncomeOtherOperatingCosts_sy,,,,,27.81,,,,80.30,,,,-21.23,,,,-12.82,,-30.95,-8.70,-32.01,-2.28,7.32,27.32,9.10,20.97,17.40,-30.72,-12.43,,-6.70,49.90,22.18,4.72,35.71,19.35,-27.62,-2.04,-21.89
IncomeOtherOperatingCosts_qq,,-100.00,,,,-100.00,,,,-100.00,,,,-100.00,,-38.05,295.60,-83.93,-25.28,-14.04,291.25,-87.03,102.30,-24.72,418.11,-83.90,102.71,-57.59,1359.47,-60.04,63.45,-64.66,221.56,-83.19,3086.13,-95.86,32160.09,-99.97,809.80
IncomeOtherOperatingCosts_sq,,-76.67,,,,-71.95,,,,-88.30,,,,-74.94,,-38.05,155.00,-72.71,8.71,-7.69,214.75,-57.79,20.72,-19.70,199.48,-63.87,-6.48,-28.34,245.71,-63.25,41.26,-31.58,206.08,-74.35,40.00,-23.03,94.26,-57.84,78.46
IncomeEBIT,1169000,,,,431000,,,,-826000,,,,910000,,-2367000,1409000,7839000,-1250000,1339000,2400000,5941000,619000,-1352000,-7000,8847000,-283000,-425000,4539000,-2786000,2178000,6162000,7588000,3134000,585000,-13105000,-3447000,-158509000,-1700000,-3012000
IncomeEBIT_yy,,,,,-63.13,,,,-291.65,,,,210.17,,,,761.43,,156.57,70.33,-24.21,149.52,-200.97,-100.29,48.91,-145.72,68.57,64942.86,-131.49,869.61,1549.88,67.17,212.49,-73.14,-312.67,-145.43,-5157.72,-390.60,77.02
IncomeEBIT_sy,,,,,-13.70,,,,17.30,,,,17.42,,,,8.23,,60.44,47.09,8.92,14.68,16.73,22.00,28.04,7.53,19.42,22.78,-15.44,5.02,15.12,-4.38,-3.12,26.09,27.58,1.98,2.50,1.27,41.53
IncomeEBIT_qq,,-100.00,,,,-100.00,,,,100.00,,,,-100.00,,159.53,456.35,-115.95,207.12,79.24,147.54,-89.58,-318.42,99.48,126485.71,-103.20,-50.18,1168.00,-161.38,178.18,182.92,23.14,-58.70,-81.33,-2340.17,73.70,-4498.46,98.93,-77.18
IncomeEBIT_sq,,-84.98,,,,-46.46,,,,-25.10,,,,-40.42,,4.20,47.01,-39.22,-7.98,21.84,25.15,-29.98,4.60,23.94,35.18,-42.43,-0.04,23.58,4.92,-4.16,7.55,0.48,25.15,-15.40,21.03,-13.40,3.75,-37.32,21.82
IncomeFinanceIncome,181000,,,,147000,,,,113000,,,,45000,,336000,541000,-167000,4000,6000,0,5000,6000,92000,0,37000,170000,521000,18000,192000,4000,1149000,5000,-211000,207000,144000,111000,129000,23000,-281000
IncomeFinanceIncome_yy,,,,,-18.78,,,,-23.13,,,,-60.18,,,,-471.11,,-98.21,-100.00,102.99,50.00,1433.33,,640.00,2733.33,466.30,,418.92,-97.65,120.54,-72.22,-209.90,5075.00,-87.47,2120.00,161.14,-88.89,-295.14
IncomeFinanceIncome_sy,,,,,-57.56,,,,-11.56,,,,20.28,,,,9.89,,,-49.82,4.12,-15.08,-30.60,,-11.76,45.12,-38.40,,-15.97,-21.94,59.77,-54.55,20.88,16.13,-35.29,94.58,-4.93,-4.17,177.48
IncomeFinanceIncome_qq,,-100.00,,,,-100.00,,,,-100.00,,,,-100.00,,61.01,-130.87,102.40,50.00,-100.00,,20.00,1433.33,-100.00,,359.46,206.47,-96.55,966.67,-97.92,28625.00,-99.56,-4320.00,198.10,-30.43,-22.92,16.22,-82.17,-1321.74
IncomeFinanceIncome_sq,,-7.96,,,,36.48,,,,92.93,,,,6.98,,-5.88,9.04,-24.45,-0.76,-47.06,,2.68,-16.67,12.45,,29.83,-60.91,39.28,42.86,31.56,-0.21,-48.05,129.76,-26.76,-30.21,6.71,32.90,-7.14,148.57
IncomeFinanceCosts,139000,,,,106000,,,,193000,,,,289000,,1545000,1496000,720000,471000,1330000,1238000,1249000,1015000,807000,976000,2998000,946000,1333000,1397000,2669000,1877000,2214000,1800000,2489000,1653000,2561000,1061000,9063000,93000,-558000
IncomeFinanceCosts_yy,,,,,-23.74,,,,82.08,,,,49.74,,,,149.13,,-13.92,-17.25,73.47,115.50,-39.32,-21.16,140.03,-6.80,65.18,43.14,-10.97,98.41,66.09,28.85,-6.74,-11.93,15.67,-41.06,264.12,-94.37,-121.79
IncomeFinanceCosts_sy,,,,,-63.79,,,,82.08,,,,36.41,,,,-26.83,,-20.28,-47.06,-12.85,-21.21,-8.18,99.09,122.27,19.20,3.73,-11.29,-49.88,36.65,42.76,-8.54,56.26,35.22,112.44,57.18,37.18,-47.16,-46.09
IncomeFinanceCosts_qq,,-100.00,,,,-100.00,,,,-100.00,,,,-100.00,,-3.17,-51.87,-34.58,182.38,-6.92,0.89,-18.73,-20.49,20.94,207.17,-68.45,40.91,4.80,91.05,-29.67,17.95,-18.70,38.28,-33.59,54.93,-58.57,754.19,-98.97,-700.00
IncomeFinanceCosts_sq,,-33.81,,,,15.66,,,,-12.50,,,,-3.94,,-5.64,-14.67,-2.78,6.14,-31.66,36.69,-7.16,-8.98,11.41,19.51,1.73,-5.68,8.10,12.48,33.96,-13.30,-15.25,36.33,5.10,5.12,-46.47,72.44,-43.62,-22.92
IncomeOtherIncome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeOtherIncome_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeOtherIncome_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeOtherIncome_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeOtherIncome_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeNetGrossProfit,1187000,-20000,-26000,349000,169000,-508000,116000,-192000,-322000,-658000,-112000,949000,487000,-668000,-2908000,454000,6952000,-1717000,15000,1162000,4697000,-390000,-2067000,-983000,5886000,-1059000,-1237000,3160000,-5263000,305000,5097000,5793000,434000,-861000,-15522000,-4397000,-167443000,-1770000,-2735000
IncomeNetGrossProfit_yy,,,,,-85.76,-2440.00,546.15,-155.01,-290.53,-29.53,-196.55,594.27,251.24,-1.52,-2496.43,-52.16,1327.52,-157.04,100.52,155.95,-32.44,77.29,-13880.00,-184.60,25.31,-171.54,40.15,421.46,-189.42,128.80,512.05,83.32,108.25,-382.30,-404.53,-175.90,-38681.34,-105.57,82.38
IncomeNetGrossProfit_sy,,,,,-12.70,13.77,40.28,61.55,8.32,39.56,71.42,21.91,43.80,2.38,-24.61,-23.14,22.86,17.76,78.01,39.82,18.22,16.46,4.34,21.00,15.44,9.79,18.10,16.63,-4.18,1.37,0.84,6.96,-13.61,31.70,4.94,-3.26,-7.63,7.52,34.74
IncomeNetGrossProfit_qq,,-101.68,-30.00,1442.31,-51.58,-400.59,122.83,-265.52,-67.71,-104.35,82.98,947.32,-48.68,-237.17,-335.33,115.61,1431.28,-124.70,100.87,7646.67,304.22,-108.30,-430.00,52.44,698.78,-117.99,-16.81,355.46,-266.55,105.80,1571.15,13.66,-92.51,-298.39,-1702.79,71.67,-3708.12,98.94,-54.52
IncomeNetGrossProfit_sq,,-83.00,1.68,0.30,129.98,-43.64,7.86,22.05,21.09,-3.16,-9.34,5.40,10.60,-17.98,-9.29,8.43,45.14,-30.74,-23.33,21.92,39.58,-34.68,-4.84,30.34,31.06,-14.52,-14.08,14.54,16.59,-28.16,19.60,7.06,5.44,-22.32,5.62,-1.76,-5.42,-31.58,28.38
IncomeExtraordinarProfit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeExtraordinarProfit_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeExtraordinarProfit_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeExtraordinarProfit_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeExtraordinarProfit_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeBeforeTaxProfit,1187000,-20000,-26000,349000,169000,-508000,116000,-192000,-322000,-658000,-112000,949000,487000,-668000,-2908000,454000,6952000,-1717000,15000,1162000,4697000,-390000,-2067000,-983000,5886000,-1059000,-1237000,3160000,-5263000,305000,5097000,5793000,434000,-861000,-15522000,-4397000,-167443000,-1770000,-2735000
IncomeBeforeTaxProfit_yy,,,,,-85.76,-2440.00,546.15,-155.01,-290.53,-29.53,-196.55,594.27,251.24,-1.52,-2496.43,-52.16,1327.52,-157.04,100.52,155.95,-32.44,77.29,-13880.00,-184.60,25.31,-171.54,40.15,421.46,-189.42,128.80,512.05,83.32,108.25,-382.30,-404.53,-175.90,-38681.34,-105.57,82.38
IncomeBeforeTaxProfit_sy,,,,,-6.49,13.77,40.28,61.55,8.32,39.56,71.42,21.91,43.80,2.38,-24.61,-23.14,23.08,17.76,78.01,39.82,18.22,16.46,8.12,21.00,15.44,9.79,18.10,16.63,-4.18,1.37,0.84,6.96,-13.61,31.70,4.94,-3.26,-7.63,7.52,34.74
IncomeBeforeTaxProfit_qq,,-101.68,-30.00,1442.31,-51.58,-400.59,122.83,-265.52,-67.71,-104.35,82.98,947.32,-48.68,-237.17,-335.33,115.61,1431.28,-124.70,100.87,7646.67,304.22,-108.30,-430.00,52.44,698.78,-117.99,-16.81,355.46,-266.55,105.80,1571.15,13.66,-92.51,-298.39,-1702.79,71.67,-3708.12,98.94,-54.52
IncomeBeforeTaxProfit_sq,,-84.84,1.68,0.30,129.98,-43.64,7.86,22.05,21.09,-3.16,-9.34,5.40,10.39,-17.98,-9.29,8.43,45.14,-30.74,-23.33,24.44,33.55,-34.68,-4.84,30.34,31.06,-14.52,-14.08,14.54,16.59,-28.16,19.60,7.06,5.44,-22.32,5.62,-1.76,-5.42,-31.58,28.38
IncomeDiscontinuedProfit,,,,,,,,,,,,,,,,,,,,,,,,,,305000,486000,945000,1059000,388000,191000,-85000,0,,55000,,,,
IncomeDiscontinuedProfit_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.21,-60.70,-108.99,-100.00,-100.00,-71.20,100.00,,,-100.00
IncomeDiscontinuedProfit_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.21,-60.70,-108.99,-100.00,-100.00,14.40,100.00,,,1520.81
IncomeDiscontinuedProfit_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,59.34,94.44,12.06,-63.36,-50.77,-144.50,100.00,,,-100.00,,,
IncomeDiscontinuedProfit_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,59.34,94.44,12.06,-63.36,-50.77,-22.96,100.00,,,,,,
IncomeNetProfit,941000,-20000,-26000,295000,104000,-508000,116000,-192000,53000,-658000,-112000,949000,349000,-668000,-3145000,536000,4421000,-1717000,898000,1162000,4504000,-577000,-939000,-640000,5722000,-775000,243000,4294000,-6417000,1403000,2957000,5024000,518000,-761000,-13527000,-4413000,-170194000,-1778000,-2735000
IncomeNetProfit_yy,,,,,-88.95,-2440.00,546.15,-165.08,-49.04,-29.53,-196.55,594.27,558.49,-1.52,-2708.04,-43.52,1166.76,-157.04,128.55,116.79,1.88,66.39,-204.57,-155.08,27.04,-34.32,125.88,770.94,-212.15,281.03,1116.87,17.00,108.07,-154.24,-557.46,-187.84,-32955.98,-133.64,79.78
IncomeNetProfit_sy,,,,,-4.40,19.74,24.55,57.03,27.66,30.82,102.73,28.04,34.70,4.78,-36.36,-20.16,15.23,-9.90,110.32,45.07,4.06,18.29,17.52,17.00,8.94,6.69,14.40,26.46,18.74,-9.72,2.76,17.60,-16.72,39.28,2.95,-0.30,2.89,9.83,24.08
IncomeNetProfit_qq,,-102.13,-30.00,1234.62,-64.75,-588.46,122.83,-265.52,127.60,-1341.51,82.98,947.32,-63.22,-291.40,-370.81,117.04,724.81,-138.84,152.30,29.40,287.61,-112.81,-62.74,31.84,994.06,-113.54,131.35,1667.08,-249.44,121.86,110.76,69.90,-89.69,-246.91,-1677.53,67.38,-3756.65,98.96,-53.82
IncomeNetProfit_sq,,-90.01,-10.03,0.32,103.95,-43.06,-18.75,15.40,42.53,-22.02,-8.79,2.30,10.65,-15.15,-7.86,2.90,48.89,-39.85,-16.88,14.77,33.02,-32.88,0.38,30.54,24.62,-14.02,-13.22,15.20,19.31,-27.37,15.92,18.56,3.57,-17.83,-10.45,-6.12,0.24,-9.83,29.85
IncomeShareholderNetProfit,941000,-20000,-26000,295000,104000,-508000,116000,-192000,53000,-658000,,,528000,,-3813000,536000,4421000,-1717000,898000,1162000,4504000,-577000,-939000,-640000,5722000,-775000,-570000,3704000,-3344000,156000,3251000,4118000,148000,-748000,-13410000,-3800000,-164719000,-1620000,-3280000
IncomeShareholderNetProfit_yy,,,,,-88.95,-2440.00,546.15,-165.08,-49.04,-29.53,-100.00,100.00,896.23,100.00,,,737.31,,123.55,116.79,1.88,66.39,-204.57,-155.08,27.04,-34.32,39.30,678.75,-158.44,120.13,670.35,11.18,104.43,-579.49,-512.49,-192.28,-111396.62,-116.58,75.54
IncomeShareholderNetProfit_sy,,,,,-9.39,27.25,22.73,64.33,32.90,22.37,102.75,14.56,26.33,16.05,,,10.83,,114.86,45.07,4.06,19.06,15.46,22.26,9.16,6.69,14.40,26.46,20.43,-14.83,-7.72,13.26,-22.66,39.28,3.32,1.23,2.89,8.02,28.08
IncomeShareholderNetProfit_qq,,-102.13,-30.00,1234.62,-64.75,-588.46,122.83,-265.52,127.60,-1341.51,100.00,,,-100.00,,114.06,724.81,-138.84,152.30,29.40,287.61,-112.81,-62.74,31.84,994.06,-113.54,26.45,749.82,-190.28,104.67,1983.97,26.67,-96.41,-605.41,-1692.78,71.66,-4234.71,99.02,-102.47
IncomeShareholderNetProfit_sq,,-92.44,-12.37,0.90,48.19,-41.46,6.87,15.40,41.87,-22.00,-7.12,,,-8.40,,2.30,49.05,-42.21,-16.88,10.39,30.16,-31.18,-3.97,31.23,28.52,-15.18,-13.66,15.43,21.18,-27.37,20.18,6.16,3.57,-11.06,-10.45,-2.33,0.24,-6.33,29.03
BalanceNoncurrentAssets,1812000,,,,1573000,,,,1251000,,1442000,2834000,2700000,2887000,,102791000,66882000,62331000,65111000,65181000,65287000,65009000,64457000,67223000,65091000,63369000,258975000,283461000,278419000,295567000,286554000,283350000,277615000,283170000,276912000,277203000,189303000,187070000,184867000
BalanceNoncurrentAssets_yy,,,,,-13.19,,,,-20.47,,,,115.83,,-100.00,3527.06,2377.11,2059.02,,-36.59,-2.38,4.30,-1.00,3.13,-0.30,-2.52,301.78,321.67,327.74,366.42,10.65,-0.04,-0.29,-4.19,-3.36,-2.17,-31.81,-33.94,-33.24
BalanceNoncurrentAssets_sy,,,,,-0.66,,,,10.78,,,,7.25,,2.74,8.12,2.49,1.58,,3.46,3.18,6.30,0.34,6.03,7.71,4.60,6.50,6.73,7.42,8.06,6.56,5.88,4.79,7.16,3.72,2.52,3.77,3.72,1.52
BalanceNoncurrentAssets_qq,,-100.00,,,,-100.00,,,,-100.00,,96.53,-4.73,6.93,-100.00,,-34.93,-6.80,4.46,0.11,0.16,-0.43,-0.85,4.29,-3.17,-2.65,308.68,9.45,-1.78,6.16,-3.05,-1.12,-2.02,2.00,-2.21,0.11,-31.71,-1.18,-1.18
BalanceNoncurrentAssets_sq,,-1.02,,,,-0.14,,,,0.28,,-100.00,2.25,0.01,-0.37,,0.24,-0.62,1.18,-0.06,0.36,1.44,0.56,1.22,1.19,-0.30,1.67,1.16,1.82,-0.24,1.35,0.48,2.20,0.31,-0.61,0.25,2.70,0.26,1.03
BalanceIntangibleAssets,801000,,,,507000,,,,42000,,,,836000,,,,57872000,56013000,56513000,56280000,57863000,57702000,57238000,59214000,57130000,56948000,89155000,98314000,121762000,119118000,114853000,114626000,111472000,118635000,117267000,113018000,41314000,40777000,40268000
BalanceIntangibleAssets_yy,,,,,-36.70,,,,-91.72,,,,1890.48,,,,6822.49,,,,-0.02,3.02,1.28,5.21,-1.27,-1.31,55.76,66.03,113.13,109.17,28.82,16.59,-8.45,-0.41,2.10,-1.40,-62.94,-65.63,-65.66
BalanceIntangibleAssets_sy,,,,,-1.03,,,,9.10,,,,4.80,,,,0.24,,,,0.78,1.04,-1.83,-0.13,2.14,4.74,3.87,3.13,4.82,2.59,3.92,4.58,3.62,-0.06,6.73,6.44,5.18,-0.12,-0.06
BalanceIntangibleAssets_qq,,-100.00,,,,-100.00,,,,-100.00,,,,-100.00,,,,-3.21,0.89,-0.41,2.81,-0.28,-0.80,3.45,-3.52,-0.32,56.56,10.27,23.85,-2.17,-3.58,-0.20,-2.75,6.43,-1.15,-3.62,-63.44,-1.30,-1.25
BalanceIntangibleAssets_sq,,-0.32,,,,-1.28,,,,-1.13,,,,-0.93,,,,-1.51,-0.02,-0.55,-0.20,-0.16,-0.05,0.03,1.00,-0.12,0.14,-0.12,0.13,-0.51,-0.12,-0.24,1.42,-0.20,-0.05,-0.18,1.13,0.04,-0.23
BalanceProperty,100000,,,,141000,,,,137000,,,,257000,,,,3027000,2768000,2645000,2506000,2584000,2468000,2318000,2199000,1916000,1658000,155531000,158363000,150390000,147669000,160128000,158082000,156749000,155044000,146957000,151514000,139874000,138178000,136484000
