,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeBeforeTaxProfit,14267000,-9354000,4028000,5682000,673000,-8678000,8896000,7311000,809000,-4258000,8127000,5860000,-7509000,-4994000,6606000,6772000,-5196000,-11599000,2781000,2603000,-2838000,-9939000,1454000,7223000,-21635000,-4563000,5107000,,,,,,,
IncomeDiscontinuedProfit,,,,,,,,,,,,,,,,,,,,,,,,,,,,141207000,12305000,14265000,4482000,-7708000,11319000,18477000
IncomeNetProfit,9524000,-7611000,2932000,5754000,2379000,-7182000,7360000,6428000,-473000,-3580000,6013000,5377000,-7549000,-3995000,5423000,5120000,-10762000,-9335000,2435000,2272000,-3058000,-7811000,-37000,7919000,-21370000,-3421000,3681000,141207000,12305000,14265000,4482000,-7708000,11319000,18477000
IncomeShareholderNetProfit,9524000,-7611000,2932000,5754000,2379000,-7182000,7360000,6428000,-473000,-3580000,6013000,5377000,-7549000,-3995000,5423000,5120000,-10762000,-9335000,2435000,2272000,-3058000,-7811000,-37000,7919000,-21370000,-3421000,3681000,,,,,,,
BalanceNoncurrentAssets,240667000,,258264000,258727000,258854000,270387000,274195000,270199000,269426000,270379000,268451000,260959000,257693000,255527000,251965000,249838000,247934000,276692000,277071000,275227000,272980000,273264000,275557000,279592000,274327000,269640000,270195000,261620000,260780000,258114000,260454000,258674000,70798000,
BalanceIntangibleAssets,68381000,67756000,67130000,65989000,65251000,64475000,63866000,63301000,61850000,69273000,68373000,67465000,67588000,65578000,57316000,55971000,55130000,54169000,53396000,52541000,52150000,51350000,50695000,49716000,49492000,48050000,47309000,48880000,48286000,49644000,159423000,,180323000,180926000
BalanceProperty,182703000,196797000,199599000,197026000,196821000,195705000,191930000,180707000,177792000,176290000,171373000,172454000,179632000,206586000,206609000,205177000,204903000,203737000,204872000,210461000,206209000,203605000,201752000,198267000,198042000,196184000,198268000,196857000,,,,,,
BalanceNoncurrentReceivables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrInvestments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10446000,,9560000,10045000,9021000,7601000
BalanceOtherNoncurrentAssets,9345000,8698000,8739000,11373000,14671000,10979000,11528000,11772000,13004000,11806000,10986000,14135000,15332000,15881000,14681000,16986000,18535000,17781000,17423000,16319000,18951000,15303000,15429000,13050000,13900000,12173000,122261000,,116888000,100089000,109516000,120063000,99547000,130086000
BalanceCurrentAssets,122425000,94909000,83199000,123822000,127531000,124898000,127403000,149726000,148733000,126284000,147996000,159943000,152358000,127935000,122013000,145253000,138891000,108672000,110798000,130882000,152110000,97048000,91460000,91790000,49691000,,32820000,36394000,37524000,45127000,54223000,58008000,52363000,44215000
BalanceInventory,50244000,58710000,62763000,69112000,77304000,74312000,73675000,71033000,83256000,91526000,81831000,76072000,77232000,71711000,70959000,55130000,61675000,52976000,83840000,44960000,51193000,41787000,21716000,,39603000,35340000,66059000,67977000,39618000,65077000,60732000,46624000,28397000,59915000
BalanceCurrentReceivables,59290000,48726000,41638000,70676000,59706000,36528000,50724000,59706000,58381000,35391000,30894000,57779000,55313000,35576000,33356000,63266000,57007000,39477000,23309000,33390000,0,,,,1047000,,,,,,,,,
BalanceCurrentInvestments,,,,,,,,,,,,,,,,,,,44203000,,42445000,21553000,1260000,4235000,1436000,144000,372000,2953000,85000,3051000,183000,221000,11000,44000
BalanceCash,1711000,886000,134000,228000,1090000,696000,255000,1597000,507000,4507000,422000,1664000,1266000,1073000,349000,654000,6651000,,2020000,5755000,4673000,2724000,4270000,6857000,8958000,1117000,4473000,2146000,5295000,6839000,8450000,4694000,13641000,17837000
BalanceOtherCurrentAssets,13882000,8483000,11056000,15776000,13632000,14166000,12112000,13459000,15345000,12976000,9997000,11538000,16609000,15959000,,,,,,,,,,,,,,,,,,,,
BalanceAssetsForSale,,,,,,,,,,,,,,,362928000,,375152000,358816000,368370000,390450000,373742000,400285000,391851000,365288000,351650000,384781000,385224000,380425000,379368000,399564000,396667000,402976000,425067000,435170000
BalanceTotalAssets,425338000,401199000,397570000,424845000,413218000,378312000,380993000,392502000,412890000,355162000,351915000,350464000,196503000,,227555000,184331000,194727000,222728000,215117000,198049000,203839000,206182000,199000000,206360000,212790000,212315000,206205000,214748000,220124000,212576000,217200000,220531000,224699000,205496000
BalanceCapital,196160000,200056000,202717000,175507000,167995000,167995000,203010000,155066000,151765000,155099000,500000,,500000,500000,500000,500000,500000,500000,500000,500000,500000,500000,500000,500000,500000,500000,500000,500000,500000,500000,500000,500000,500000,500000
BalanceShareCapital,500000,500000,500000,500000,500000,500000,500000,500000,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceOwnShares,,,,,,,,,54796000,,54796000,54796000,53873000,53873000,53873000,74816000,74852000,74816000,74816000,84883000,84883000,84883000,84884000,97121000,100047000,100511000,100510000,111673000,110721000,106522000,106522000,113831000,114222000,114723000
BalanceReserve,114884000,129044000,129247000,129565000,129685000,125779000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceNonshareCapital,,,,,,,109946000,,101010000,98501000,100757000,96425000,93925000,91080000,88579000,86358000,83668000,88458000,88268000,81233000,81064000,79431000,86285000,96767000,97701000,97369000,94465000,90464000,91076000,91838000,86616000,18815000,52022000,17485000
BalanceNoncurrentLiabilities,65750000,16056000,71308000,16909000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentTradeLiabilities,,,,,100000000,,90000000,87500000,90000000,85000000,82500000,80000000,77500000,75000000,72500000,77100000,77100000,69900000,69900000,68100000,73000000,82669000,83763000,83487000,80191000,76582000,77162000,78008000,73295000,2213000,34526000,1796000,54049000,1321000
BalanceNoncurrentBorrowings,54523000,932000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentObligations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3431000,3526000,3130000,3627000,5183000
BalanceNoncurrentLeasing,4964000,9946000,,11010000,11001000,10757000,11425000,11425000,11080000,11079000,11358000,11168000,11358000,11168000,11333000,11164000,11331000,13285000,14098000,13938000,13882000,14274000,13882000,13914000,13830000,13321000,13171000,13970000,12559000,11701000,11108000,11602000,11013000,56479000
BalanceNoncurrentOtherLiabilities,,46587000,75984000,72886000,71297000,64700000,111156000,99433000,72748000,68982000,89963000,84166000,86877000,92099000,105385000,90258000,93633000,110166000,117270000,106174000,105239000,110334000,132951000,123885000,183990000,160976000,207022000,144130000,184040000,128842000,178456000,16526000,,32070000
BalanceCurrentLiabilities,26112000,56377000,66034000,39421000,64888000,59109000,49951000,35104000,54569000,54386000,50780000,63982000,75757000,68138000,56633000,67670000,77712000,66070000,70747000,65314000,83274000,81651000,70059000,63581000,75752000,70621000,70295000,60404000,54256000,33205000,,10044000,10019000,16048000
BalanceCurrentTradePayablesv,5017000,25034000,26022000,20078000,22474000,33715000,29103000,24617000,25739000,27948000,27987000,17631000,31792000,39067000,30230000,29520000,29665000,33382000,35498000,33997000,99088000,73897000,103086000,52064000,96472000,49072000,101286000,,,,,,,
BalanceCurrentBorrowings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceCurrentObligations,,,,,,,,,,,,,,,,,,,,,2291000,2069000,,1784000,1784000,898000,,483000,35853000,461000,246000,245000,20246000,20246000
BalanceCurrentLeasing,163000,163000,6143000,5163000,9989000,169000,1535000,4177000,5208000,3191000,9328000,10303000,4827000,11638000,14179000,8237000,12552000,21429000,28184000,21445000,15467000,17560000,22879000,5850000,,3990000,4000000,,0,0,,160000,148000,369000
BalanceCurrentOtherLiabilities,106000,312000,238000,281000,,,,,,22000,22000,35000,362928000,0,0,375152000,358816000,368370000,0,390450000,373742000,400285000,391851000,365288000,351650000,384781000,385224000,380425000,379368000,399564000,396667000,402976000,425067000,435170000
BalanceReckoning,425338000,401199000,397570000,424845000,413218000,378312000,380993000,392502000,412890000,355162000,351915000,350464000,,,,,,,,,,,,,,,,,,,,,,
BalanceTotalEquityAndLiabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashflowOperatingCashflow,-3739000,13741000,32883000,13038000,-12706000,24979000,11658000,13426000,-15380000,5620000,13446000,27644000,-8137000,5640000,1310000,14790000,2791000,-2017000,18682000,338000,-4516000,17954000,7377000,21424000,92000,14755000,8898000,7384000,-6768000,17802000,-313000,11288000,-4284000,8134000
CashflowAmortization,0,4641000,4239000,3926000,4137000,4279000,4730000,4207000,4212000,4322000,4353000,7456000,5372000,5988000,6367000,5261000,5439000,6540000,6547000,6113000,5226000,7900000,6713000,7544000,5728000,8446000,7480000,6616000,5624000,7901000,7295000,7557000,2424000,3465000
CashflowInvestingCashflow,-142187000,-524000,279725000,-305737000,-5686000,-3540000,-8841000,-5177000,-4953000,-5400000,-4774000,-2986000,-2181000,-901000,-2743000,-2650000,-2942000,-1376000,-4705000,-25482000,-1903000,-6856000,44000,-17130000,-3565000,-6942000,-3306000,-3051000,-1644000,-2576000,-4927000,-7728000,-260000,-2354000
CashflowCapex,142237000,672000,-283228000,309262000,5686000,3382000,8841000,5580000,4979000,5310000,4838000,3869000,2181000,1008000,2776000,2623000,2942000,1819000,4793000,25499000,1903000,7053000,-39000,14286000,3611000,6946000,3306000,3104000,1644000,3541000,6413000,7836000,636000,2434000
CashflowFinancingCashflow,190129000,0,0,-34884000,-2500000,-41732000,-2565000,-5526000,17534000,-1512000,-19772000,-10749000,7451000,-1774000,-1435000,-12102000,-59000,-2764000,-6120000,24318000,5667000,-11004000,-6559000,-4688000,3031000,-6470000,-6682000,-333000,4328000,-13987000,4844000,-3753000,3821000,-5476000
CashflowShareCapitalCash,55245000,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashflowDividend,0,0,0,,35516000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,44203000,13217000
CashflowNetCashflow,18190000,-33165000,-20892000,-20293000,252000,2723000,-2799000,-1292000,228000,2581000,-2867000,2965000,-2868000,38000,-210000,-6157000,7857000,-825000,-752000,94000,862000,-394000,-442000,1343000,-1090000,4000000,-4086000,1241000,-396000,-193000,-724000,305000,,
