,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeBeforeTaxProfit,963000,593000,1931000,-753000,-7941000,5209000,4014000,-57857000,17302000,3048000,16543000,10465000,11188000,-2595000,6390000,9820000,9714000,6266000,16138000,,,,,,,,,,,,,,19554000,-2455000,0
IncomeDiscontinuedProfit,2352000,-349000,-12066000,-1885000,-1778000,21180000,0,,,,,,,,-703000,1954000,2316000,12946000,3329000,3569000,2978000,12081000,-8169000,4603000,9394000,20422000,-11243000,25710000,2831000,6191000,3452000,538000,1731000,-1033000,-19721000
IncomeNetProfit,2666000,1615000,-32735000,16420000,2386000,14117000,8788000,10206000,-2553000,5803000,10096000,7858000,4512000,12937000,-740000,1954000,2316000,12946000,3584000,3840000,3184000,11748000,-7087000,4749000,9519000,20043000,-10649000,25998000,2831000,6184000,3381000,573000,1668000,-1227000,-25279000
IncomeShareholderNetProfit,2421000,3070000,-33031000,17468000,2949000,14299000,9150000,12166000,-1570000,7363000,10708000,8358000,6220000,14328000,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentAssets,39043000,,,40139000,45128000,52098000,109328000,106639000,98813000,98444000,102904000,114625000,114575000,142751000,143992000,141553000,138063000,158950000,157402000,169219000,187774000,190732000,190196000,196169000,208188000,223018000,213957000,212652000,230033000,218459000,226720000,320966000,2659000,,
BalanceIntangibleAssets,3123000,4340000,4607000,12848000,10894000,10700000,8174000,8411000,8655000,8423000,8339000,7988000,7574000,7223000,7638000,7229000,7441000,7477000,9686000,10184000,11236000,22927000,26792000,25715000,25739000,26548000,26152000,26560000,27605000,30150000,,,33487000,35694000,40702000
BalanceProperty,67305000,67212000,69248000,76865000,80157000,86709000,92511000,115384000,115213000,113364000,109948000,103195000,99371000,110053000,122881000,121917000,121176000,123356000,125652000,131888000,125927000,125569000,138757000,133402000,136616000,225216000,4997000,,,2202000,2102000,3195000,19539000,19540000,9296000
BalanceNoncurrentReceivables,4369000,4445000,8873000,2953000,4938000,4571000,4452000,4381000,31192000,33419000,34776000,35185000,36828000,36230000,38471000,36725000,40427000,38012000,36487000,37554000,30523000,34287000,38321000,,,,,,,,,,113000,,
BalanceNoncurrInvestments,,,,,,31000,,,,,,,,,,,,,,1237000,,,1327000,2993000,3594000,9636000,8879000,9569000,9035000,9891000,10388000,10688000,14090000,16220000,16164000
BalanceOtherNoncurrentAssets,16479000,16926000,17382000,16950000,22231000,22300000,22605000,23106000,22884000,23912000,24302000,24856000,27173000,28383000,29257000,29825000,45543000,,,91180000,144653000,145107000,201731000,219224000,281156000,221423000,244801000,272403000,280582000,308882000,337242000,348332000,341448000,366779000,365667000
BalanceCurrentAssets,380852000,311796000,320597000,341510000,403809000,393897000,421581000,436450000,446733000,455114000,417194000,461016000,457580000,10830000,,,14129000,15510000,31790000,45564000,57747000,101842000,89501000,88067000,109237000,116961000,151162000,156294000,153291000,158497000,143460000,140474000,148247000,124589000,124129000
BalanceInventory,121278000,131446000,130468000,128681000,124552000,121901000,128299000,124201000,112241000,121488000,25936000,,,62555000,86673000,89567000,133079000,142867000,158371000,121369000,144910000,150359000,146390000,129874000,165518000,168650000,164623000,194190000,192261000,200610000,143239000,171952000,198182000,236410000,245952000
BalanceCurrentReceivables,271696000,289542000,287330000,282138000,256973000,305171000,306053000,1747000,,,2209000,115000,130000,343000,10000,152000,0,23000,,1809000,,83000,60000,75000,64000,597000,619000,624000,315000,270000,63000,,7031000,,
BalanceCurrentInvestments,12287000,42355000,23620000,22745000,18600000,20792000,10553000,11801000,12806000,17231000,26037000,15430000,26390000,18245000,29069000,32933000,31919000,43903000,23920000,21432000,35329000,17162000,20934000,22357000,37438000,44677000,36020000,43604000,30038000,,,,,,
BalanceCash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceOtherCurrentAssets,,,0,,,,34498000,,,,,119586000,122221000,131768000,124217000,,,,,,,,,84586000,,,131319000,189781000,197205000,311059000,325862000,379970000,354365000,347706000,387028000
BalanceAssetsForSale,395157000,451633000,481235000,489885000,599098000,647951000,654837000,674288000,499570000,511329000,531706000,599978000,602085000,644599000,650406000,659385000,685147000,635654000,687736000,778546000,8346000,,,28595000,102808000,105380000,123232000,120174000,132600000,135375000,163044000,175474000,176885000,182053000,184907000
BalanceTotalAssets,190741000,184916000,232415000,222638000,232240000,198621000,217089000,220967000,243889000,246720000,264219000,250179000,258941000,278501000,257011000,265047000,288537000,0,,,,5069000,6847000,6804000,7538000,7103000,7273000,6977000,7130000,7389000,7196000,7276000,7319000,7300000,7326000
BalanceCapital,9603000,9225000,9463000,9562000,9614000,9630000,9984000,9728000,9981000,9520000,9535000,9721000,9410000,9494000,9840000,,,,,,,,,,,,,,-1414000,,,,,,
BalanceShareCapital,,,,,,,,,,,,,,8346000,,,-4002000,64234000,64123000,72801000,67910000,69566000,65598000,68794000,71902000,69830000,74702000,74923000,74695000,74388000,144002000,135387000,140605000,138136000,138870000
BalanceOwnShares,139671000,145302000,141895000,144944000,137979000,139200000,142080000,136322000,137050000,141608000,0,,,,136000,-130000,-114000,23000,-604000,-737000,-879000,-30000,-35000,-28000,35000,-86000,3518000,28382000,24930000,26591000,26249000,-521000,835000,166000,-18000
BalanceReserve,-69000,-2053000,-2954000,-4197000,2952000,4246000,2773000,1418000,22971000,,,24932000,19473000,20971000,52295000,49245000,40195000,33482000,33456000,36894000,45005000,60792000,50650000,48552000,47265000,45389000,44018000,58873000,63337000,47550000,45621000,43197000,42633000,37790000,35446000
BalanceNonshareCapital,35253000,40786000,41463000,36820000,84336000,4715000,,,2002000,2495000,2460000,2698000,2442000,2398000,1996000,1938000,2020000,1940000,1736000,1645000,1590000,1446000,1372000,1264000,1191000,1174000,1023000,1050000,1115000,970000,973000,907000,888000,935000,1381000
BalanceNoncurrentLiabilities,871000,881000,18256000,,,12134000,6365000,8449000,36131000,35021000,36607000,30529000,30669000,34190000,42294000,54316000,43326000,39964000,38640000,37312000,35787000,46579000,49685000,35532000,33861000,31598000,31689000,26517000,24969000,25050000,30504000,31465000,28184000,63540000,
BalanceNoncurrentTradeLiabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentBorrowings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
BalanceNoncurrentObligations,,,,10796000,10614000,10061000,13466000,11782000,1190000,957000,849000,685000,771000,4741000,5678000,6999000,7180000,6705000,6968000,11103000,12478000,10995000,10709000,10484000,9974000,10299000,9571000,9315000,9346000,8617000,7765000,19915000,53269000,,
BalanceNoncurrentLeasing,77655000,67630000,70967000,135509000,157047000,207911000,148748000,151236000,174694000,173295000,208752000,245764000,247074000,245752000,240914000,245279000,242357000,238133000,245854000,264952000,312909000,312801000,344643000,367734000,369388000,362908000,332934000,383096000,404255000,36238000,,,42527000,46209000,50479000
BalanceNoncurrentOtherLiabilities,77640000,98432000,116883000,80965000,80750000,97447000,98610000,108291000,136137000,132292000,133201000,127336000,126330000,128454000,119978000,127457000,139517000,168558000,162278000,182304000,195373000,191025000,175953000,162140000,184151000,191265000,10185000,,,28347000,11250000,6781000,31841000,36565000,58770000
BalanceCurrentLiabilities,56780000,59514000,63521000,60220000,78186000,90412000,98730000,92422000,98024000,97972000,92679000,86082000,82630000,98259000,98202000,99073000,113423000,116948000,104741000,118405000,102312000,122623000,141874000,,,,,,,,,,,,
BalanceCurrentTradePayablesv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceCurrentBorrowings,,,,,,,,,,,,,,,,,,,,,,,,6846000,,,6782000,10171000,13707000,26029000,22050000,32258000,48641000,10973000,13727000
BalanceCurrentObligations,14465000,22276000,19215000,16052000,112911000,119749000,137186000,135794000,32073000,35767000,27177000,46149000,51451000,48916000,55414000,73621000,68549000,68482000,76321000,71116000,,,,,,,,,,,,,,,
BalanceCurrentLeasing,,,,,,107000,102000,,,,,,,,,,,84586000,0,0,0,131319000,189781000,197205000,0,311059000,325862000,379970000,0,316727000,347706000,387028000,395157000,451633000,481235000
BalanceCurrentOtherLiabilities,489885000,506316000,543648000,538525000,559718000,499570000,511329000,531706000,599978000,602085000,644599000,650406000,659385000,685147000,635654000,687736000,778546000,,,,,,,,,,,,,,,,,,
BalanceReckoning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceTotalEquityAndLiabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashflowOperatingCashflow,-971000,-3818000,-5122000,11495000,2586000,-12354000,-408000,-2951000,6929000,-14361000,-19831000,4630000,3318000,968000,4084000,1901000,14819000,652000,1610000,-26555000,-39734000,4167000,-5423000,6142000,4198000,-7367000,26314000,-10103000,3415000,-1772000,31897000,233000,11512000,2336000,12845000
CashflowAmortization,1511000,1459000,1372000,1875000,926000,1887000,2025000,2969000,2450000,3239000,3452000,3273000,3341000,3987000,4443000,4550000,7482000,1860000,1931000,1826000,21324000,4747000,4975000,5591000,6388000,4734000,5098000,5161000,5495000,4701000,5063000,5675000,5839000,6077000,7122000
CashflowInvestingCashflow,-1436000,-1517000,-4584000,615000,-5315000,-4470000,-13918000,-20375000,-26504000,5386000,1638000,-2573000,-8217000,1579000,-5854000,-4361000,-28685000,-3918000,-716000,653000,-88909000,1995000,1678000,14877000,-11625000,-6501000,-6315000,-6994000,1876000,-2481000,-4163000,-15310000,-5431000,-10445000,-53412000
CashflowCapex,1001000,842000,2560000,-237000,4846000,4492000,8625000,7926000,10290000,4765000,8777000,4789000,9243000,2485000,6457000,12106000,27771000,3576000,1241000,799000,21772000,1349000,4278000,6650000,10061000,2181000,4014000,8059000,2057000,3946000,3986000,13733000,3524000,10105000,51567000
CashflowFinancingCashflow,1585000,4855000,9131000,-7548000,5650000,45889000,-2673000,34945000,933000,7116000,20329000,-1901000,-2473000,-1529000,2347000,7218000,9859000,-1484000,-11969000,24789000,94352000,-196000,50000,-6947000,-9810000,-2954000,-8147000,-2048000,-9525000,8570000,-8838000,7325000,-6569000,-4028000,23518000
CashflowShareCapitalCash,,0,0,0,0,69956000,0,45000,-1884000,0,0,0,,1484000,0,0,,,,,,,,,,,,,,,,,,,
CashflowDividend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,271000,-480000
CashflowNetCashflow,-575000,3651000,3826000,29065000,-17138000,11773000,-18642000,-1859000,2136000,155000,-7373000,1018000,577000,4759000,-4007000,-4749000,-11075000,-18092000,-68583000,11932000,-7391000,28144000,-34476000,-33644000,23703000,-37902000,-8866000,8634000,37810000,-15521000,-976000,-24275000,-34099000,,
