,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeOtherOperatingCosts_sq,,-75.87,41.18,-34.96,116.06,-54.76,96.18,-15.06,60.80,-36.45,-0.36,19.40,149.91,-73.51,35.71,0.41,89.33,-67.01,26.08,-8.70,271.95,-81.63,29.84,-45.16,,-66.26,12.72
IncomeEBIT,-83900000,-63900000,-63700000,-57200000,-47700000,9900000,-32800000,8600000,7300000,2600000,600000,8900000,400000,10900000,21000000,16500000,-60500000,13200000,40100000,9300000,-17600000,-2300000,13600000,15000000,10200000,17100000,25500000
IncomeEBIT_yy,,,,,43.15,115.49,48.51,115.03,115.30,-73.74,101.83,3.49,-94.52,319.23,3400.00,85.39,-15225.00,21.10,90.95,-43.64,70.91,-117.42,-66.08,61.29,157.95,843.48,87.50
IncomeEBIT_sy,,,,,0.48,76.88,-32.76,3.09,-33.81,-72.46,-52.73,26.05,51.89,16.34,99.93,-14.89,13.12,42.31,46.57,-24.46,42.28,-21.30,-5.86,48.66,-34.94,54.08,23.04
IncomeEBIT_qq,,23.84,0.31,10.20,16.61,120.75,-431.31,126.22,-15.12,-64.38,-76.92,1383.33,-95.51,2625.00,92.66,-21.43,-466.67,121.82,203.79,-76.81,-289.25,86.93,691.30,10.29,-32.00,67.65,49.12
IncomeEBIT_sq,,-60.73,110.92,-25.85,-56.63,70.86,-5.43,-35.51,11.81,42.38,-27.88,95.00,-11.52,-16.33,21.89,-12.72,15.92,-41.76,34.91,-25.90,170.71,-69.86,53.59,15.43,51.40,-30.78,23.09
IncomeFinanceIncome,3100000,2000000,2900000,2700000,1700000,1900000,1500000,1100000,2900000,1000000,1100000,500000,500000,700000,1000000,600000,400000,600000,400000,900000,200000,2300000,2000000,200000,2100000,400000,900000
IncomeFinanceIncome_yy,,,,,-45.16,-5.00,-48.28,-59.26,70.59,-47.37,-26.67,-54.55,-82.76,-30.00,-9.09,20.00,-20.00,-14.29,-60.00,50.00,-50.00,283.33,400.00,-77.78,950.00,-82.61,-55.00
IncomeFinanceIncome_sy,,,,,-15.88,-67.33,2.03,-82.36,-45.85,-17.04,-17.20,-5.08,49.11,95.99,-15.74,-1.89,-12.08,-27.34,20.72,50.00,35.44,90.88,-20.91,-58.15,19.55,-19.18,-0.93
IncomeFinanceIncome_qq,,-35.48,45.00,-6.90,-37.04,11.76,-21.05,-26.67,163.64,-65.52,10.00,-54.55,,40.00,42.86,-40.00,-33.33,50.00,-33.33,125.00,-77.78,1050.00,-13.04,-90.00,950.00,-80.95,125.00
IncomeFinanceIncome_sq,,-23.80,-49.13,100.10,-29.29,-36.96,-5.71,-27.84,50.00,45.88,10.00,-30.26,,99.36,-16.27,-6.31,20.34,1.88,11.33,-32.86,59.57,31.66,-12.08,-32.46,74.12,-50.65,1.27
IncomeFinanceCosts,800000,2100000,1100000,1700000,2600000,300000,800000,-100000,200000,300000,1400000,900000,0,,3800000,4700000,4900000,3900000,5100000,7100000,800000,4500000,3900000,3300000,3400000,3500000,4300000
IncomeFinanceCosts_yy,,,,,225.00,-85.71,-27.27,-105.88,-92.31,,75.00,1000.00,-100.00,-100.00,171.43,422.22,,,34.21,51.06,-83.67,15.38,-23.53,-53.52,325.00,-22.22,10.26
IncomeFinanceCosts_sy,,,,,-9.22,8.02,18.39,-28.02,-39.63,,-5.58,20.69,6.19,-20.37,-4.13,0.40,,,19.08,-34.43,22.52,-0.87,-21.28,80.29,-29.34,5.62,33.33
IncomeFinanceCosts_qq,,162.50,-47.62,54.55,52.94,-88.46,166.67,-112.50,300.00,50.00,366.67,-35.71,-100.00,,,23.68,4.26,-20.41,30.77,39.22,-88.73,462.50,-13.33,-15.38,3.03,2.94,22.86
IncomeFinanceCosts_sq,,-10.71,-21.61,-3.95,23.97,19.21,27.54,-50.30,54.10,7.83,2.38,-7.10,59.52,,,-1.27,18.84,-14.08,19.76,-35.30,80.31,-32.98,1.98,-3.10,8.78,-2.91,24.64
IncomeOtherIncome,,,,,,,,,,,,,700000,200000,200000,100000,100000,200000,200000,200000,300000,200000,-1000000,5900000,400000,1000000,1800000
IncomeOtherIncome_yy,,,,,,,,,,,,,,,,,-85.71,,,100.00,200.00,,-600.00,2850.00,33.33,400.00,280.00
IncomeOtherIncome_sy,,,,,,,,,,,,,,,,,-52.68,,,84.94,60.05,,25.86,76.62,47.46,-93.11,-20.26
IncomeOtherIncome_qq,,,,,,,,,,,,,,-71.43,,-50.00,,100.00,,,50.00,-33.33,-600.00,690.00,-93.22,150.00,80.00
IncomeOtherIncome_sq,,,,,,,,,,,,,,36.56,,-31.48,,-53.52,,,82.12,-43.55,-77.54,47.08,215.40,-57.17,61.53
IncomeNetGrossProfit,-81600000,-64000000,-61900000,-56200000,-48600000,11500000,-32100000,9800000,10000000,3300000,300000,8500000,1600000,11800000,18400000,12500000,-64900000,10100000,35600000,3300000,-17900000,-4300000,10700000,17800000,9300000,15000000,23900000
IncomeNetGrossProfit_yy,,,,,40.44,117.97,48.14,117.44,120.58,-71.30,100.93,-13.27,-84.00,257.58,6033.33,47.06,-4156.25,-14.41,93.48,-73.60,72.42,-142.57,-69.94,439.39,151.96,448.84,123.36
IncomeNetGrossProfit_sy,,,,,-0.76,78.71,-68.77,12.02,-58.16,-71.80,-33.65,25.56,8.64,47.17,96.76,7.44,21.98,55.87,9.48,17.91,47.26,-37.63,56.91,53.67,-4.01,65.77,13.12
IncomeNetGrossProfit_qq,,21.57,3.28,9.21,13.52,123.66,-379.13,130.53,2.04,-67.00,-90.91,2733.33,-81.18,637.50,55.93,-32.07,-619.20,115.56,252.48,-90.73,-642.42,75.98,348.84,66.36,-47.75,61.29,59.33
IncomeNetGrossProfit_sq,,16.28,64.15,-58.17,-37.10,43.36,-55.65,19.61,13.16,47.92,-5.70,79.70,-25.48,3.63,31.43,-20.72,35.10,-43.68,31.24,-9.28,189.14,-68.08,76.05,-12.42,55.62,-40.82,-8.56
IncomeExtraordinarProfit,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeExtraordinarProfit_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeExtraordinarProfit_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeExtraordinarProfit_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeExtraordinarProfit_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeBeforeTaxProfit,-81600000,-64000000,-61900000,-56200000,-48600000,11500000,-32100000,9800000,10000000,3300000,300000,8500000,1600000,11800000,18400000,12500000,-64900000,10100000,35600000,3300000,-17900000,-4300000,10700000,17800000,9300000,15000000,23900000
IncomeBeforeTaxProfit_yy,,,,,40.44,117.97,48.14,117.44,120.58,-71.30,100.93,-13.27,-84.00,257.58,6033.33,47.06,-4156.25,-14.41,93.48,-73.60,72.42,-142.57,-69.94,439.39,151.96,448.84,123.36
IncomeBeforeTaxProfit_sy,,,,,-0.76,78.71,-68.77,12.02,-58.16,-71.80,-33.65,25.56,8.64,47.17,96.76,7.44,21.98,55.87,9.48,17.91,47.26,-37.63,56.91,53.67,-4.01,65.77,13.12
IncomeBeforeTaxProfit_qq,,21.57,3.28,9.21,13.52,123.66,-379.13,130.53,2.04,-67.00,-90.91,2733.33,-81.18,637.50,55.93,-32.07,-619.20,115.56,252.48,-90.73,-642.42,75.98,348.84,66.36,-47.75,61.29,59.33
IncomeBeforeTaxProfit_sq,,16.28,64.15,-58.17,-37.10,43.36,-55.65,19.61,13.16,47.92,-5.70,79.70,-25.48,3.63,31.43,-20.72,35.10,-43.68,31.24,-9.28,189.14,-68.08,76.05,-12.42,55.62,-40.82,-8.56
IncomeDiscontinuedProfit,-4900000,2000000,0,100000,-100000,-100000,0,-100000,0,-100000,0,0,-100000,400000,-100000,0,-100000,,-100000,0,0,,,,,,
IncomeDiscontinuedProfit_yy,,,,,97.96,-105.00,,-200.00,100.00,,,100.00,,500.00,,,,-100.00,,,100.00,,100.00,,,,
IncomeDiscontinuedProfit_sy,,,,,6.76,100.00,,59.94,-93.93,,,100.00,,98.35,,,,98.44,,,100.00,,86.22,,,,
IncomeDiscontinuedProfit_qq,,140.82,-100.00,,-200.00,,100.00,,100.00,,100.00,,,500.00,-125.00,100.00,,100.00,,100.00,,,,,,,
IncomeDiscontinuedProfit_sq,,-139.13,-100.00,,-9.52,,-39.96,,14.35,,66.94,,,52.19,122.14,-11.58,,100.00,,98.84,,,,,,,
IncomeNetProfit,-73100000,-49900000,-45100000,-47900000,-42900000,7800000,-25400000,86800000,37800000,2700000,10700000,35400000,59000000,12700000,16500000,38700000,-17100000,8300000,31600000,4600000,-13800000,-2500000,9600000,15000000,9300000,12700000,20000000
IncomeNetProfit_yy,,,,,41.31,115.63,43.68,281.21,188.11,-65.38,142.13,-59.22,56.08,370.37,54.21,9.32,-128.98,-34.65,91.52,-88.11,19.30,-130.12,-69.62,226.09,167.39,608.00,108.33
IncomeNetProfit_sy,,,,,-11.50,78.53,-49.15,47.88,-13.16,-70.86,-48.66,-10.47,14.01,32.93,84.25,15.48,51.39,54.90,74.51,14.18,5.42,5.02,11.68,44.06,-14.19,44.78,20.03
IncomeNetProfit_qq,,31.74,9.62,-6.21,10.44,118.18,-425.64,441.73,-56.45,-92.86,296.30,230.84,66.67,-78.47,29.92,134.55,-144.19,148.54,280.72,-85.44,-400.00,81.88,484.00,56.25,-38.00,36.56,57.48
IncomeNetProfit_sq,,-46.38,36.40,-7.34,-45.73,-17.78,-62.86,26.64,7.40,24.88,24.26,82.52,-17.29,7.26,15.62,17.13,85.44,-57.27,23.52,-10.41,165.17,-66.45,73.45,-1.63,30.86,-32.24,-2.23
IncomeShareholderNetProfit,-66700000,-46000000,-41200000,-43800000,-39800000,6800000,-23100000,78800000,37500000,2500000,10200000,34900000,57500000,12400000,16300000,37000000,-16600000,8200000,31400000,4600000,-13400000,-2400000,9600000,15000000,9300000,12600000,19900000
IncomeShareholderNetProfit_yy,,,,,40.33,114.78,43.93,279.91,194.22,-63.24,144.16,-55.71,53.33,396.00,59.80,6.02,-128.87,-33.87,92.64,-87.57,19.28,-129.27,-69.43,226.09,169.40,625.00,107.29
IncomeShareholderNetProfit_sy,,,,,-16.36,78.53,-49.15,67.04,-13.16,-64.85,-48.66,-12.17,13.85,27.26,75.17,20.02,41.42,46.07,74.50,7.03,5.42,5.02,11.68,44.06,-5.10,44.88,10.99
IncomeShareholderNetProfit_qq,,31.03,10.43,-6.31,9.13,117.09,-439.71,441.13,-52.41,-93.33,308.00,242.16,64.76,-78.43,31.45,126.99,-144.86,149.40,282.93,-85.35,-391.30,82.09,500.00,56.25,-38.00,35.48,57.94
IncomeShareholderNetProfit_sq,,-25.16,10.43,-12.28,-45.73,-17.68,-63.90,35.86,2.09,24.88,8.44,71.56,-14.28,1.50,15.62,17.13,85.44,-57.27,23.52,-10.42,165.70,-66.88,73.45,-3.66,37.18,-35.04,-7.42
BalanceNoncurrentAssets,2223000000,,,2035600000,1980900000,2000100000,1957500000,1953400000,1974800000,1983400000,1974600000,1980000000,1978900000,2015300000,2091000000,2223900000,2143800000,2439800000,2494000000,2485400000,2465000000,2424800000,2404800000,2417400000,2404500000,2412600000,2470100000
BalanceNoncurrentAssets_yy,,,,,-10.89,,,-4.04,-0.31,-0.83,0.87,1.36,0.21,1.61,5.89,12.32,8.33,21.06,19.27,11.76,14.98,-0.61,-3.58,-2.74,-2.45,-0.50,2.72
BalanceNoncurrentAssets_sy,,,,,-0.23,,,-0.75,2.96,6.09,3.69,0.79,0.21,0.64,4.15,0.28,-3.38,-3.12,-1.81,-1.08,1.85,-0.61,-1.73,-1.45,3.43,6.44,4.34
BalanceNoncurrentAssets_qq,,-100.00,,,-2.69,0.97,-2.13,-0.21,1.10,0.44,-0.44,0.27,-0.06,1.84,3.76,6.36,-3.60,13.81,2.22,-0.34,-0.82,-1.63,-0.82,0.52,-0.53,0.34,2.38
BalanceNoncurrentAssets_sq,,-1.70,,,-1.92,1.77,3.10,0.22,0.23,0.44,,0.56,0.07,-0.12,0.79,0.40,0.13,0.86,1.20,-0.30,1.05,-0.89,1.89,1.78,1.19,0.80,0.70
BalanceIntangibleAssets,600000,,,500000,500000,400000,400000,300000,300000,300000,200000,100000,100000,100000,100000,4100000,100000,100000,100000,100000,100000,500000,600000,600000,700000,800000,700000
BalanceIntangibleAssets_yy,,,,,-16.67,,,-40.00,-40.00,-25.00,-50.00,-66.67,-66.67,-66.67,-50.00,4000.00,,,,-97.56,,400.00,500.00,500.00,600.00,60.00,16.67
BalanceIntangibleAssets_sy,,,,,-7.52,,,-27.57,-11.78,-10.94,-17.12,-19.46,-15.12,-20.53,-25.05,-14.72,,,,-10.21,,-0.47,-0.44,-0.24,-0.52,-0.46,0.01
BalanceIntangibleAssets_qq,,-100.00,,,,-20.00,,-25.00,,,-33.33,-50.00,,,,4000.00,-97.56,,,,,400.00,20.00,,16.67,14.29,-12.50
BalanceIntangibleAssets_sq,,-1.58,,,,-6.34,,-3.94,,,-5.57,-2.84,,,,-1.22,-5.88,,,,,-1.48,-0.48,,-0.34,-0.19,
BalanceProperty,2221800000,,,2015200000,1962300000,1981100000,1938100000,1933900000,1952500000,1960100000,1950200000,1955400000,1946600000,1978200000,2052100000,2169200000,2061200000,2350300000,2398500000,2391300000,2371400000,2328100000,2321000000,2330700000,2317600000,2333200000,2371800000
BalanceProperty_yy,,,,,-11.68,,,-4.03,-0.50,-1.06,0.62,1.11,-0.30,0.92,5.23,10.93,5.89,18.81,16.88,10.24,15.05,-0.94,-3.23,-2.53,-2.27,0.22,2.19
BalanceProperty_sy,,,,,-4.17,,,3.22,1.06,1.98,0.66,-2.42,-1.99,-0.17,3.62,-1.67,-4.75,-1.38,-2.75,-0.20,0.46,-0.28,-0.55,0.04,4.15,5.73,4.13
BalanceProperty_qq,,-100.00,,,-2.63,0.96,-2.17,-0.22,0.96,0.39,-0.51,0.27,-0.45,1.62,3.74,5.71,-4.98,14.03,2.05,-0.30,-0.83,-1.83,-0.30,0.42,-0.56,0.67,1.65
BalanceProperty_sq,,-1.28,,,-1.65,0.04,1.02,-0.26,-1.06,0.11,0.08,0.42,-0.12,-0.85,0.01,-0.31,0.14,-0.02,1.49,-0.36,1.25,-0.50,0.73,0.33,0.28,0.67,3.25
BalanceNoncurrentReceivables,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentReceivables_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentReceivables_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentReceivables_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentReceivables_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrInvestments,0,,,17600000,17900000,17900000,18200000,18400000,18500000,18700000,18300000,18500000,18600000,19800000,21200000,21300000,29000000,29200000,28900000,29100000,23700000,23900000,10800000,16200000,16700000,17700000,35000000
BalanceNoncurrInvestments_yy,,,,,,,,4.55,3.35,4.47,0.55,0.54,0.54,5.88,15.85,15.14,55.91,47.47,36.32,36.62,-18.28,-18.15,-62.63,-44.33,-29.54,-25.94,224.07
BalanceNoncurrInvestments_sy,,,,,,,,0.10,4.40,1.22,5.96,11.74,-1.96,6.64,8.75,-3.86,6.28,1.63,-5.89,-8.04,-18.28,-14.32,-25.50,-17.26,-3.65,-1.79,-1.50
BalanceNoncurrInvestments_qq,,,,,1.70,,1.68,1.10,0.54,1.08,-2.14,1.09,0.54,6.45,7.07,0.47,36.15,0.69,-1.03,0.69,-18.56,0.84,-54.81,50.00,3.09,5.99,97.74
BalanceNoncurrInvestments_sq,,,,,-11.15,,1.14,,0.50,,0.14,0.49,-4.96,1.48,0.80,1.21,-2.49,0.14,,,-9.68,-1.03,,,-0.30,0.32,-2.02
BalanceOtherNoncurrentAssets,600000,,,2300000,200000,700000,800000,800000,3500000,4300000,5900000,6000000,13600000,17200000,17600000,29300000,53500000,60200000,66500000,64900000,69800000,72300000,72400000,69900000,69500000,60900000,62600000
BalanceOtherNoncurrentAssets_yy,,,,,-66.67,,,-65.22,1650.00,514.29,637.50,650.00,288.57,300.00,198.31,388.33,293.38,250.00,277.84,121.50,30.47,20.10,8.87,7.70,-0.43,-15.77,-13.54
BalanceOtherNoncurrentAssets_sy,,,,,18.24,,,1.64,-0.91,6.12,10.74,-0.38,-1.74,11.50,-26.17,-0.05,1.52,0.93,6.21,15.42,-5.84,-1.08,-10.93,0.76,2.62,-1.94,2.36
BalanceOtherNoncurrentAssets_qq,,-100.00,,,-91.30,250.00,14.29,,337.50,22.86,37.21,1.69,126.67,26.47,2.33,66.48,82.59,12.52,10.47,-2.41,7.55,3.58,0.14,-3.45,-0.57,-12.37,2.79
BalanceOtherNoncurrentAssets_sq,,-1.58,,,-5.80,-0.98,1.44,,-6.88,0.44,6.16,-3.51,2.50,1.58,-2.94,0.02,8.40,-0.37,2.50,-1.56,-4.90,0.42,-1.84,2.45,1.15,-0.37,3.86
BalanceCurrentAssets,308800000,,,305400000,291600000,261900000,270400000,307800000,465600000,292200000,187800000,220700000,292500000,215200000,226900000,227800000,312400000,211100000,218000000,151200000,199500000,306000000,192900000,208800000,215000000,235900000,246900000
BalanceCurrentAssets_yy,,,,,-5.57,,,0.79,59.67,11.57,-30.55,-28.30,-37.18,-26.35,20.82,3.22,6.80,-1.91,-3.92,-33.63,-36.14,44.95,-11.51,38.10,7.77,-22.91,27.99
BalanceCurrentAssets_sy,,,,,-8.23,,,-6.03,0.13,-2.58,-1.21,1.93,4.26,4.28,10.76,7.03,1.12,-1.91,-3.57,1.18,5.70,14.16,12.40,13.98,13.28,13.37,13.97
BalanceCurrentAssets_qq,,-100.00,,,-4.52,-10.19,3.25,13.83,51.27,-37.24,-35.73,17.52,32.53,-26.43,5.44,0.40,37.14,-32.43,3.27,-30.64,31.94,53.38,-36.96,8.24,2.97,9.72,4.66
BalanceCurrentAssets_sq,,-0.13,,,-3.32,-3.09,0.77,-0.68,,-1.76,-2.30,3.40,2.88,0.87,1.06,-1.20,-5.39,0.03,3.98,2.05,-3.88,5.43,4.15,3.30,0.85,2.58,1.20
BalanceInventory,82500000,,,91600000,84500000,60000000,67000000,67600000,65400000,61100000,55700000,49400000,35800000,30300000,27200000,67900000,62200000,58900000,55000000,60000000,73400000,73700000,74800000,76900000,78800000,85400000,95800000
BalanceInventory_yy,,,,,2.42,,,-26.20,-22.60,1.83,-16.87,-26.92,-45.26,-50.41,-51.17,37.45,73.74,94.39,102.21,-11.63,18.01,25.13,36.00,28.17,7.36,15.88,28.07
BalanceInventory_sy,,,,,-1.32,,,-8.90,-9.10,-9.58,-8.50,-12.60,-8.72,-2.13,-2.06,-3.43,-3.72,-10.98,-5.84,-1.44,10.48,6.00,8.83,2.22,-0.09,3.72,5.89
BalanceInventory_qq,,-100.00,,,-7.75,-28.99,11.67,0.90,-3.25,-6.57,-8.84,-11.31,-27.53,-15.36,-10.23,149.63,-8.39,-5.31,-6.62,9.09,22.33,0.41,1.49,2.81,2.47,8.38,12.18
BalanceInventory_sq,,-1.54,,,-3.61,-3.30,0.09,0.14,-4.61,-1.70,0.26,-0.21,-5.56,0.45,-0.09,0.11,-6.19,-0.50,2.90,3.36,-3.38,0.12,3.42,1.78,-1.52,0.12,1.45
