,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeBeforeTaxProfit,450000,1890000,2237000,6288000,2413000,1863000,1321000,2054000,1597000,1714000,2610000,5527000,-541000,489000,125000,-2567000,-3077000,2314000,2909000,1320000,-1951000,2082000,4871000
IncomeDiscontinuedProfit,,,,,,,,,,,,,,,,,,,,,,,
IncomeNetProfit,191000,1768000,2197000,5982000,2162000,1810000,1202000,1998000,1937000,1635000,2549000,5005000,-304000,326000,382000,-2311000,-3028000,2039000,2817000,1228000,-1615000,2082000,4687000
IncomeShareholderNetProfit,191000,1768000,2197000,5982000,2162000,1810000,1202000,1998000,1937000,1635000,2549000,5005000,-304000,326000,382000,-2311000,-3028000,2039000,2817000,1228000,-1615000,2082000,4687000
BalanceNoncurrentAssets,53967000,55423000,59076000,65029000,70900000,73573000,80268000,82559000,92534000,98668000,103062000,103802000,110407000,108815000,106942000,105242000,103083000,100851000,103070000,103405000,105315000,104409000,102925000
BalanceIntangibleAssets,21435000,22283000,2124000,23644000,25955000,27304000,31015000,32828000,38296000,41164000,42447000,42361000,44927000,44821000,44461000,44034000,43462000,42846000,42188000,41504000,40847000,40189000,38622000
BalanceProperty,32522000,33130000,35925000,41368000,44928000,46252000,49243000,49721000,54116000,57438000,60548000,61370000,65414000,63928000,62322000,60792000,59153000,57537000,60414000,61432000,63964000,63715000,63799000
BalanceNoncurrentReceivables,,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrInvestments,3000,3000,21020000,10000,10000,10000,3000,3000,3000,3000,3000,8000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000
BalanceOtherNoncurrentAssets,7000,7000,7000,7000,7000,7000,7000,7000,119000,63000,64000,63000,63000,63000,156000,413000,465000,465000,465000,466000,501000,502000,501000
BalanceCurrentAssets,33773000,40388000,69399000,58659000,58411000,66838000,66987000,68278000,51687000,55243000,70544000,89177000,62683000,57033000,57338000,58266000,56296000,63293000,70805000,79854000,88544000,104743000,101718000
BalanceInventory,15206000,20965000,27140000,20724000,20881000,31482000,34756000,33374000,34293000,32972000,34876000,36308000,35237000,39598000,40218000,39446000,46255000,42875000,45902000,57785000,60920000,59081000,55859000
BalanceCurrentReceivables,12320000,15258000,20715000,22993000,18455000,29742000,28036000,30090000,13688000,18985000,24845000,39345000,16346000,14240000,11807000,11050000,8573000,12990000,17945000,17391000,24830000,40498000,35466000
BalanceCurrentInvestments,,,,,,,,,,,,,,,,,,,,,,,
BalanceCash,5645000,1926000,21016000,14621000,18981000,5097000,3662000,4461000,3592000,2552000,10220000,13052000,8053000,2386000,4617000,7348000,806000,6565000,5954000,3353000,1261000,3210000,8849000
BalanceOtherCurrentAssets,602000,2239000,528000,321000,94000,517000,533000,353000,114000,734000,603000,472000,3047000,809000,696000,422000,662000,863000,1004000,1325000,1533000,1954000,1544000
BalanceAssetsForSale,,,,,,,,,,,,,,,,,,,,,,,
BalanceTotalAssets,87740000,95811000,128475000,123688000,129311000,140411000,147255000,150837000,144222000,153912000,173606000,192979000,173090000,165848000,164280000,163508000,159379000,164144000,173875000,183259000,193859000,209152000,204643000
BalanceCapital,60487000,62255000,81489000,87468000,89630000,91440000,92642000,94640000,96578000,98213000,98759000,103762000,103491000,103818000,104199000,101889000,98860000,100899000,103717000,104945000,103329000,105412000,110098000
BalanceShareCapital,25683000,25683000,33383000,33383000,33383000,33383000,33383000,33383000,33383000,33383000,33383000,33383000,33383000,33383000,33383000,33383000,33383000,33383000,33383000,33383000,33383000,33383000,33383000
BalanceOwnShares,,,,,,,,,,,,,,,,,,,,,,,
BalanceReserve,28595000,28595000,37929000,44138000,44138000,44138000,56174000,56174000,56174000,56174000,61118000,61117000,61149000,61150000,70127000,70128000,70127000,70127000,65481000,65481000,65477000,65478000,69946000
BalanceNonshareCapital,,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentLiabilities,11908000,11678000,14911000,14744000,16645000,19247000,20334000,22138000,24908000,26165000,32454000,36900000,36369000,35561000,34641000,33183000,32161000,29833000,29389000,29869000,31113000,29514000,28071000
BalanceNoncurrentTradeLiabilities,,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentBorrowings,10506000,10302000,9858000,9480000,9049000,8638000,8248000,8843000,10997000,11472000,16747000,17222000,16681000,15687000,14694000,13700000,13376000,11730000,13025000,14065000,15413000,14347000,13473000
BalanceNoncurrentObligations,,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentLeasing,,,,,,,,,41000,242000,224000,411000,637000,585000,533000,481000,428000,366000,586000,529000,470000,407000,351000
BalanceNoncurrentOtherLiabilities,1402000,1376000,5053000,5264000,7596000,10609000,12086000,13295000,13870000,14451000,15483000,19267000,19051000,19289000,19414000,19002000,18357000,17737000,15778000,15275000,15230000,14760000,14247000
BalanceCurrentLiabilities,15345000,21878000,32075000,21476000,23036000,29724000,34279000,34059000,22737000,29535000,42393000,52317000,33230000,26469000,25440000,28436000,28358000,33412000,40769000,48445000,59417000,74226000,66474000
BalanceCurrentTradePayablesv,12079000,13470000,27376000,14689000,17788000,20223000,19502000,13340000,16931000,17862000,26304000,18663000,9887000,8901000,6688000,8689000,5979000,14180000,20988000,18714000,11686000,29131000,35072000
BalanceCurrentBorrowings,1802000,5966000,1828000,2169000,1760000,6279000,12646000,18518000,1697000,7736000,10974000,18103000,15292000,10600000,12348000,14042000,16818000,13638000,13517000,23214000,42011000,39430000,25430000
BalanceCurrentObligations,,,,,,,,,,,,,,,,,,,,,,,
BalanceCurrentLeasing,,,,,,,,,188000,157000,81000,130000,205000,205000,205000,205000,205000,190000,224000,224000,224000,211000,211000
BalanceCurrentOtherLiabilities,1274000,1228000,1586000,1775000,1650000,1611000,1778000,1858000,1853000,1809000,2117000,2435000,1830000,1752000,1619000,1573000,1506000,1613000,2016000,2258000,2857000,2963000,3098000
BalanceReckoning,190000,1214000,1285000,2843000,1838000,1611000,353000,343000,2068000,1971000,2917000,12986000,6016000,5011000,4580000,3927000,3850000,3791000,4024000,4035000,2639000,2491000,2663000
BalanceTotalEquityAndLiabilities,87740000,95811000,128475000,123688000,129311000,140411000,147255000,150837000,144223000,153913000,173606000,192979000,173090000,165848000,164280000,163508000,159379000,164144000,173875000,183259000,193859000,209152000,204643000
CashflowOperatingCashflow,1521000,-5410000,6685000,691000,9601000,-17391000,3676000,-3276000,23079000,-1342000,2944000,11029000,-9874000,327000,1809000,2655000,-8644000,10714000,3889000,-10597000,-21566000,7877000,21878000
CashflowAmortization,689000,693000,714000,721000,755000,863000,1032000,1220000,1316000,1421000,1525000,2020000,2092000,2451000,2376000,2336000,2327000,2305000,2283000,2281000,2109000,2213000,2387000
CashflowInvestingCashflow,-1316000,-2054000,-341000,-6592000,-4204000,-407000,-5419000,-2156000,-9459000,-6064000,-3573000,-13551000,8497000,-59000,-92000,-377000,-71000,84000,-5198000,-2493000,-4354000,-1912000,-1226000
CashflowCapex,1345000,2166000,4149000,6919000,6671000,3558000,7604000,3519000,11194000,7401000,5918000,2518000,8369000,939000,429000,379000,128000,77000,4185000,2615000,4340000,1448000,1226000
CashflowFinancingCashflow,-607000,3746000,12765000,-514000,-1037000,3914000,5632000,6232000,-14489000,6366000,8296000,5355000,-3621000,-5936000,514000,454000,2172000,-5039000,698000,10489000,23828000,-4016000,-15014000
CashflowShareCapitalCash,0,,17515000,-332000,-51000,,,,,,,,,,,,,,,,,,
CashflowDividend,,,,,,,,2004000,-1000,,,,,,,,-402000,-3718000,19109000,-6415000,4360000,-13884000,3889000
CashflowNetCashflow,800000,-869000,-1040000,7667000,2833000,-4998000,-5668000,2231000,2732000,-6543000,5759000,-611000,-2601000,-2092000,1949000,5638000,,,,,,,
