,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeDistributionExpenses,8000,36000,26000,18000,5000,17000,33000,12000,112000,45000,167000,193000,7240000,2293000,805000,-398000,4742000,2191000,2282000,3298000,2549000,2514000,2028000,2686000,2765000,2614000,2985000,2667000,2887000,2569000,2594000,2434000,2713000,2746000,2889000,2854000,3345000,3251000,3604000,3956000,3754000,4197000,4169000,4424000,6102000,5923000,5802000,6343000,6509000,6849000,7165000
IncomeDistributionExpenses_yy,,,,,-37.50,-52.78,26.92,-33.33,2140.00,164.71,406.06,1508.33,6364.29,4995.56,382.04,-306.22,-34.50,-4.45,183.48,928.64,-46.25,14.74,-11.13,-18.56,8.47,3.98,47.19,-0.71,4.41,-1.72,-13.10,-8.74,-6.03,6.89,11.37,17.26,23.30,18.39,24.75,38.61,12.23,29.10,15.68,11.83,62.55,41.12,39.17,43.38,6.67,15.63,23.49
IncomeDistributionExpenses_sy,,,,,-37.50,-41.38,-40.73,9.11,47.75,78.57,69.90,33.38,3.36,16.30,11.88,-2.22,-10.29,1.48,27.97,0.29,18.87,13.94,5.03,11.18,17.48,17.50,9.87,-4.76,-34.71,-11.60,-11.91,3.44,-3.02,-2.34,-18.11,-10.13,-7.39,4.88,24.75,5.43,12.92,5.04,-16.92,3.84,9.33,-2.35,19.68,22.84,10.30,-5.88,
IncomeDistributionExpenses_qq,,350.00,-27.78,-30.77,-72.22,240.00,94.12,-63.64,833.33,-59.82,271.11,15.57,3651.30,-68.33,-64.89,-149.44,1291.46,-53.80,4.15,44.52,-22.71,-1.37,-19.33,32.45,2.94,-5.46,14.19,-10.65,8.25,-11.01,0.97,-6.17,11.46,1.22,5.21,-1.21,17.20,-2.81,10.86,9.77,-5.11,11.80,-0.67,6.12,37.93,-2.93,-2.04,9.32,2.62,5.22,4.61
IncomeDistributionExpenses_sq,,-34.04,15.04,-29.00,50.00,-27.07,19.90,-14.42,39.82,-36.26,26.11,4.36,41.26,-28.21,-4.77,4.76,12.96,-13.11,13.93,-7.04,36.18,-1.91,31.47,-6.87,20.46,-19.74,17.81,-10.65,-1.44,-14.48,4.57,-12.94,3.98,0.51,0.14,6.47,-4.24,-5.90,41.84,-5.45,6.11,-7.23,-0.34,-7.29,2.06,1.11,14.04,-8.39,1.46,-2.07,18.18
IncomeAdministrativExpenses,106000,183000,20000,119000,296000,252000,415000,381000,1345000,1820000,2467000,2288000,-1616000,1331000,2393000,3525000,-803000,1190000,1459000,1171000,1668000,1328000,1397000,1938000,1779000,1423000,1516000,1484000,1803000,1449000,1626000,1529000,1940000,1467000,1848000,1535000,1930000,1616000,1688000,1826000,2081000,2212000,2084000,2311000,2964000,2761000,3086000,3056000,4126000,3044000,3632000
IncomeAdministrativExpenses_yy,,,,,179.25,37.70,1975.00,220.17,354.39,622.22,494.46,500.52,-220.15,-26.87,-3.00,54.06,50.31,-10.59,-39.03,-66.78,307.72,11.60,-4.25,65.50,6.65,7.15,8.52,-23.43,1.35,1.83,7.26,3.03,7.60,1.24,13.65,0.39,-0.52,10.16,-8.66,18.96,7.82,36.88,23.46,26.56,42.43,24.82,48.08,32.24,39.20,10.25,17.69
IncomeAdministrativExpenses_sy,,,,,-5.31,10.00,75.14,-7.88,106.91,1.29,15.81,9.90,37.35,13.91,7.89,11.81,17.27,12.50,6.35,11.43,-12.17,17.32,9.79,17.17,10.27,6.69,8.48,-0.28,-4.19,3.66,3.65,8.22,-4.37,1.24,5.68,2.44,0.98,3.94,5.84,0.87,12.04,11.39,18.61,9.22,13.75,2.52,8.10,2.78,-5.63,10.40,6.14
IncomeAdministrativExpenses_qq,,72.64,-89.07,495.00,148.74,-14.86,64.68,-8.19,253.02,35.32,35.55,-7.26,-170.63,182.36,79.79,47.30,-122.78,248.19,22.61,-19.74,42.44,-20.38,5.20,38.73,-8.20,-20.01,6.54,-2.11,21.50,-19.63,12.22,-5.97,26.88,-24.38,25.97,-16.94,25.73,-16.27,4.46,8.18,13.96,6.30,-5.79,10.89,28.26,-6.85,11.77,-0.97,35.01,-26.22,19.32
IncomeAdministrativExpenses_sq,,-2.16,-49.11,90.80,-8.89,-1.48,7.64,7.78,17.58,-7.56,17.83,-3.50,24.41,-5.38,9.81,-2.82,38.62,-21.61,18.76,-8.71,31.28,-6.88,3.08,-6.42,34.44,-21.66,5.50,-3.75,32.95,-17.24,10.18,-2.96,15.24,-12.64,7.93,0.82,13.01,-15.38,2.15,6.45,15.81,-7.08,3.60,0.98,14.29,-13.90,10.30,-3.22,12.75,-17.22,9.46
IncomeGrossProfit,86000,217000,283000,228000,208000,357000,742000,656000,283000,2194000,1386000,1143000,561000,2625000,188000,963000,1141000,1725000,875000,1365000,873000,1001000,1352000,664000,840000,1096000,434000,670000,-194000,443000,1388000,1171000,1063000,1430000,1846000,2220000,1392000,2700000,2315000,1507000,1172000,1633000,1860000,1210000,1280000,2646000,1869000,3295000,3588000,3870000,5092000
IncomeGrossProfit_yy,,,,,141.86,64.52,162.19,187.72,36.06,514.57,86.79,74.24,98.23,19.64,-86.44,-15.75,103.39,-34.29,365.43,41.74,-23.49,-41.97,54.51,-51.36,-3.78,9.49,-67.90,0.90,-123.10,-59.58,219.82,74.78,647.94,222.80,33.00,89.58,30.95,88.81,25.41,-32.12,-15.80,-39.52,-19.65,-19.71,9.22,62.03,0.48,172.31,180.31,46.26,172.45
IncomeGrossProfit_sy,,,,,123.77,-3.96,61.24,33.03,36.20,19.37,-36.09,60.90,28.60,34.62,15.20,-15.13,41.27,5.53,-13.12,-4.40,7.22,-21.40,31.43,10.63,52.20,21.25,-14.25,-15.59,-35.32,-4.25,13.30,15.00,45.52,56.85,6.06,29.68,42.25,36.97,46.18,9.65,-15.76,-29.56,-13.08,-9.79,5.09,3.05,-5.43,5.66,-11.86,-8.32,19.41
IncomeGrossProfit_qq,,152.33,30.41,-19.43,-8.77,71.63,107.84,-11.59,-56.86,675.27,-36.83,-17.53,-50.92,367.91,-92.84,412.23,18.48,51.18,-49.28,56.00,-36.04,14.66,35.06,-50.89,26.51,30.48,-60.40,54.38,-128.96,328.35,213.32,-15.63,-9.22,34.52,29.09,20.26,-37.30,93.97,-14.26,-34.90,-22.23,39.33,13.90,-34.95,5.79,106.72,-29.37,76.30,8.89,7.86,31.58
IncomeGrossProfit_sq,,21.92,31.79,-23.74,50.96,3.52,107.84,-11.59,-65.50,101.31,30.84,24.19,-50.74,130.05,9.55,15.92,-74.78,57.94,-6.86,56.37,-36.04,-0.80,8.40,26.21,19.73,-46.32,-37.22,40.19,-16.21,-36.51,33.70,17.53,-9.35,-5.56,12.14,20.96,3.02,3.32,0.72,1.82,-22.23,-5.48,-8.16,-6.93,5.79,13.53,-25.14,31.12,-28.36,12.68,3.02
IncomeOtherOperatingIncome,1000,0,23000,1000,54000,46000,12000,14000,288000,94000,28000,405000,290000,24000,111000,27000,39000,13000,70000,3182000,470000,69000,162000,14000,48000,12000,53000,27000,362000,258000,112000,23000,175000,2000,47000,40000,440000,175000,263000,132000,249000,235000,231000,189000,576000,190000,312000,237000,-126000,277000,38000
IncomeOtherOperatingIncome_yy,,,,,5300.00,,-47.83,1300.00,433.33,104.35,133.33,2792.86,0.69,-74.47,296.43,-93.33,-86.55,-45.83,-36.94,11685.19,1105.13,430.77,131.43,-99.56,-89.79,-82.61,-67.28,92.86,654.17,2050.00,111.32,-14.81,-51.66,-99.22,-58.04,73.91,151.43,8650.00,459.57,230.00,-43.41,34.29,-12.17,43.18,131.33,-19.15,35.06,25.40,-121.88,45.79,-87.82
IncomeOtherOperatingIncome_sy,,,,,-19.59,,-31.57,13.89,-59.44,-34.66,36.97,49.68,-0.60,-3.78,184.25,126.76,89.92,14.83,18.48,19.84,111.31,10.12,-6.10,18.99,-40.06,27.70,-32.78,-22.80,9.68,36.50,51.21,52.45,86.66,19.87,7.07,-20.08,-14.17,-18.78,-24.76,31.06,1.88,9.17,23.76,-4.70,23.89,-7.29,5.68,34.69,16.38,17.06,17.71
IncomeOtherOperatingIncome_qq,,-100.00,,-95.65,5300.00,-14.81,-73.91,16.67,1957.14,-67.36,-70.21,1346.43,-28.40,-91.72,362.50,-75.68,44.44,-66.67,438.46,4445.71,-85.23,-85.32,134.78,-91.36,242.86,-75.00,341.67,-49.06,1240.74,-28.73,-56.59,-79.46,660.87,-98.86,2250.00,-14.89,1000.00,-60.23,50.29,-49.81,88.64,-5.62,-1.70,-18.18,204.76,-67.01,64.21,-24.04,-153.16,319.84,-86.28
IncomeOtherOperatingIncome_sq,,-95.76,,11.62,309.60,-72.70,124.79,-37.52,95.78,-54.00,-11.89,-50.98,5.01,-56.29,185.37,2.99,59.80,-44.82,18.95,-40.00,104.82,-76.91,43.75,-4.96,7.45,-16.80,-10.22,18.53,29.58,6.46,2.25,8.08,25.67,-23.98,-0.62,-15.66,15.74,-29.68,-1.84,-27.50,52.14,-5.62,-1.74,4.00,38.33,-35.95,14.42,10.94,44.64,-26.84,-7.14
IncomeOtherOperatingCosts,8000,0,18000,1000,21000,19000,9000,2000,46000,8000,33000,56000,125000,,120000,1000,824000,0,63000,12000,454000,26000,51000,46000,158000,28000,124000,25000,2155000,54000,101000,103000,550000,132000,393000,221000,263000,198000,355000,-310000,107000,143000,155000,102000,762000,123000,61000,204000,378000,437000,576000
IncomeOtherOperatingCosts_yy,,,,,162.50,,-50.00,100.00,119.05,-57.89,266.67,2700.00,171.74,-100.00,263.64,-98.21,559.20,,-47.50,1100.00,-44.90,,-19.05,283.33,-65.20,7.69,143.14,-45.65,1263.92,92.86,-18.55,312.00,-74.48,144.44,289.11,114.56,-52.18,50.00,-9.67,-240.27,-59.32,-27.78,-56.34,132.90,612.15,-13.99,-60.65,100.00,-50.39,255.28,844.26
IncomeOtherOperatingCosts_sy,,,,,13.16,,51.77,-63.05,24.35,-17.96,83.24,126.57,88.48,-7.98,128.79,-30.90,33.74,,9.75,-14.72,-38.36,,17.93,66.60,-9.84,3.83,-28.44,-50.00,12.90,45.59,1.99,11.78,32.30,6.29,-14.24,6.16,-1.84,-37.15,-16.62,-0.94,-9.79,13.86,14.00,-20.51,-10.23,-8.68,-25.34,-8.69,36.41,-1.23,73.20
IncomeOtherOperatingCosts_qq,,-100.00,,-94.44,2000.00,-9.52,-52.63,-77.78,2200.00,-82.61,312.50,69.70,123.21,-100.00,,-99.17,82300.00,-100.00,,-80.95,3683.33,-94.27,96.15,-9.80,243.48,-82.28,342.86,-79.84,8520.00,-97.49,87.04,1.98,433.98,-76.00,197.73,-43.77,19.00,-24.71,79.29,-187.32,134.52,33.64,8.39,-34.19,647.06,-83.86,-50.41,234.43,85.29,15.61,31.81
IncomeOtherOperatingCosts_sq,,-98.95,,-26.54,305.77,-22.64,-50.35,16.21,63.11,-67.92,223.48,60.00,181.82,-64.18,,-34.27,32.92,-78.34,,-27.69,211.83,-67.61,29.25,-28.03,175.00,-60.12,10.15,-2.56,125.07,-40.71,69.60,-13.28,217.00,-59.72,11.60,-19.17,124.20,-72.53,20.27,-18.58,216.38,-63.22,8.33,-28.86,97.78,-41.67,16.04,-13.80,83.08,-55.93,59.87
IncomeEBIT,79000,217000,288000,228000,241000,384000,745000,668000,525000,2280000,1381000,1492000,726000,2649000,179000,989000,356000,1738000,882000,4535000,889000,1044000,1463000,632000,730000,1080000,363000,672000,-1987000,647000,1399000,1091000,688000,1300000,1500000,2039000,1569000,2677000,2223000,1949000,1314000,1725000,1936000,1297000,1094000,2713000,2120000,3328000,3084000,3710000,4554000
IncomeEBIT_yy,,,,,205.06,76.96,158.68,192.98,117.84,493.75,85.37,123.35,38.29,16.18,-87.04,-33.71,-50.96,-34.39,392.74,358.54,149.72,-39.93,65.87,-86.06,-17.89,3.45,-75.19,6.33,-372.19,-40.09,285.40,62.35,134.63,100.93,7.22,86.89,128.05,105.92,48.20,-4.41,-16.25,-35.56,-12.91,-33.45,-16.74,57.28,9.50,156.59,181.90,36.75,114.81
IncomeEBIT_sy,,,,,121.74,-25.34,64.17,36.68,30.92,-25.05,23.94,62.92,28.92,39.62,-21.94,-12.98,-35.23,17.56,-22.79,26.76,56.43,-24.50,65.87,10.94,46.31,3.45,-23.98,5.62,-39.60,14.29,4.23,11.81,56.42,41.64,34.54,35.89,26.31,33.95,13.31,8.65,-8.92,-22.11,-7.34,-5.67,14.00,9.49,-26.94,4.92,-19.90,-3.94,23.19
IncomeEBIT_qq,,174.68,32.72,-20.83,5.70,59.34,94.01,-10.34,-21.41,334.29,-39.43,8.04,-51.34,264.88,-93.24,452.51,-64.00,388.20,-49.25,414.17,-80.40,17.44,40.13,-56.80,15.51,47.95,-66.39,85.12,-395.68,132.56,116.23,-22.02,-36.94,88.95,15.38,35.93,-23.05,70.62,-16.96,-12.33,-32.58,31.28,12.23,-33.01,-15.65,147.99,-21.86,56.98,-7.33,20.30,22.75
IncomeEBIT_sq,,31.96,15.30,0.52,48.92,-84.62,135.52,-10.34,-17.40,-23.02,63.64,18.55,-72.54,98.14,41.34,2.74,-38.52,55.91,-3.26,81.49,-25.58,-6.14,40.13,26.02,-3.54,-35.45,-32.85,39.95,-31.26,-7.47,7.46,31.56,-6.95,-24.68,26.60,13.44,-33.68,5.71,8.34,-0.72,-10.97,-1.58,2.32,-4.89,12.88,0.74,-19.68,20.68,-27.08,24.58,-2.22
IncomeFinanceIncome,1000,1000,8000,2000,45000,56000,2000,32000,37000,113000,124000,231000,288000,72000,4845000,-4384000,4658000,23000,111000,105000,-8000,110000,156000,177000,274000,219000,167000,82000,240000,182000,230000,148000,137000,179000,203000,181000,113000,59000,59000,117000,90000,89000,1307000,156000,122000,154000,126000,116000,385000,225000,95000
IncomeFinanceIncome_yy,,,,,4400.00,5500.00,-75.00,1500.00,-17.78,101.79,6100.00,621.88,678.38,-36.28,3807.26,-1997.84,1517.36,-68.06,-97.71,102.40,-100.17,378.26,40.54,68.57,3525.00,99.09,7.05,-53.67,-12.41,-16.89,37.72,80.49,-42.92,-1.65,-11.74,22.30,-17.52,-67.04,-70.94,-35.36,-20.35,50.85,2115.25,33.33,35.56,73.03,-90.36,-25.64,215.57,46.10,-24.60
IncomeFinanceIncome_sy,,,,,-78.46,91.14,-52.39,44.44,133.02,2.68,291.46,328.20,-14.54,91.96,-43.65,-65.00,-8.03,-63.77,-20.00,27.66,11.16,38.80,-6.82,77.11,101.02,59.72,-7.39,22.72,-50.69,55.56,25.45,-64.12,-30.23,-26.03,-44.54,40.74,27.80,-1.92,-43.50,-34.72,-36.41,-31.40,29.97,9.80,-22.72,-4.10,-9.52,17.45,37.14,-12.90,34.13
IncomeFinanceIncome_qq,,,700.00,-75.00,2150.00,24.44,-96.43,1500.00,15.62,205.41,9.73,86.29,24.68,-75.00,6629.17,-190.49,206.25,-99.51,382.61,-5.41,-107.62,1475.00,41.82,13.46,54.80,-20.07,-23.74,-50.90,192.68,-24.17,26.37,-35.65,-7.43,30.66,13.41,-10.84,-37.57,-47.79,,98.31,-23.08,-1.11,1368.54,-88.06,-21.79,26.23,-18.18,-7.94,231.90,-41.56,-57.78
IncomeFinanceIncome_sq,,,35.84,37.99,60.15,68.39,-62.01,10.00,32.81,-29.39,234.20,-66.87,-13.04,12.82,1.12,-51.38,-50.24,38.84,78.57,-10.53,100.00,19.52,18.57,7.10,17.27,-29.47,-4.55,1.43,-19.05,3.57,-7.28,-35.65,19.65,,-1.25,-6.62,117.92,-15.70,,0.36,58.33,-13.64,8.85,-35.29,12.90,22.42,-6.65,-4.60,31.18,27.76,73.91
IncomeFinanceCosts,-2000,1000,1000,1000,2000,4000,9000,1000,224000,238000,161000,345000,-43000,473000,82000,189000,155000,261000,298000,445000,13000,97000,218000,14000,261000,313000,257000,166000,2298000,137000,142000,125000,149000,111000,2408000,177000,1721000,76000,274000,73000,2695000,149000,334000,4168000,4011000,203000,133000,217000,907000,409000,370000
IncomeFinanceCosts_yy,,,,,200.00,300.00,800.00,,11100.00,5850.00,1688.89,34400.00,-119.20,98.74,-49.07,-45.22,460.47,-44.82,263.41,135.45,-91.61,-62.84,-26.85,-96.85,1907.69,222.68,17.89,1085.71,780.46,-56.23,-44.75,-24.70,-93.52,-18.98,1595.77,41.60,1055.03,-31.53,-88.62,-58.76,56.60,96.05,21.90,5609.59,48.83,36.24,-60.18,-94.79,-77.39,101.48,178.20
IncomeFinanceCosts_sy,,,,,-23.86,8.19,-33.55,,20.42,30.68,102.31,47.42,1.32,14.95,-31.78,15.46,-38.02,0.61,44.34,20.06,-10.06,-6.07,26.94,37.32,34.26,45.75,17.89,85.69,-16.84,-4.16,-0.53,-26.85,-1.14,-12.66,22.17,30.90,24.32,1.59,-12.22,-11.48,-7.74,8.22,23.81,7.96,-1.64,14.00,1.30,3.21,25.70,-1.28,21.34
IncomeFinanceCosts_qq,,150.00,,,100.00,100.00,125.00,-88.89,22300.00,6.25,-32.35,114.29,-112.46,1200.00,-82.66,130.49,-17.99,68.39,14.18,49.33,-97.08,646.15,124.74,-93.58,1764.29,19.92,-17.89,-35.41,1284.34,-94.04,3.65,-11.97,19.20,-25.50,2069.37,-92.65,872.32,-95.58,260.53,-73.36,3591.78,-94.47,124.16,1147.90,-3.77,-94.94,-34.48,63.16,317.97,-54.91,-9.54
IncomeFinanceCosts_sq,,-39.33,,,125.00,-21.32,-1.14,7.96,44.04,3.98,10.02,-11.76,37.30,-29.14,-19.64,68.14,1.62,,6.84,26.40,8.54,-11.97,38.16,-8.65,26.56,-2.43,5.00,1.66,-26.68,-10.57,-8.50,-12.04,19.20,-13.32,7.07,6.33,11.29,-25.46,-5.10,-2.13,21.20,-11.61,27.22,-12.04,7.36,-0.98,0.79,0.79,20.66,-9.06,31.18
IncomeOtherIncome,,,,,,,,,0,0,0,0,61000,116000,642000,4701000,-4037000,571000,298000,268000,1657000,821000,322000,664000,1080000,327000,119000,617000,-491000,10000,-41000,,,,4696000,0,-303000,45000,50000,-12000,-206000,-340000,-601000,3961000,-3942000,-419000,-2393000,-1672000,-174000,,
IncomeOtherIncome_yy,,,,,,,,,,,,,,,,,-6718.03,392.24,-53.58,-94.30,141.05,43.78,8.05,147.76,-34.82,-60.17,-63.04,-7.08,-145.46,-96.94,-134.45,-100.00,100.00,-100.00,11553.66,,,,-98.94,,32.01,-855.56,-1302.00,33108.33,-1813.59,-23.24,-298.17,-142.21,95.59,100.00,100.00
IncomeOtherIncome_sy,,,,,,,,,,,,,,,,,-100.00,392.24,-53.58,-94.30,87.59,43.78,100.00,123.88,100.00,-76.02,-86.45,-22.69,-100.00,-23.08,15.34,9.23,100.00,18.22,100.00,,,,-100.00,,-52.10,-69.56,38.24,-93.45,24.04,25.70,-100.00,-21.43,70.20,-2.40,27.69
IncomeOtherIncome_qq,,,,,,,,,,,,,,90.16,453.45,632.24,-185.88,114.14,-47.81,-10.07,518.28,-50.45,-60.78,106.21,62.65,-69.72,-63.61,418.49,-179.58,102.04,-510.00,100.00,,,,-100.00,,114.85,11.11,-124.00,-1616.67,-65.05,-76.76,759.07,-199.52,89.37,-471.12,30.13,89.59,100.00,
IncomeOtherIncome_sq,,,,,,,,,,,,,,12.02,12.26,-67.23,-185.88,97.46,-47.81,-10.07,122.95,100.00,40.56,-0.08,31.20,0.24,41.88,62.00,-67.84,100.00,-56.19,-5.06,,,,-20.30,,-3.87,-48.53,75.73,-100.00,80.81,-33.21,-29.29,57.28,-9.09,5.11,6.52,94.80,-59.38,
IncomeNetGrossProfit,82000,217000,295000,229000,284000,436000,738000,699000,338000,2155000,1344000,1378000,1118000,2364000,5584000,1117000,822000,2071000,993000,4463000,2525000,1878000,1723000,1459000,1823000,1313000,392000,1205000,-4536000,702000,1446000,1145000,676000,1368000,3991000,2043000,-342000,2705000,2058000,1981000,-1497000,1325000,2308000,1246000,-6737000,2245000,-280000,1555000,2388000,3526000,4279000
IncomeNetGrossProfit_yy,,,,,246.34,100.92,150.17,205.24,19.01,394.27,82.11,97.14,230.77,9.70,315.48,-18.94,-26.48,-12.39,-82.22,299.55,207.18,-9.32,73.51,-67.31,-27.80,-30.09,-77.25,-17.41,-348.82,-46.53,268.88,-4.98,114.90,94.87,176.00,78.43,-150.59,97.73,-48.43,-3.03,-337.72,-51.02,12.15,-37.10,-350.03,69.43,-112.13,24.80,135.45,57.06,1628.21
IncomeNetGrossProfit_sy,,,,,118.94,33.24,85.37,5.22,13.78,102.86,46.50,45.23,-36.61,31.22,-16.80,-25.49,76.05,11.15,-19.07,25.89,101.06,-19.89,49.06,0.28,58.24,14.63,-37.72,-8.21,-53.22,6.27,48.76,23.68,39.90,67.90,22.88,29.31,17.80,34.35,5.80,23.36,-10.40,-27.16,-4.45,-5.36,9.40,18.59,-32.16,2.96,-26.39,-1.28,22.01
IncomeNetGrossProfit_qq,,164.63,35.94,-22.37,24.02,53.52,69.27,-5.28,-51.65,537.57,-37.63,2.53,-18.87,111.45,136.21,-80.00,-26.41,151.95,-52.05,349.45,-43.42,-25.62,-8.25,-15.32,24.95,-27.98,-70.14,207.40,-476.43,115.48,105.98,-20.82,-40.96,102.37,191.74,-48.81,-116.74,890.94,-23.92,-3.74,-175.57,188.51,74.19,-46.01,-640.69,133.32,-112.47,655.36,53.57,47.65,21.36
IncomeNetGrossProfit_sq,,16.68,15.09,19.20,33.26,-70.24,69.27,-5.28,2.19,-70.03,115.05,-5.15,-92.62,110.82,112.34,-2.69,-45.88,47.14,6.64,59.01,-25.39,-22.92,47.77,19.47,24.95,-40.30,-28.76,35.95,-58.34,-20.48,6.42,38.07,-18.54,-9.79,24.98,16.24,-47.98,13.78,11.32,1.14,-4.34,-1.84,18.51,-16.47,6.91,-2.61,-30.04,37.48,-21.98,7.38,-6.86
IncomeExtraordinarProfit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeExtraordinarProfit_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeExtraordinarProfit_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
