,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeFinanceCosts,1014000,1530000,1171000,1412000,1129000,1035000,471000,568000,1335000,2749000,841000,1511000,1358000,2837000,1535000,2470000,836000,923000,700000,822000
IncomeFinanceCosts_yy,,,,,11.34,-32.35,-59.78,-59.77,18.25,165.60,78.56,166.02,1.72,3.20,82.52,63.47,-38.44,-67.47,-54.40,-66.72
IncomeFinanceCosts_sy,,,,,30.90,24.32,1.59,-12.22,-11.48,-7.74,8.22,23.81,7.96,-1.64,14.00,1.30,3.21,25.70,-1.28,21.34
IncomeFinanceCosts_qq,,50.89,-23.46,20.58,-20.04,-8.33,-54.49,20.59,135.04,105.92,-69.41,79.67,-10.13,108.91,-45.89,60.91,-66.15,10.41,-24.16,17.43
IncomeFinanceCosts_sq,,19.20,-13.32,7.07,6.33,11.29,-25.46,-5.10,-2.13,21.20,-11.61,27.22,-12.04,7.36,-0.98,0.79,0.79,20.66,-9.06,31.18
IncomeOtherIncome,,,,,,6000,-144000,-150000,34000,269000,-25000,-99000,-42000,180000,-137000,-130000,-52000,340000,-214000,-94000
IncomeOtherIncome_yy,,,,,,,,,,4383.33,82.64,34.00,-223.53,-33.09,-448.00,-31.31,-23.81,88.89,-56.20,27.69
IncomeOtherIncome_sy,,,,,,,,,,-52.10,-69.56,38.24,-93.45,24.04,25.70,-100.00,-21.43,70.20,-2.40,27.69
IncomeOtherIncome_qq,,,,,,,-2500.00,-4.17,122.67,691.18,-109.29,-296.00,57.58,528.57,-176.11,5.11,60.00,753.85,-162.94,56.07
IncomeOtherIncome_sq,,,,,,,-3.87,-48.53,75.73,-100.00,80.81,-33.21,-29.29,57.28,-9.09,5.11,6.52,94.80,-59.38,11.62
IncomeNetGrossProfit,3100000,7650000,1360000,5568000,7942000,15483000,5600000,3384000,23677000,7416000,4130000,-422000,1759000,9122000,-3878000,-7996000,-2410000,-1122000,-3918000,-389000
IncomeNetGrossProfit_yy,,,,,156.19,102.39,311.76,-39.22,198.12,-52.10,-26.25,-112.47,-92.57,23.00,-193.90,-1794.79,-237.01,-112.30,-1.03,95.14
IncomeNetGrossProfit_sy,,,,,29.31,17.80,34.35,5.80,23.36,-10.40,-27.16,-4.45,-5.36,9.40,18.59,-32.16,2.96,-26.39,-1.28,22.01
IncomeNetGrossProfit_qq,,146.77,-82.22,309.41,42.64,94.95,-63.83,-39.57,599.67,-68.68,-44.31,-110.22,516.82,418.59,-142.51,-106.19,69.86,53.44,-249.20,90.07
IncomeNetGrossProfit_sq,,-18.54,-9.79,24.98,16.24,-47.98,13.78,11.32,1.14,-4.34,-1.84,18.51,-16.47,6.91,-2.61,-30.04,37.48,-21.98,7.38,-6.86
IncomeExtraordinarProfit,,,,,,,,,,,,,,,,,,,,
IncomeExtraordinarProfit_yy,,,,,,,,,,,,,,,,,,,,
IncomeExtraordinarProfit_sy,,,,,,,,,,,,,,,,,,,,
IncomeExtraordinarProfit_qq,,,,,,,,,,,,,,,,,,,,
IncomeExtraordinarProfit_sq,,,,,,,,,,,,,,,,,,,,
IncomeBeforeTaxProfit,3100000,7650000,1360000,5568000,7942000,15483000,5600000,3384000,23677000,7416000,4130000,-422000,1759000,9122000,-3878000,-7996000,-2410000,-1122000,-3918000,-389000
IncomeBeforeTaxProfit_yy,,,,,156.19,102.39,311.76,-39.22,198.12,-52.10,-26.25,-112.47,-92.57,23.00,-193.90,-1794.79,-237.01,-112.30,-1.03,95.14
IncomeBeforeTaxProfit_sy,,,,,29.31,17.80,34.35,5.80,23.36,-10.40,-27.16,-4.45,-5.36,9.40,18.59,-32.16,2.96,-26.39,-1.28,22.01
IncomeBeforeTaxProfit_qq,,146.77,-82.22,309.41,42.64,94.95,-63.83,-39.57,599.67,-68.68,-44.31,-110.22,516.82,418.59,-142.51,-106.19,69.86,53.44,-249.20,90.07
IncomeBeforeTaxProfit_sq,,-18.54,-9.79,24.98,16.24,-47.98,13.78,11.32,1.14,-4.34,-1.84,18.51,-16.47,6.91,-2.61,-30.04,37.48,-21.98,7.38,-6.86
IncomeDiscontinuedProfit,,,,,,,,,,,,,,,,,,,,
IncomeDiscontinuedProfit_yy,,,,,,,,,,,,,,,,,,,,
IncomeDiscontinuedProfit_sy,,,,,,,,,,,,,,,,,,,,
IncomeDiscontinuedProfit_qq,,,,,,,,,,,,,,,,,,,,
IncomeDiscontinuedProfit_sq,,,,,,,,,,,,,,,,,,,,
IncomeNetProfit,2486000,6864000,854000,3990000,6672000,13493000,4442000,2793000,19346000,5373000,3156000,-667000,1362000,6240000,-3309000,-7882000,-2115000,-13478000,-4101000,-1799000
IncomeNetProfit_yy,,,,,168.38,96.58,420.14,-30.00,189.96,-60.18,-28.95,-123.88,-92.96,16.14,-204.85,-1081.71,-255.29,-315.99,-23.93,77.18
IncomeNetProfit_sy,,,,,34.75,8.14,41.94,1.61,29.53,-14.87,-15.21,4.69,-17.38,0.21,19.91,-39.89,13.49,-11.55,-9.96,51.70
IncomeNetProfit_qq,,176.11,-87.56,367.21,67.22,102.23,-67.08,-37.12,592.66,-72.23,-41.26,-121.13,304.20,358.15,-153.03,-138.20,73.17,-537.26,69.57,56.13
IncomeNetProfit_sq,,-27.57,-5.94,18.62,8.59,-37.73,-11.18,24.75,12.14,-23.20,-1.51,11.16,-8.65,-4.53,14.21,-29.32,23.55,-24.91,17.54,-8.36
IncomeShareholderNetProfit,2486000,6864000,854000,3990000,6672000,13493000,4442000,2793000,19346000,5373000,3156000,-570000,1403000,6342000,-3290000,-7868000,-2058000,-13498000,-4053000,-1758000
IncomeShareholderNetProfit_yy,,,,,168.38,96.58,420.14,-30.00,189.96,-60.18,-28.95,-120.41,-92.75,18.03,-204.25,-1280.35,-246.69,-312.84,-23.19,77.66
IncomeShareholderNetProfit_sy,,,,,25.55,9.97,42.03,14.59,39.16,-14.93,-16.46,14.12,-22.26,0.21,10.04,-39.89,14.16,-7.32,-10.11,46.79
IncomeShareholderNetProfit_qq,,176.11,-87.56,367.21,67.22,102.23,-67.08,-37.12,592.66,-72.23,-41.26,-118.06,346.14,352.03,-151.88,-139.15,73.84,-555.88,69.97,56.62
IncomeShareholderNetProfit_sq,,-24.38,-12.57,19.58,6.76,-33.49,-8.38,25.93,18.69,-33.34,-1.51,29.06,-17.16,6.33,14.78,-29.22,43.74,-24.98,17.54,-4.30
BalanceNoncurrentAssets,,105727000,,107171000,122753000,115987000,119060000,138052000,150268000,155576000,166942000,166670000,165882000,167728000,154428000,156715000,166083000,154825000,158933000,157287000
BalanceNoncurrentAssets_yy,,,,,,9.70,,28.81,22.41,34.13,40.22,20.73,10.39,7.81,-7.50,-5.97,0.12,-7.69,2.92,0.36
BalanceNoncurrentAssets_sy,,,,,,9.70,,6.29,6.63,6.82,13.71,8.31,9.99,9.71,6.71,1.32,2.24,-0.52,3.24,6.48
BalanceNoncurrentAssets_qq,,,-100.00,,14.54,-5.51,2.65,15.95,8.85,3.53,7.31,-0.16,-0.47,1.11,-7.93,1.48,5.98,-6.78,2.65,-1.04
BalanceNoncurrentAssets_sq,,,-0.28,,0.88,-0.03,-0.67,2.72,1.14,2.24,0.62,0.90,0.26,0.10,-0.21,1.04,0.37,-0.23,0.68,-0.24
BalanceIntangibleAssets,,11028000,,10766000,10687000,10594000,10500000,10372000,10277000,11039000,10980000,10946000,10895000,9860000,9784000,9734000,9716000,9655000,9644000,9616000
BalanceIntangibleAssets_yy,,,,,,-3.94,,-3.66,-3.84,4.20,4.57,5.53,6.01,-10.68,-10.89,-11.07,-10.82,-2.08,-1.43,-1.21
BalanceIntangibleAssets_sy,,,,,,0.39,,-0.04,-0.10,4.20,6.62,5.03,6.01,0.82,0.06,-0.66,0.02,-1.84,0.04,0.66
BalanceIntangibleAssets_qq,,,-100.00,,-0.73,-0.87,-0.89,-1.22,-0.92,7.41,-0.53,-0.31,-0.47,-9.50,-0.77,-0.51,-0.18,-0.63,-0.11,-0.29
BalanceIntangibleAssets_sq,,,-0.72,,-0.73,0.26,-1.40,-0.79,-0.19,1.67,-0.53,0.18,-0.29,0.35,-0.77,-0.22,-0.27,-0.54,-0.14,-0.11
BalanceProperty,,68763000,,67404000,68332000,72814000,74904000,93550000,96781000,94179000,104729000,102722000,102048000,106725000,109928000,110682000,116630000,118039000,123134000,123927000
BalanceProperty_yy,,,,,,5.89,,38.79,41.63,29.34,39.82,9.80,5.44,13.32,4.96,7.75,14.29,10.60,12.01,11.97
BalanceProperty_sy,,,,,,4.90,,5.88,4.68,5.72,5.57,4.03,3.33,3.26,1.03,-0.23,2.01,-0.04,2.24,2.38
BalanceProperty_qq,,,-100.00,,1.38,6.56,2.87,24.89,3.45,-2.69,11.20,-1.92,-0.66,4.58,3.00,0.69,5.37,1.21,4.32,0.64
BalanceProperty_sq,,,-0.64,,0.06,1.11,-0.27,1.00,-0.16,0.83,0.09,0.58,-0.08,0.16,-0.62,-0.30,-0.30,0.23,-0.60,-0.37
BalanceNoncurrentReceivables,,6187000,,11287000,22262000,4566000,7104000,8457000,16130000,21908000,23432000,25876000,26122000,26945000,7416000,7575000,7437000,7458000,7849000,8457000
BalanceNoncurrentReceivables_yy,,,,,,-26.20,,-25.07,-27.54,379.81,229.84,205.97,61.95,22.99,-68.35,-70.73,-71.53,-72.32,5.84,11.64
BalanceNoncurrentReceivables_sy,,,,,,4.97,,15.83,23.86,9.97,7.14,,-14.81,-3.68,-2.94,-25.38,-33.09,,,
BalanceNoncurrentReceivables_qq,,,-100.00,,97.24,-79.49,55.58,19.05,90.73,35.82,6.96,10.43,0.95,3.15,-72.48,2.14,-1.82,0.28,5.24,7.75
BalanceNoncurrentReceivables_sq,,,,,-0.12,,7.14,0.61,1.18,,0.34,3.43,-1.30,-5.13,,3.54,,,0.92,
BalanceNoncurrInvestments,,1449000,,826000,785000,1313000,1168000,1015000,1045000,1307000,1294000,1191000,1149000,1315000,1178000,1046000,995000,1315000,1123000,1006000
BalanceNoncurrInvestments_yy,,,,,,-9.39,,22.88,33.12,-0.46,10.79,17.34,9.95,0.61,-8.96,-12.17,-13.40,,-4.67,-3.82
BalanceNoncurrInvestments_sy,,,,,,-3.46,,-12.19,12.48,10.85,10.79,17.34,23.56,2.43,,,2.13,,,-7.72
BalanceNoncurrInvestments_qq,,,-100.00,,-4.96,67.26,-11.04,-13.10,2.96,25.07,-0.99,-7.96,-3.53,14.45,-10.42,-11.21,-4.88,32.16,-14.60,-10.42
BalanceNoncurrInvestments_sq,,,0.21,,0.41,-1.58,0.78,0.01,1.40,0.51,,,,-0.80,,1.32,,,,-0.78
BalanceOtherNoncurrentAssets,,18300000,,16888000,20687000,26700000,25384000,24658000,26035000,27143000,26507000,25935000,25668000,22883000,26122000,27678000,31305000,18358000,17183000,14281000
BalanceOtherNoncurrentAssets_yy,,,,,,45.90,,46.01,25.85,1.66,4.42,5.18,-1.41,-15.69,-1.45,6.72,21.96,-19.77,-34.22,-48.40
BalanceOtherNoncurrentAssets_sy,,,,,,10.19,,7.90,8.65,9.75,19.78,7.27,12.63,-3.12,7.50,8.73,13.39,2.03,9.50,-0.68
BalanceOtherNoncurrentAssets_qq,,,-100.00,,22.50,29.07,-4.93,-2.86,5.58,4.26,-2.34,-2.16,-1.03,-10.85,14.15,5.96,13.10,-41.36,-6.40,-16.89
BalanceOtherNoncurrentAssets_sq,,,-0.06,,0.48,-0.58,-1.45,0.34,0.10,0.25,,2.21,-1.46,-0.46,1.32,5.30,5.44,-8.23,3.08,-1.39
BalanceCurrentAssets,,389494000,,382067000,534344000,648523000,589583000,501958000,621982000,520342000,412175000,427849000,402218000,513129000,374412000,403596000,487941000,635620000,496047000,552047000
BalanceCurrentAssets_yy,,,,,,66.50,,31.38,16.40,-19.77,-30.09,-14.76,-35.33,-1.39,-9.16,-5.67,21.31,23.87,32.49,36.78
BalanceCurrentAssets_sy,,,,,,6.89,,10.18,12.21,6.48,9.94,11.56,8.24,9.60,10.55,-0.44,10.25,15.14,15.11,12.91
BalanceCurrentAssets_qq,,,-100.00,,39.86,21.37,-9.09,-14.86,23.91,-16.34,-20.79,3.80,-5.99,27.57,-27.03,7.79,20.90,30.27,-21.96,11.29
BalanceCurrentAssets_sq,,,1.18,,0.12,1.98,6.60,-0.17,-0.95,-1.09,1.79,3.80,-1.29,2.94,0.48,-0.18,1.88,5.23,-1.04,-0.16
BalanceInventory,,24985000,,27569000,37463000,36389000,49211000,50389000,22479000,20588000,19774000,25797000,25268000,18537000,39302000,52324000,101957000,61622000,108394000,110397000
BalanceInventory_yy,,,,,,45.64,,82.77,-40.00,-43.42,-59.82,-48.80,12.41,-9.96,98.76,102.83,303.50,232.43,175.80,110.99
BalanceInventory_sy,,,,,,8.09,,10.16,7.36,5.34,4.82,10.75,12.41,3.67,18.37,6.66,5.07,5.73,7.37,16.94
BalanceInventory_qq,,,-100.00,,35.89,-2.87,35.24,2.39,-55.39,-8.41,-3.95,30.46,-2.05,-26.64,112.02,33.13,94.86,-39.56,75.90,1.85
BalanceInventory_sq,,,0.09,,1.39,-1.68,3.67,0.51,,-6.31,2.65,5.18,3.24,-1.95,1.67,-0.47,5.25,-2.26,2.10,4.84
BalanceCurrentReceivables,,240411000,,215762000,319870000,414976000,326134000,380615000,497628000,119315000,209421000,273573000,282410000,244182000,122896000,184561000,120508000,252148000,131168000,115510000
BalanceCurrentReceivables_yy,,,,,,72.61,,76.41,55.57,-71.25,-35.79,-28.12,-43.25,104.65,-41.32,-32.54,-57.33,3.26,6.73,-37.41
BalanceCurrentReceivables_sy,,,,,,12.51,,16.49,14.16,10.18,14.29,12.03,19.65,17.36,12.25,9.77,11.50,9.35,7.57,11.40
BalanceCurrentReceivables_qq,,,-100.00,,48.25,29.73,-21.41,16.71,30.74,-76.02,75.52,30.63,3.23,-13.54,-49.67,50.18,-34.71,109.24,-47.98,-11.94
BalanceCurrentReceivables_sq,,,4.98,,4.00,-0.60,2.11,6.84,4.12,-1.27,7.50,7.37,3.02,1.86,0.73,3.86,4.98,-2.55,1.94,3.62
BalanceCurrentInvestments,,1000,,749000,5000,,,,5000,,,,,,30700000,2000,,68000,4000,2000
BalanceCurrentInvestments_yy,,,,,,-100.00,,-100.00,,,,,-100.00,,,,,,-99.99,
BalanceCurrentInvestments_sy,,,,,,-16.96,,-28.96,,,,,2.72,,,,,,-6.78,
BalanceCurrentInvestments_qq,,,-100.00,,-99.33,-100.00,,,,-100.00,,,,,,-99.99,-100.00,,-94.12,-50.00
BalanceCurrentInvestments_sq,,,-2.99,,,-4.45,,,,-4.66,,,,,,-0.74,1.18,,-0.10,
BalanceCash,,119907000,,132340000,173168000,193695000,211266000,68150000,99837000,342859000,179780000,126313000,92786000,207105000,147849000,125189000,189332000,186376000,79433000,74127000
BalanceCash_yy,,,,,,61.54,,-48.50,-42.35,77.01,-14.90,85.35,-7.06,-39.59,-17.76,-0.89,104.05,-10.01,-46.27,-40.79
BalanceCash_sy,,,,,,31.28,,36.03,28.67,13.45,-6.24,-9.07,3.46,-4.79,-0.76,-0.14,-11.52,5.80,-1.73,-14.94
BalanceCash_qq,,,-100.00,,30.85,11.85,9.07,-67.74,46.50,243.42,-47.56,-29.74,-26.54,123.21,-28.61,-15.33,51.24,-1.56,-57.38,-6.68
BalanceCash_sq,,,-13.94,,-0.86,22.85,15.80,-9.28,-12.22,9.84,-4.11,-3.84,-1.74,11.07,-1.49,-13.85,-1.81,10.86,-19.30,-15.65
BalanceOtherCurrentAssets,,4190000,,5647000,3838000,3463000,2972000,2804000,2033000,37580000,3200000,2166000,1754000,43305000,33665000,41520000,76144000,135406000,177048000,252011000
BalanceOtherCurrentAssets_yy,,,,,,-17.35,,-50.35,-47.03,985.19,7.67,-22.75,-13.72,15.23,952.03,1816.90,4241.16,212.68,425.91,506.96
BalanceOtherCurrentAssets_sy,,,,,,6.21,,3.03,-8.41,17.32,24.04,10.53,20.26,20.99,-0.05,23.94,8.50,12.08,-0.81,4.88
BalanceOtherCurrentAssets_qq,,,-100.00,,-32.03,-9.77,-14.18,-5.65,-27.50,1748.50,-91.48,-32.31,-19.02,2368.93,-22.26,23.33,83.39,77.83,30.75,42.34
BalanceOtherCurrentAssets_sq,,,29.37,,-0.70,-16.89,28.01,4.90,-1.93,-13.75,37.09,-10.21,2.27,0.05,20.80,6.50,-8.79,-5.42,13.45,2.36
BalanceAssetsForSale,,,,,,,,,,,,,,,,,,,,
BalanceAssetsForSale_yy,,,,,,,,,,,,,,,,,,,,
BalanceAssetsForSale_sy,,,,,,,,,,,,,,,,,,,,
BalanceAssetsForSale_qq,,,,,,,,,,,,,,,,,,,,
BalanceAssetsForSale_sq,,,,,,,,,,,,,,,,,,,,
BalanceTotalAssets,,495221000,,489238000,657097000,764510000,708643000,640010000,772250000,675918000,579117000,594519000,568100000,680857000,528840000,560311000,654024000,790445000,654980000,709334000
BalanceTotalAssets_yy,,,,,,54.38,,30.82,17.52,-11.59,-18.28,-7.11,-26.44,0.73,-8.68,-5.75,15.12,16.10,23.85,26.60
BalanceTotalAssets_sy,,,,,,8.61,,8.47,10.56,6.99,7.68,6.80,4.97,9.33,7.54,5.03,7.09,7.08,9.50,11.96
BalanceTotalAssets_qq,,,-100.00,,34.31,16.35,-7.31,-9.69,20.66,-12.47,-14.32,2.66,-4.44,19.85,-22.33,5.95,16.73,20.86,-17.14,8.30
BalanceTotalAssets_sq,,,0.46,,1.51,0.09,2.54,1.78,0.67,1.04,0.55,3.07,0.48,3.35,0.82,-0.08,1.95,3.53,0.54,0.06
BalanceCapital,,123008000,,127864000,190700000,203312000,207715000,199208000,218147000,223562000,226767000,210474000,212066000,218924000,215525000,197071000,195173000,182457000,178251000,174817000
BalanceCapital_yy,,,,,,65.28,,55.80,14.39,9.96,9.17,5.66,-2.79,-2.07,-4.96,-6.37,-7.97,-16.66,-17.29,-11.29
BalanceCapital_sy,,,,,,9.50,,9.38,8.04,3.66,4.08,3.73,2.69,6.54,5.27,4.33,5.43,1.67,4.20,4.61
BalanceCapital_qq,,,-100.00,,49.14,6.61,2.17,-4.10,9.51,2.48,1.43,-7.18,0.76,3.23,-1.55,-8.56,-0.96,-6.52,-2.31,-1.93
BalanceCapital_sq,,,1.50,,2.71,0.37,1.78,0.07,2.46,-1.60,1.41,1.00,1.84,2.44,0.82,-2.88,1.33,0.57,1.34,-1.93
BalanceShareCapital,,3114000,,3114000,4594000,4594000,4594000,4594000,4594000,4594000,4594000,4594000,4594000,4594000,4594000,4594000,4594000,4594000,4594000,4594000
BalanceShareCapital_yy,,,,,,47.53,,47.53,,,,,,,,,,,,
BalanceShareCapital_sy,,,,,,,,,,,,,,,,,,,,
BalanceShareCapital_qq,,,-100.00,,47.53,,,,,,,,,,,,,,,
BalanceShareCapital_sq,,,,,,,,,,,,,,,,,,,,
BalanceOwnShares,,,,,,,,,,,,,,,,,,,,
BalanceOwnShares_yy,,,,,,,,,,,,,,,,,,,,
BalanceOwnShares_sy,,,,,,,,,,,,,,,,,,,,
