,2005/Q1,2005/Q2,2005/Q3,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3
IncomeOtherIncome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-457000,-578000,-227000,1393000,948000,991000
IncomeNetGrossProfit,1197000,-1499000,-361000,-662000,67000,-4536000,-166000,2074000,9141000,-144000,3071000,1260000,-766000,971000,-4823000,-3654000,-3993000,-23359000,-954000,1056000,1486000,-3662000,702000,-272000,1039000,-5349000,-1788000,43280000,4547000,16374000,8471000,13900000,4108000,9815000,3514000,7167000,-210000,-65676000,2574000,-9407000,-2144000,-62905000,-2666000,-1683000,-3610000,,,,,,
IncomeExtraordinarProfit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-457000,-578000,-227000,1393000,948000,991000
IncomeBeforeTaxProfit,1197000,-1499000,-361000,-662000,67000,-4536000,-166000,2074000,9141000,-144000,3071000,1260000,-766000,971000,-4823000,-3654000,-3993000,-23359000,-954000,1056000,1486000,-3662000,702000,-272000,1039000,-5349000,-1788000,43280000,4547000,16374000,8471000,13900000,4108000,9815000,3514000,7167000,-210000,-65676000,2574000,-9407000,-2144000,-62905000,-2666000,-1683000,-3610000,,,,,,
IncomeDiscontinuedProfit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1773000,-5005000,-3457000,0,0,,,,,,,-446000,-562000,-248000,1167000,847000,639000,1062000,-1443000,-352000
IncomeNetProfit,-689000,71000,-3651000,11000,1883000,5565000,1149000,2499000,1636000,10000,971000,-4874000,-4151000,-3979000,-23001000,-974000,984000,1279000,-3551000,487000,-418000,866000,-4919000,-1798000,33429000,5300000,12587000,6639000,9675000,5474000,2175000,2437000,2509000,557000,-53141000,2068000,-7977000,-1173000,-58250000,-2380000,-1301000,-2958000,-446000,-562000,-248000,1167000,847000,639000,1062000,-1443000,-352000
IncomeShareholderNetProfit,-689000,71000,-3651000,11000,1883000,5565000,1149000,2499000,1636000,10000,971000,-4874000,-4151000,-3979000,-23001000,-974000,984000,1279000,-3551000,487000,-418000,866000,-4919000,-1798000,33429000,5300000,12587000,6639000,9675000,5474000,2203000,2443000,2503000,568000,-53141000,2068000,-7977000,-1173000,-58250000,-2380000,-1301000,-2958000,,,,,,,,,
BalanceNoncurrentAssets,2650000,3174000,3028000,3987000,4139000,4770000,4886000,4416000,4908000,4877000,6376000,49765000,33495000,35019000,33490000,42157000,40155000,37448000,27458000,20545000,19307000,19152000,14278000,14520000,13169000,12232000,9872000,10674000,523615000,512921000,527393000,515469000,538841000,537231000,525357000,532187000,520965000,518906000,453933000,469220000,451111000,445172000,417889000,293597000,293287000,290217000,156000,352000,295000,284000,188000
BalanceIntangibleAssets,279000,223000,168000,902000,977000,1017000,34937000,11565000,13608000,12489000,22046000,19330000,17322000,11959000,2897000,2394000,2056000,1452000,1156000,908000,750000,1846000,1682000,2201000,2055000,2004000,2015000,1917000,1827000,1752000,1661000,585000,571000,558000,544000,533000,525000,147000,134000,124000,111000,2163000,2475000,2408000,3607000,3752000,4425000,4218000,4146000,3936000,3816000
BalanceProperty,3725000,13037000,20891000,20699000,20312000,19443000,19301000,18345000,14435000,15312000,14569000,13888000,11743000,11501000,11013000,10475000,7463000,8439000,311452000,296207000,312385000,308559000,310720000,306989000,304440000,299272000,291943000,291206000,243752000,240898000,238117000,235343000,212346000,246786000,233643000,230178000,,,,,,,,,,0,,,,42000,0
BalanceNoncurrentReceivables,,,40000,96000,105000,590000,544000,1447000,441000,0,503000,472000,0,,186730000,190763000,188008000,181625000,202408000,204359000,201257000,214736000,223066000,221693000,202171000,220341000,204522000,200643000,196845000,42886000,49656000,48924000,4000,4000,4000,,,0,,,,32000,0,,,8000,,,,,
BalanceNoncurrInvestments,,,,,,,19170000,20136000,21836000,20136000,20636000,20886000,15145000,13704000,7000,,,,327000,343000,321000,96000,199000,66000,445000,102000,70000,84000,1634000,1791000,965000,712000,689000,668000,1476000,1685000,959000,1746000,1800000,1761000,642000,1863000,745000,535000,563000,553000,4062000,3760000,3160000,3134000,3160000
BalanceOtherNoncurrentAssets,3170000,2763000,2814000,5371000,5436000,7452000,7437000,7932000,8661000,8551000,3791000,9864000,11004000,9314000,8939000,13826000,12629000,16838000,16979000,23621000,16048000,15074000,14798000,16079000,34207000,49560000,64125000,64864000,65373000,44418000,47173000,49303000,18358000,16813000,14786000,15183000,14407000,14626000,15520000,11091000,13447000,64500000,65485000,67151000,62119000,62728000,63203000,43247000,36525000,29934000,27801000
BalanceCurrentAssets,25398000,19744000,37761000,39298000,32059000,27365000,26415000,28290000,572000,467000,471000,12000,198000,14000,8000,9000,8000,9000,8000,14000,548000,339000,256000,341000,118000,82000,79000,109000,42000,156000,107000,104000,94000,102000,80000,78000,432000,490000,560000,512000,412000,425000,366000,353000,247000,247000,47000,128000,129000,129000,3417000
BalanceInventory,3616000,6319000,6613000,11221000,10827000,15465000,7558000,9962000,8106000,14801000,28745000,44466000,57549000,59805000,60748000,42376000,39238000,43320000,13467000,14994000,14233000,14627000,13856000,14410000,15322000,10771000,12819000,58073000,54461000,42822000,39857000,49596000,48947000,35539000,28794000,24242000,23613000,22816000,14117000,27165000,24369000,17253000,15948000,11811000,13669000,,,,,,
BalanceCurrentReceivables,,,0,0,,,,2292000,0,,,700000,6133000,4983000,2905000,0,,0,3000,0,0,51000,52000,1598000,1618000,1638000,3377000,175000,4685000,3315000,169000,105000,105000,105000,105000,105000,105000,105000,105000,105000,105000,4660000,3460000,5061000,4283000,3132000,4123000,6201000,7255000,5104000,6683000
BalanceCurrentInvestments,786000,5262000,2254000,6237000,4502000,4284000,1224000,1720000,921000,1877000,1777000,397000,449000,444000,122000,96000,189000,498000,1849000,6232000,20119000,9255000,3907000,1054000,2377000,1569000,546000,621000,572000,1619000,7262000,12416000,13181000,7914000,12005000,12867000,665000,1396000,1975000,1721000,2287000,2015000,1947000,1226000,484000,186000,,301000,,,
BalanceCash,,,,,,,,,,,,2548000,2684000,2012000,9118000,8638000,8092000,1650000,5640000,4794000,3215000,1858000,3775000,3100000,2279000,1520000,3398000,2494000,1649000,,,,,,,,,,,,,,,,,,237000,,867000,438000,
BalanceOtherCurrentAssets,,,,,,,,,,,,,,,,10247000,2592000,1492000,1492000,1492000,1492000,2527000,2528000,1598000,1599000,11964000,12113000,16854000,16616000,20977000,21749000,28507000,20464000,19982000,19675000,22455000,83972000,83055000,99144000,98354000,107767000,84573000,85488000,77199000,38903000,36120000,33938000,29461000,28927000,27795000,27752000
BalanceAssetsForSale,20963000,24121000,588115000,578406000,594544000,577588000,601569000,600434000,568604000,568712000,561146000,549299000,480823000,490456000,490364000,485962000,452475000,323490000,321300000,320106000,8897000,8335000,8087000,9254000,10101000,10740000,11802000,10359000,11181000,9318000,5738000,5749000,27918000,38644000,41143000,41415000,42480000,37606000,33280000,5550000,4575000,5560000,3397000,3884000,7453000,8317000,3412000,5669000,294723000,310857000,322078000
BalanceTotalAssets,319095000,338356000,340539000,331024000,338507000,340990000,341559000,283378000,283728000,280859000,276667000,218046000,88419000,95129000,92169000,607000,607000,607000,607000,607000,607000,607000,607000,607000,607000,607000,607000,1729000,1817000,1817000,1817000,1817000,1817000,1817000,1817000,1817000,1817000,1817000,1817000,2217000,2217000,2236000,2236000,2236000,6570000,6570000,6570000,130849000,130849000,130849000,130849000
BalanceCapital,130849000,130849000,130849000,130849000,130849000,130849000,130849000,130849000,130849000,130849000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceShareCapital,,,,,,,,,,,11099000,10333000,10333000,10333000,10333000,10333000,10333000,10333000,10333000,11438000,11438000,11438000,30601000,34525000,34526000,39811000,35547000,39894000,40489000,39738000,39738000,39738000,7034000,7034000,11506000,11505000,11499000,11499000,260856000,267356000,265990000,265988000,191192000,191083000,190843000,205215000,220472000,220434000,220472000,218755000,220473000
BalanceOwnShares,220472000,220472000,220473000,220473000,220472000,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,1000,1000,1000,1000,1000,1000,1000,1000,1000,-28000,-33000,-27000,,,,,,317000
BalanceReserve,19000,,23000,45000,1299000,1091000,25000,19451000,4521000,4308000,3687000,3005000,4722000,4240000,3074000,3349000,3607000,2248000,209000,0,,0,,208952000,222918000,202973000,197199000,195204000,185074000,135592000,136708000,131786000,55602000,42487000,41752000,40666000,40090000,34428000,33255000,22575000,22944000,317000,19000,,23000,45000,,,,,
BalanceNonshareCapital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,37000,25000,12020000,4521000,4308000,3687000,3005000
BalanceNoncurrentLiabilities,4596000,4064000,3074000,2277000,2484000,1122000,209000,0,,0,,160503000,174988000,152040000,147016000,140534000,130029000,84390000,81725000,78494000,496000,385000,389000,1000,1000,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentTradeLiabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentBorrowings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1299000,1054000,,7431000,0,,0,0,,,126000,176000,,1072000,1123000,1126000,0,
BalanceNoncurrentObligations,,,48449000,47930000,50933000,50183000,54670000,55045000,51202000,54983000,53292000,55106000,42102000,41363000,40666000,40090000,34428000,33255000,22574000,22943000,2750000,3759000,8767000,7362000,10876000,10986000,16704000,10060000,7502000,9266000,16692000,58772000,50616000,56192000,53524000,63347000,37371000,43642000,40845000,30004000,27938000,26130000,25855000,25042000,20341000,19434000,17550000,18451000,84440000,44630000,69492000
BalanceNoncurrentLeasing,61293000,68009000,74820000,102016000,93530000,77804000,152138000,154958000,164976000,168839000,169205000,200001000,201816000,203596000,204993000,2415000,2962000,7761000,6585000,9358000,8962000,12416000,8824000,7459000,9226000,10172000,34335000,39530000,46404000,45788000,41624000,20742000,25807000,18591000,15132000,18257000,17770000,16580000,14585000,15245000,15180000,14384000,15447000,39349000,21440000,28670000,21297000,23760000,19644000,24242000,27028000
BalanceNoncurrentOtherLiabilities,15268000,15073000,15293000,20010000,19900000,19456000,20137000,19470000,19592000,19195000,,,,,,,,,0,0,,1474000,223000,5536000,6807000,5792000,8868000,10515000,11464000,11277000,7328000,5395000,6963000,7687000,8743000,3736000,3006000,2545000,2207000,32882000,12802000,30969000,30868000,31863000,40657000,64508000,54146000,52465000,129484000,130369000,132516000
BalanceCurrentLiabilities,135103000,137225000,139415000,142328000,143617000,145769000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceCurrentTradePayablesv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceCurrentBorrowings,,,,,,,230000,699000,944000,720000,1461000,1973000,4242000,1195000,0,0,5016000,2521000,5550000,2859000,1488000,12621000,6114000,6371000,10977000,7544000,4286000,1397000,1554000,1581000,1360000,1247000,621000,797000,6926000,7906000,7775000,5159000,4925000,5069000,8893000,11234000,19034000,6292000,8857000,11356000,12969000,11850000,39889000,39036000,39593000
BalanceCurrentObligations,39404000,105000,98000,62000,57000,57000,51000,46000,41000,43000,40000,30000,21693000,0,,122000,456000,234000,,0,0,,,34000,133000,1000,5283000,2482000,2078000,3969000,7461000,9450000,4373000,1122000,1630000,1289000,439000,1094000,867000,674000,560000,982000,794000,625000,11964000,12113000,16854000,16616000,20977000,21749000,28506000
BalanceCurrentLeasing,20464000,19982000,19675000,0,22455000,83972000,83055000,0,99144000,98354000,107767000,0,84573000,85488000,77199000,0,38903000,36120000,33938000,0,29461000,28927000,27795000,27752000,20963000,24121000,588115000,578406000,594544000,577588000,601569000,600434000,568604000,568712000,550553000,549299000,480823000,490456000,490364000,485962000,452475000,323490000,321300000,320106000,,,,,,,
BalanceCurrentOtherLiabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceReckoning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceTotalEquityAndLiabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashflowOperatingCashflow,-30000,-788000,2301000,-147000,-642000,1654000,2144000,1180000,-1140000,1386000,-3679000,-3156000,5519000,6698000,-528000,3993000,-575000,-71000,-680000,3787000,6659000,912000,-9129000,-2370000,635000,468000,-2708000,2768000,-574000,1010000,718000,753000,547000,7771000,15521000,32067000,-780000,11851000,5645000,26876000,11157000,-1289000,2922000,1973000,1706000,6107000,5626000,3167000,-52000,4399000,1288000
CashflowAmortization,279000,283000,291000,259000,241000,246000,265000,262000,260000,0,1357000,1309000,4008000,1994000,2371000,2520000,2780000,2570000,2622000,1271000,1655000,1185000,956000,947000,761000,818000,776000,678000,562000,554000,7773000,4229000,3836000,4002000,3244000,3711000,3631000,3991000,3153000,3442000,3491000,2862000,3661000,2840000,2358000,3170000,4105000,3599000,-161000,-404000,-697000
CashflowInvestingCashflow,-626000,-506000,-656000,-60000,-58000,-747000,-63000,-87000,-478000,-4668000,-10866000,7300000,-242000,-179000,-982000,-2873000,-4083000,-6329000,-451000,1386000,13588000,948000,2111000,-1719000,3030000,-280000,0,-87000,-78000,-8987000,-2840000,-9790000,-2198000,-8122000,-4613000,252000,3695000,5148000,-80000,107000,-250000,-53000,-58000,-2042000,-5177000,239000,-123000,231000,420000,739000,889000
CashflowCapex,535000,681000,86000,94000,800000,114000,141000,551000,4691000,3738000,-111000,18000,276000,1040000,2893000,5082000,1102000,1454000,650000,-2252000,-122000,122000,-1265000,-157000,280000,43000,132000,51000,7774000,1949000,8263000,2317000,8055000,151000,4315000,276000,32000,81000,-108000,250000,53000,58000,2042000,5177000,745000,123000,-11000,-8000,-3000,-5000,-3000
CashflowFinancingCashflow,-7000,-6000,-68000,-4000,-4000,-2000,1411000,3619000,563000,-6188000,-224000,-1258000,896000,1233000,-874000,165000,-1259000,-5361000,1142000,-1700000,2644000,-6240000,-65000,849000,-1332000,-657000,-582000,-239000,-10369000,-8298000,-8390000,-7887000,-9404000,-3724000,-25647000,-15659000,-4460000,-2768000,-2129000,-408000,-412000,-414000,-360000,-38000,-547000,-304000,,,,,
CashflowShareCapitalCash,,,,,,,,,,,,,,,,,,,0,,,,,,,0,20000,,1470000,0,,5000,5000,0,,,,,-14000,,6000,0,,,,,,,,,
CashflowDividend,0,,,,328000,-328000,0,,1337000,25000,,,-23000,,,,,,,,,,,,,,,,,,,,,,,,-202000,-1200000,1601000,-778000,-1151000,991000,2078000,1054000,-2151000,1579000,-3768000,-2223000,4470000,-3013000,-8000
CashflowNetCashflow,3527000,-2012000,-157000,-2320000,-1170000,495000,-798000,111000,-855000,-117000,337000,-1871000,1923000,-5000,-322000,-26000,93000,308000,-11585000,4383000,13887000,-10865000,-5675000,-2692000,1481000,-807000,-601000,74000,-49000,1048000,5642000,5154000,765000,-5267000,4091000,861000,,,,,,,,,,,,,,,
