,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeOtherIncome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3889000,6257000
IncomeNetGrossProfit,4652000,1079000,3490000,5484000,7228000,1143000,5352000,8388000,755000,945000,3663000,-298000,102000,1599000,184000,108000,-1551000,-1048000,-1535000,-1081000,-1600000,5250000,-1801000,-1984000,-1155000,782000,-2414000,-2536000,-731000,-2425000,,
IncomeExtraordinarProfit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3889000,6257000
IncomeBeforeTaxProfit,4652000,1079000,3490000,5484000,7228000,1143000,5352000,8388000,755000,945000,3663000,-298000,102000,1599000,184000,108000,-1551000,-1048000,-1535000,-1081000,-1600000,5250000,-1801000,-1984000,-1155000,782000,-2414000,-2536000,-731000,-2425000,,
IncomeDiscontinuedProfit,,,,,,,,,,,,,,,,,2078000,1316000,3147000,2695000,42557000,-3154000,-1140000,-663000,,,3879000,6056000,4652000,1055000,3460000,5540000
IncomeNetProfit,7202000,1143000,5352000,8388000,755000,945000,3663000,-298000,102000,1599000,179000,98000,518000,259000,1603000,1607000,40952000,2088000,-2979000,-2641000,-1155000,782000,-2414000,-2536000,-731000,-2425000,3879000,6056000,4652000,1055000,3460000,5540000
IncomeShareholderNetProfit,7202000,1143000,5352000,8388000,755000,945000,3663000,-298000,102000,1599000,179000,98000,518000,259000,1603000,1607000,40952000,2088000,-2979000,-2641000,-1155000,782000,-2414000,-2536000,-731000,-2425000,,,,,,
BalanceNoncurrentAssets,,60179000,68826000,114195000,129431000,138789000,164830000,3569000,168124000,167022000,5730000,5677000,5681000,5713000,5645000,6297000,5711000,9414000,12607000,11368000,13418000,40569000,41040000,41299000,38057000,19499000,19499000,649000,580000,553000,,2539000
BalanceIntangibleAssets,2471000,2420000,2372000,2354000,2317000,2323000,2304000,2259000,2212000,2186000,2187000,2180000,2129000,2550000,1387000,2525000,2520000,698000,1334000,541000,469000,405000,351000,306000,268000,283000,246000,218000,,1554000,1478000,1343000
BalanceProperty,1328000,1162000,1115000,1242000,3363000,3533000,3479000,3491000,3494000,3533000,3510000,3688000,4268000,6832000,10018000,10611000,12026000,13135000,13635000,14766000,15891000,377000,415000,303000,278000,279000,,0,,0,,16000
BalanceNoncurrentReceivables,13000,10000,7000,4000,1000,0,39000,,6000,59000,56000,57000,69000,59000,58000,26893000,26936000,26128000,21815000,18816000,18816000,63000,56000,56000,,56086000,64877000,110390000,125718000,135263000,161391000,162456000
BalanceNoncurrInvestments,161230000,,,,,,,,,,,,,,,,,,,0,,,,26000,,,,,,,,
BalanceOtherNoncurrentAssets,,,,,,,,,,,,,,,,,,1348000,5466000,30050000,37014000,36345000,23252000,189451000,24271000,27082000,194822000,186603000,186331000,187268000,167089000,165563000
BalanceCurrentAssets,15956000,164026000,154370000,8062000,17945000,163220000,160603000,74818000,39595000,29149000,18440000,29989000,20706000,21037000,,10000,29000,52000,47000,36000,38000,53000,68000,107000,107000,87000,15000,37000,53000,17000,47000,62000
BalanceInventory,11000,13000,42000,40000,2000,1000,1000,1000,,853000,2150000,818000,780000,1097000,1814000,2272000,948000,665000,717000,674000,669000,710000,474000,446000,411000,1241000,1413000,368000,360000,4477000,804000,1239000
BalanceCurrentReceivables,11283000,5837000,8948000,24418000,17512000,16439000,,,,,,,,,,168738000,,162629000,164402000,160960000,155169000,155583000,154734000,7099000,151077000,148266000,6333000,6004000,5881000,90348000,68506000,4430000
BalanceCurrentInvestments,4364000,4086000,1771000,1653000,1517000,,485000,3287000,29180000,36187000,35212000,21400000,18388000,23255000,26310000,31369000,21440000,24687000,31352000,10979000,10383000,8429000,11661000,4629000,1350000,11568000,152820000,69411000,5071000,23881000,3615000,5405000
BalanceCash,3800000,1541000,3081000,,,,,,,,,,,,,,,,,,,,,,,,,,,,15332000,
BalanceOtherCurrentAssets,,,,,,,,,,,,,,,,,,,,150211000,,148163000,187760000,,,,5525000,,,61527000,74292000,144245000
BalanceAssetsForSale,166445000,175134000,188082000,193020000,192395000,194104000,200552000,192280000,192012000,192981000,172734000,171860000,171878000,173440000,166977000,167593000,219123000,203789000,201643000,116117000,77652000,48648000,37939000,36163000,21286000,21590000,,54452000,58536000,88691000,95893000,93884000
BalanceTotalAssets,99236000,107624000,108378000,109433000,113096000,112798000,112899000,112135000,112303000,112268000,112824000,113076000,114596000,116490000,157471000,159341000,156355000,105773000,68203000,31216000,28802000,26266000,10313000,7933000,,12198000,16000000,19700000,19700000,19700000,19700000,19700000
BalanceCapital,19700000,19700000,19700000,19700000,19700000,19700000,19700000,19700000,19700000,19700000,19700000,19700000,19700000,19780000,19780000,19780000,19780000,19780000,19780000,13253000,13253000,13253000,,,,,,,,,,
BalanceShareCapital,,,,,,,,,,,,,,,,-48102000,-48102000,-48102000,-48102000,-15143000,-15143000,,588000,583000,18038000,18038000,18038000,18038000,18038000,18038000,18147000,18147000
BalanceOwnShares,18147000,18147000,18147000,18136000,21503000,23707000,21534000,21451000,21738000,21767000,21557000,21550000,21716000,59790000,59790000,59790000,18216000,18216000,18261000,,,,,,,,,,,,,
BalanceReserve,,,,,,,,,,,,,,,,,,,,,164000,195000,29660000,59746000,59934000,79923000,50434000,49814000,47764000,14941000,44720000,45185000
BalanceNonshareCapital,44980000,32840000,38374000,484000,37797000,40425000,5148000,5724000,6411000,6863000,6948000,67000,7543000,7678000,7528000,9525000,,,,,,,,,,,,,,,,
BalanceNoncurrentLiabilities,,,,,,,,,,,,,,,,,,152000,159000,29660000,59746000,59934000,79923000,50434000,49814000,47764000,14941000,44720000,45185000,44980000,32840000,38374000
BalanceNoncurrentTradeLiabilities,484000,37797000,40425000,5148000,5724000,6411000,6863000,6948000,67000,7543000,7678000,7528000,9525000,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentBorrowings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentObligations,,,,,,,,,,,,,,,12000,36000,,,,,,,,,,,,,,,,
BalanceNoncurrentLeasing,,,,,,,,,,,6911000,15561000,25894000,10806000,21316000,8923000,34962000,34203000,36907000,72515000,34762000,33928000,35866000,27591000,21218000,948000,22567000,11956000,2029000,17958000,38037000,38425000
BalanceNoncurrentOtherLiabilities,3396000,9449000,17365000,1594000,2219000,3445000,4132000,,6264000,1477000,11727000,9146000,19533000,6948000,3297000,2094000,2679000,3638000,2196000,2567000,1920000,2053000,3312000,824000,4299000,3542000,1470000,2245000,2162000,1628000,2515000,1722000
BalanceCurrentLiabilities,17074000,711000,1336000,566000,589000,,647000,14084000,12812000,106000,96000,80000,29657000,30190000,32267000,66871000,30446000,29924000,32475000,24045000,16253000,53000,16921000,6878000,458000,15622000,35629000,36495000,655000,7436000,32000,643000
BalanceCurrentTradePayablesv,648000,2611000,3253000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceCurrentBorrowings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceCurrentObligations,,,,,0,,0,,1355000,1554000,1687000,1895000,2008000,1919000,1961000,2006000,2120000,1437000,1471000,1493000,1653000,57693000,1347000,1536000,44027000,38061000,246000,229000,226000,291000,259000,240000
BalanceCurrentLeasing,235000,268000,290000,,,,,,,,,,,,,,,,,,,,,,,,,73000,,,,
BalanceCurrentOtherLiabilities,,0,61527000,0,74292000,0,144245000,166445000,175134000,188082000,193020000,192395000,194104000,200552000,192280000,192012000,192981000,172734000,171860000,114256000,173440000,166977000,123667000,181153000,203789000,201643000,116117000,77652000,48648000,37939000,36163000,21286000
BalanceReckoning,21590000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceTotalEquityAndLiabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashflowOperatingCashflow,4462000,3196000,3792000,1950000,-1324000,3873000,9996000,9193000,9931000,19523000,10494000,3249000,10173000,-5506000,4950000,8656000,1440000,4430000,1107000,3984000,4866000,6087000,18030000,-24861000,1346000,-2204000,430000,-666000,-5051000,-1912000,-4087000,-3956000
CashflowAmortization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashflowInvestingCashflow,-2581000,-5595000,-4486000,-9764000,-1973000,-22937000,-18780000,-8666000,-38519000,-20721000,-3422000,1514000,-4935000,4454000,-59000,-19000,-73000,-1024000,-843000,-1255000,-3568000,-953000,-882000,158652000,-85205000,22303000,55111000,25556000,-1150000,322000,15399000,3044000
CashflowCapex,249000,107000,59000,132000,91000,83000,156000,20000,90000,328000,2299000,-1184000,343000,1380000,211000,263000,176000,837000,843000,1255000,3603000,1422000,900000,1532000,691000,380000,1670000,-155000,1764000,145000,23000,50000
CashflowFinancingCashflow,-352000,284000,13862000,-2552000,19400000,28854000,15791000,-1502000,14776000,-1814000,-2205000,-1708000,-179000,-8877000,-1644000,-1972000,-21740000,-3251000,-367000,-1512000,-8382000,-1265000,-5866000,-336000,450000,-84439000,-36731000,-45156000,7991000,-15000,-13482000,2452000
CashflowShareCapitalCash,590000,6601000,3802000,0,21155000,0,,,,,,,,,,,,,,,,,,,,,,,,,1000000,1000000
CashflowDividend,4802000,623000,0,0,3152000,0,,,,,2364000,0,0,,,,,,,,36444000,37770000,0,0,1529000,-2115000,13168000,-10366000,16103000,9790000,7007000,-975000
CashflowNetCashflow,-13812000,-3012000,4867000,3055000,5059000,-9929000,3247000,6665000,-20373000,155000,-103000,1217000,-7084000,3869000,11282000,133455000,-83409000,-64340000,18810000,-20266000,1790000,-1605000,-2170000,1540000,,,,,,,,
