,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
BalanceIntangibleAssets_sy,,,,,0.04,0.66
BalanceIntangibleAssets_qq,,12.06,15.87,11.89,10.90,10.50
BalanceIntangibleAssets_sq,,-0.22,-0.27,-0.54,-0.14,-0.11
BalanceProperty,1216000,1153000,1080000,1265000,1193000,1132000
BalanceProperty_yy,,,,,-1.93,-1.80
BalanceProperty_sy,,,,,2.24,2.38
BalanceProperty_qq,,-5.21,-6.29,17.13,-5.74,-5.08
BalanceProperty_sq,,-0.30,-0.30,0.23,-0.60,-0.37
BalanceNoncurrentReceivables,,,,,,
BalanceNoncurrentReceivables_yy,,,,,,
BalanceNoncurrentReceivables_sy,,,,,,
BalanceNoncurrentReceivables_qq,,,,,,
BalanceNoncurrentReceivables_sq,,,,,,
BalanceNoncurrInvestments,,300000,300000,300000,300000,300000
BalanceNoncurrInvestments_yy,,,,,,
BalanceNoncurrInvestments_sy,,,,,,
BalanceNoncurrInvestments_qq,,,,,,
BalanceNoncurrInvestments_sq,,,,,,
BalanceOtherNoncurrentAssets,,,,,,1000
BalanceOtherNoncurrentAssets_yy,,,,,,
BalanceOtherNoncurrentAssets_sy,,,,,,
BalanceOtherNoncurrentAssets_qq,,,,,,
BalanceOtherNoncurrentAssets_sq,,,,,,
BalanceCurrentAssets,5267000,2360000,2261000,6248000,5146000,1861000
BalanceCurrentAssets_yy,,,,,-2.31,-21.16
BalanceCurrentAssets_sy,,,,,15.11,12.91
BalanceCurrentAssets_qq,,-55.19,-4.20,176.31,-17.64,-63.83
BalanceCurrentAssets_sq,,-0.18,1.88,5.23,-1.04,-0.16
BalanceInventory,,,,3000,11000,
BalanceInventory_yy,,,,,,
BalanceInventory_sy,,,,,,
BalanceInventory_qq,,,,,227.27,-100.00
BalanceInventory_sq,,,,,2.10,4.84
BalanceCurrentReceivables,752000,25000,543000,15000,184000,231000
BalanceCurrentReceivables_yy,,,,,-75.54,815.18
BalanceCurrentReceivables_sy,,,,,7.57,11.40
BalanceCurrentReceivables_qq,,-96.64,2049.02,-97.29,1148.75,25.75
BalanceCurrentReceivables_sq,,3.86,4.98,-2.55,1.94,3.62
BalanceCurrentInvestments,2000,,,,555000,
BalanceCurrentInvestments_yy,,,,,28822.36,
BalanceCurrentInvestments_sy,,,,,-6.78,
BalanceCurrentInvestments_qq,,-100.00,,,,-100.00
BalanceCurrentInvestments_sq,,-0.74,,,,
BalanceCash,4514000,1673000,1718000,5575000,4396000,1162000
BalanceCash_yy,,,,,-2.61,-30.53
BalanceCash_sy,,,,,-1.73,-14.94
BalanceCash_qq,,-62.93,2.70,224.43,-21.15,-73.56
BalanceCash_sq,,-13.85,-1.81,10.86,-19.30,-15.65
BalanceOtherCurrentAssets,,662000,,655000,,467000
BalanceOtherCurrentAssets_yy,,,,,,-29.39
BalanceOtherCurrentAssets_sy,,,,,,4.88
BalanceOtherCurrentAssets_qq,,,-100.00,,-100.00,
BalanceOtherCurrentAssets_sq,,,-8.79,,13.45,
BalanceAssetsForSale,,,,,,
BalanceAssetsForSale_yy,,,,,,
BalanceAssetsForSale_sy,,,,,,
BalanceAssetsForSale_qq,,,,,,
BalanceAssetsForSale_sq,,,,,,
BalanceTotalAssets,16665000,15222000,16861000,22605000,23042000,21421000
BalanceTotalAssets_yy,,,,,38.27,40.72
BalanceTotalAssets_sy,,,,,9.50,11.96
BalanceTotalAssets_qq,,-8.66,10.77,34.06,1.93,-7.04
BalanceTotalAssets_sq,,-0.08,1.95,3.53,0.54,0.06
BalanceCapital,11289000,10643000,10562000,12794000,11975000,11136000
BalanceCapital_yy,,,,,6.07,4.63
BalanceCapital_sy,,,,,4.20,4.61
BalanceCapital_qq,,-5.73,-0.76,21.13,-6.40,-7.01
BalanceCapital_sq,,-2.88,1.33,0.57,1.34,-1.93
BalanceShareCapital,12677000,12090000,12090000,12970000,13345000,12970000
BalanceShareCapital_yy,,,,,5.27,7.28
BalanceShareCapital_sy,,,,,,
BalanceShareCapital_qq,,-4.63,,7.28,2.89,-2.81
BalanceShareCapital_sq,,,,,,
BalanceOwnShares,,,,,,
BalanceOwnShares_yy,,,,,,
BalanceOwnShares_sy,,,,,,
BalanceOwnShares_qq,,,,,,
BalanceOwnShares_sq,,,,,,
BalanceReserve,3776000,4416000,4416000,6536000,6162000,6536000
BalanceReserve_yy,,,,,63.17,48.03
BalanceReserve_sy,,,,,2.16,3.31
BalanceReserve_qq,,16.93,,48.03,-5.73,6.08
BalanceReserve_sq,,0.88,,,,3.33
BalanceNonshareCapital,1388000,1340000,1383000,1374000,1370000,1329000
BalanceNonshareCapital_yy,,,,,-1.30,-0.77
BalanceNonshareCapital_sy,,,,,4.73,4.46
BalanceNonshareCapital_qq,,-3.45,3.21,-0.64,-0.32,-2.93
BalanceNonshareCapital_sq,,-0.08,2.65,8.95,,2.44
BalanceNoncurrentLiabilities,2453000,2281000,4460000,5960000,6946000,8304000
BalanceNoncurrentLiabilities_yy,,,,,183.16,264.06
BalanceNoncurrentLiabilities_sy,,,,,6.62,8.91
BalanceNoncurrentLiabilities_qq,,-7.02,95.53,33.65,16.54,19.54
BalanceNoncurrentLiabilities_sq,,-0.67,,-0.46,-0.67,
BalanceNoncurrentTradeLiabilities,,,,,,
BalanceNoncurrentTradeLiabilities_yy,,,,,,
BalanceNoncurrentTradeLiabilities_sy,,,,,,
BalanceNoncurrentTradeLiabilities_qq,,,,,,
BalanceNoncurrentTradeLiabilities_sq,,,,,,
BalanceNoncurrentBorrowings,,,,,59000,57000
BalanceNoncurrentBorrowings_yy,,,,,,
BalanceNoncurrentBorrowings_sy,,,,,,
BalanceNoncurrentBorrowings_qq,,,,,,-3.56
BalanceNoncurrentBorrowings_sq,,,,,,-1.82
BalanceNoncurrentObligations,,,,,,
BalanceNoncurrentObligations_yy,,,,,,
BalanceNoncurrentObligations_sy,,,,,,
BalanceNoncurrentObligations_qq,,,,,,
BalanceNoncurrentObligations_sq,,,,,,
BalanceNoncurrentLeasing,,,,,,
BalanceNoncurrentLeasing_yy,,,,,,
BalanceNoncurrentLeasing_sy,,,,,,
BalanceNoncurrentLeasing_qq,,,,,,
BalanceNoncurrentLeasing_sq,,,,,,
BalanceNoncurrentOtherLiabilities,2453000,2281000,4460000,5960000,6887000,8247000
BalanceNoncurrentOtherLiabilities_yy,,,,,180.76,261.56
BalanceNoncurrentOtherLiabilities_sy,,,,,0.53,2.48
BalanceNoncurrentOtherLiabilities_qq,,-7.02,95.53,33.65,15.55,19.74
BalanceNoncurrentOtherLiabilities_sq,,-1.06,0.55,1.38,0.37,0.22
BalanceCurrentLiabilities,1535000,959000,457000,2477000,2751000,652000
BalanceCurrentLiabilities_yy,,,,,79.28,-32.02
BalanceCurrentLiabilities_sy,,,,,21.56,24.10
BalanceCurrentLiabilities_qq,,-37.54,-52.31,441.89,11.06,-76.32
BalanceCurrentLiabilities_sq,,7.69,0.85,6.43,-0.14,2.50
BalanceCurrentTradePayablesv,869000,193000,310000,1397000,1581000,159000
BalanceCurrentTradePayablesv_yy,,,,,81.96,-17.36
BalanceCurrentTradePayablesv_sy,,,,,5.71,14.86
BalanceCurrentTradePayablesv_qq,,-77.82,60.68,351.01,13.19,-89.92
BalanceCurrentTradePayablesv_sq,,-0.28,-1.18,8.84,-3.08,5.22
BalanceCurrentBorrowings,,,,69000,55000,63000
BalanceCurrentBorrowings_yy,,,,,,
BalanceCurrentBorrowings_sy,,,,,,
BalanceCurrentBorrowings_qq,,,,,-21.28,16.00
BalanceCurrentBorrowings_sq,,,,,,0.60
BalanceCurrentObligations,,,,,,
BalanceCurrentObligations_yy,,,,,,
BalanceCurrentObligations_sy,,,,,,
BalanceCurrentObligations_qq,,,,,,
BalanceCurrentObligations_sq,,,,,,
BalanceCurrentLeasing,,,,,,
BalanceCurrentLeasing_yy,,,,,,
BalanceCurrentLeasing_sy,,,,,,
BalanceCurrentLeasing_qq,,,,,,
BalanceCurrentLeasing_sq,,,,,,
BalanceCurrentOtherLiabilities,22000,159000,147000,252000,186000,312000
BalanceCurrentOtherLiabilities_yy,,,,,746.50,96.44
BalanceCurrentOtherLiabilities_sy,,,,,18.50,23.94
BalanceCurrentOtherLiabilities_qq,,621.73,-7.03,70.65,-26.07,67.48
BalanceCurrentOtherLiabilities_sq,,9.23,-0.72,3.44,-0.82,7.86
BalanceReckoning,644000,607000,,759000,930000,117000
BalanceReckoning_yy,,,,,44.39,-80.68
BalanceReckoning_sy,,,,,10.25,2.78
BalanceReckoning_qq,,-5.69,-100.00,,22.40,-87.38
BalanceReckoning_sq,,-10.52,-1.89,,-0.36,4.68
BalanceTotalEquityAndLiabilities,16665000,15222000,16861000,22605000,23042000,21421000
BalanceTotalEquityAndLiabilities_yy,,,,,38.27,40.72
BalanceTotalEquityAndLiabilities_sy,,,,,9.93,11.96
BalanceTotalEquityAndLiabilities_qq,,-8.66,10.77,34.06,1.93,-7.04
BalanceTotalEquityAndLiabilities_sq,,-0.08,1.95,3.53,0.54,0.06
CashflowOperatingCashflow,-577000,-954000,-312000,-755000,-737000,-2245000
CashflowOperatingCashflow_yy,,,,,-27.75,-135.39
CashflowOperatingCashflow_sy,,,,,-17.79,0.11
CashflowOperatingCashflow_qq,,-65.36,67.26,-141.76,2.40,-204.68
CashflowOperatingCashflow_sq,,-5.55,-19.73,29.12,-15.36,-12.02
CashflowAmortization,10000,5000,12000,28000,11000,18000
CashflowAmortization_yy,,,,,11.99,256.88
CashflowAmortization_sy,,,,,10.77,11.26
CashflowAmortization_qq,,-46.72,129.23,134.66,-60.92,69.78
CashflowAmortization_sq,,1.12,0.83,1.46,,0.21
CashflowInvestingCashflow,-913000,-5320000,1744000,-4630000,-1619000,-1802000
CashflowInvestingCashflow_yy,,,,,-77.27,66.13
CashflowInvestingCashflow_sy,,,,,27.03,-27.92
CashflowInvestingCashflow_qq,,-482.52,132.79,-365.45,65.03,-11.30
CashflowInvestingCashflow_sq,,-26.40,-16.05,-9.36,36.05,-6.84
CashflowCapex,913000,5320000,-2044000,4930000,1619000,1802000
CashflowCapex_yy,,,,,77.27,-66.13
CashflowCapex_sy,,,,,27.56,30.28
CashflowCapex_qq,,482.52,-138.43,341.16,-67.16,11.30
CashflowCapex_sq,,-1.44,30.74,29.46,-24.88,-15.02
CashflowFinancingCashflow,-3303000,3433000,-1387000,9241000,1177000,813000
CashflowFinancingCashflow_yy,,,,,135.63,-76.31
CashflowFinancingCashflow_sy,,,,,1.70,23.12
CashflowFinancingCashflow_qq,,203.94,-140.40,766.37,-87.27,-30.88
CashflowFinancingCashflow_sq,,-55.53,58.58,-15.72,-8.55,8.37
CashflowShareCapitalCash,,,,3833000,,
CashflowShareCapitalCash_yy,,,,,,
CashflowShareCapitalCash_sy,,,,,,
CashflowShareCapitalCash_qq,,,,,-100.00,
CashflowShareCapitalCash_sq,,,,,-100.00,
CashflowDividend,,,,,,
CashflowDividend_yy,,,,,,
CashflowDividend_sy,,,,,,
CashflowDividend_qq,,,,,,
CashflowDividend_sq,,,,,,
CashflowNetCashflow,-4793000,-2841000,45000,3856000,-1179000,-3233000
CashflowNetCashflow_yy,,,,,75.40,-13.83
CashflowNetCashflow_sy,,,,,-31.94,-2.04
CashflowNetCashflow_qq,,40.73,101.59,8451.26,-130.57,-174.26
CashflowNetCashflow_sq,,25.54,50.67,110.95,-104.50,-0.61
