,2010/Q4,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeOtherIncome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeNetGrossProfit,4562000,2843000,1673000,383000,1261000,747000,5347000,-1289000,3127000,6080000,7433000,215000,-641000,1961000,10163000,-1897000,199000,4493000,9435000,-2730000,6804000,3233000,5899000,-377000,-1457000,1426000,18051000,27000,-799000
IncomeExtraordinarProfit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeBeforeTaxProfit,4562000,2843000,1673000,383000,1261000,747000,5347000,-1289000,3127000,6080000,7433000,215000,-641000,1961000,10163000,-1897000,199000,4493000,9435000,-2730000,6804000,3233000,5899000,-377000,-1457000,1426000,18051000,27000,-799000
IncomeDiscontinuedProfit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeNetProfit,3605000,2284000,1334000,272000,942000,602000,4427000,-1378000,2557000,4884000,5758000,13000,-677000,1305000,8220000,-1501000,181000,3610000,7176000,-2306000,5151000,2702000,4604000,-108000,-1553000,1085000,14737000,-32000,-1179000
IncomeShareholderNetProfit,3605000,2284000,1334000,272000,841000,618000,4180000,-1307000,2618000,4630000,5350000,54000,-710000,1412000,7520000,-1459000,-98000,3748000,7211000,-2006000,5120000,2810000,4669000,17000,-1812000,952000,13576000,-123000,-901000
BalanceNoncurrentAssets,18693000,,23257000,28515000,53618000,52915000,51425000,51523000,50436000,51575000,54260000,54743000,56949000,56805000,56066000,56822000,57508000,57479000,74943000,75065000,78223000,76831000,76262000,78116000,77864000,78077000,88592000,85656000,83348000
BalanceIntangibleAssets,2529000,,3090000,3141000,25140000,24704000,24395000,24229000,24279000,23992000,24595000,26506000,27481000,27585000,29043000,29007000,30763000,31018000,32481000,33865000,34958000,35277000,36694000,37007000,37664000,38871000,39310000,39363000,39251000
BalanceProperty,14443000,,18544000,23142000,27741000,27892000,26459000,26476000,25948000,25464000,25853000,25568000,26990000,27339000,25762000,24742000,24382000,24203000,23909000,23568000,24055000,23410000,22692000,22621000,22521000,23301000,23046000,23245000,23580000
BalanceNoncurrentReceivables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrInvestments,1362000,,80000,80000,80000,80000,80000,80000,91000,1949000,2377000,731000,428000,428000,428000,1348000,131000,129000,1566000,136000,138000,138000,138000,138000,1015000,1014000,878000,878000,772000
BalanceOtherNoncurrentAssets,359000,,1543000,2152000,657000,239000,491000,738000,118000,170000,1435000,1938000,2050000,1453000,833000,1725000,2232000,2129000,16987000,17496000,19072000,18006000,16738000,18350000,16664000,14891000,25358000,22170000,19745000
BalanceCurrentAssets,122566000,,92530000,55428000,79279000,57454000,76208000,58625000,109716000,63973000,101216000,70370000,55183000,55079000,105267000,69513000,71186000,149843000,125013000,74815000,76541000,87816000,99910000,80974000,82077000,89707000,215897000,115795000,98184000
BalanceInventory,24683000,,12910000,20768000,18446000,16244000,10002000,12552000,37780000,12751000,8330000,9936000,9413000,8139000,8710000,10663000,9713000,46852000,6965000,15629000,5777000,11227000,7625000,7039000,8758000,12489000,10598000,12340000,9155000
BalanceCurrentReceivables,77731000,,62072000,19238000,50377000,32827000,54920000,28986000,54465000,32476000,74399000,33000000,29822000,38870000,74672000,42561000,50598000,86921000,53697000,29118000,40645000,56050000,63068000,33390000,44532000,51780000,83277000,50921000,45509000
BalanceCurrentInvestments,,,0,0,300000,300000,300000,352000,,,,,,,62000,,,,212000,197000,165000,240000,17390000,,15994000,14647000,8546000,6808000,9513000
BalanceCash,15765000,15226000,15852000,14402000,25189000,13494000,5502000,18352000,11863000,6747000,12451000,52371000,19524000,16329000,6339000,15870000,26121000,10885000,6436000,89647000,24269000,12019000,2762000,,1554000,775000,1610000,1275000,1473000
BalanceOtherCurrentAssets,970000,2245000,2894000,4085000,2245000,2454000,2568000,3533000,4426000,4128000,3619000,11918000,10544000,13790000,14200000,13347000,14424000,17690000,19002000,32178000,28100000,31261000,,,471000,,,2030000,
BalanceAssetsForSale,,,,,,,,,,,,,,,,,,,,141259000,,116258000,83943000,132897000,110369000,129663000,110148000,160152000,115548000
BalanceTotalAssets,155476000,125113000,112132000,111884000,161333000,126335000,128694000,207322000,199956000,149880000,154764000,164647000,176172000,159090000,159941000,167784000,304489000,201451000,181532000,26464000,,28074000,28432000,47764000,48347000,52568000,51308000,51117000,55832000
BalanceCapital,61252000,61367000,50132000,51600000,59182000,57769000,51637000,55386000,61540000,59538000,58173000,60984000,65656000,65673000,56568000,57520000,71096000,70973000,62078000,1533000,,987000,987000,7269000,7269000,7269000,7269000,7269000,7269000
BalanceShareCapital,7269000,7269000,7269000,7269000,7269000,7269000,7269000,7269000,7269000,7269000,7269000,7269000,7269000,7269000,7269000,7269000,7269000,7269000,7269000,,,,,,,,,,
BalanceOwnShares,,,,,,,,,,,,,,,,,,,,,,21158000,21244000,39382000,39347000,39388000,39435000,42537000,42622000
BalanceReserve,42692000,42753000,39998000,40055000,40117000,40381000,45008000,45009000,45008000,45079000,49082000,49204000,49205000,49205000,50180000,50180000,50180000,50180000,48385000,,,0,0,5459000,5443000,5690000,5619000,5078000,5332000
BalanceNonshareCapital,5740000,6746000,8620000,8513000,9213000,9171000,9117000,8979000,9213000,9284000,9257000,9150000,9084000,9199000,9458000,9591000,10752000,10883000,9016000,4016000,,5750000,8832000,10874000,10267000,8628000,8560000,7855000,8740000
BalanceNoncurrentLiabilities,7929000,7880000,6736000,7119000,5642000,5727000,6226000,6786000,22194000,22214000,23567000,22334000,24568000,23514000,22374000,22670000,31075000,28408000,24614000,398000,,,,,,,,,
BalanceNoncurrentTradeLiabilities,,,,,,,,,,,,,,,,,,,3618000,,5658000,8731000,9317000,9382000,7850000,7784000,7154000,7902000,7705000
BalanceNoncurrentBorrowings,7655000,6584000,6902000,5497000,5600000,4487000,4754000,4135000,3920000,7343000,7513000,7573000,6653000,6441000,7822000,5935000,6720000,5164000,,,,,,,,,,,
BalanceNoncurrentObligations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentLeasing,,,,,,,,,,,,,,,,,,,,,92000,101000,1557000,885000,778000,776000,701000,838000,224000
BalanceNoncurrentOtherLiabilities,225000,152000,217000,145000,127000,1739000,2032000,18059000,18294000,16224000,14821000,16995000,16861000,15933000,14848000,25140000,21688000,19450000,110779000,,82434000,46679000,68800000,46312000,62777000,44661000,96102000,45644000,80555000
BalanceCurrentLiabilities,49120000,46644000,44652000,87296000,53668000,61714000,136171000,107009000,58844000,63767000,72179000,76864000,60704000,71541000,78003000,191566000,91187000,85824000,104072000,,60571000,26552000,37389000,17754000,30698000,18993000,47293000,22757000,43286000
BalanceCurrentTradePayablesv,23691000,21052000,24019000,53954000,27297000,32559000,78737000,47372000,24686000,22450000,32506000,32583000,22954000,25447000,35819000,125399000,32975000,20392000,4963000,,3669000,3095000,13736000,10352000,10223000,4298000,6680000,3266000,3892000
BalanceCurrentBorrowings,3617000,10001000,4604000,5492000,5100000,10782000,7502000,4590000,4515000,13720000,10915000,8656000,8185000,16552000,16095000,9843000,13845000,15683000,,,,,,,,,,,
BalanceCurrentObligations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceCurrentLeasing,,,,,,,,,,,,,,,,,,,1744000,,17121000,16923000,13813000,15601000,19255000,15680000,37995000,16932000,30501000
BalanceCurrentOtherLiabilities,19585000,14324000,14748000,25726000,17428000,14974000,47132000,36869000,14931000,12214000,14110000,16974000,12320000,12621000,11112000,31350000,15949000,22390000,,,1073000,109000,3862000,2605000,2601000,5690000,4134000,2689000,2876000
BalanceReckoning,2227000,1267000,1281000,2124000,3843000,3399000,2800000,18178000,14712000,15383000,14648000,18651000,17245000,16921000,14977000,24974000,28418000,27359000,141259000,0,116258000,83943000,132897000,110369000,129663000,110148000,160152000,115548000,155476000
BalanceTotalEquityAndLiabilities,125113000,112132000,111884000,161333000,126335000,128694000,207322000,199956000,149880000,154764000,164647000,176172000,159090000,159941000,167784000,304489000,201451000,181532000,,,,,,,,,,,
CashflowOperatingCashflow,21864000,13604000,5927000,3555000,-16637000,3856000,5176000,11148000,-500000,6767000,220000,12333000,-5548000,-323000,13903000,-5572000,-3615000,10941000,46604000,-31541000,-6675000,-6211000,14412000,12659000,-12135000,-648000,93340000,-69964000,-9200000
CashflowAmortization,598000,719000,762000,519000,1151000,1520000,1590000,1449000,1501000,1487000,1580000,1528000,1489000,1495000,1587000,1618000,1625000,1536000,1459000,1523000,1559000,1592000,1874000,1745000,1617000,1539000,1701000,1986000,1888000
CashflowInvestingCashflow,-827000,-225000,253000,-5866000,-3937000,-1642000,-1439000,-1195000,1692000,-1544000,-2773000,-928000,-6483000,-1559000,-864000,-1381000,-1821000,-2310000,-2366000,-918000,-2696000,-97000,-1965000,-1379000,-2305000,-2638000,-3629000,-1601000,-2044000
CashflowCapex,845000,287000,-244000,5935000,3638000,1701000,1454000,1659000,763000,1751000,2583000,1713000,3405000,2354000,990000,1146000,1110000,2796000,2587000,1614000,2794000,1224000,2564000,1447000,2308000,3025000,3578000,2563000,2194000
CashflowFinancingCashflow,-4146000,-11018000,867000,964000,10892000,-3952000,-1032000,-3701000,-1731000,-4597000,1103000,-618000,336000,-6110000,-189000,464000,320000,-2927000,-4318000,-388000,6176000,-3682000,-2916000,-1029000,-796000,-1163000,-6500000,6187000,-1006000
CashflowShareCapitalCash,,,,,,,,,,,,,,,,,,,269000,170000,-156000,0,1047000,240000,0,0,0,40000,0
CashflowDividend,0,4000000,0,,,2544000,0,,,2907000,0,,,5451000,0,,5452000,0,0,,6542000,2000,,7269000,-1000,1589000,15771000,2361000,7047000
CashflowNetCashflow,-1347000,-9682000,-1738000,2705000,6252000,-539000,626000,-1450000,10787000,-11695000,-7992000,12850000,-6489000,-5116000,5704000,39920000,-32847000,-3195000,-9990000,9531000,10251000,-15236000,-4449000,83211000,-65378000,-12250000,,,
