,2005/Q1,2005/Q2,2005/Q3,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3
IncomeOtherIncome,,,,,,,,,,,,,,,,,,,,,,,-1737000,1900000,0,0,0,,,,,,,,206000,0,0,0,,,,,,,,,,,,,,,54000,388000,-165000
IncomeNetGrossProfit,386000,-399000,875000,3407000,52000,2378000,3187000,4518000,4142000,4247000,4272000,7645000,5993000,3246000,8924000,4843000,2439000,4029000,1281000,3273000,-356000,4878000,-6490000,-5830000,-2480000,116000,732000,1418000,849000,-250000,-5195000,-4178000,-4203000,405000,1912000,299000,617000,-7209000,7549000,257000,12000,-897000,-2105000,-427000,-1546000,1005000,232000,-1135000,-9321000,-6518000,-4409000,2438000,,,
IncomeExtraordinarProfit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54000,388000,-165000
IncomeBeforeTaxProfit,386000,-399000,875000,3407000,52000,2378000,3187000,4518000,4142000,4247000,4272000,7645000,5993000,3246000,8924000,4843000,2439000,4029000,1281000,3273000,-356000,4878000,-6490000,-5830000,-2480000,116000,732000,1418000,849000,-250000,-5195000,-4178000,-4203000,405000,1912000,299000,617000,-7209000,7549000,257000,12000,-897000,-2105000,-427000,-1546000,1005000,232000,-1135000,-9321000,-6518000,-4409000,2438000,,,
IncomeDiscontinuedProfit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000,128000,503000
IncomeNetProfit,-463000,-191000,2013000,1625000,-723000,1964000,2952000,4174000,4399000,4210000,4178000,5756000,-123000,1723000,8044000,6422000,4317000,3129000,-15000,1548000,-2030000,3747000,-5625000,-4754000,-1765000,9000,889000,1001000,679000,-223000,-4192000,-3415000,-5870000,303000,1525000,708000,503000,-7327000,7586000,199000,2000,-1452000,-2083000,106000,-1546000,814000,188000,-900000,-10099000,-6390000,-5376000,2174000,22000,486000,137000
IncomeShareholderNetProfit,305000,-695000,-457000,3825000,747000,1848000,3068000,4174000,4399000,4210000,4178000,5756000,-123000,1723000,8044000,6422000,4317000,3129000,-15000,1548000,-2030000,3747000,-5625000,-4754000,-1765000,9000,889000,1001000,679000,-223000,-4192000,-3415000,-5870000,303000,1525000,708000,503000,-7327000,7586000,199000,2000,-1452000,-2083000,106000,-1546000,814000,188000,-900000,-10099000,-6390000,-5376000,2174000,,,
BalanceNoncurrentAssets,19898000,20252000,12527000,12868000,13274000,12544000,14485000,14545000,20526000,21933000,20295000,19195000,20808000,19753000,20278000,23540000,24463000,27029000,31762000,37555000,43096000,38847000,38039000,40054000,36322000,35515000,33757000,32118000,31898000,28107000,25371000,25178000,29087000,27942000,27175000,18005000,17152000,16274000,16370000,15598000,14917000,15012000,15685000,15169000,15212000,16234000,17157000,16742000,17938000,18564000,18184000,16086000,18667000,15885000,18413000
BalanceIntangibleAssets,79000,96000,90000,104000,88000,73000,75000,60000,39000,50000,22000,25000,15000,12000,7000,982000,947000,837000,689000,562000,419000,493000,497000,485000,468000,448000,431000,415000,400000,385000,374000,371000,375000,356000,339000,321000,302000,282000,263000,245000,228000,220000,214000,196000,179000,169000,146000,129000,113000,97000,342000,383000,367000,346000,320000
BalanceProperty,4397000,4200000,3931000,3596000,3495000,3950000,4074000,4243000,4356000,4510000,4758000,6141000,6630000,7066000,7441000,13456000,13722000,13452000,13271000,18477000,19273000,19005000,19784000,19158000,17154000,16574000,16080000,15650000,15202000,14913000,14657000,14137000,13664000,13158000,12820000,12301000,11891000,11314000,11481000,11106000,10702000,10397000,10167000,10153000,9880000,9947000,9888000,9761000,10111000,10043000,9845000,10029000,13171000,11350000,11867000
BalanceNoncurrentReceivables,,,,,,,,,,,,,,,,,,,,,,,,,,890000,890000,916000,916000,,,,,,,,,,,,,,,,,,,,,,,11768000,12292000,6006000,7073000
BalanceNoncurrInvestments,7790000,6466000,8366000,8501000,14083000,14804000,13000000,10877000,11139000,9924000,8773000,5570000,7440000,10403000,14214000,13228000,16515000,13824000,15089000,17463000,15093000,15272000,12602000,8668000,8552000,6232000,5053000,4861000,8099000,7408000,6505000,,,,,,,,,,,,,,,,,3654000,3664000,2500000,2095000,1901000,2055000,1970000,1741000
BalanceOtherNoncurrentAssets,2048000,2569000,2515000,2152000,3024000,2751000,4057000,3532000,2354000,2337000,3588000,5288000,6889000,5525000,2669000,2948000,3607000,2331000,3754000,6469000,6828000,6577000,5287000,5809000,6949000,7020000,7511000,5383000,4959000,4678000,4626000,4247000,3987000,4395000,5304000,4820000,5153000,6118000,7123000,6852000,7714000,8424000,7997000,5674000,5129000,4189000,6226000,64129000,60287000,54403000,43670000,37867000,46156000,48990000,47974000
BalanceCurrentAssets,50138000,56937000,60039000,60877000,61606000,76984000,74379000,70553000,71113000,77174000,74799000,79816000,82718000,82538000,70086000,62491000,73830000,66476000,56935000,61728000,59086000,77134000,69680000,63661000,55353000,55981000,45674000,36732000,36144000,58926000,53307000,53536000,55017000,44618000,44355000,46569000,46841000,47110000,51196000,60695000,49728000,60725000,52712000,44224000,31964000,58225000,66865000,2173000,2703000,2027000,1530000,2704000,3831000,2670000,5975000
BalanceInventory,3811000,2937000,1940000,3920000,7564000,14268000,10808000,6477000,3593000,4216000,5445000,4381000,3614000,3266000,2215000,4609000,3412000,2310000,2158000,5628000,6341000,10847000,10028000,6807000,2512000,3315000,1666000,1516000,1872000,5473000,5740000,2023000,1623000,3375000,3370000,3747000,5811000,4445000,3550000,2767000,2958000,4610000,4696000,3403000,4745000,9021000,15367000,38401000,39815000,28784000,21465000,14732000,21089000,24368000,30555000
BalanceCurrentReceivables,29824000,33291000,33136000,33433000,28675000,42012000,41980000,35243000,39008000,44611000,25471000,44390000,38864000,48770000,40497000,28564000,22802000,41395000,26473000,20901000,23679000,43403000,30550000,29238000,14461000,20811000,7466000,6665000,13266000,38881000,27454000,40390000,26430000,19998000,24072000,26557000,21336000,20171000,22475000,36498000,18105000,24132000,20175000,21841000,10982000,11325000,19265000,,15000,,,,,,
BalanceCurrentInvestments,,,,,,,,,,,,,,,,,,,,,,0,,,,2818000,,,,,,,,,,,,,,,,,,13732000,9688000,16873000,15048000,15561000,16841000,18806000,7117000,9630000,13181000,19873000,18868000
BalanceCash,16947000,12396000,7221000,15717000,18325000,22097000,25994000,1884000,2784000,4222000,15278000,19638000,28405000,8249000,17732000,11535000,2737000,123000,13144000,8615000,13429000,12577000,19069000,10985000,7096000,305000,8428000,4108000,20044000,12596000,3366000,5467000,3743000,1835000,2236000,118000,88000,866000,366000,96000,102000,21519000,3943000,9823000,8066000,6719000,5627000,4870000,4395000,3146000,4327000,6873000,7528000,5090000,4656000
BalanceOtherCurrentAssets,8420000,8308000,14370000,13116000,10187000,6250000,17889000,29161000,37456000,26280000,12096000,9680000,19211000,14522000,10572000,23664000,26329000,22761000,15958000,19001000,24951000,19278000,17473000,14748000,13910000,14267000,11685000,7015000,6920000,8649000,13547000,10798000,15951000,20659000,22935000,21312000,28577000,31117000,27475000,18884000,16135000,16360000,28290000,,,,,,,,,,,,
BalanceAssetsForSale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84027000,80539000,66930000,56538000,51141000,58700000,63475000,62519000,70664000,78870000,80334000,80072000
BalanceTotalAssets,82414000,96737000,94657000,94093000,95576000,104203000,106561000,117371000,125814000,121385000,108125000,102545000,110152000,101991000,90692000,93846000,90984000,105241000,95051000,88839000,84440000,83923000,72849000,54737000,53296000,75200000,69677000,69134000,69934000,59630000,60040000,61738000,62053000,63344000,68353000,77437000,67666000,79289000,70896000,60310000,50631000,74110000,85278000,60087000,50852000,51317000,37472000,37968000,37438000,42065000,42326000,48742000,50602000,52881000,54593000
BalanceCapital,58506000,50752000,56137000,56963000,60900000,62300000,69626000,71328000,77157000,67886000,71324000,74014000,75841000,67761000,60844000,55893000,55807000,54818000,54863000,55387000,57786000,50676000,46512000,37672000,36498000,38023000,38731000,39234000,39392000,36713000,36912000,36914000,35462000,33378000,33485000,31939000,32753000,32941000,32041000,21942000,15552000,10176000,12350000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000
BalanceShareCapital,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,,,,,,,,,,,,
BalanceOwnShares,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34160000,30344000,30672000,16522000,17713000,18590000,19392000,18906000,23474000,25686000,23791000,21104000
BalanceReserve,20807000,22364000,21993000,22942000,25156000,32533000,33437000,30822000,33522000,44772000,46662000,51382000,49462000,49639000,47476000,44290000,44195000,33920000,32964000,32809000,35431000,35091000,34359000,31372000,29895000,25644000,25644000,25644000,25644000,25903000,25903000,25903000,25903000,25939000,25940000,25940000,25940000,25590000,25590000,25590000,25590000,25590000,25590000,,,,,,,,,,,,
BalanceNonshareCapital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3213000,2893000,2631000,2595000,2629000,2499000,2303000,2417000,3832000,4132000,3252000,2418000
BalanceNoncurrentLiabilities,3012000,3099000,4460000,8747000,8249000,7504000,9583000,14035000,16032000,13268000,10182000,10770000,11228000,8966000,8274000,8984000,8970000,7457000,5776000,5858000,7265000,5847000,5205000,3695000,2999000,3153000,3020000,2130000,1946000,2211000,3133000,2696000,3530000,4601000,5087000,4754000,5946000,6592000,5880000,4268000,6998000,5457000,8403000,,,,,,,,,,,,
BalanceNoncurrentTradeLiabilities,,492000,703000,4887000,4799000,4142000,3877000,7214000,6730000,6242000,5746000,5241000,4728000,4206000,3676000,3136000,2677000,2105000,1738000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentBorrowings,,,,,,,,,,,,,,,,1188000,867000,574000,292000,33000,21000,8000,337000,295000,252000,209000,165000,191000,138000,248000,262000,222000,360000,271000,221000,189000,124000,83000,735000,,,,,,,,,,,,,,,,
BalanceNoncurrentObligations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentLeasing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3213000,2893000,2631000,2595000,2629000,2499000,2303000,2417000,3832000,4132000,3252000,2418000,3012000,2607000,3757000,3860000
BalanceNoncurrentOtherLiabilities,3450000,3362000,5706000,6821000,9302000,7026000,4436000,5529000,6500000,4760000,4598000,5848000,6293000,5352000,4038000,4670000,6398000,5273000,4913000,3662000,2978000,3145000,2683000,1835000,1694000,2002000,2968000,2505000,3392000,4353000,4825000,4532000,5586000,6321000,5659000,4079000,6874000,5374000,7668000,20727000,26794000,12982000,16471000,10544000,18763000,19107000,17776000,18090000,24136000,24201000,23061000,20896000,42886000,34060000,28383000
BalanceCurrentLiabilities,26427000,34399000,27352000,32008000,32625000,40231000,26619000,17761000,23083000,25264000,21574000,28969000,26207000,42966000,34412000,27594000,19389000,27400000,21132000,13370000,13799000,34024000,27926000,27770000,28596000,20706000,19995000,22128000,23061000,25365000,29781000,40744000,28967000,39756000,32975000,34100000,28081000,58477000,64525000,17477000,23143000,10861000,15358000,9031000,16058000,15726000,16564000,16729000,21614000,19745000,19702000,17191000,40126000,31483000,27202000
BalanceCurrentTradePayablesv,22554000,29914000,25947000,29476000,30694000,37923000,23455000,15910000,21981000,23636000,20416000,27794000,25000000,41694000,29866000,21243000,18061000,26005000,19259000,10523000,11921000,30570000,18607000,16483000,14640000,7106000,17683000,15989000,13117000,23777000,22323000,25156000,23385000,23583000,28687000,19726000,22754000,13261000,36341000,,,,,,,,,,,,,,,,
BalanceCurrentBorrowings,,,,,,,,,,,,,,,,4933000,,,1154000,,,199000,1965000,8328000,1965000,8328000,,8328000,5975000,5975000,5287000,,,,,,,,,,,,,,,,,,,,,,,,
BalanceCurrentObligations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceCurrentLeasing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1433000,1559000,1316000,470000,793000,877000,639000,555000,894000,968000,808000,496000,915000,1112000,968000,923000,1459000,1316000,1240000,1075000,1471000,1566000,1960000,690000
BalanceCurrentOtherLiabilities,1102000,1150000,1065000,807000,1188000,1218000,1162000,980000,1321000,1179000,1146000,1072000,1323000,1587000,1576000,1321000,1605000,1720000,1696000,1418000,1609000,1554000,1511000,2825000,1724000,7007000,2527000,2367000,2396000,13970000,1865000,1817000,2092000,805000,643000,720000,1828000,2742000,657000,467000,1554000,3648000,2863000,2790000,1648000,1609000,258000,2414000,3169000,165000,1457000,460000,742000,1204000,1161000
BalanceReckoning,478000,93000,368000,19000,54000,3384000,438000,7000,216000,727000,621000,555000,1867000,7743000,9767000,10386000,3552000,616000,2756000,7000,34000,5947000,4435000,3858000,3191000,1761000,6032000,2931000,25959000,26319000,84027000,80539000,66930000,56538000,51141000,58700000,63475000,62519000,70664000,78870000,80334000,80072000,82414000,96737000,94657000,94093000,95576000,104203000,106561000,117371000,125814000,121385000,108125000,102545000,110152000
BalanceTotalEquityAndLiabilities,101991000,90692000,93846000,90984000,105241000,95051000,88839000,84440000,83923000,72849000,54737000,53296000,75200000,69677000,69134000,69934000,59630000,60040000,61738000,62053000,63344000,68353000,77437000,67666000,79289000,70896000,60310000,50631000,74110000,85278000,,,,,,,,,,,,,,,,,,,,,,,,,
CashflowOperatingCashflow,452000,1888000,-273000,4165000,716000,1598000,2597000,-11128000,2805000,3972000,8711000,728000,-1104000,-3807000,5530000,10786000,3518000,4101000,12838000,-22457000,3128000,1959000,20976000,5133000,6833000,-19535000,10768000,-5446000,-8218000,682000,16565000,-6359000,4241000,-889000,8405000,-2707000,-4224000,-10680000,11331000,-3018000,15977000,-4546000,-9069000,388000,-3338000,-2517000,-515000,-4505000,2812000,-464000,-1415000,2923000,-792000,23291000,-17654000
CashflowAmortization,360000,365000,368000,369000,324000,258000,254000,266000,263000,292000,290000,328000,341000,366000,433000,476000,721000,746000,799000,839000,815000,407000,598000,671000,673000,633000,609000,597000,576000,562000,571000,553000,547000,531000,521000,532000,501000,499000,501000,476000,436000,415000,317000,317000,325000,345000,346000,329000,312000,326000,334000,331000,360000,367000,358000
CashflowInvestingCashflow,202000,4068000,7458000,9010000,-203000,-318000,-632000,-561000,-292000,-421000,-519000,-1733000,-817000,-744000,-705000,-2098000,-346000,-350000,-149000,-1318000,-1660000,48000,-1368000,-72000,2399000,-38000,1907000,-157000,73000,55000,2340000,-69000,-47000,-19000,901000,143000,-34000,-9000,-78000,13000,19000,-57000,-79000,23000,40000,-41000,-102000,-59000,-354000,-144000,-143000,-28000,-84000,-66000,648000
CashflowCapex,64000,184000,133000,88000,219000,331000,633000,563000,293000,422000,522000,1769000,819000,802000,711000,2105000,347000,605000,150000,1322000,1676000,433000,1368000,72000,101000,39000,97000,159000,-68000,165000,47000,73000,63000,20000,115000,115000,43000,71000,118000,142000,16000,61000,84000,194000,9000,101000,162000,114000,354000,156000,169000,99000,126000,70000,1444000
CashflowFinancingCashflow,,-10000000,0,-15000000,,,,-1500000,0,,,-10000000,-192000,-564000,21000,-8792000,-335000,-568000,-569000,-8552000,-701000,-465000,-583000,-3192000,-594000,-653000,-3351000,-5884000,1899000,620000,56000,-2814000,-5520000,369000,3898000,-3130000,-1315000,-60000,-2845000,-82000,1690000,1574000,650000,1018000,2446000,-2488000,1386000,1058000,-3165000,882000,-1808000,-570000,,,
CashflowShareCapitalCash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000000,0
CashflowDividend,15000000,,,,1500000,0,,,10000000,0,,,8478000,22000,,7981000,19000,,2600000,0,,,,,2360000,0,0,,,,,2779000,1000,0,,,,,,,,,,654000,-4044000,7185000,-1825000,513000,1280000,1965000,-11689000,2513000,3551000,6692000,-1005000
CashflowNetCashflow,-1921000,-4551000,-5175000,8496000,2608000,3772000,3897000,-24110000,900000,1438000,11056000,4360000,8767000,-20156000,9483000,-6197000,-8798000,-2614000,13021000,-4529000,4814000,-852000,6492000,-8084000,-3889000,-6791000,8123000,-4320000,15936000,-7448000,-9230000,2101000,-1724000,-1908000,401000,-2118000,-30000,778000,-500000,-270000,6000,21417000,-17576000,,,,,,,,,,,,
