,2005/Q1,2005/Q2,2005/Q3,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3
IncomeOtherIncome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,310000
IncomeNetGrossProfit,1074000,1509000,221000,1090000,943000,941000,-559000,1493000,751000,1177000,666000,777000,791000,1289000,1691000,1882000,1354000,676000,227000,1083000,395000,636000,1232000,602000,1193000,1037000,1054000,178000,412000,1861000,1353000,150000,1465000,2573000,983000,-481000,950000,1766000,-1692000,847000,-1442000,4000000,-1614000,525000,1182000,5208000,2348000,2576000,4043000,4553000,
IncomeExtraordinarProfit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,310000
IncomeBeforeTaxProfit,1074000,1509000,221000,1090000,943000,941000,-559000,1493000,751000,1177000,666000,777000,791000,1289000,1691000,1882000,1354000,676000,227000,1083000,395000,636000,1232000,602000,1193000,1037000,1054000,178000,412000,1861000,1353000,150000,1465000,2573000,983000,-481000,950000,1766000,-1692000,847000,-1442000,4000000,-1614000,525000,1182000,5208000,2348000,2576000,4043000,4553000,
IncomeDiscontinuedProfit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,310000
IncomeNetProfit,958000,1501000,-143000,979000,754000,773000,-482000,1281000,551000,1106000,406000,640000,537000,1154000,1255000,1553000,1109000,601000,266000,851000,323000,562000,992000,490000,984000,826000,5009000,-117000,299000,1450000,1008000,-179000,1244000,2025000,648000,-766000,688000,1591000,-2011000,624000,-1696000,3618000,-2524000,12000,1015000,4601000,2029000,2110000,3553000,3731000,310000
IncomeShareholderNetProfit,958000,1501000,-143000,979000,754000,773000,-482000,1281000,551000,1106000,406000,640000,537000,1154000,1255000,1553000,1109000,601000,266000,851000,323000,562000,807000,479000,789000,680000,4938000,-117000,299000,1450000,1008000,-179000,1244000,2025000,648000,-766000,688000,1591000,-2011000,624000,-1696000,3618000,-2524000,12000,1015000,4601000,2029000,2110000,3553000,3731000,
BalanceNoncurrentAssets,19393000,19066000,18537000,20510000,20096000,19683000,18788000,19341000,20897000,21017000,23965000,23598000,24659000,23197000,22424000,21989000,22435000,21894000,21396000,47162000,48545000,47629000,59212000,59336000,59968000,61786000,67313000,72201000,73700000,72208000,71287000,72376000,73624000,71756000,113040000,113717000,112517000,111733000,109903000,109214000,108979000,108268000,107147000,106422000,104815000,99000,75000,56000,80000,61000,43000
BalanceIntangibleAssets,66000,59000,40000,40000,30000,25000,49000,30000,18000,40000,26000,22000,18000,8788000,5871000,8804000,8859000,8848000,8836000,8825000,8814000,8848000,9015000,8961000,8931000,8906000,8877000,8952000,37397000,37347000,37307000,37756000,37746000,37737000,37732000,37730000,37728000,37725000,37723000,19037000,18728000,18218000,20205000,19810000,19474000,18556000,19014000,20589000,20653000,23485000,23123000
BalanceProperty,24114000,22678000,22127000,21662000,22082000,21595000,21143000,38070000,41983000,38168000,46248000,46573000,47451000,49414000,55201000,60262000,61817000,60562000,59885000,61176000,62645000,60945000,74016000,74484000,73347000,72526000,70824000,69854000,69642000,68720000,67606000,67331000,65960000,,,,,,,,,,,,,,,,,,
BalanceNoncurrentReceivables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrInvestments,,,,,,,,,,,,,1000,,,,,,,,,,,,,,,,,,,257000,263000,263000,225000,225000,166000,166000,268000,268000,324000,450000,450000,496000,489000,279000,287000,327000,277000,235000,304000
BalanceOtherNoncurrentAssets,691000,657000,4105000,3915000,3680000,3547000,3298000,3091000,2868000,2685000,2471000,2294000,2102000,1859000,1627000,1886000,1863000,1451000,1333000,1623000,1605000,1818000,1813000,1366000,1132000,13224000,13303000,14545000,13570000,13220000,15299000,14816000,14690000,16376000,17066000,16194000,17701000,18154000,17175000,20311000,20892000,21462000,22862000,24419000,27086000,30377000,36383000,36717000,35403000,40096000,41461000
BalanceCurrentAssets,46785000,39502000,40001000,43198000,47650000,37924000,43857000,39816000,50249000,64017000,75143000,52974000,52996000,64219000,64331000,55937000,53520000,64948000,66844000,5130000,4131000,5444000,5177000,5337000,5157000,5697000,5722000,6084000,6194000,6956000,6989000,5409000,6937000,7496000,7021000,7025000,6094000,6007000,10120000,11783000,11461000,12820000,11823000,12181000,11388000,13591000,11725000,12391000,13454000,14271000,11282000
BalanceInventory,12780000,11957000,18023000,18499000,22574000,17961000,17385000,17958000,16722000,16879000,19187000,20530000,23290000,6364000,6952000,6956000,6590000,5912000,7269000,6951000,6718000,7572000,8326000,8223000,9526000,11120000,7295000,6990000,6375000,6803000,8561000,10020000,15928000,17493000,17837000,21756000,22116000,25009000,25849000,29389000,25969000,22705000,25052000,30290000,24306000,25558000,26719000,30274000,39838000,48247000,32010000
BalanceCurrentReceivables,33509000,39798000,40347000,33651000,30063000,42071000,40415000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceCurrentInvestments,,,,,,,,1300000,1814000,1886000,1644000,1734000,2601000,1977000,2093000,2477000,2339000,981000,838000,1354000,2890000,5397000,7193000,7535000,7781000,8065000,888000,381000,6607000,1852000,850000,2379000,3769000,3456000,983000,4258000,4277000,2755000,1377000,4775000,622000,1770000,4550000,3411000,2370000,1834000,5423000,6268000,4847000,4075000,1287000
BalanceCash,2192000,430000,406000,259000,159000,237000,272000,191000,157000,243000,207000,34000,348000,271000,53000,428000,303000,99000,426000,327000,150000,720000,478000,289000,614000,527000,455000,349000,825000,647000,415000,334000,959000,744000,518000,182000,1130000,911000,633000,268000,1040000,994000,560000,195000,1060000,947000,,,,,
BalanceOtherCurrentAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32617000,32369000,33082000,34080000,33316000
BalanceAssetsForSale,34982000,33604000,34031000,37273000,38083000,40159000,41299000,42813000,40372000,42735000,42881000,43897000,44756000,45815000,74248000,78922000,84012000,95929000,94739000,100064000,103247000,114098000,111703000,113701000,115406000,118937000,110300000,117481000,111572000,163289000,177734000,187660000,164707000,162899000,173433000,173310000,164205000,160667000,171370000,171659000,17721000,18679000,20180000,19950000,20929000,20643000,21071000,20768000,21780000,22873000,26874000
BalanceTotalAssets,27514000,28051000,30460000,32013000,33122000,33989000,34840000,37355000,38724000,39147000,46549000,50013000,50312000,51694000,52770000,52591000,53835000,55860000,56508000,55742000,56430000,58021000,56010000,56634000,54938000,58556000,56032000,56044000,57059000,61660000,63689000,65799000,69352000,73083000,8391000,8391000,8391000,8391000,8391000,8391000,8391000,8391000,8391000,8391000,8391000,8391000,8391000,8391000,8391000,8391000,8391000
BalanceCapital,8391000,8391000,8391000,8391000,9230000,9230000,9230000,9230000,9230000,9230000,9230000,9230000,9230000,9230000,9230000,9230000,9230000,9230000,9230000,9230000,9230000,9230000,9230000,9230000,9230000,9230000,11479000,11479000,-665000,-665000,-665000,-665000,-665000,-665000,-665000,-665000,-665000,-665000,-665000,-665000,-665000,-665000,-665000,-665000,-665000,-665000,,0,,,
BalanceShareCapital,,,,,,,,,,,,,,,,,,,,,,,,7934000,9036000,9156000,9156000,9156000,10839000,10839000,10839000,10839000,12859000,11944000,11944000,15474000,15474000,15474000,22734000,22734000,22734000,1905000,1905000,27790000,7623000,1325000,1325000,1257000,1325000,1325000,1325000
BalanceOwnShares,1325000,1325000,1325000,1325000,1325000,1325000,1325000,1325000,1325000,1325000,1325000,1325000,1325000,1325000,1325000,1325000,1325000,,,,,,,,,,,,,,,,,,,,0,0,0,,2990000,3716000,3196000,,,,,,,,
BalanceReserve,,,,,,,,,,,,,,5058000,4347000,4119000,5084000,4617000,5232000,4677000,4169000,4337000,3830000,4725000,4692000,4981000,4618000,4633000,4264000,4120000,4029000,3618000,6955000,7428000,16189000,20154000,16910000,17755000,19383000,21433000,23644000,22516000,21127000,19089000,17182000,16047000,16057000,55543000,66768000,64865000,66322000
BalanceNonshareCapital,60473000,57351000,55375000,52162000,48830000,47763000,46583000,2588000,2439000,2286000,3161000,2776000,2458000,2098000,1533000,1922000,1340000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentLiabilities,,,,,,,,,,,,,,,866000,682000,505000,79000,,0,0,0,,2475000,2246000,11879000,10502000,7801000,7667000,9041000,13784000,16335000,15430000,13810000,11936000,10205000,9027000,9422000,47278000,57428000,52514000,55820000,51843000,47053000,44874000,41540000,39331000,37882000,36872000,,
BalanceNoncurrentTradeLiabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentBorrowings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44000,37000,262000,684000,602000,2159000,3032000,5901000,2916000,2605000,2922000,3220000,3344000,2491000,3153000,3153000,2470000,1908000
BalanceNoncurrentObligations,1833000,1923000,1841000,2774000,2579000,2636000,2415000,2490000,3859000,4010000,4476000,4539000,4633000,4264000,4120000,4029000,3618000,4480000,5182000,4310000,9652000,9109000,10088000,10342000,7649000,7309000,7086000,7273000,7116000,6715000,6336000,6033000,6106000,6308000,6450000,7586000,6025000,7376000,7281000,7278000,7008000,6728000,6558000,9838000,9343000,8783000,9046000,7770000,9107000,7855000,9094000
BalanceNoncurrentLeasing,11156000,11380000,8560000,9093000,9781000,5294000,6089000,5495000,5788000,5887000,4842000,25579000,28631000,18078000,25762000,27517000,30615000,31094000,40074000,34224000,35325000,37771000,44106000,36688000,43413000,39505000,51112000,56028000,64239000,42353000,46382000,59023000,56275000,48354000,46038000,54255000,51993000,8357000,7804000,7274000,7290000,6006000,7176000,6174000,6285000,8715000,8897000,4068000,4704000,4641000,1996000
BalanceNoncurrentOtherLiabilities,3194000,3616000,4188000,4466000,3517000,18446000,23613000,12232000,14679000,13561000,17225000,16091000,22575000,16378000,15460000,17660000,24438000,17755000,24819000,23032000,20175000,33133000,39275000,19861000,23682000,28930000,27363000,22354000,20591000,28953000,30303000,,,,,,,,,,,,1762000,1810000,944000,753000,688000,469000,98000,0,0
BalanceCurrentLiabilities,,5636000,3788000,4157000,8980000,11362000,10838000,11788000,13745000,14171000,16211000,16706000,16345000,15769000,15106000,13019000,25582000,15448000,17721000,15780000,16815000,22687000,22575000,19061000,18546000,18096000,14577000,,,,,,,,,,,,,,,,,,,,,,,,
BalanceCurrentTradePayablesv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceCurrentBorrowings,,,,,,,,,,,,124000,145000,165000,285000,303000,818000,1836000,2030000,2083000,1920000,1952000,2008000,1976000,2712000,2245000,1731000,1168000,1230000,1200000,1468000,1455000,1530000,1281000,1820000,2028000,1825000,2730000,2579000,4196000,2545000,2207000,846000,978000,927000,862000,1022000,761000,884000,1196000,1125000
BalanceCurrentObligations,1172000,1812000,1701000,1694000,1737000,1928000,1842000,1693000,1913000,1900000,2689000,3961000,3805000,3655000,3034000,4597000,3584000,4356000,3479000,4416000,4954000,313000,309000,309000,288000,309000,401000,400000,989000,413000,658000,,,,564000,524000,494000,463000,475000,469000,805000,907000,1469000,1380000,1403000,2053000,1981000,1917000,1353000,1336000,1306000
BalanceCurrentLeasing,1290000,1251000,1848000,1650000,1408000,974000,931000,857000,745000,607000,710000,545000,428000,32617000,32369000,33082000,34080000,33316000,34982000,33603000,34031000,37273000,38083000,0,40159000,41299000,42813000,0,40372000,42735000,42881000,0,43897000,44756000,45815000,0,74248000,78922000,84012000,0,0,95929000,94739000,100064000,103247000,114098000,111703000,113701000,115406000,118937000,110300000
BalanceCurrentOtherLiabilities,117481000,111572000,163289000,177734000,187660000,164707000,162899000,173433000,173310000,164205000,160667000,171370000,171659000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceReckoning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceTotalEquityAndLiabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashflowOperatingCashflow,497000,1628000,1376000,363000,2120000,2031000,1004000,886000,1949000,1211000,1730000,224000,456000,3410000,2095000,151000,2978000,2265000,873000,1931000,607000,613000,10815000,-7467000,2582000,1329000,1304000,782000,1337000,1241000,3569000,1982000,638000,1260000,5575000,1914000,2105000,4351000,8339000,-1155000,-3231000,804000,601000,1542000,5206000,3213000,6382000,4091000,4172000,1132000,7861000
CashflowAmortization,727000,822000,797000,415000,821000,762000,889000,670000,870000,791000,450000,731000,749000,761000,818000,799000,872000,679000,810000,790000,792000,788000,789000,1386000,978000,1270000,1317000,1460000,1452000,1600000,1591000,1585000,1661000,1818000,1734000,1847000,1771000,2193000,2352000,2371000,2305000,2424000,2493000,2264000,2222000,2248000,2072000,2256000,-547000,-527000,214000
CashflowInvestingCashflow,-3476000,-406000,-178000,-312000,-578000,-483000,-557000,-76000,-222000,-464000,-1763000,-129000,-49000,-310000,-267000,-28000,-1981000,-303000,-329000,-21091000,8815000,-957000,-11169000,-8883000,-3188000,167000,-3852000,-4339000,781000,-7287000,-6472000,-3088000,-509000,-1047000,-3167000,-2755000,-848000,-363000,3286000,-637000,1703000,-1084000,53000,-1710000,-937000,-846000,-663000,-1435000,547000,670000,451000
CashflowCapex,3158000,407000,179000,69000,580000,484000,582000,77000,223000,487000,1762000,129000,49000,310000,267000,28000,1981000,303000,329000,21110000,-8811000,1112000,11169000,8875000,-9247000,1400000,3878000,5859000,-202000,7287000,6482000,3094000,508000,1038000,3491000,2791000,848000,1346000,2730000,653000,-1729000,1086000,-34000,1759000,969000,874000,680000,1393000,359000,-587000,-1134000
CashflowFinancingCashflow,2871000,-1624000,-986000,-1316000,-192000,-1082000,-792000,-303000,-1353000,-135000,-1134000,-341000,-188000,-161000,-231000,-192000,-191000,-99000,0,2782000,-1031000,-2137000,16096000,3234000,1151000,-1733000,1631000,2299000,-1373000,6336000,2739000,788000,-1386000,-2580000,-2563000,-2186000,-2149000,4742000,-1310000,-1103000,-4285000,-4659000,323000,-3828000,-4574000,-4098000,-3257000,-5522000,,,
CashflowShareCapitalCash,,,,,,,,,,,,,,,,,,,0,0,0,,6557000,0,0,,100000,3190000,,,,,,,,,,,,,,,,,,,,,,,
CashflowDividend,1366000,-67000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,309000,514000,456000,-242000,90000,867000,-624000,116000,384000
CashflowNetCashflow,-138000,1351000,-1351000,-143000,516000,1622000,-86000,2507000,1796000,652000,-269000,205000,284000,-7494000,317000,-512000,6256000,-4345000,-1255000,-229000,-980000,1529000,1390000,-313000,-2473000,3275000,19000,-1522000,-1379000,3398000,-4152000,1148000,2780000,-1139000,-1040000,-537000,3589000,844000,-1420000,-772000,-2788000,904000,,,,,,,,,
