,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1
IncomeOtherIncome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1118000,2064000
IncomeNetGrossProfit,1178000,1067000,1452000,1912000,2349000,2094000,2237000,2110000,2187000,2020000,1997000,2064000,2373000,2481000,2504000,2550000,2100000,2602000,2507000,2740000,2096000,5101000,2629000,2702000,2831000,4178000,2599000,2510000,2629000,3290000,2686000,2654000,2172000,1744000,1671000,,
IncomeExtraordinarProfit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1118000,2064000
IncomeBeforeTaxProfit,1178000,1067000,1452000,1912000,2349000,2094000,2237000,2110000,2187000,2020000,1997000,2064000,2373000,2481000,2504000,2550000,2100000,2602000,2507000,2740000,2096000,5101000,2629000,2702000,2831000,4178000,2599000,2510000,2629000,3290000,2686000,2654000,2172000,1744000,1671000,,
IncomeDiscontinuedProfit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1118000,1460000
IncomeNetProfit,954000,877000,1175000,1522000,1932000,1659000,1780000,1682000,1750000,1657000,1830000,1626000,1813000,2071000,2094000,2137000,1900000,2099000,2019000,2228000,2168000,3462000,2108000,2190000,2248000,3355000,2097000,2029000,2075000,1890000,2020000,2152000,1768000,1444000,1328000,1118000,1460000
IncomeShareholderNetProfit,954000,877000,1175000,1522000,1843000,1748000,1780000,1682000,1750000,1657000,1830000,1626000,1813000,2071000,2094000,2137000,1900000,2099000,2019000,2228000,2168000,3462000,2108000,2190000,2248000,3355000,2097000,2029000,2075000,1890000,2020000,2152000,1768000,1444000,1328000,,
BalanceNoncurrentAssets,806000,781000,916000,9461000,6920000,11538000,16088000,21807000,26536000,29874000,34294000,34486000,38811000,39500000,40390000,37973000,39024000,11571000,17937000,17668000,18065000,17988000,18375000,56896000,57641000,16651000,16817000,21425000,7523000,7611000,6624000,6296000,6123000,,,,
BalanceIntangibleAssets,,,24000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,798000,773000,916000,1377000,1484000,1454000
BalanceProperty,1408000,1305000,1063000,1260000,1154000,1040000,940000,1846000,1684000,1522000,1424000,1536000,1403000,1277000,1180000,1075000,1578000,1530000,1413000,1352000,1244000,1120000,997000,878000,756000,635000,515000,,,,,,,,,374000,
BalanceNoncurrentReceivables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2723000,5063000,9457000,14148000,19810000,25047000,27519000,31418000
BalanceNoncurrInvestments,31685000,36212000,36416000,37388000,35382000,36980000,9302000,15827000,15913000,15989000,16066000,16143000,53788000,54700000,13943000,14353000,19250000,4174000,4272000,4372000,4472000,4569000,8000,8000,,5361000,373000,603000,158000,692000,426000,1095000,1722000,1761000,1659000,1238000,1318000
BalanceOtherNoncurrentAssets,1069000,620000,733000,707000,477000,896000,847000,654000,1578000,1528000,1356000,1220000,1055000,2352000,2461000,1496000,1189000,1039000,76169000,92155000,98111000,116724000,129075000,143627000,169987000,172706000,188185000,216072000,214812000,217520000,216590000,215568000,234411000,239720000,243669000,278448000,282414000
BalanceCurrentAssets,284827000,286575000,235002000,217373000,180920000,180699000,214302000,204580000,206221000,215774000,193025000,198896000,186665000,182029000,,,,,34000,59000,59000,198000,248000,357000,50000,,,,,,,,,,4000,4000,17000
BalanceInventory,4000,36000,4000,4000,4000,4000,4000,4000,4000,39110000,56143000,61812000,71499000,84105000,93512000,117460000,121331000,133878000,138675000,144135000,155309000,155427000,154618000,173562000,175308000,182812000,181020000,190458000,184614000,191611000,186388000,174415000,166042000,171709000,159012000,153091000,151265000
BalanceCurrentReceivables,164078000,128519000,145236000,131898000,126601000,,,,,,327000,,327000,327000,327000,327000,327000,327000,327000,327000,658000,3232000,2605000,34968000,35302000,41395000,39414000,39990000,40429000,3573000,4216000,46834000,48089000,49134000,50388000,50691000,52179000
BalanceCurrentInvestments,53255000,54233000,285000,64000,1234000,3329000,837000,3459000,1542000,1271000,1164000,25353000,19449000,678000,588000,829000,1617000,2649000,408000,5247000,155000,3220000,291000,7378000,201000,9804000,1050000,7279000,167000,5224000,356000,13121000,184000,263000,84000,36774000,35948000
BalanceCash,35065000,41862000,43747000,46597000,50460000,49529000,52459000,51667000,50901000,61206000,60248000,59794000,58574000,58531000,57844000,57213000,56499000,55598000,55259000,1242000,2324000,1484000,3720000,1141000,3229000,594000,948000,690000,1293000,1245000,1107000,,,,,,
BalanceOtherCurrentAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76975000,92936000,99027000,126185000,135995000,155165000
BalanceAssetsForSale,186075000,194513000,214721000,245946000,249106000,252006000,255401000,255068000,274801000,277693000,282693000,290019000,300351000,302495000,304640000,252990000,235748000,237816000,238340000,230953000,221397000,227646000,223297000,200636000,205520000,192960000,188152000,10483000,11942000,12897000,14949000,16471000,19710000,21792000,23474000,26881000,28711000
BalanceTotalAssets,30337000,34222000,36315000,38452000,40353000,42451000,44471000,46698000,48867000,52329000,54437000,56627000,58875000,62230000,64327000,66356000,68431000,70076000,72097000,74248000,76016000,77460000,78788000,1000000,1000000,1000000,1000000,1000000,1287000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000
BalanceCapital,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,,,,,,,,,,,,,,,,,,
BalanceShareCapital,,,,,,,,,,,,,,,,,,,,5328000,8365000,8365000,8365000,12774000,13657000,19012000,19012000,19012000,19012000,25881000,25882000,25881000,33221000,33222000,33222000,33222000,41451000
BalanceOwnShares,41452000,41451000,41452000,51329000,51329000,51329000,51329000,61230000,61230000,61230000,61230000,69321000,69321000,69321000,69321000,,,,,,,,,,,,,,,,,,,,,,
BalanceReserve,,,,,,,,,,,,,,,,24822000,37772000,53805000,58821000,73805000,86837000,122593000,124842000,128281000,173109000,167151000,168192000,176971000,178068000,196118000,208670000,209233000,185590000,193149000,191645000,215222000,156099000
BalanceNonshareCapital,135609000,110637000,115435000,112054000,90103000,110303000,125159000,102643000,102144000,85773000,80270000,4063000,9095000,23366000,26876000,34144000,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentLiabilities,,,,,,,,,,,,25735000,,23998000,25410000,18455000,60348000,40369000,35035000,44846000,43236000,45882000,55631000,54611000,27669000,28325000,27669000,49947000,38391000,33162000,10458000,16078000,15400000,14207000,12611000,25701000,24121000
BalanceNoncurrentTradeLiabilities,21135000,17474000,16241000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentBorrowings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentObligations,,,,20759000,28677000,30439000,31945000,48070000,52693000,98595000,99432000,109826000,112761000,126782000,133157000,132125000,134832000,150236000,153039000,154622000,157921000,164824000,163976000,165275000,117708000,102447000,100179000,99357000,96654000,75896000,97691000,99458000,78522000,81009000,68299000,64029000,41670000
BalanceNoncurrentLeasing,43222000,32325000,52414000,45719000,48618000,41690000,46197000,59559000,44126000,51618000,49592000,42115000,38548000,38330000,26571000,28989000,57731000,58335000,58521000,34981000,40264000,41264000,64949000,58578000,52543000,62863000,47267000,26041000,23745000,27360000,29728000,29094000,23746000,17872000,2247000,16274000,2425000
BalanceNoncurrentOtherLiabilities,13128000,558000,468000,1479000,1441000,1316000,1617000,2479000,2327000,2192000,1329000,1312000,1337000,1489000,1599000,2625000,2256000,3242000,941000,949000,959000,889000,962000,821000,952000,702000,1050000,886000,,,,,,9536000,,21345000,21354000
BalanceCurrentLiabilities,32183000,15199000,32380000,24373000,13173000,15563000,12416000,3442000,6552000,32639000,34938000,34931000,9323000,13918000,13766000,39919000,30168000,29642000,26624000,25077000,5939000,2803000,6823000,10959000,10650000,,,,,,,,,,,,
BalanceCurrentTradePayablesv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceCurrentBorrowings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33758000,20000,19787000,24375000,25897000,27486000,17922000
BalanceCurrentObligations,23602000,26463000,20658000,23722000,1149000,593000,1296000,1325000,1398000,2559000,8981000,7923000,4123000,5725000,3876000,5283000,2505000,2740000,4043000,3757000,3526000,4080000,17924000,25350000,30078000,36140000,35470000,,,,,,,,,,20651000
BalanceCurrentLeasing,20532000,22459000,20583000,20593000,20474000,15109000,16333000,19966000,21736000,18066000,30067000,18722000,16541000,15947000,16078000,14193000,13478000,76975000,92936000,99027000,0,126184000,135995000,155165000,0,186075000,194513000,0,214721000,245946000,249106000,0,252006000,255401000,255068000,274801000,277693000
BalanceCurrentOtherLiabilities,282693000,290019000,300351000,302495000,304640000,252990000,235748000,237816000,238340000,230953000,221397000,227646000,223297000,200636000,205520000,192960000,188152000,,,,,,,,,,,,,,,,,,,,
BalanceReckoning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceTotalEquityAndLiabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashflowOperatingCashflow,-5533000,-7317000,,9279000,-9025000,,-2094000,4900000,4472000,-946000,3082000,1821000,-5622000,2353000,8904000,478000,3660000,2575000,-2828000,11748000,-448000,7768000,-949000,9161000,3244000,14290000,-2530000,10419000,-692000,13800000,-12584000,17884000,-12846000,1355000,2701000,24000,
CashflowAmortization,,83000,83000,,103000,102000,107000,100000,97000,109000,109000,112000,106000,117000,162000,162000,154000,131000,128000,125000,98000,104000,91000,120000,117000,115000,123000,123000,123000,123000,122000,121000,120000,-7000,0,,
CashflowInvestingCashflow,0,-6730000,,-4423000,-5201000,-437000,-2550000,-1919000,-2671000,-107000,1995000,-3566000,-410000,-322000,-827000,-33000,-3959000,-5746000,-2356000,2781000,476000,256000,211000,-638000,-490000,-312000,-3816000,14896000,683000,-488000,-78000,7000,0,,,0,0
CashflowCapex,,,29000,27000,0,0,298000,3000,31000,9000,6000,1104000,331000,2000,47000,1176000,337000,-815000,25000,569000,0,638000,-489000,1342000,57000,278000,-274000,488000,78000,2704000,7094000,,-2542000,8573000,,6987000,30000
CashflowFinancingCashflow,-4730000,4084000,23026000,-5054000,-12844000,-4546000,-5428000,173000,-2550000,-716000,620000,-2950000,1102000,-2346000,-4761000,-2550000,-10677000,-4898000,-5655000,-3631000,-6108000,-4928000,-7180000,-5802000,397000,-1199000,-2880000,,,,,,,,,,
CashflowShareCapitalCash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashflowDividend,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2836000,-223000,,6737000,-7182000,,470000,-271000,-695000,588000
CashflowNetCashflow,24189000,-5904000,-18573000,-198000,-90000,241000,788000,1032000,-2241000,4839000,-5092000,3065000,-2929000,7087000,-7177000,9603000,-8823000,6298000,-7112000,5056000,-4868000,12765000,-12937000,79000,-179000,,,,,,,,,,,,
