,2008/Q3,2008/Q4,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
BalanceOwnShares,3923000,,7517000,7516000,7516000,12045000,12045000,12757000,12757000,26009000,23188000,23188000,23188000,32809000,32809000,32878000,32044000,34264000,32601000,32601000,14544000,2000000,2000000,2000000,2000000,2000000,,,,,,,,,,,,0
BalanceReserve,,,-117000,-137000,-142000,-144000,-144000,0,,,,,,,,,,,,,,,,,83000,42000,83000,79000,79000,79000,410000,410000,410000,410000,152000,152000,152000,3785000
BalanceNonshareCapital,1756000,6423000,5859000,5434000,10263000,10262000,16362000,15498000,16717000,16717000,8821000,8816000,9396000,7819000,1208000,818000,306000,306000,258000,258000,282000,282000,261000,,83000,,,,,,,,,,,,,
BalanceNoncurrentLiabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,3633000,1133000
BalanceNoncurrentTradeLiabilities,5800000,5333000,4908000,10263000,10204000,16362000,15498000,16717000,16717000,8821000,8816000,8814000,7806000,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentBorrowings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentObligations,,,,,,,,,,,,,,,,,,,,,,83000,,,410000,,,152000,,152000,623000,623000,526000,526000,58000,,,
BalanceNoncurrentLeasing,582000,13000,1208000,818000,306000,306000,258000,258000,282000,282000,261000,56000,25465000,26759000,47949000,45974000,32358000,26506000,29482000,24909000,28617000,30459000,36253000,38253000,53415000,50454000,58493000,53726000,62601000,66409000,74473000,94705000,76263000,62153000,73727000,55153000,62367000,70398000
BalanceNoncurrentOtherLiabilities,51360000,47553000,7536000,8643000,8332000,8312000,6482000,6190000,11040000,31575000,23046000,,25465000,,41734000,,,24326000,,,22400000,,36990000,36022000,35978000,44623000,42822000,45828000,74015000,59610000,35880000,49355000,26167000,20975000,19046000,9009000,17845000,144000
BalanceCurrentLiabilities,155000,172000,74000,154000,629000,640000,776000,,,,371000,,,521000,,,8120000,,7643000,13996000,10798000,10405000,15752000,16056000,12222000,6758000,13538000,12734000,18193000,29918000,33468000,32298000,20198000,452000,623000,1000,70000,
BalanceCurrentTradePayablesv,98000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceCurrentBorrowings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceCurrentObligations,,,,,5844000,,,4635000,,,4830000,,5821000,6369000,6140000,6637000,6835000,8553000,6240000,7358000,9947000,6715000,7078000,7953000,14270000,4622000,8710000,6368000,6328000,6630000,6565000,4997000,4566000,9018000,29553000,21062000,,
BalanceCurrentLeasing,,,,,,0,,,,903000,,0,2106000,810000,936000,1000000,4036000,2228000,2537000,2788000,4923000,3715000,3521000,3614000,5431000,800000,572000,1692000,1546000,1575000,1411000,1400000,1393000,1382000,1110000,13581000,39784000,59478000
BalanceCurrentOtherLiabilities,78771000,78679000,65318000,59500000,64142000,61500000,64589000,67284000,73460000,78130000,94135000,97780000,102004000,105158000,117541000,122213000,134802000,159248000,153935000,138906000,154769000,138635000,138418000,147308000,101031000,99105000,45843000,40654000,31854000,32149000,19602000,19362000,24552000,45147000,36194000,,,
BalanceReckoning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceTotalEquityAndLiabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashflowOperatingCashflow,,5552000,,6998000,,,-5867000,,,-4445000,,2787000,5288000,3270000,4022000,-3898000,5847000,7253000,1163000,-3498000,10133000,-7285000,1778000,-1708000,1152000,6322000,-7133000,92000,-708000,345000,7161000,453000,-612000,-3698000,238000,,1462000,
CashflowAmortization,2251000,,,2822000,,,3464000,,5038000,2136000,890000,918000,1192000,3268000,2787000,2165000,2522000,1577000,959000,1044000,1142000,1148000,1142000,-1050000,52000,47000,27000,25000,24000,25000,24000,25000,,-5768000,,-12746000,,
CashflowInvestingCashflow,-4580000,,,-2096000,,-6200000,-9888000,-2219000,-2980000,-1210000,-8171000,-900000,-10328000,-5029000,-4708000,-904000,-10821000,-512000,4459000,-4173000,-6898000,-1951000,5614000,-311000,-5588000,-59000,-3362000,-16493000,-330000,,3473000,,660000,,,4705000,,
CashflowCapex,1346000,,6192000,7000000,2069000,2000000,565000,7111000,575000,9919000,4643000,3275000,829000,460000,187000,1173000,3356000,-3284000,0,-269000,-26000,0,0,,16830000,,70000,,15722000,,,5782000,,,7851000,,2423000,3155000
CashflowFinancingCashflow,1244000,-1144000,4720000,5169000,-3086000,5116000,4498000,1795000,5458000,3831000,3483000,-1139000,-2218000,4242000,1858000,-4882000,-39000,-1568000,-415000,3954000,20195000,92000,,70000,,15720000,,,,,,,,,,,,
CashflowShareCapitalCash,,,,4617000,-605000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashflowDividend,,,,,,,,,,,,,,,,,,,,-145000,,9974000,,,-4665000,,,1310000,,-990000,-1445000,2295000,-102000,-388000,2845000,3267000,-4049000,-4029000
CashflowNetCashflow,7220000,-2731000,-5212000,1263000,4472000,-69000,-9789000,-1000,24000,-5000,-21000,-20000,4000,0,,,,,,,,,,,,,,,,,,,,,,,,
