,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
BalanceProperty,1200052000,1272309000,1289738000,1321653000,1416607000,1516926000,1586192000,1595986000,1586029000,1706977000,1796333000,1934579000,1984374000,2033777000,2005843000,2084314000,2001720000,2099872000,2187055000,2174397000,2225602000,2333601000
BalanceNoncurrentReceivables,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrInvestments,26562000,22900000,24456000,32146000,32185000,31823000,32771000,19922000,32373000,15134000,23990000,30709000,30119000,30901000,34998000,48884000,47443000,38498000,37659000,45324000,46056000,45956000
BalanceOtherNoncurrentAssets,9917000,12286000,16673000,11875000,14304000,17152000,16723000,20921000,19813000,19230000,21799000,16514000,14853000,20424000,23265000,17834000,9446000,29373000,29185000,24133000,30136000,35196000
BalanceCurrentAssets,98582000,99439000,159121000,255268000,222880000,228106000,175388000,221929000,153397000,162021000,125121000,170719000,161657000,147834000,147083000,186418000,211663000,211009000,175346000,227248000,185624000,170163000
BalanceInventory,35715000,34541000,35874000,33733000,31774000,31856000,31719000,24452000,24605000,18771000,18803000,12937000,8501000,196000,,,,,18382000,21380000,17306000,147903000
BalanceCurrentReceivables,20089000,22002000,25306000,22082000,31074000,28903000,33277000,27052000,37446000,26842000,27075000,23599000,29444000,30152000,36242000,26505000,34216000,30823000,5443000,5500000,5558000,5618000
BalanceCurrentInvestments,5636000,5693000,5752000,5809000,5866000,21180000,17396000,17123000,18851000,6153000,13268000,6269000,6326000,6326000,6441000,7417000,6556000,6613000,39042000,38018000,100383000,68014000
BalanceCash,165381000,168555000,112611000,169586000,91852000,93167000,55645000,113607000,96859000,114643000,106740000,156550000,175893000,174531000,132663000,193326000,144852000,132727000,,,,
BalanceOtherCurrentAssets,,,,,,,,,,,,,,,,,,,,,,
BalanceAssetsForSale,,,,,,,,,,,,,,,,,,,1335113000,1406934000,1489988000,1620942000
BalanceTotalAssets,1685976000,1794007000,1811074000,1858758000,1791612000,1903362000,1967243000,2152521000,2191003000,2232936000,2211189000,2337450000,2270272000,2378752000,2429245000,2471102000,2487418000,2584916000,748753000,780485000,758650000,969593000
BalanceCapital,983028000,985358000,983471000,915015000,861126000,869162000,874471000,959621000,965803000,972784000,963294000,989217000,939795000,879179000,988517000,984434000,1013287000,937206000,74559000,74559000,74559000,74559000
BalanceShareCapital,104744000,104744000,104744000,104744000,105348000,105348000,105348000,105348000,105348000,105348000,106202000,106202000,106372000,106372000,106484000,106484000,106595000,106595000,,,,
BalanceOwnShares,,,,,,,,,,,,,,,,,,,682415000,684682000,680764000,894580000
BalanceReserve,868886000,871691000,870777000,871285000,870199000,867120000,868370000,871335000,872507000,878585000,875680000,870138000,866413000,870704000,871076000,867011000,867526000,868400000,2463000,2461000,75203000,68807000
BalanceNonshareCapital,67620000,71098000,71743000,64776000,62925000,65805000,63985000,72583000,70635000,70981000,68597000,71745000,94623000,100636000,105878000,114918000,112686000,116315000,511975000,499118000,589209000,538170000
BalanceNoncurrentLiabilities,548558000,625952000,676847000,710196000,771545000,884070000,953801000,1019360000,1043127000,1041376000,1059150000,1063878000,1017391000,1177304000,1184228000,1207133000,1226095000,1437015000,,,,
BalanceNoncurrentTradeLiabilities,,,,,,,,,,,,,,,,,,,496223000,489747000,574717000,518669000
BalanceNoncurrentBorrowings,526958000,606146000,656514000,586878000,633072000,714135000,779569000,862764000,887110000,898256000,930535000,1003032000,958200000,994742000,1061415000,1014807000,1021261000,1084170000,,,,
BalanceNoncurrentObligations,,,,106344000,117408000,149936000,152101000,142828000,141300000,125076000,112459000,55374000,54749000,85029000,110341000,156231000,168875000,177500000,,,,
BalanceNoncurrentLeasing,,,,,,,,,,,,,,,,,,,15752000,9371000,14492000,19501000
BalanceNoncurrentOtherLiabilities,21600000,19806000,20333000,16974000,21065000,19999000,22131000,13768000,14717000,18044000,16156000,5472000,4442000,97533000,12472000,36095000,35959000,175345000,71922000,124870000,66926000,44372000
BalanceCurrentLiabilities,86770000,111599000,79013000,168771000,96016000,84325000,74986000,100957000,111438000,147795000,120148000,212610000,218463000,221633000,150622000,164617000,135350000,94380000,1080000,12445000,397000,12254000
BalanceCurrentTradePayablesv,6248000,856000,20372000,14569000,29661000,9922000,14325000,14033000,27368000,7720000,4386000,11445000,14391000,11384000,8467000,16647000,8424000,11435000,66144000,102345000,62968000,20752000
BalanceCurrentBorrowings,44282000,80760000,40867000,44739000,22377000,23242000,35051000,50674000,51968000,86400000,48491000,71572000,63310000,66490000,73593000,83244000,77336000,47913000,,,,
BalanceCurrentObligations,,,,67398000,10734000,11062000,1038000,9286000,11412000,42539000,56236000,113039000,123148000,123123000,49199000,53603000,35736000,25172000,,,,
BalanceCurrentLeasing,,,,,,,,,,,,,,,,,,,4698000,10080000,3561000,11366000
BalanceCurrentOtherLiabilities,36240000,29983000,17774000,42065000,33244000,40099000,24572000,26964000,20690000,11136000,11035000,16554000,17614000,20636000,19363000,11123000,13854000,9860000,,,,
BalanceReckoning,,,,,,,,,,,,,,,,,,,1335113000,1406934000,1489988000,1620942000
BalanceTotalEquityAndLiabilities,1685976000,1794007000,1811074000,1858758000,1791612000,1903362000,1967243000,2152521000,2191003000,2232936000,2211189000,2337450000,2270272000,2378752000,2429245000,2471102000,2487418000,2584916000,,,,
CashflowOperatingCashflow,-1170000,3772000,8000,7873000,-3218000,3511000,12783000,9556000,1965000,406000,6631000,22265000,10273000,25491000,7433000,32682000,12541000,22669000,12748000,37458000,12804000,34571000
CashflowAmortization,99000,3000,92000,171000,87000,119000,102000,96000,74000,96000,52000,123000,61000,24000,111000,184000,77000,123000,13000,191000,122000,96000
CashflowInvestingCashflow,-9255000,-9095000,-4639000,-30482000,-60864000,-104851000,-72493000,-41387000,-63454000,-86922000,-97289000,-44502000,-37050000,-22703000,-16162000,-27707000,10272000,-44159000,-39684000,-14794000,-32344000,-22635000
CashflowCapex,0,,3302000,-3210000,105000,96000,97000,199000,123000,401000,2854000,414000,81000,1106000,4525000,1670000,9431000,-79000,4000,184000,-14884000,4300000
CashflowFinancingCashflow,66996000,-9760000,161449000,104514000,3766000,88806000,-16245000,87831000,53136000,80199000,10029000,14996000,826000,44835000,-3470000,20128000,-14932000,37999000,-28934000,-24061000,0,
CashflowShareCapitalCash,-823000,-275000,132355000,-559000,-1000,0,,,,,,,56000,34000,45000,111000,,,,,,1881000
CashflowDividend,2232000,0,2246000,-16000,2235000,-4000,2231000,0,2232000,-107000,2178000,38000,2451000,999000,2504000,0,-25309000,-1023000,62365000,-32369000,97367000,3174000
CashflowNetCashflow,-55944000,56975000,-77734000,1315000,-37522000,57962000,-16748000,17784000,-7903000,49810000,19343000,-1362000,-41868000,60663000,-48474000,-12125000,,,,,,
