,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
BalanceNoncurrentBorrowings,,,,,,,19098000,20292000,22374000,23029000,22208000,20802000,21008000,21538000,21470000,20915000,22285000,23086000,21670000,21567000,19750000,968000,968000,1130000,1112000,1533000,2474000,3054000,3328000,1574000,11084000,11107000,598000,11988000,12269000,13653000,12811000,13258000,13483000,11984000,11861000,12016000
BalanceNoncurrentObligations,11742000,11894000,12054000,11278000,11048000,12413000,11702000,12584000,12337000,12467000,12494000,11123000,12618000,18244000,17620000,16316000,5062000,4537000,3192000,3372000,3618000,4112000,5160000,4922000,4241000,85892000,85937000,7089000,114423000,102952000,163162000,162455000,177501000,187115000,174408000,172234000,139109000,196925000,193242000,187690000,202176000,238120000
BalanceNoncurrentLeasing,265275000,266995000,346064000,363526000,412156000,444565000,425414000,462053000,574253000,445562000,519306000,2566000,2306000,1544000,1666000,1920000,1092000,2023000,2291000,819000,64267000,63990000,130000,77771000,78033000,76028000,94389000,86256000,113804000,105954000,128659000,95835000,103752000,111451000,154423000,129546000,177137000,118326000,173184000,178038000,229770000,188165000
BalanceNoncurrentOtherLiabilities,256972000,212789000,282062000,257368000,284033000,249627000,934000,693000,570000,423000,605000,458000,415000,153000,2579000,18041000,15803000,5666000,25402000,19104000,63467000,68063000,70978000,53577000,46689000,38474000,23090000,68615000,39569000,26141000,29805000,48084000,93612000,86999000,112571000,123235000,172804000,172984000,147624000,172872000,278280000,153991000
BalanceCurrentLiabilities,175993000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceCurrentTradePayablesv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6538000,6884000,7349000,7428000,7177000,6662000,5695000,5631000,5677000,5748000,6447000,6969000,6987000,7250000
BalanceCurrentBorrowings,8489000,1562000,1538000,1043000,1268000,1093000,2535000,2700000,2458000,810000,3340000,5900000,1271000,10984000,5558000,23390000,0,19852000,19563000,21521000,4898000,20008000,24395000,35534000,92000,35326000,4559000,46010000,49610000,4740000,45360000,8711000,58404000,31468000,138000,85047000,0,,,35000,15000,0
BalanceCurrentObligations,,27000,22000,20000,33000,244000,244000,22000,266000,257000,277000,3000,415000,171000,244000,203000,176000,163000,150000,150000,150000,912000,150000,150000,150000,150000,150000,150000,150000,150000,150000,150000,150000,19632000,19507000,0,18651000,18686000,21524000,0,27691000,31388000
BalanceCurrentLeasing,32452000,0,28161000,254317000,254135000,0,20731000,328229000,330564000,0,361970000,358019000,378786000,415264000,426456000,427342000,443414000,449215000,498163000,525264000,555735000,621421000,610272000,619579000,751144000,783285000,802765000,850944000,866160000,903613000,1068812000,1075155000,1118947000,,,,,,,,,
BalanceCurrentOtherLiabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceReckoning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceTotalEquityAndLiabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashflowOperatingCashflow,-1003000,833000,965000,17000,119000,771000,39000,-607000,-795000,3259000,-2822000,4188000,-6618000,7463000,-3067000,3436000,3910000,-10798000,10721000,6950000,5366000,-2388000,575000,-10129000,15993000,-25402000,19906000,-11210000,-5062000,-3862000,-34205000,19942000,13301000,-52667000,-4447000,14150000,2099000,586000,6888000,-9535000,13740000,25199000
CashflowAmortization,132000,135000,162000,116000,136000,144000,98000,75000,121000,124000,139000,-217000,1409000,1396000,1359000,-4076000,1382000,1524000,1468000,1435000,1616000,1607000,1715000,1725000,1665000,1710000,1822000,1899000,1977000,2002000,2743000,1232000,1945000,1983000,2135000,2250000,2264000,2341000,2378000,2450000,4102000,4296000
CashflowInvestingCashflow,-191000,-344000,-179000,-356000,18000,-87000,-199000,86000,-90000,-3496000,61000,-2670000,-641000,-478000,-2804000,237000,-1000000,-1953000,-5616000,206000,-584000,5972000,-600000,-208000,-422000,153000,-3613000,-5834000,220000,-2187000,1460000,-5126000,-4915000,-7900000,-1844000,-11061000,-3240000,-4041000,-868000,-1750000,-2237000,-5563000
CashflowCapex,193000,344000,99000,163000,12000,126000,40000,-15000,74000,3521000,-26000,-785000,667000,502000,3453000,-667000,1928000,1482000,2417000,-1963000,584000,697000,6856000,-5452000,444000,531000,3224000,7099000,14000,2274000,-1690000,5430000,4915000,7913000,1844000,11073000,3325000,4087000,868000,1755000,2695000,-101000
CashflowFinancingCashflow,170000,-302000,-918000,85000,-159000,-908000,826000,530000,-76000,-194000,2949000,319000,6511000,-4324000,4326000,-4196000,-2776000,12683000,-5120000,-7242000,-4598000,-3697000,-20000,10494000,-15651000,25437000,-16166000,16741000,4900000,6093000,32828000,-12458000,-10996000,61654000,5402000,-2595000,566000,3447000,-5957000,11399000,-9429000,-17097000
CashflowShareCapitalCash,,,,135000,0,0,0,,57000,169000,23000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashflowDividend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1024000,187000,-132000,-254000
CashflowNetCashflow,-22000,-224000,666000,9000,-961000,-431000,188000,209000,-748000,2661000,-1545000,-1066000,134000,-68000,-15000,-86000,184000,-113000,-45000,157000,-80000,188000,127000,-303000,58000,44000,83000,2358000,-2610000,1087000,-889000,494000,-575000,-8000,63000,114000,2074000,2539000,,,,
