,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
BalanceNoncurrInvestments,,3244000,3260000,3416000,3455000,3437000,3387000,3302000,3302000,3328000,3198000,3560000,3720000,28876000,53871000,104370000,3668000,3713000,3758000,187000,,1308000
BalanceOtherNoncurrentAssets,1308000,3004000,3004000,909000,1260000,1850000,1738000,1895000,2298000,2369000,2014000,2859000,5088000,2855000,1396000,2208000,4901000,3322000,1183000,513000,,36623000
BalanceCurrentAssets,40765000,72223000,67859000,34024000,195867000,214973000,226860000,249486000,227386000,255905000,285220000,267706000,216712000,190967000,296296000,322820000,297335000,207461000,223373000,167121000,,
BalanceInventory,,,,50000,0,0,0,0,5000,47000,32000,119000,431000,347000,,,,9534000,6883000,24968000,15625000,8616000
BalanceCurrentReceivables,7749000,18581000,21541000,19932000,31375000,41973000,37419000,27075000,45047000,37644000,30404000,31779000,34735000,40144000,33354000,28351000,,9100000,10418000,11680000,5924000,12402000
BalanceCurrentInvestments,12562000,154521000,175984000,200516000,169579000,213839000,41384000,42047000,15783000,16074000,16533000,17064000,16869000,40624000,45970000,46556000,,17989000,23461000,35565000,46304000,12950000
BalanceCash,175296000,41798000,29202000,28631000,26024000,206288000,198371000,155288000,136481000,248984000,273047000,243842000,125551000,142749000,89837000,,,3000,10000,6000,6000,260000
BalanceOtherCurrentAssets,73000,133000,407000,46350000,46056000,32559000,32556000,163000,768000,375000,930000,1542000,1142000,1300000,2377000,,,,,,,
BalanceAssetsForSale,,,,,,,,,,,,,,,,,41304000,45477000,78781000,74455000,38506000,200639000
BalanceTotalAssets,220279000,232057000,263051000,286725000,315199000,330479000,338660000,284041000,306562000,309719000,337101000,316098000,219706000,233329000,176642000,,25683000,30031000,51873000,60448000,30337000,191449000
BalanceCapital,203528000,213789000,239289000,251983000,279438000,282478000,299829000,233785000,135125000,155855000,111607000,147190000,170572000,188594000,135020000,,4360000,4360000,4360000,4400000,4400000,6038000
BalanceShareCapital,5757000,5769000,5927000,5927000,5991000,5833000,5833000,5833000,5833000,5893000,4552000,4552000,4552000,4552000,4612000,,,0,,,-36960000,-36960000
BalanceOwnShares,0,,,,,-90195000,-212582000,-212582000,,,10411000,10300000,9949000,9909000,47074000,198389000,161614000,160180000,210555000,211981000,211762000,198279000
BalanceReserve,259382000,259028000,266941000,266293000,63562000,57439000,69489000,68186000,74499000,,,,,,,,,,,,,
BalanceNonshareCapital,,,,,,,6044000,9826000,10412000,,2169000,2901000,359000,306000,292000,315000,701000,498000,688000,511000,532000,542000
BalanceNoncurrentLiabilities,613000,557000,9000,9000,9000,696000,3000,538000,,,,,,,,,,,,,,
BalanceNoncurrentTradeLiabilities,,,,,,,,,,,,,,0,0,,,142000,52000,,,
BalanceNoncurrentBorrowings,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentObligations,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentLeasing,,,,,,,2169000,2901000,359000,306000,292000,315000,701000,498000,546000,459000,532000,542000,613000,557000,9000,9000
BalanceNoncurrentOtherLiabilities,9000,696000,3000,538000,,13452000,12545000,17210000,13701000,7877000,8874000,16050000,17770000,23073000,34232000,35229000,47458000,38217000,49699000,171428000,153855000,225485000
BalanceCurrentLiabilities,168212000,43090000,34906000,30672000,,4282000,2562000,1543000,1543000,3092000,2251000,6918000,8629000,14020000,22276000,23353000,37123000,23529000,18519000,31739000,25065000,24184000
BalanceCurrentTradePayablesv,18071000,23085000,21003000,22076000,,,,,,,,,,110000,,,1000,,,,,
BalanceCurrentBorrowings,,,,,,,,,,,,,,,,,,,,,,
BalanceCurrentObligations,,,,,,,,,,,,,,,,,,,,,,
BalanceCurrentLeasing,,9170000,9983000,15667000,12158000,4785000,6623000,9132000,9141000,8943000,11956000,11876000,10335000,14688000,31179000,139689000,128790000,201301000,150141000,20005000,13903000,8596000
BalanceCurrentOtherLiabilities,,,,,,,,,,,,0,,,,,,,,,,
BalanceReckoning,0,41304000,45477000,69442000,74455000,38506000,200638000,220279000,232057000,263050000,286726000,315199000,330478000,338659000,284041000,306562000,309719000,337101000,316098000,219706000,233329000,176642000
BalanceTotalEquityAndLiabilities,,,,,,,,,,,,,,,,,,,,,,
CashflowOperatingCashflow,,19216000,6630000,13437000,4974000,10334000,9351000,6206000,-11729000,37986000,9976000,17816000,32863000,17194000,13168000,28326000,11478000,25260000,21733000,34867000,22987000,17862000
CashflowAmortization,,12000,11000,10000,11000,11000,12000,14000,12000,23000,33000,27000,24000,28000,28000,33000,32000,34000,84000,282000,135000,235000
CashflowInvestingCashflow,,-4686000,-1030000,-1000000,5804000,-6311000,0,-139861000,556000,-38402000,32030000,95198000,34992000,-24555000,1834000,-110015000,101620000,383000,18146000,-36588000,-4452000,-632000
CashflowCapex,,86000,30000,0,8000,11000,0,23000,14000,49000,24000,50000,123000,137000,38000,50000,22000,34000,545000,-505000,6000,286000
CashflowFinancingCashflow,,-15402000,-129000,-333000,-39000,-37376000,152995000,156000,-1422000,-156000,-44614000,-377000,-228000,-554000,-58085000,2467000,-595000,-1580000,-69084000,-116570000,-1337000,-70142000
CashflowShareCapitalCash,,,0,40000,40000,153303000,448000,,2586000,-1000,,3312000,,,7485000,,,15002000,0,40000,,
CashflowDividend,,,,,,,,,,68280000,0,,68718000,,-872000,5471000,12104000,10739000,-33354000,162346000,-133498000,-12595000
CashflowNetCashflow,-571000,-2608000,112636000,67627000,-7915000,-43083000,-79222000,112503000,24063000,-29205000,-118291000,17198000,-52912000,,,,,,,,,
