,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeOtherOperatingIncome_yy,,,,,-70.92,1210.80,356.48,-94.63,614.73,-47.74,-54.77,13696.51,154.57,-31.41,17.24,-93.84,-67.79,-28.94,9.93,-8.73,60.90,23.84,-13.93,49.00
IncomeOtherOperatingIncome_sy,,,,,52.45,86.66,19.87,7.07,-20.08,-14.17,-18.78,-24.76,31.06,1.88,9.17,23.76,-4.70,23.89,-7.29,5.68,34.69,16.38,17.06,17.71
IncomeOtherOperatingIncome_qq,,-270.67,197.41,313.45,-95.77,6418.44,-59.97,-95.14,463.55,376.66,-65.36,1382.55,-89.60,28.43,-40.79,-22.13,-45.62,183.38,-8.40,-35.34,-4.13,118.11,-36.34,11.93
IncomeOtherOperatingIncome_sq,,29.58,6.46,2.25,8.08,25.67,-23.98,-0.62,-15.66,15.74,-29.68,-1.84,-27.50,52.14,-5.62,-1.74,4.00,38.33,-35.95,14.42,10.94,44.64,-26.84,-7.14
IncomeOtherOperatingCosts,12338000,33423000,8488000,9698000,18683000,23312000,8467000,6176000,6557000,17839000,9877000,7956000,4990000,25394000,12144000,70695000,5659000,29074000,8414000,9801000,22609000,26303000,9547000,7921000
IncomeOtherOperatingCosts_yy,,,,,51.43,-30.25,-0.25,-36.32,-64.90,-23.48,16.65,28.82,-23.90,42.35,22.95,788.57,13.41,14.49,-30.71,-86.14,299.52,-9.53,13.47,-19.18
IncomeOtherOperatingCosts_sy,,,,,11.78,32.30,6.29,-14.24,6.16,-1.84,-37.15,-16.62,-0.94,-9.79,13.86,14.00,-20.51,-10.23,-8.68,-25.34,-8.69,36.41,-1.23,73.20
IncomeOtherOperatingCosts_qq,,170.89,-74.60,14.26,92.65,24.78,-63.68,-27.06,6.17,172.06,-44.63,-19.45,-37.28,408.90,-52.18,482.14,-92.00,413.77,-71.06,16.48,130.68,16.34,-63.70,-17.03
IncomeOtherOperatingCosts_sq,,125.07,-40.71,69.60,-13.28,217.00,-59.72,11.60,-19.17,124.20,-72.53,20.27,-18.58,216.38,-63.22,8.33,-28.86,97.78,-41.67,16.04,-13.80,83.08,-55.93,59.87
IncomeEBIT,131640000,34157000,16039000,110304000,-109421000,93263000,68469000,100483000,112807000,-160832000,32370000,148465000,91970000,-216894000,-61808000,-132335000,7879000,54193000,3176000,42245000,57053000,52526000,63256000,70694000
IncomeEBIT_yy,,,,,-183.12,173.04,326.89,-8.90,203.09,-272.45,-52.72,47.75,-18.47,-34.86,-290.94,-189.14,-91.43,124.99,105.14,131.92,624.11,-3.08,1891.69,67.34
IncomeEBIT_sy,,,,,11.81,56.42,41.64,34.54,35.89,26.31,33.95,13.31,8.65,-8.92,-22.11,-7.34,-5.67,14.00,9.49,-26.94,4.92,-19.90,-3.94,23.19
IncomeEBIT_qq,,-74.05,-53.04,587.72,-199.20,185.23,-26.59,46.76,12.26,-242.57,120.13,358.65,-38.05,-335.83,71.50,-114.11,105.95,587.82,-94.14,1230.13,35.05,-7.93,20.43,11.76
IncomeEBIT_sq,,-31.26,-7.47,7.46,31.56,-6.95,-24.68,26.60,13.44,-33.68,5.71,8.34,-0.72,-10.97,-1.58,2.32,-4.89,12.88,0.74,-19.68,20.68,-27.08,24.58,-2.22
IncomeFinanceIncome,29048000,14012000,10680000,8681000,6731000,8241000,6088000,5520000,17312000,4892000,6682000,2695000,78000,5268000,390000,384000,237000,37914000,10087000,4153000,915000,5012000,2683000,7614000
IncomeFinanceIncome_yy,,,,,-76.83,-41.19,-43.00,-36.41,157.20,-40.64,9.76,-51.18,-99.55,7.69,-94.16,-85.75,203.85,619.70,2486.41,981.51,286.08,-86.78,-73.40,83.34
IncomeFinanceIncome_sy,,,,,-64.12,-30.23,-26.03,-44.54,40.74,27.80,-1.92,-43.50,-34.72,-36.41,-31.40,29.97,9.80,-22.72,-4.10,-9.52,17.45,37.14,-12.90,34.13
IncomeFinanceIncome_qq,,-51.76,-23.78,-18.72,-22.46,22.43,-26.13,-9.33,213.62,-71.74,36.59,-59.67,-97.11,6653.85,-92.60,-1.54,-38.28,15897.47,-73.40,-58.83,-77.97,447.76,-46.47,183.79
IncomeFinanceIncome_sq,,-19.05,3.57,-7.28,-35.65,19.65,,-1.25,-6.62,117.92,-15.70,-27.87,0.36,58.33,-13.64,8.85,-35.29,12.90,22.42,-6.65,-4.60,31.18,27.76,73.91
IncomeFinanceCosts,13608000,23786000,18934000,22283000,-398000,3390000,10355000,6122000,8597000,37025000,12987000,13375000,15918000,24117000,14559000,24022000,8634000,14024000,15184000,15309000,14361000,14686000,13145000,16246000
IncomeFinanceCosts_yy,,,,,-102.92,-85.75,-45.31,-72.53,2260.05,992.18,25.42,118.47,85.16,-34.86,12.10,79.60,-45.76,-41.85,4.29,-36.27,66.33,4.72,-13.43,6.12
IncomeFinanceCosts_sy,,,,,-26.85,-1.14,-12.66,22.17,30.90,24.32,1.59,-12.22,-11.48,-7.74,8.22,23.81,7.96,-1.64,14.00,1.30,3.21,25.70,-1.28,21.34
IncomeFinanceCosts_qq,,74.79,-20.40,17.69,-101.79,951.76,205.46,-40.88,40.43,330.67,-64.92,2.99,19.01,51.51,-39.63,65.00,-64.06,62.43,8.27,0.82,-6.19,2.26,-10.49,23.59
IncomeFinanceCosts_sq,,-26.68,-10.57,-8.50,-12.04,19.20,-13.32,7.07,6.33,11.29,-25.46,-5.10,-2.13,21.20,-11.61,27.22,-12.04,7.36,-0.98,0.79,0.79,20.66,-9.06,31.18
IncomeOtherIncome,0,-7111000,,,,1661000,,,,881000,708000,4639000,90000,844000,1364000,638000,595000,864000,2019000,-836000,247000,-624000,-3071000,1014000
IncomeOtherIncome_yy,,,,,,123.36,,,,-46.96,,,,-4.20,92.66,-86.25,561.11,2.37,48.02,-231.03,-58.49,-172.22,-252.11,221.29
IncomeOtherIncome_sy,,,,,,100.00,,,,-46.96,,,,-52.10,-69.56,38.24,-93.45,24.04,25.70,-100.00,-21.43,70.20,-2.40,27.69
IncomeOtherIncome_qq,,,100.00,,,,-100.00,,,,-19.64,555.23,-98.06,837.78,61.61,-53.23,-6.74,45.21,133.68,-141.41,129.55,-352.63,-392.15,133.02
IncomeOtherIncome_sq,,,100.00,,,,-30.19,,,,-3.87,-48.53,75.73,-100.00,80.81,-33.21,-29.29,57.28,-9.09,5.11,6.52,94.80,-59.38,11.62
IncomeNetGrossProfit,147080000,17272000,7785000,96702000,-102292000,99775000,64202000,99881000,121522000,-192084000,26773000,142424000,76220000,-234899000,-74613000,-155335000,77000,78947000,98000,30253000,43854000,42228000,49723000,63076000
IncomeNetGrossProfit_yy,,,,,-169.55,477.67,724.69,3.29,218.80,-292.52,-58.30,42.59,-37.28,-22.29,-378.69,-209.07,-99.90,133.61,100.13,119.48,56853.25,-46.51,50637.76,108.50
IncomeNetGrossProfit_sy,,,,,23.68,39.90,67.90,22.88,29.31,17.80,34.35,5.80,23.36,-10.40,-27.16,-4.45,-5.36,9.40,18.59,-32.16,2.96,-26.39,-1.28,22.01
IncomeNetGrossProfit_qq,,-88.26,-54.93,1142.16,-205.78,197.54,-35.65,55.57,21.67,-258.07,113.94,431.97,-46.48,-408.19,68.24,-108.19,100.05,102428.56,-99.88,30770.41,44.96,-3.71,17.75,26.85
IncomeNetGrossProfit_sq,,-58.34,-20.48,6.42,38.07,-18.54,-9.79,24.98,16.24,-47.98,13.78,11.32,1.14,-4.34,-1.84,18.51,-16.47,6.91,-2.61,-30.04,37.48,-21.98,7.38,-6.86
IncomeExtraordinarProfit,,,,,,,,,,,,,,,,,,,,,,,,
IncomeExtraordinarProfit_yy,,,,,,,,,,,,,,,,,,,,,,,,
IncomeExtraordinarProfit_sy,,,,,,,,,,,,,,,,,,,,,,,,
IncomeExtraordinarProfit_qq,,,,,,,,,,,,,,,,,,,,,,,,
IncomeExtraordinarProfit_sq,,,,,,,,,,,,,,,,,,,,,,,,
IncomeBeforeTaxProfit,147080000,17272000,7785000,96702000,-102292000,99775000,64202000,99881000,121522000,-192084000,26773000,142424000,76220000,-234899000,-74613000,-155335000,77000,78947000,98000,30253000,43854000,42228000,49723000,63076000
IncomeBeforeTaxProfit_yy,,,,,-169.55,477.67,724.69,3.29,218.80,-292.52,-58.30,42.59,-37.28,-22.29,-378.69,-209.07,-99.90,133.61,100.13,119.48,56853.25,-46.51,50637.76,108.50
IncomeBeforeTaxProfit_sy,,,,,23.68,39.90,67.90,22.88,29.31,17.80,34.35,5.80,23.36,-10.40,-27.16,-4.45,-5.36,9.40,18.59,-32.16,2.96,-26.39,-1.28,22.01
IncomeBeforeTaxProfit_qq,,-88.26,-54.93,1142.16,-205.78,197.54,-35.65,55.57,21.67,-258.07,113.94,431.97,-46.48,-408.19,68.24,-108.19,100.05,102428.56,-99.88,30770.41,44.96,-3.71,17.75,26.85
IncomeBeforeTaxProfit_sq,,-58.34,-20.48,6.42,38.07,-18.54,-9.79,24.98,16.24,-47.98,13.78,11.32,1.14,-4.34,-1.84,18.51,-16.47,6.91,-2.61,-30.04,37.48,-21.98,7.38,-6.86
IncomeDiscontinuedProfit,,,,,,,,,,,,,,,,,,,,,,,,
IncomeDiscontinuedProfit_yy,,,,,,,,,,,,,,,,,,,,,,,,
IncomeDiscontinuedProfit_sy,,,,,,,,,,,,,,,,,,,,,,,,
IncomeDiscontinuedProfit_qq,,,,,,,,,,,,,,,,,,,,,,,,
IncomeDiscontinuedProfit_sq,,,,,,,,,,,,,,,,,,,,,,,,
IncomeNetProfit,117111000,13736000,1443000,75323000,-81546000,70167000,57534000,70615000,99239000,-149106000,22060000,140460000,63985000,-196424000,-66378000,-128874000,-5992000,67472000,-1434000,20796000,32379000,29932000,35609000,53945000
IncomeNetProfit_yy,,,,,-169.63,410.83,3887.11,-6.25,221.70,-312.50,-61.66,98.91,-35.52,-31.73,-400.90,-191.75,-109.36,134.35,97.84,116.14,640.37,-55.64,2583.19,159.40
IncomeNetProfit_sy,,,,,22.90,32.46,56.00,37.79,34.75,8.14,41.94,1.61,29.53,-14.87,-15.21,4.69,-17.38,0.21,19.91,-39.89,13.49,-11.55,-9.96,51.70
IncomeNetProfit_qq,,-88.27,-89.49,5119.89,-208.26,186.05,-18.00,22.74,40.54,-250.25,114.79,536.72,-54.45,-406.98,66.21,-94.15,95.35,1226.03,-102.13,1550.21,55.70,-7.56,18.97,51.49
IncomeNetProfit_sq,,-42.96,-32.39,0.42,36.81,-27.57,-5.94,18.62,8.59,-37.73,-11.18,24.75,12.14,-23.20,-1.51,11.16,-8.65,-4.53,14.21,-29.32,23.55,-24.91,17.54,-8.36
IncomeShareholderNetProfit,117574000,14253000,3733000,72676000,-81007000,78641000,56867000,69870000,99052000,-149805000,22203000,140460000,63985000,-196367000,-66378000,-128874000,-5992000,67472000,-1434000,20796000,32379000,29932000,35609000,53945000
IncomeShareholderNetProfit_yy,,,,,-168.90,451.75,1423.36,-3.86,222.28,-290.49,-60.96,101.03,-35.40,-31.08,-398.96,-191.75,-109.36,134.36,97.84,116.14,640.37,-55.64,2583.19,159.40
IncomeShareholderNetProfit_sy,,,,,22.85,35.22,56.00,36.08,25.55,9.97,42.03,14.59,39.16,-14.93,-16.46,14.12,-22.26,0.21,10.04,-39.89,14.16,-7.32,-10.11,46.79
IncomeShareholderNetProfit_qq,,-87.88,-73.81,1846.85,-211.46,197.08,-27.69,22.87,41.77,-251.24,114.82,532.62,-54.45,-406.90,66.20,-94.15,95.35,1226.03,-102.13,1550.21,55.70,-7.56,18.97,51.49
IncomeShareholderNetProfit_sq,,-54.78,-26.66,1.17,65.95,-24.38,-12.57,19.58,6.76,-33.49,-8.38,25.93,18.69,-33.34,-1.51,29.06,-17.16,6.33,14.78,-29.22,43.74,-24.98,17.54,-4.30
BalanceNoncurrentAssets,,4053981000,,3982107000,4083717000,4049895000,4060579000,4083203000,4122136000,4254465000,4253138000,5168774000,5105694000,4979501000,5020069000,5025800000,4994580000,4960270000,4851601000,4873572000,4888963000,4947406000,4956584000,4960613000
BalanceNoncurrentAssets_yy,,,,,,-0.10,,2.54,0.94,5.05,4.74,26.59,23.86,17.04,18.03,-2.77,-2.18,-0.39,-3.36,-3.03,-2.11,-0.26,2.16,1.79
BalanceNoncurrentAssets_sy,,,,,,3.70,,2.54,10.33,9.70,3.98,6.29,6.63,6.82,13.71,8.31,9.99,9.71,6.71,1.32,2.24,-0.52,3.24,6.48
BalanceNoncurrentAssets_qq,,,-100.00,,2.55,-0.83,0.26,0.56,0.95,3.21,-0.03,21.53,-1.22,-2.47,0.81,0.11,-0.62,-0.69,-2.19,0.45,0.32,1.20,0.19,0.08
BalanceNoncurrentAssets_sq,,,-0.71,,-0.84,2.52,-0.28,0.51,0.88,-0.03,-0.67,2.72,1.14,2.24,0.62,0.90,0.26,0.10,-0.21,1.04,0.37,-0.23,0.68,-0.24
BalanceIntangibleAssets,,67144000,,64137000,59825000,64107000,62013000,60764000,57766000,60980000,59594000,74796000,70231000,66437000,62495000,60699000,57421000,55831000,52066000,48034000,44296000,43927000,41370000,37081000
BalanceIntangibleAssets_yy,,,,,,-4.52,,-5.26,-3.44,-4.88,-3.90,23.09,21.58,8.95,4.87,-18.85,-18.24,-15.96,-16.69,-20.87,-22.86,-21.32,-20.54,-22.80
BalanceIntangibleAssets_sy,,,,,,0.80,,-0.57,6.02,0.39,2.34,-0.04,-0.10,4.20,6.62,5.03,6.01,0.82,0.06,-0.66,0.02,-1.84,0.04,0.66
BalanceIntangibleAssets_qq,,,-100.00,,-6.72,7.16,-3.27,-2.01,-4.93,5.56,-2.27,25.51,-6.10,-5.40,-5.93,-2.87,-5.40,-2.77,-6.74,-7.74,-7.78,-0.83,-5.82,-10.37
BalanceIntangibleAssets_sq,,,-1.67,,-1.68,-1.04,-0.72,-0.32,-0.73,0.26,-1.40,-0.79,-0.19,1.67,-0.53,0.18,-0.29,0.35,-0.77,-0.22,-0.27,-0.54,-0.14,-0.11
BalanceProperty,,3808542000,,3763338000,3857100000,3856861000,3877041000,3927810000,3988056000,4045968000,4050241000,4941597000,4900293000,4721057000,4765093000,4729022000,4724571000,4701807000,4595412000,4594685000,4608054000,4689187000,4698226000,4704121000
BalanceProperty_yy,,,,,,1.27,,4.37,3.40,4.90,4.47,25.81,22.87,16.69,17.65,-4.30,-3.59,-0.41,-3.56,-2.84,-2.47,-0.27,2.24,2.38
BalanceProperty_sy,,,,,,1.27,,8.52,3.40,4.90,5.25,5.88,4.68,5.72,5.57,4.03,3.33,3.26,1.03,-0.23,2.01,-0.04,2.24,2.38
BalanceProperty_qq,,,-100.00,,2.49,-0.01,0.52,1.31,1.53,1.45,0.11,22.01,-0.84,-3.66,0.93,-0.76,-0.09,-0.48,-2.26,-0.02,0.29,1.76,0.19,0.13
BalanceProperty_sq,,,-1.01,,-0.99,0.08,-0.64,-0.40,0.06,1.11,-0.27,1.00,-0.16,0.83,0.09,0.58,-0.08,0.16,-0.62,-0.30,-0.30,0.23,-0.60,-0.37
BalanceNoncurrentReceivables,,,,,,,,,,,,7082000,4962000,5074000,5101000,2901000,2614000,2223000,1767000,1661000,1749000,1836000,1412000,1370000
BalanceNoncurrentReceivables_yy,,,,,,,,,,,,,,,,-59.04,-47.32,-56.19,-65.36,-42.74,-33.09,-17.41,-20.09,-17.52
BalanceNoncurrentReceivables_sy,,,,,,,,,,,,,,,,,-14.81,-3.68,-2.94,-25.38,-33.09,,,
BalanceNoncurrentReceivables_qq,,,,,,,,,,,,,-29.94,2.26,0.53,-43.13,-9.89,-14.96,-20.51,-6.00,5.30,4.97,-23.09,-2.97
BalanceNoncurrentReceivables_sq,,,,,,,,,,,,,1.18,,0.34,3.43,-1.30,-5.13,,3.54,,,0.92,
BalanceNoncurrInvestments,,72265000,,72215000,63965000,44304000,53591000,39676000,40348000,41297000,41618000,52157000,48749000,49680000,51045000,67361000,67737000,66868000,54519000,65342000,63250000,64147000,58299000,57750000
BalanceNoncurrInvestments_yy,,,,,,-38.69,,-45.06,-36.92,-6.79,-22.34,31.46,20.82,20.30,22.65,29.15,38.95,34.60,6.81,-3.00,-6.62,-4.07,6.93,-11.62
BalanceNoncurrInvestments_sy,,,,,,0.38,,3.04,46.15,-3.46,-3.46,-12.19,12.48,10.85,10.79,17.34,23.56,2.43,,,2.13,,,-7.72
BalanceNoncurrInvestments_qq,,,-100.00,,-11.42,-30.74,20.96,-25.97,1.69,2.35,0.78,25.32,-6.53,1.91,2.75,31.96,0.56,-1.28,-18.47,19.85,-3.20,1.42,-9.12,-0.94
BalanceNoncurrInvestments_sq,,,0.32,,-0.16,4.19,0.21,0.03,0.41,-1.58,0.78,0.01,1.40,0.51,,,,-0.80,,1.32,,,,-0.78
BalanceOtherNoncurrentAssets,,106030000,,82417000,102827000,84623000,67934000,54953000,35966000,106220000,101685000,93142000,81459000,137253000,136335000,165817000,142237000,133541000,147837000,163850000,171614000,148309000,157277000,160291000
BalanceOtherNoncurrentAssets_yy,,,,,,-20.19,,-33.32,-65.02,25.52,49.68,69.49,126.49,29.22,34.08,78.03,74.61,-2.70,8.44,-1.19,20.65,11.06,6.39,-2.17
BalanceOtherNoncurrentAssets_sy,,,,,,13.46,,46.99,10.07,10.19,2.99,7.90,8.65,9.75,19.78,7.27,12.63,-3.12,7.50,8.73,13.39,2.03,9.50,-0.68
BalanceOtherNoncurrentAssets_qq,,,-100.00,,24.76,-17.70,-19.72,-19.11,-34.55,195.33,-4.27,-8.40,-12.54,68.49,-0.67,21.62,-14.22,-6.11,10.71,10.83,4.74,-13.58,6.05,1.92
BalanceOtherNoncurrentAssets_sq,,,0.22,,,3.30,-0.06,1.26,0.48,-0.58,-1.45,0.34,0.10,0.25,,2.21,-1.46,-0.46,1.32,5.30,5.44,-8.23,3.08,-1.39
BalanceCurrentAssets,,1569788000,,1550546000,1614243000,1676161000,1547842000,1261617000,1365008000,1408307000,1136439000,1149263000,1075409000,1078895000,1029207000,947600000,968255000,1547936000,1511211000,1482861000,1511976000,1694153000,1615716000,1639716000
BalanceCurrentAssets_yy,,,,,,6.78,,-18.63,-15.44,-15.98,-26.58,-8.91,-21.22,-23.39,-9.44,-17.55,-9.96,43.47,46.83,56.49,56.15,9.45,6.92,10.58
BalanceCurrentAssets_sy,,,,,,15.68,,9.53,14.73,6.89,11.38,10.18,12.21,6.48,9.94,11.56,8.24,9.60,10.55,-0.44,10.25,15.14,15.11,12.91
BalanceCurrentAssets_qq,,,-100.00,,4.11,3.84,-7.66,-18.49,8.20,3.17,-19.30,1.13,-6.43,0.32,-4.61,-7.93,2.18,59.87,-2.37,-1.88,1.96,12.05,-4.63,1.49
BalanceCurrentAssets_sq,,,3.65,,0.98,-0.19,1.18,3.47,0.12,1.98,6.60,-0.17,-0.95,-1.09,1.79,3.80,-1.29,2.94,0.48,-0.18,1.88,5.23,-1.04,-0.16
BalanceInventory,,82155000,,84733000,77621000,76041000,79051000,74340000,83287000,115298000,108103000,139331000,131838000,128513000,130799000,120937000,124856000,121189000,125238000,130846000,134451000,148464000,146361000,154788000
BalanceInventory_yy,,,,,,-7.44,,-12.27,7.30,51.63,36.75,87.42,58.29,11.46,20.99,-13.20,-5.30,-5.70,-4.25,8.19,7.68,22.51,16.87,18.30
BalanceInventory_sy,,,,,,5.50,,11.38,11.31,8.09,7.45,10.16,7.36,5.34,4.82,10.75,12.41,3.67,18.37,6.66,5.07,5.73,7.37,16.94
BalanceInventory_qq,,,-100.00,,-8.39,-2.04,3.96,-5.96,12.04,38.43,-6.24,28.89,-5.38,-2.52,1.78,-7.54,3.24,-2.94,3.34,4.48,2.76,10.42,-1.42,5.76
BalanceInventory_sq,,,-1.87,,3.57,2.59,0.09,1.62,1.39,-1.68,3.67,0.51,,-6.31,2.65,5.18,3.24,-1.95,1.67,-0.47,5.25,-2.26,2.10,4.84
BalanceCurrentReceivables,,614107000,,597969000,638037000,611661000,585322000,568456000,582616000,529202000,547801000,722759000,752546000,656864000,705407000,627006000,645966000,642659000,629224000,663758000,698222000,729650000,709281000,750612000
BalanceCurrentReceivables_yy,,,,,,-0.40,,-4.94,-8.69,-13.48,-6.41,27.14,29.17,24.12,28.77,-13.25,-14.16,-2.16,-10.80,5.86,8.09,13.54,12.72,13.09
BalanceCurrentReceivables_sy,,,,,,12.62,,12.16,17.51,12.51,9.14,16.49,14.16,10.18,14.29,12.03,19.65,17.36,12.25,9.77,11.50,9.35,7.57,11.40
BalanceCurrentReceivables_qq,,,-100.00,,6.70,-4.13,-4.31,-2.88,2.49,-9.17,3.51,31.94,4.12,-12.71,7.39,-11.11,3.02,-0.51,-2.09,5.49,5.19,4.50,-2.79,5.83
BalanceCurrentReceivables_sq,,,4.38,,0.07,-3.24,4.98,3.56,4.00,-0.60,2.11,6.84,4.12,-1.27,7.50,7.37,3.02,1.86,0.73,3.86,4.98,-2.55,1.94,3.62
BalanceCurrentInvestments,,659107000,,558838000,607479000,691404000,619393000,209877000,315781000,306383000,114485000,7669000,6545000,4046000,5254000,4203000,6975000,892000,257635000,316089000,263415000,263670000,310998000,405873000
BalanceCurrentInvestments_yy,,,,,,4.90,,-62.44,-48.02,-55.69,-81.52,-96.35,-97.93,-98.68,-95.41,-45.19,6.57,-77.95,4803.60,7420.56,3676.56,29459.42,20.71,28.40
BalanceCurrentInvestments_sy,,,,,,-20.26,,-37.42,-26.20,-16.96,,-28.96,-9.51,-8.82,-4.30,4.30,2.72,-2.94,-8.59,-1.56,-0.76,-4.13,-6.78,-8.87
BalanceCurrentInvestments_qq,,,-100.00,,8.70,13.82,-10.42,-66.12,50.46,-2.98,-62.63,-93.30,-14.66,-38.18,29.86,-20.00,65.95,-87.21,28782.85,22.69,-16.66,0.10,17.95,30.51
BalanceCurrentInvestments_sq,,,-1.96,,,-6.94,-2.99,-2.69,,-4.45,1.31,-8.28,0.34,-4.66,,0.48,,,,-0.74,1.18,0.80,-0.10,
BalanceCash,,188008000,,254770000,256395000,263700000,184338000,339371000,349338000,429178000,306459000,220813000,144507000,276191000,137900000,157361000,166922000,755919000,447674000,324413000,388726000,516776000,397768000,264452000
BalanceCash_yy,,,,,,40.26,,33.21,36.25,62.75,66.25,-34.93,-58.63,-35.65,-55.00,-28.74,15.51,173.69,224.64,106.16,132.88,-31.64,-11.15,-18.48
BalanceCash_sy,,,,,,40.26,,22.72,36.25,31.28,57.12,36.03,28.67,13.45,-6.24,-9.07,3.46,-4.79,-0.76,-0.14,-11.52,5.80,-1.73,-14.94
BalanceCash_qq,,,-100.00,,0.64,2.85,-30.10,84.10,2.94,22.85,-28.59,-27.95,-34.56,91.13,-50.07,14.11,6.08,352.86,-40.78,-27.53,19.82,32.94,-23.03,-33.52
BalanceCash_sq,,,-9.75,,-13.28,24.60,-13.94,-3.00,-0.86,22.85,15.80,-9.28,-12.22,9.84,-4.11,-3.84,-1.74,11.07,-1.49,-13.85,-1.81,10.86,-19.30,-15.65
BalanceOtherCurrentAssets,,26411000,,54236000,34711000,33355000,79738000,69573000,33986000,28246000,59591000,58691000,39973000,13281000,49847000,38093000,23536000,27277000,51440000,47755000,27162000,35593000,51308000,63991000
BalanceOtherCurrentAssets_yy,,,,,,26.29,,28.28,-2.09,-15.32,-25.27,-15.64,17.62,-52.98,-16.35,-35.10,-41.12,105.38,3.20,25.36,15.41,30.49,-0.26,34.00
BalanceOtherCurrentAssets_sy,,,,,,17.69,,37.16,19.34,6.21,-2.37,3.03,-8.41,17.32,24.04,10.53,20.26,20.99,-0.05,23.94,8.50,12.08,-0.81,4.88
