,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
BalanceProperty,3128000,3036000,2953000,2865000,2785000,2561000,2063000,1997000,2143000,2068000,2134000,2202000,2140000,2161000,2256000,2185000,2160000,2258000,2248000,2165000,2099000,2108000,2038000,1973000,1919000,1864000,1826000,1803000,1760000,1719000,1692000,1620000,1616000,1587000,1561000,1550000,6501000,2159000,2272000,4465000,4465000,5103000
BalanceNoncurrentReceivables,5103000,12598000,37549000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90000,230000,230000,230000,3519000,3519000,941000,15858000,140435000,138487000,149893000
BalanceNoncurrInvestments,136304000,130866000,106693000,178287000,210000000,269861000,317983000,353293000,346915000,372405000,438789000,516154000,522496000,567998000,625461000,572458000,539226000,513095000,467999000,417214000,411490000,397927000,345418000,317171000,284838000,231365000,262000,324000,398000,323000,270000,367000,509000,469000,408000,851000,1479000,2490000,2761000,2490000,2409000,2194000
BalanceOtherNoncurrentAssets,2102000,3584000,4603000,4975000,4114000,5794000,5557000,6814000,8434000,8447000,9891000,9915000,11412000,11414000,10412000,9634000,9039000,8394000,8044000,7177000,6730000,6496000,6189000,5925000,32202000,36556000,37788000,35639000,36220000,44793000,52241000,56102000,61869000,86044000,120277000,147403000,162352000,179388000,173792000,184705000,217490000,214314000
BalanceCurrentAssets,231910000,230825000,178336000,164998000,173283000,192841000,183821000,214709000,194144000,232163000,246778000,227867000,209423000,208639000,217013000,149781000,145492000,152298000,140270000,140091000,141915000,122897000,,,,15000,15000,,,,,,,,,,,,,,,
BalanceInventory,,,,,,,,,,,,,,,,,,,,30220000,32678000,33168000,33295000,33210000,35444000,40318000,69948000,83265000,,,,,,,,,,,,,,
BalanceCurrentReceivables,,,,,,,,,,,,,,,1693000,3668000,4028000,1884000,2550000,3656000,9972000,51364000,60938000,14468000,19351000,142239000,151281000,166808000,170625000,172482000,182089000,211703000,222551000,207250000,175882000,158270000,169814000,188751000,178461000,198613000,186757000,223853000
BalanceCurrentInvestments,239021000,223311000,204692000,204802000,202840000,145256000,139348000,145111000,136010000,136809000,132274000,106458000,1000,24000,319000,121000,36000,4951000,582000,4705000,873000,927000,16519000,5164000,10925000,12412000,3048000,12077000,35234000,2313000,8492000,22641000,1936000,3783000,2369000,909000,1204000,13446000,3237000,5064000,6005000,3658000
BalanceCash,4061000,3164000,13392000,3240000,5273000,6284000,3234000,2721000,9075000,15853000,288000,186000,273000,324000,409000,742000,1369000,33000,58000,701000,1142000,146000,168000,119000,146000,167000,298000,867000,934000,518000,2945000,1100000,3181000,4156000,2650000,4150000,3246000,1752000,898000,670000,673000,781000
BalanceOtherCurrentAssets,1285000,871000,903000,1026000,561000,566000,586000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceAssetsForSale,,,,,,,,41195000,41353000,43437000,43769000,44327000,53310000,60814000,62961000,68585000,102997000,177227000,292329000,305747000,333851000,314647000,320075000,328531000,398499000,448996000,508073000,502815000,526583000,528243000,574465000,633373000,741654000,728795000,812263000,885772000,813797000,761069000,733344000,695967000,577248000,566843000
BalanceTotalAssets,559133000,494128000,465424000,434572000,361800000,25075000,25752000,25934000,26036000,26573000,27153000,28039000,29106000,30225000,31630000,33738000,36569000,37471000,40970000,44385000,46333000,47892000,53400000,56280000,56526000,59897000,63223000,66525000,63544000,67625000,73206000,77393000,73323000,78713000,84055000,88257000,81944000,84408000,87081000,88527000,85971000,87827000
BalanceCapital,88562000,87686000,85150000,819000,819000,819000,819000,819000,819000,819000,819000,819000,819000,827000,827000,827000,838000,838000,838000,838000,838000,838000,838000,838000,838000,838000,838000,838000,838000,838000,838000,838000,838000,838000,838000,838000,838000,838000,838000,838000,838000,838000
BalanceShareCapital,838000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceOwnShares,,21140000,23894000,23894000,23894000,23894000,25217000,25217000,20941000,20941000,28287000,28287000,21361000,19932000,21360000,28396000,28396000,28396000,37404000,37404000,28504000,28536000,42196000,42228000,49347000,49380000,49062000,49062000,57673000,57673000,57672000,57672000,67430000,67430000,67430000,67430000,73810000,73810000,73810000,73810000,77723000,
BalanceReserve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1468000
BalanceNonshareCapital,1740000,5097000,1977000,1913000,2937000,1707000,3850000,2985000,21357000,68543000,113251000,115454000,120375000,146284000,140699000,83657000,156492000,255146000,327632000,325365000,300498000,311417000,362588000,418020000,421082000,348537000,407713000,455080000,423333000,508056000,449556000,431135000,365697000,316071000,250569000,228141000,212101000,177582000,180744000,1462000,1634000,4962000
BalanceNoncurrentLiabilities,1974000,1910000,2936000,1706000,21354000,21027000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3847000
BalanceNoncurrentTradeLiabilities,2982000,47513000,113248000,114572000,120372000,146275000,140220000,83625000,156483000,255125000,327599000,325333000,300498000,82971000,362588000,418020000,286274000,293474000,369724000,417053000,385465000,409926000,336162000,299477000,232045000,216946000,203486000,180937000,167728000,163149000,146429000,,,,,,,,,,,
BalanceNoncurrentBorrowings,,,,,,,,,,,,,,228446000,,134808000,55063000,37989000,38027000,37868000,98130000,113394000,131658000,133652000,99125000,47083000,47204000,44373000,14433000,34315000,,,,,,,,,,,,
BalanceNoncurrentObligations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6000,106000,135000,3000,3000,1000,1000,3000,3000,3000,3000,3000
BalanceNoncurrentLeasing,882000,3000,9000,479000,32000,9000,21000,33000,32000,,,,,,,,,,,,,,,,14652000,13861000,12406000,15756000,15841000,23220000,31068000,30005000,35375000,50010000,74946000,142509000,152822000,172506000,123978000,133043000,196982000,188607000
BalanceNoncurrentOtherLiabilities,137570000,123915000,117553000,162862000,150301000,148333000,147728000,247366000,302865000,331227000,351979000,306409000,302865000,201844000,180424000,124470000,162245000,222593000,178160000,164761000,169304000,95906000,14271000,13700000,12406000,15617000,15727000,23171000,30842000,49890000,74683000,,,,,,,,,,,
BalanceCurrentLiabilities,,,,,,,,,,,,,,,,,,,,,,,,,29125000,34668000,,138365000,150952000,170974000,121917000,131954000,196191000,187559000,135594000,121027000,114717000,157567000,109514000,146266000,143875000,179885000
BalanceCurrentTradePayablesv,157284000,146526000,164764000,178673000,157284000,180276000,150822000,90790000,95271000,112229000,86021000,70004000,58689000,47496000,,,,,,,,,,,,,,,,,,,,,,,,,39527000,,61251000,141496000
BalanceCurrentBorrowings,181427000,182374000,122654000,141496000,19445000,27766000,31319000,64660000,109163000,90777000,93781000,109492000,47634000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceCurrentObligations,,,,,,,,,,,,,,381000,161000,139000,114000,49000,226000,880000,707000,120000,263000,4144000,1870000,1532000,2061000,1089000,791000,1048000,1976000,2888000,2836000,5295000,1260000,2067000,3853000,6230000,4085000,3274000,4841000,5082000
BalanceCurrentLeasing,4085000,2123000,1836000,2361000,2314000,1201000,1362000,976000,1123000,776000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceCurrentOtherLiabilities,,,,,,,,,,,41195000,41353000,43437000,43769000,44327000,53310000,60814000,62961000,68585000,102997000,177227000,292329000,305747000,333851000,0,314647000,320075000,328531000,0,398499000,448996000,508073000,502815000,526583000,528243000,574465000,633373000,741654000,728795000,812263000,885772000,813797000
BalanceReckoning,899178000,733344000,695967000,577248000,566843000,559133000,494128000,465424000,434572000,361800000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceTotalEquityAndLiabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashflowOperatingCashflow,787000,-1489000,-548000,-3815000,-255000,5873000,-11496000,2069000,-5161000,-19142000,-10739000,-10211000,12355000,-5634000,-15901000,-21112000,1069000,16374000,-66138000,-47991000,-31923000,-3845000,-64320000,-9823000,19374000,40441000,3574000,21430000,-20716000,-20724000,-10301000,37737000,44011000,6287000,18133000,33622000,3612000,759000,47790000,22842000,21178000,73618000
CashflowAmortization,71000,70000,88000,88000,85000,93000,90000,90000,88000,60000,63000,78000,72000,72000,71000,87000,80000,79000,73000,76000,86000,96000,96000,110000,106000,104000,98000,92000,86000,82000,73000,66000,65000,59000,59000,57000,52000,51000,47000,42000,35000,32000
CashflowInvestingCashflow,-28000,-38000,-590000,-698000,-24000,-88000,-4000,0,-20000,-21000,441000,-26000,-217000,9000,-243000,9000,-157000,-104000,-196000,-23000,-256000,-24000,-65000,-225000,-97000,57000,-12000,-59000,-7000,-3000,-7000,143000,-3000,-26000,0,33000,-10000,71000,-26000,4000,-14000,28000
CashflowCapex,38000,476000,812000,26000,88000,6000,0,30000,236000,6000,26000,217000,23000,243000,-9000,157000,104000,196000,23000,284000,24000,65000,225000,97000,-57000,22000,164000,19000,-9000,7000,4000,16000,26000,0,0,10000,6000,26000,0,14000,-2115000,1550000
CashflowFinancingCashflow,1432000,4316000,196000,-872000,7131000,2054000,1349000,19217000,25890000,-1136000,-12090000,7112000,14705000,18909000,2696000,6887000,37280000,49568000,38358000,18018000,43680000,11895000,-18564000,-41958000,-3267000,-11256000,10514000,22554000,11249000,-40227000,-43605000,-7158000,-7905000,-43807000,-1569000,181000,-50814000,-23359000,-14824000,-66826000,,
CashflowShareCapitalCash,,,,,,,,,8000,-8000,11000,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashflowDividend,,,,,,,,,,,,,,0,0,0,,4444000,0,0,,6959000,0,0,,8552000,0,0,,9642000,0,0,,6289000,-1000,0,,3857000,-1356000,23000,294000,-197000
CashflowNetCashflow,-83000,4913000,-4369000,4123000,-3832000,54000,15592000,-11373000,48000,1487000,-1439000,-2194000,3608000,23157000,-29054000,1554000,6179000,14149000,-20705000,1847000,713000,-1460000,295000,10115000,-10209000,1827000,941000,-2347000,403000,-897000,10228000,-10152000,2033000,1011000,-3050000,-513000,6354000,6778000,,,,
