,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
BalanceTotalAssets,46072000,41870000,47436000,48883000,18991000,18922000,18704000,19000,18953000,18392000,19181000,19557000,18168000,18469000,17833000,18468000,19104000,19443000,18903000,20288000,22291000,21700000,21423000,21276000,21743000,21796000,21379000,21326000,21809000,21952000,21902000,22479000
BalanceCapital,22807000,21853000,22088000,22581000,,16000000,,,,,16233000,16233000,16233000,16233000,16233000,16233000,16233000,16233000,16233000,16233000,16233000,16233000,16233000,16233000,16233000,16233000,16233000,16233000,16233000,16233000,16233000,16233000
BalanceShareCapital,16233000,16233000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceOwnShares,,,,2169000,,,,,2553000,2553000,2553000,3221000,3221000,3221000,3221000,4092000,4092000,4092000,4092000,4933000,4933000,4933000,4933000,5029000,5029000,5029000,5029000,5184000,5184000,5184000,5184000,5284000
BalanceReserve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceNonshareCapital,5746000,5822000,4687000,5000,5110000,4238000,4565000,4734000,4833000,6008000,4196000,4269000,4981000,7539000,3905000,4144000,6066000,6640000,6115000,6153000,7140000,6905000,6393000,6012000,6960000,7174000,7304000,7329000,6803000,6592000,6161000,5957000
BalanceNoncurrentLiabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentTradeLiabilities,,4197000,,,,,4683000,3825000,4002000,4002000,4787000,3472000,3640000,3899000,3123000,3652000,2976000,3258000,3907000,2905000,2466000,2293000,3352000,3508000,3595000,3477000,3236000,2852000,2530000,2526000,,
BalanceNoncurrentBorrowings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentObligations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1625000
BalanceNoncurrentLeasing,,,,,150000,2183000,194000,267000,194000,4068000,264000,245000,2943000,2988000,3139000,2895000,3233000,4000000,3927000,3719000,3608000,3666000,3709000,3852000,3567000,3740000,3631000,3431000,6664000,8580000,10028000,12000
BalanceNoncurrentOtherLiabilities,11714000,9645000,11242000,12669000,13869000,11036000,14950000,15766000,16370000,14050000,18224000,16324000,12658000,9341000,11982000,13368000,13047000,9869000,12819000,12867000,12192000,9486000,14604000,16010000,16463000,13425000,19187000,20345000,,3182000,,
BalanceCurrentLiabilities,,,,3347000,,,5223000,,11614000,1481000,11700000,12716000,12418000,4590000,12289000,12226000,11383000,4093000,14006000,15582000,15739000,5877000,18271000,19505000,,4707000,,,,,,6475000
BalanceCurrentTradePayablesv,,,7423000,,,7116000,,,4565000,,,4789000,,,6428000,,,,,,,,,,,,,,,,,
BalanceCurrentBorrowings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceCurrentObligations,,,,,,,,,,,,,,,,,,596000,,,,,11273000,1026000,12777000,13675000,14088000,1155000,14067000,12759000,604000,396000
BalanceCurrentLeasing,164000,227000,283000,244000,62000,159000,328000,198000,212000,139000,217000,721000,519000,463000,,96000,,,,,2597000,189000,2173000,2091000,2282000,249000,4157000,3565000,440000,348000,118000,425000
BalanceCurrentOtherLiabilities,346000,470000,468000,482000,481000,406000,386000,289000,507000,399000,397000,377000,31401000,33324000,33419000,36000,35777000,32275000,34988000,36960000,36870000,35513000,36980000,38503000,40455000,41032000,41032000,40756000,41015000,37681000,39520000,40797000
BalanceReckoning,41930000,38570000,40591000,40205000,40961000,38612000,43810000,45818000,46073000,41870000,47436000,48883000,,,,,,,,,,,,,,,,,,,,
BalanceTotalEquityAndLiabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashflowOperatingCashflow,,4003000,,,,,-38000,-579000,277000,1332000,1500000,853000,-657000,5000,463000,1067000,632000,228000,790000,3186000,-2383000,-134000,422000,2115000,-3365000,474000,532000,2405000,-1988000,-9000,,928000
CashflowAmortization,,,,,817000,334000,242000,239000,253000,486000,286000,311000,302000,485000,408000,292000,345000,655000,465000,459000,406000,443000,420000,473000,470000,473000,479000,487000,,-5300000,,
CashflowInvestingCashflow,,,-2713000,517000,-608000,-2087000,-13000,-991000,-392000,-244000,197000,-951000,-161000,50000,-2857000,957000,-365000,19000,7000,-443000,-110000,-124000,-113000,-148000,-692000,388000,,5400000,,,,
CashflowCapex,2713000,-472000,429000,1733000,-148000,991000,392000,244000,406000,499000,161000,1000,3309000,-451000,365000,-4000,27000,83000,16000,236000,231000,-123000,142000,162000,,1021000,,,,,2706000,-53000
CashflowFinancingCashflow,374000,696000,-1490000,1177000,1069000,-845000,-580000,-233000,-322000,-371000,2073000,-4177000,2742000,122000,-86000,-2000000,3494000,-142000,-569000,-2314000,2727000,-341000,,,,,,,,,,
CashflowShareCapitalCash,,,,,,,,350000,,,,,,,,,,,,,,,,,,,,,,,,
CashflowDividend,,,,,,,,,,,,,,,,,,,,,,-276000,,,,,-45000,-115000,43000,-59000,-3000,1038000
CashflowNetCashflow,21000,-1084000,80000,-117000,149000,-93000,6000,-42000,-6000,7000,343000,-328000,19000,208000,-150000,-57000,47000,38000,,,,,,,,,,,,,,
