,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeNetProfit,-25857000,-10899000,-8237000,-5332000,-9103000,-7938000,-31720000,6319000,4320000,-264880000,3301000,13799000,10553000,37354000,-231632000,8296000,26612000,21601000,-147229000,-15719000,2067000,-111389000,-57424000,-130791000,-15897000,-19167000,-60261000,-8282000,115000,-25720000,-33702000,3421000,-9806000,-712000,-456000,398000,-18014000,-3237000,-2894000,-11177000,-18516000,-11876000
IncomeShareholderNetProfit,-25755000,-10510000,-9799000,-6860000,-10542000,-10854000,-38555000,365000,-2982000,-270413000,-2842000,6785000,2750000,25441000,-240177000,5028000,16285000,12507000,-144830000,-16272000,184000,-114323000,-56972000,-133501000,-15897000,-19167000,-60261000,-8282000,115000,-25720000,-33702000,3421000,-9806000,,,,,,,,,
BalanceNoncurrentAssets,,,,37301000,46388000,50751000,237783000,247572000,558704000,530192000,511552000,,686867000,652578000,732245000,456893000,491962000,1075696000,1086525000,829607000,770807000,792438000,863434000,758993000,797667000,802482000,623368000,437988000,420764000,442430000,428217000,393306000,371414000,352530000,340821000,346661000,345729000,399796000,,,,
BalanceIntangibleAssets,,,,207157000,312459000,302389000,299561000,,357351000,343725000,415091000,146791000,171075000,195056000,244607000,35644000,31543000,38116000,43950000,67770000,79277000,87713000,88820000,72252000,71391000,77027000,75886000,84719000,82130000,82196000,93069000,,,,13278000,16883000,25113000,735000,661000,215856000,212200000,197772000
BalanceProperty,,315306000,295681000,315334000,308649000,320151000,875213000,836809000,793496000,738670000,753640000,819003000,690785000,717974000,714498000,534313000,365443000,349222000,365264000,352112000,308307000,289087000,270334000,247752000,346661000,345729000,399796000,,,,0,,,,,3877000,,,,,,
BalanceNoncurrentReceivables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1810000,29505000,1837000,5783000,216193000,7448000,6589000,5635000,,1739000,1790000,1335000,737000,
BalanceNoncurrInvestments,467000,595000,683000,481000,438000,416000,271000,234000,293000,150000,139000,220000,280000,197000,,,,,22214000,23800000,24108000,26842000,22941000,9014000,8584000,,12470000,11382000,485000,1454000,5427000,5109000,,,,,,,,,,
BalanceOtherNoncurrentAssets,,,,,,,,,,28958000,26558000,19494000,5165000,22249000,124504000,54700000,46451000,,65901000,73661000,132206000,124929000,102694000,152336000,132334000,111561000,111663000,113649000,149041000,151010000,174609000,110925000,102310000,55138000,92287000,68931000,49902000,44836000,108178000,86173000,71387000,53588000
BalanceCurrentAssets,46163000,57598000,,,,,,,,0,,482000,2490000,2464000,,4286000,5215000,0,37839000,7248000,3904000,2797000,435000,,,4526000,13731000,4990000,9611000,595000,5194000,,,,,1348000,1647000,1783000,2927000,3742000,5934000,19338000
BalanceInventory,25765000,,16540000,12991000,6807000,6900000,11931000,50625000,41360000,20500000,46320000,44524000,40827000,80599000,66395000,44255000,38551000,22494000,35229000,16781000,19603000,16462000,18145000,16700000,13899000,18089000,29209000,28248000,,,,,,,,,,,,,,
BalanceCurrentReceivables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27610000,24529000,17710000,2237000,18507000,118088000,32872000,18222000,,44296000,56384000
BalanceCurrentInvestments,120183000,110200000,64284000,63872000,64406000,64252000,49072000,52834000,94877000,62404000,99914000,60548000,57035000,30975000,55930000,45037000,15061000,22510000,79577000,63335000,53194000,29069000,15509000,27196000,,,,,382000,,,,,,,,,5065000,,,7830000,26479000
BalanceCash,19320000,22906000,16270000,13493000,13338000,8007000,7865000,6121000,6724000,1670000,1128000,2587000,1508000,873000,844000,6137000,3699000,1236000,1444000,2153000,,,,,,,,,,,,,,,,,,,,,,
BalanceOtherCurrentAssets,,,,,,,,,,229307000,,,,,,,,,,,,66258000,72946000,70244000,242948000,269822000,683207000,584891000,558003000,,752768000,726239000,864450000,581823000,594657000,1228032000,1218859000,941169000,882470000,906087000,1012476000,910003000
BalanceAssetsForSale,972275000,913407000,725677000,722433000,513051000,511361000,478119000,438141000,479591000,438703000,412208000,400249000,391892000,457393000,,,,60468000,69897000,59893000,179244000,180448000,534011000,467516000,441550000,,515597000,474961000,514046000,285331000,307529000,691002000,676667000,416183000,387460000,403225000,436111000,304243000,287878000,292468000,178573000,116951000
BalanceTotalAssets,101707000,91826000,69867000,15672000,77904000,73950000,48022000,12895000,20036000,60058000,,,,96934000,115909000,103856000,241497000,243339000,631579000,570649000,543733000,,702088000,641667000,697089000,717607000,754511000,1142557000,1075467000,1037342000,1045287000,1049731000,1135851000,1208157000,1313326000,1296791000,1300546000,1343847000,1294897000,1371130000,1328242000,1439681000
BalanceCapital,1430350000,1343624000,1323938000,1262090000,1237655000,1404779000,,,,,,,,0,,8643000,6402000,6097000,,,,,,,,,,,,,,,,,,,,,,,,
BalanceShareCapital,,,,,,12134000,14691000,13325000,20787000,32658000,32272000,31837000,33217000,,47840000,46805000,51891000,49212000,52483000,54125000,51746000,54403000,16914000,60193000,67400000,73427000,82243000,81505000,81817000,84697000,81642000,86476000,83852000,91092000,86178000,81581000,81262000,78284000,77209000,85112000,,
BalanceOwnShares,,,,,,0,,65251000,60743000,59891000,,80832000,80470000,94515000,97315000,99556000,101184000,102471000,97495000,81155000,80677000,78298000,67486000,60779000,65209000,66523000,63272000,,,,,,,,,,44000,51000,0,,18667000,13617000
BalanceReserve,12878000,,89064000,70813000,86241000,78020000,38456000,315106000,293175000,246255000,249434000,272800000,337594000,341766000,419711000,415198000,189325000,213905000,310847000,224919000,218462000,216835000,206969000,192155000,285060000,310904000,296234000,332902000,,,,,,,,,,,,,,
BalanceNonshareCapital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,,
BalanceNoncurrentLiabilities,,71082000,54594000,66303000,53040000,15272000,17755000,11904000,24186000,32077000,46968000,85759000,112946000,169782000,169203000,102380000,,,,94036000,108829000,95975000,107816000,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentTradeLiabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentBorrowings,,,,,,,,,,,,,,,,,,,,,,,,,,,44000,51000,0,,18667000,13617000,12878000,,17982000,16219000,19938000,24980000,23185000,297351000,281271000,222069000
BalanceNoncurrentObligations,217357000,225832000,251835000,228820000,249928000,245995000,189325000,213905000,208467000,224919000,218462000,216835000,206969000,192155000,191024000,202076000,200259000,225086000,,,,5746000,3049000,10301000,63704000,89374000,65278000,43015000,43684000,,67275000,99995000,169649000,121157000,149116000,120740000,146545000,181235000,164422000,149385000,160473000,196508000
BalanceNoncurrentLeasing,203908000,140533000,291257000,287796000,100497000,194617000,189790000,205634000,194718000,172598000,79126000,76449000,75621000,64434000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentOtherLiabilities,,,,,,,8294000,7733000,296000,1229000,,,,,,,,20727000,55389000,18945000,26801000,26620000,,43360000,69515000,113335000,46243000,56364000,13456000,42962000,57306000,59623000,39901000,24463000,17897000,26100000,28271000,201765000,210932000,25264000,124353000,115705000
BalanceCurrentLiabilities,128300000,116317000,111816000,18260000,9218000,10551000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceCurrentTradePayablesv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceCurrentBorrowings,,,,,,,,,,5746000,67000,10301000,42977000,33984000,46333000,16214000,17064000,,23915000,30480000,56313000,4175000,92751000,105022000,103583000,24198000,21001000,18713000,10977000,13787000,13405000,13236000,13274000,53028000,11585000,12255000,11217000,11748000,11122000,11804000,12544000,14632000
BalanceCurrentObligations,14352000,11127000,,,,,2982000,,,,,,,,,,,,,70739000,2263000,99730000,83798000,90770000,125034000,164824000,164403000,99025000,76218000,64345000,63647000,58009000,54575000,65586000,59545000,48681000,48322000,60589000,52052000,42756000,0,0
BalanceCurrentLeasing,0,66258000,72946000,70244000,0,242948000,269822000,683207000,0,584891000,558003000,0,0,752768000,726239000,864450000,0,581823000,594657000,1228032000,1218859000,941169000,882470000,906087000,1012476000,910003000,972275000,913407000,725677000,681924000,513051000,511361000,478119000,438141000,479591000,438703000,412208000,400249000,391892000,457393000,,
BalanceCurrentOtherLiabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceReckoning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceTotalEquityAndLiabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashflowOperatingCashflow,-2128000,-379000,-3412000,-1238000,-6881000,-4284000,-12023000,-6390000,-10170000,-12136000,-6853000,246000,-10374000,11623000,-7036000,9453000,43702000,20124000,12248000,46317000,29768000,33474000,68518000,52355000,18795000,90179000,92621000,7954000,6310000,31050000,4485000,5817000,-1417000,3097000,-16202000,9888000,-2190000,-3084000,2282000,-12442000,-3226000,-10880000
CashflowAmortization,31000,34000,19000,50000,53000,35000,141000,120000,98000,2329000,4592000,1340000,3992000,3773000,2941000,13355000,16584000,19592000,28484000,17878000,16579000,16800000,27127000,26939000,25176000,23933000,26843000,19132000,18376000,16594000,17276000,19283000,7146000,5517000,4569000,5788000,3208000,1545000,544000,1695000,1553000,1621000
CashflowInvestingCashflow,-2034000,-413000,-944000,-1718000,-907000,-1850000,-138000,-12108000,-5483000,-192236000,-24137000,-46453000,-48000,-23263000,-31743000,-42735000,-48131000,-11846000,83092000,-137539000,-39734000,-27077000,-84094000,-60617000,-37617000,-70268000,-51283000,-91997000,-14876000,-63974000,-13999000,-55000,90663000,-2615000,-4615000,-2457000,-2419000,-8454000,-11463000,-8355000,-10382000,-27196000
CashflowCapex,-196000,867000,936000,1688000,1059000,-701000,-6420000,29000,17000,156203000,3776000,5466000,398000,11180000,3368000,-1811000,20121000,-3653000,-17075000,84777000,12208000,2226000,40280000,29695000,24946000,41660000,45255000,59594000,27095000,12882000,3254000,7350000,1985000,999000,2842000,1663000,1235000,-122000,555000,-49000,7142000,30667000
CashflowFinancingCashflow,-1724000,-3713000,-166000,16456000,0,0,3736000,14266000,31914000,300673000,1050000,285000,96000,24694000,113996000,-40137000,19276000,38290000,-3400000,15498000,-41617000,-7962000,20288000,6313000,1839000,-17610000,9740000,228000,50161000,-1159000,-1212000,1205000,-82623000,-13633000,-7673000,-54000,63574000,52000,-836000,-557000,-649000,47418000
CashflowShareCapitalCash,,,,28303000,0,0,-2034000,-2836000,-2550000,301512000,-1407000,2813000,96000,0,0,0,561000,0,0,0,,,,152000,0,0,11000,,,,,,,71208000,0,0,0,47451000,,,,
CashflowDividend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6973000,-3514000,-4552000,11578000
CashflowNetCashflow,-8486000,-4268000,-9446000,-4338000,16253000,96213000,-29923000,-45846000,-8144000,8706000,17235000,-5803000,15954000,47049000,-18162000,28845000,-51583000,-1566000,4284000,-2136000,-15658000,2935000,37701000,-56315000,44694000,-38906000,-7615000,5266000,6108000,-13640000,-28440000,6929000,58571000,-11574000,-9378000,-21581000,-12911000,10202000,,,,
