,IncomeRevenues,IncomeCostOfSales,IncomeDistributionExpenses,IncomeAdministrativExpenses,IncomeGrossProfit,IncomeOtherOperatingIncome,IncomeOtherOperatingCosts,IncomeEBIT,IncomeFinanceIncome,IncomeFinanceCosts,IncomeOtherIncome,IncomeNetGrossProfit,IncomeExtraordinarProfit,IncomeBeforeTaxProfit,IncomeDiscontinuedProfit,IncomeNetProfit,IncomeShareholderNetProfit,BalanceNoncurrentAssets,BalanceIntangibleAssets,BalanceProperty,BalanceNoncurrentReceivables,BalanceNoncurrInvestments,BalanceOtherNoncurrentAssets,BalanceCurrentAssets,BalanceInventory,BalanceCurrentReceivables,BalanceCurrentInvestments,BalanceCash,BalanceOtherCurrentAssets,BalanceAssetsForSale,BalanceTotalAssets,BalanceCapital,BalanceShareCapital,BalanceOwnShares,BalanceReserve,BalanceNonshareCapital,BalanceNoncurrentLiabilities,BalanceNoncurrentTradeLiabilities,BalanceNoncurrentBorrowings,BalanceNoncurrentObligations,BalanceNoncurrentLeasing,BalanceNoncurrentOtherLiabilities,BalanceCurrentLiabilities,BalanceCurrentTradePayablesv,BalanceCurrentBorrowings,BalanceCurrentObligations,BalanceCurrentLeasing,BalanceCurrentOtherLiabilities,BalanceReckoning,BalanceTotalEquityAndLiabilities,CashflowOperatingCashflow,CashflowAmortization,CashflowInvestingCashflow,CashflowCapex,CashflowFinancingCashflow,CashflowShareCapitalCash,CashflowDividend,CashflowNetCashflow
LAB,6214000.0,,,,432000.0,316000.0,357000.0,102000.0,0.0,89000.0,23000.0,1975000.0,,1975000.0,,1769000.0,1769000.0,4592000.0,2120000.0,2459000.0,,,27000.0,6685000.0,579000.0,5467000.0,570000.0,1186000.0,743000.0,,32473000.0,9406000.0,3618000.0,,4557000.0,,9410000.0,,9107000.0,,,912000.0,17759000.0,9500000.0,,,4867000.0,,16662000.0,,115000.0,,-491000.0,500000.0,-168000.0,,,73000.0
LBT,83688000.0,64093000.0,7763000.0,1872000.0,9960000.0,136000.0,498000.0,9026000.0,75000.0,1471000.0,,6606000.0,,6606000.0,,5423000.0,5423000.0,251965000.0,57316000.0,206609000.0,,,14681000.0,122013000.0,70959000.0,33356000.0,,349000.0,,,184331000.0,500000.0,,74816000.0,,86358000.0,,77100000.0,,,11164000.0,90258000.0,67670000.0,29520000.0,,,14179000.0,375152000.0,,,1310000.0,6367000.0,-2743000.0,2776000.0,-1435000.0,,,-210000.0
LBW,37886000.0,31733000.0,2357000.0,5119000.0,-1323000.0,400000.0,-257000.0,-666000.0,297000.0,849000.0,-34000.0,-8168000.0,,5079000.0,,433000.0,654000.0,205068000.0,54383000.0,837000.0,17602000.0,3489000.0,101923000.0,67686000.0,88621000.0,1238000.0,17000.0,,307449000.0,195855000.0,21854000.0,,,1422000.0,,24836000.0,,,15539000.0,104106000.0,34436000.0,,,4378000.0,181000.0,0.0,,,,,1936000.0,1976000.0,-6048000.0,910000.0,-5033000.0,,,731000.0
LCC,32452000.0,19615000.0,1518000.0,4411000.0,6908000.0,13507000.0,10389000.0,10026000.0,1291000.0,-8138000.0,,19455000.0,,19455000.0,,15742000.0,15742000.0,1562137000.0,256000.0,1958158000.0,,5461000.0,795218000.0,695354000.0,32974000.0,5332000.0,261839000.0,6740000.0,,930390000.0,447558000.0,,591224000.0,,1066409000.0,,,,9353000.0,309582000.0,15056000.0,16428000.0,,,12620000.0,258263000.0,2890885000.0,,,,-59772000.0,134000.0,-54167000.0,413000.0,37362000.0,,,22986000.0
LEN,26313000.0,17804000.0,3594000.0,1262000.0,3653000.0,76000.0,-186000.0,3915000.0,-411000.0,-108000.0,-21000.0,2285000.0,,2285000.0,,1783000.0,1783000.0,38955000.0,107000.0,,0.0,631000.0,56895000.0,27689000.0,25707000.0,155000.0,7529000.0,,48883000.0,71215000.0,1244000.0,,77190000.0,,226000.0,,,,459000.0,17865000.0,,,,3857000.0,,96958000.0,,,,,134000.0,793000.0,3892000.0,542000.0,-111000.0,,0.0,5928000.0
LKD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LPP,1107493000.0,471137000.0,420221000.0,38726000.0,177409000.0,10916000.0,20929000.0,167396000.0,599000.0,34468000.0,,133527000.0,,133527000.0,,82041000.0,81729000.0,1638381000.0,334152000.0,199000.0,1070000.0,16668000.0,1022366000.0,1036797000.0,216894000.0,30549000.0,5567000.0,,1483913000.0,1195523000.0,3662000.0,-43310000.0,1892917000.0,15247000.0,,91361000.0,,,3611000.0,590194000.0,569325000.0,679170000.0,,,85207000.0,447302000.0,,,,,126852000.0,37705000.0,-126761000.0,132066000.0,3835000.0,0.0,,-85121000.0
LRK,25251000.0,22088000.0,928000.0,1021000.0,1797000.0,220000.0,63000.0,-219196000.0,189000.0,2260000.0,-25415000.0,-8254000.0,,-8254000.0,,-8254000.0,-8254000.0,175049000.0,119020000.0,,391000.0,945000.0,108434000.0,7070000.0,64122000.0,,805000.0,,505241000.0,382424000.0,166034000.0,,9089000.0,416000.0,,10970000.0,,,9874000.0,137118000.0,43320000.0,9219000.0,,,,29153000.0,,,,,6324000.0,4228000.0,-355000.0,2062000.0,-3984000.0,,-3369000.0,
LRQ,14316000.0,12939000.0,,4494000.0,-4739000.0,193000.0,729000.0,-2424000.0,28000.0,,2480000.0,,2480000.0,,461000.0,461000.0,,33214000.0,3718000.0,7390000.0,,386000.0,36392000.0,,14919000.0,2516000.0,228000.0,,43416000.0,29814000.0,728000.0,,18185000.0,501000.0,25559000.0,,,,8000.0,20311000.0,18699000.0,3785000.0,,,908000.0,12073000.0,,,,,1315000.0,289000.0,-712000.0,155000.0,7736000.0,0.0,,
LSI,7307000.0,6261000.0,298000.0,565000.0,183000.0,475000.0,111000.0,547000.0,22000.0,23000.0,,646000.0,,646000.0,,611000.0,611000.0,18371000.0,12562000.0,8477000.0,,380000.0,10259000.0,2506000.0,7231000.0,5000.0,339000.0,,26769000.0,15940000.0,3261000.0,0.0,13168000.0,,902000.0,,1955000.0,,,5776000.0,1847000.0,1022000.0,,,573000.0,,31435000.0,,,,867000.0,445000.0,-889000.0,917000.0,-360000.0,,,104000.0
LTS,7787455000.0,7041107000.0,302782000.0,103411000.0,340155000.0,2031000.0,2019000.0,340167000.0,37481000.0,-1764000.0,-25467000.0,-1502649000.0,,-1502649000.0,,-1276433000.0,-1276402000.0,11833888000.0,688279000.0,11194500000.0,70072000.0,79354000.0,8782239000.0,5747841000.0,2206238000.0,156492000.0,1529503000.0,,13014219000.0,8303958000.0,129873000.0,,1373222000.0,160000.0,5406427000.0,,,,378091000.0,2525893000.0,2787411000.0,2813126000.0,,,1704451000.0,,19633563000.0,,,,195574000.0,154784000.0,-107466000.0,474383000.0,219958000.0,,,618001000.0
LTX,96355000.0,67214000.0,5836000.0,7527000.0,15778000.0,1048000.0,656000.0,8538000.0,485000.0,818000.0,-4976000.0,48040000.0,,48040000.0,3794000.0,10063000.0,8516000.0,347449000.0,50572000.0,574000.0,53856000.0,7252000.0,305385000.0,125770000.0,,16802000.0,40101000.0,,551036000.0,396190000.0,20032000.0,174162000.0,,79436000.0,,53574000.0,,,21651000.0,42551000.0,1174000.0,,,1316000.0,59776000.0,0.0,,,,,23933000.0,4278000.0,-1699000.0,12929000.0,-21243000.0,951000.0,22000.0,-2977000.0
LVC,4471000.0,537000.0,351000.0,487000.0,3095000.0,228000.0,109000.0,7582000.0,68000.0,-309000.0,,8515000.0,,8515000.0,,6823000.0,6823000.0,2957000.0,1348000.0,393000.0,,,494000.0,11895000.0,,2083000.0,,23214000.0,3000.0,,41435000.0,38639000.0,515000.0,,765000.0,,0.0,,,,,1730000.0,237000.0,,,,1492000.0,,9591000.0,,2451000.0,133000.0,68000.0,-68000.0,0.0,,9528000.0,3428000.0
LWB,539395000.0,358413000.0,12291000.0,25789000.0,142902000.0,384000.0,23883000.0,119403000.0,2535000.0,2944000.0,,99047000.0,,99047000.0,,79370000.0,80218000.0,3274004000.0,22719000.0,3227904000.0,1483000.0,88832000.0,2379000.0,655241000.0,135539000.0,278260000.0,,334829000.0,,4624000.0,3581570000.0,2364484000.0,301158000.0,,1615010000.0,10222000.0,,0.0,,,237232000.0,403139000.0,238439000.0,54000000.0,,,99828000.0,,2877339000.0,,240341000.0,104171000.0,-76298000.0,77750000.0,-122450000.0,,,-133632000.0
MAB,0.0,1103000.0,,5719000.0,-5719000.0,3000.0,-524000.0,57000.0,4000.0,,-695000.0,,-695000.0,,-703000.0,-1063000.0,,54889000.0,,65583000.0,116000.0,,,18394000.0,9590000.0,,,187000.0,,32638000.0,19601000.0,690000.0,,19924000.0,,15490000.0,,0.0,,,45684000.0,34198000.0,20309000.0,,,,126000.0,73042000.0,,,-8865000.0,293000.0,9680000.0,139000.0,26421000.0,,,
MAK,30553000.0,26296000.0,5607000.0,1211000.0,1865000.0,390000.0,574000.0,1681000.0,212000.0,947000.0,,946000.0,,946000.0,,1203000.0,1203000.0,87702000.0,15447000.0,,,562000.0,56101000.0,15896000.0,24751000.0,,1288000.0,,121918000.0,62429000.0,27750000.0,,35050000.0,,23129000.0,,,,,46385000.0,,18203000.0,,,27763000.0,556000.0,126715000.0,,,,789000.0,1016000.0,-86000.0,133000.0,-531000.0,,,816000.0
MBR,10231000.0,,,,1793000.0,28000.0,10144000.0,,136000.0,,972000.0,,972000.0,,749000.0,749000.0,,175851000.0,1353000.0,158707000.0,597000.0,,4306000.0,13507000.0,845000.0,,232000.0,271000.0,,78258000.0,52063000.0,23414000.0,,29630000.0,,44338000.0,,42202000.0,,,37477000.0,33387000.0,2689000.0,10959000.0,,,2938000.0,2417000.0,165956000.0,,1805000.0,1748000.0,-7968000.0,3723000.0,-3462000.0,,,26000.0
MBW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCI,5825000.0,1402000.0,,2101000.0,-1019000.0,67734000.0,2000.0,-49304000.0,2422000.0,4852000.0,10315000.0,,10315000.0,-2570000.0,8439000.0,8439000.0,,1303002000.0,,2188000.0,369033000.0,7090000.0,162723000.0,,4468000.0,5443000.0,,8964000.0,843861000.0,1080141000.0,58752000.0,-11135000.0,2665000.0,17390000.0,,57642000.0,,,,137392000.0,944000.0,,,7509000.0,703000.0,0.0,,,,,8678000.0,,21386000.0,322000.0,6503000.0,,,16188000.0
MCP,4650000.0,,,,2400000.0,168000.0,58000.0,1405000.0,37000.0,47000.0,,-886000.0,,-886000.0,629000.0,629000.0,,1173000.0,859000.0,353000.0,319000.0,,1137000.0,19067000.0,361000.0,13094000.0,2145000.0,39000.0,,8191000.0,5905000.0,557000.0,-4000.0,4316000.0,-408000.0,13000.0,,1000000.0,,,1559000.0,16213000.0,3906000.0,4265000.0,,,1099000.0,8350000.0,,,-1124000.0,255000.0,-268000.0,1306000.0,,,-1669000.0,
MCR,54590000.0,36307000.0,5540000.0,3874000.0,8869000.0,221000.0,131000.0,8959000.0,77000.0,1339000.0,,3701000.0,,3701000.0,434000.0,2888000.0,2429000.0,145049000.0,52582000.0,59040000.0,,,15376000.0,154785000.0,39491000.0,84771000.0,10489000.0,,1828000.0,566799000.0,318115000.0,3915000.0,,140210000.0,5091000.0,12516000.0,123000.0,26954000.0,,,6726000.0,96916000.0,56529000.0,61909000.0,,,1306000.0,871000.0,285603000.0,,1762000.0,1130000.0,-4450000.0,4450000.0,117556000.0,,15973000.0,-906000.0
MDG,3850000.0,,,,3730000.0,43000.0,-1000.0,6479000.0,-1753000.0,1735000.0,,6236000.0,,6236000.0,,5288000.0,2435000.0,35574000.0,9984000.0,871000.0,6000.0,15169000.0,2673000.0,78000.0,4845000.0,4978000.0,20019000.0,,,313797000.0,171788000.0,361000.0,,,1046000.0,,,,,65000.0,1519000.0,194000.0,19000.0,,,441000.0,1515000.0,282431000.0,,,-2478000.0,158000.0,2063000.0,3578000.0,1137000.0,,1400000.0,
MDI,8281000.0,10182000.0,329000.0,1810000.0,-3910000.0,1515000.0,1056000.0,-3451000.0,39000.0,2408000.0,5332000.0,543000.0,,543000.0,,543000.0,543000.0,189042000.0,6738000.0,14356000.0,,5000.0,,894000.0,43000.0,422000.0,14000.0,15605000.0,21764000.0,,127303000.0,45100000.0,161380000.0,-16000000.0,-115761000.0,363000.0,,,,,5987000.0,72955000.0,38284000.0,28638000.0,,,6033000.0,,105995000.0,,1273000.0,2759000.0,-39000.0,4000.0,-11250000.0,,,4926000.0
MEG,11111000.0,6500000.0,5003000.0,918000.0,-1310000.0,131000.0,69000.0,-1248000.0,26000.0,72000.0,,-1294000.0,,-1294000.0,,-1111000.0,-1111000.0,19339000.0,90000.0,19048000.0,8000.0,,103000.0,13091000.0,1403000.0,9683000.0,45000.0,4684000.0,289000.0,,32342000.0,21215000.0,540000.0,,18342000.0,,4010000.0,,5611000.0,,,3574000.0,7147000.0,6196000.0,,,233000.0,552000.0,31857000.0,,-763000.0,499000.0,-91000.0,91000.0,-118000.0,,1485000.0,1746000.0
MEX,10647000.0,8368000.0,11000.0,765000.0,523000.0,84000.0,64000.0,544000.0,12000.0,161000.0,,395000.0,,395000.0,,-2778000.0,-2624000.0,18032000.0,986000.0,12377000.0,722000.0,1262000.0,1927000.0,6112000.0,1075000.0,2176000.0,4000.0,3292000.0,293000.0,,4478000.0,520000.0,,7341000.0,16000.0,8986000.0,,5868000.0,,,828000.0,12172000.0,3380000.0,6365000.0,,,1201000.0,64000.0,22739000.0,,926000.0,448000.0,-73000.0,147000.0,-896000.0,0.0,,89000.0
MFO,50614000.0,,,,2708000.0,107000.0,90000.0,2725000.0,35000.0,59000.0,,3795000.0,,3795000.0,,2868000.0,2868000.0,35669000.0,26000.0,35493000.0,,,150000.0,47944000.0,19943000.0,26359000.0,,1419000.0,223000.0,,83613000.0,30441000.0,1000000.0,,25719000.0,,6434000.0,,4451000.0,,,1983000.0,46738000.0,36966000.0,9239000.0,,,669000.0,,108224000.0,3538000.0,282000.0,-927000.0,927000.0,-1532000.0,,,128000.0
MGT,76327000.0,58174000.0,3847000.0,4224000.0,10082000.0,42000.0,489000.0,9635000.0,-663000.0,194000.0,,11160000.0,,11160000.0,,9870000.0,9849000.0,135735000.0,21880000.0,295798000.0,197000.0,1193000.0,4399000.0,7849000.0,17988000.0,,2310000.0,529000.0,95000.0,181524000.0,106590000.0,981000.0,,32180000.0,1953000.0,20054000.0,,27560000.0,,454000.0,40294000.0,115383000.0,72056000.0,49527000.0,,9567000.0,,52150000.0,,,9123000.0,2726000.0,-16507000.0,12790000.0,8129000.0,,,-1869000.0
MIR,8064000.0,4188000.0,2076000.0,1925000.0,-125000.0,290000.0,34000.0,649000.0,,567000.0,384000.0,,384000.0,,180000.0,80000.0,,53288000.0,35125000.0,1786000.0,152000.0,2655000.0,15632000.0,4464000.0,7325000.0,3798000.0,2812000.0,390000.0,53925000.0,17670000.0,24337000.0,,,13652000.0,850000.0,14587000.0,,,6902000.0,20866000.0,,,,1698000.0,,51160000.0,,,,,611000.0,194000.0,13000.0,0.0,-698000.0,0.0,,157000.0
MLG,23518000.0,,,,14783000.0,-24150000.0,72000.0,-9439000.0,1882000.0,-5928000.0,,-1629000.0,,-1629000.0,,-2167000.0,-2167000.0,943817000.0,19000.0,994535000.0,,,12949000.0,191821000.0,40000.0,13473000.0,29868000.0,39073000.0,,,1358350000.0,731038000.0,4529000.0,,,,,322581000.0,,,127559000.0,76465000.0,28828000.0,93162000.0,,,344000.0,,1154577000.0,,12681000.0,45000.0,-5047000.0,5074000.0,-10434000.0,,,-20444000.0
MLK,396539000.0,302047000.0,34401000.0,33524000.0,26567000.0,-5307000.0,,-13661000.0,27447000.0,12388000.0,,-50943000.0,,-50943000.0,,-49630000.0,-50818000.0,673023000.0,22552000.0,474618000.0,,,18465000.0,198085000.0,62575000.0,126433000.0,,4503000.0,,,173200000.0,12376000.0,,258471000.0,25432000.0,403609000.0,,175434000.0,,,124010000.0,535833000.0,119549000.0,431189000.0,,,13788000.0,,842549000.0,,-5131000.0,14011000.0,-4263000.0,4334000.0,33840000.0,,,-1781000.0
MNC,200660000.0,194540000.0,3435000.0,6998000.0,-4313000.0,1600000.0,-242000.0,-2471000.0,-649000.0,2840000.0,,-5960000.0,,-5960000.0,,55183000.0,53323000.0,358396000.0,113690000.0,199530000.0,,16181000.0,377161000.0,345280000.0,103675000.0,217230000.0,,31316000.0,,326121000.0,265598000.0,65701000.0,,280221000.0,,14592000.0,,1063000.0,,,9107000.0,104396000.0,66413000.0,31358000.0,,,6625000.0,,533314000.0,,-20151000.0,7401000.0,628000.0,4213000.0,-26736000.0,0.0,,10417000.0
MNI,47196000.0,35298000.0,2384000.0,2536000.0,6978000.0,1236000.0,284000.0,7930000.0,1549000.0,4896000.0,-34532000.0,650000.0,,3840000.0,,3991000.0,3491000.0,415140000.0,41116000.0,7215000.0,13807000.0,11608000.0,175418000.0,10160000.0,166436000.0,641000.0,,,445369000.0,351974000.0,98946000.0,-37691000.0,20809000.0,10306000.0,,141085000.0,,,44469000.0,249933000.0,41164000.0,,,14694000.0,,376456000.0,,,,,8152000.0,8705000.0,-3843000.0,2248000.0,-3026000.0,,,178000.0
MOJ,3631000.0,2912000.0,334000.0,1180000.0,-795000.0,-13000.0,9000.0,-817000.0,17000.0,98000.0,-3000.0,-311000.0,,-311000.0,,-269000.0,-269000.0,21338000.0,284000.0,20059000.0,147000.0,60000.0,405000.0,29739000.0,15173000.0,13407000.0,3000.0,113000.0,981000.0,,62948000.0,36596000.0,9827000.0,,26835000.0,,2962000.0,,1230000.0,,,1220000.0,23239000.0,20110000.0,,,83000.0,29000.0,34523000.0,,493000.0,349000.0,-75000.0,101000.0,49000.0,,,1077000.0
MOL,20147871000.0,,,,17103000.0,259482000.0,1079891000.0,-803305000.0,-121739000.0,250783000.0,,675081000.0,,675081000.0,,397724000.0,385223000.0,45500657000.0,2606254000.0,,,1102806000.0,24524877000.0,6146207000.0,5566602000.0,1146494000.0,,0.0,70480324000.0,24473394000.0,1101714000.0,,1162838000.0,12236168000.0,,14924053000.0,,,6457810000.0,19796322000.0,5765768000.0,,,187517000.0,,0.0,,,,,963693000.0,3026579000.0,-356166000.0,761485000.0,-2941993000.0,,14000.0,-107285000.0
MON,33641000.0,15464000.0,15393000.0,1239000.0,1545000.0,1255000.0,756000.0,2044000.0,1210000.0,182000.0,7842000.0,,7842000.0,,6328000.0,6328000.0,,42071000.0,483000.0,89650000.0,,1585000.0,49011000.0,30860000.0,14986000.0,,2792000.0,,109521000.0,63229000.0,3056000.0,,117612000.0,,,0.0,,,1821000.0,13749000.0,4426000.0,,,,14480000.0,142403000.0,,,,,-5263000.0,668000.0,605000.0,155000.0,-340000.0,,,-20180000.0
MPH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MRB,313186000.0,300470000.0,830000.0,5063000.0,6823000.0,-1275000.0,1706000.0,3842000.0,937000.0,3127000.0,,978000.0,,18479000.0,,14871000.0,14557000.0,276759000.0,9308000.0,244313000.0,11967000.0,37402000.0,7879000.0,418071000.0,163259000.0,241494000.0,3500000.0,13087000.0,2558000.0,,1004053000.0,305611000.0,8249000.0,,,69977000.0,80004000.0,,,,7467000.0,249766000.0,83337000.0,117590000.0,,,51399000.0,1840000.0,960533000.0,,20463000.0,1364000.0,-460000.0,1238000.0,-18319000.0,10860000.0,84000.0,7764000.0
MRC,38330000.0,,,,3372000.0,372000.0,244000.0,3500000.0,284000.0,708000.0,,3076000.0,,3076000.0,,2459000.0,2511000.0,35881000.0,34000.0,32847000.0,16000.0,,3060000.0,60359000.0,23591000.0,25634000.0,,10863000.0,271000.0,,97886000.0,54722000.0,8643000.0,,42641000.0,3390000.0,10073000.0,,6910000.0,,271000.0,2892000.0,45930000.0,18188000.0,22163000.0,,251000.0,9675000.0,2370000.0,151194000.0,-50000.0,658000.0,-1981000.0,2361000.0,2347000.0,,0.0,-12000.0
MSP,20617000.0,23798000.0,,1015000.0,-4196000.0,91000.0,16000.0,-4121000.0,83000.0,17000.0,206000.0,1912000.0,,1912000.0,,1525000.0,1525000.0,27175000.0,339000.0,12820000.0,,,5304000.0,44355000.0,3370000.0,24072000.0,,2236000.0,22935000.0,,68353000.0,33485000.0,20000000.0,,25940000.0,,5087000.0,,221000.0,,,5659000.0,32975000.0,28687000.0,,,470000.0,643000.0,51141000.0,,8405000.0,521000.0,901000.0,115000.0,3898000.0,,,401000.0
MSW,503088000.0,516703000.0,,14302000.0,12310000.0,6630000.0,9229000.0,9711000.0,905000.0,5917000.0,,11464000.0,,11464000.0,,11779000.0,12136000.0,212919000.0,2991000.0,600000.0,5798000.0,56643000.0,1726861000.0,26641000.0,333416000.0,124327000.0,181574000.0,,1790607000.0,204990000.0,44801000.0,,332103000.0,47562000.0,,16490000.0,,,52390000.0,1606280000.0,314726000.0,93374000.0,,1978000.0,81307000.0,0.0,,,,,-28924000.0,7713000.0,1612000.0,1722000.0,43545000.0,,,37643000.0
MSZ,150714000.0,138230000.0,110000.0,11473000.0,3562000.0,10842000.0,9945000.0,4459000.0,-79000.0,5050000.0,,4114000.0,,4114000.0,1002000.0,3691000.0,3597000.0,176608000.0,1956000.0,384000.0,13005000.0,13468000.0,247836000.0,28373000.0,225503000.0,408000.0,4116000.0,,660955000.0,239295000.0,149131000.0,,1685000.0,33807000.0,,8774000.0,,,25463000.0,240669000.0,114366000.0,46109000.0,,,11453000.0,555092000.0,,,,,-6096000.0,3329000.0,-2673000.0,654000.0,850000.0,,11000.0,4232000.0
MTL,37044000.0,30159000.0,406000.0,2105000.0,4374000.0,519000.0,118000.0,7725000.0,2939000.0,2925000.0,,3514000.0,,3514000.0,0.0,-53141000.0,-53141000.0,525357000.0,544000.0,233643000.0,4000.0,1476000.0,14786000.0,80000.0,28794000.0,105000.0,12005000.0,,19675000.0,41143000.0,1817000.0,,11506000.0,1000.0,41752000.0,,,,1054000.0,53524000.0,15132000.0,8743000.0,,,6926000.0,1630000.0,550553000.0,,,,15521000.0,3244000.0,-4613000.0,4315000.0,-25647000.0,,,4091000.0
MVP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MWT,15010000.0,10593000.0,,1176000.0,4355000.0,329000.0,76000.0,4608000.0,10000.0,25000.0,,4593000.0,,4593000.0,,3733000.0,3733000.0,354960000.0,230000.0,2038000.0,,345418000.0,6189000.0,,33295000.0,60938000.0,16519000.0,168000.0,,320075000.0,53400000.0,838000.0,,42196000.0,,362588000.0,,336162000.0,131658000.0,,,14271000.0,,,,263000.0,,305747000.0,,,-64320000.0,96000.0,-65000.0,225000.0,-18564000.0,,0.0,295000.0
MXC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MZA,4129000.0,3361000.0,657000.0,1393000.0,-1282000.0,343000.0,214000.0,-1153000.0,6000.0,18000.0,,438000.0,,907000.0,,723000.0,737000.0,20022000.0,6227000.0,1051000.0,,11715000.0,34795000.0,18365000.0,11710000.0,,668000.0,278000.0,,36365000.0,21277000.0,5827000.0,-8000.0,28791000.0,-195000.0,4426000.0,,,,,8883000.0,11885000.0,,,,1285000.0,233000.0,51249000.0,,,221000.0,815000.0,-1079000.0,1092000.0,1287000.0,350000.0,,-268000.0
MZN,755000.0,,,,681000.0,18000.0,203000.0,287000.0,12000.0,11000.0,,1054000.0,,1054000.0,,793000.0,791000.0,4749000.0,10429000.0,181000.0,,,171000.0,7878000.0,,,554000.0,54000.0,,3770000.0,2159000.0,1250000.0,,15654000.0,11000.0,293000.0,,47000.0,,,10000.0,1991000.0,,,,,-1000.0,3770000.0,,,-4274000.0,112000.0,-227000.0,363000.0,-50000.0,0.0,,-184000.0
NCT,42835000.0,35929000.0,7404000.0,1433000.0,-404000.0,300000.0,4827000.0,-4931000.0,1000.0,,3091000.0,,2090000.0,,2598000.0,2598000.0,,67269000.0,7218000.0,50938000.0,,77000.0,43623000.0,11430000.0,24842000.0,,2345000.0,925000.0,4852000.0,36776000.0,640000.0,,47974000.0,-4795000.0,17193000.0,,15212000.0,,534000.0,115000.0,16827000.0,9412000.0,,,1290000.0,896000.0,129153000.0,,,,3833000.0,,-277000.0,288000.0,-1114000.0,2000000.0,,-70000.0
NEM,31500000.0,26366000.0,2434000.0,1529000.0,1171000.0,23000.0,550000.0,688000.0,137000.0,149000.0,0.0,-342000.0,,-342000.0,,-503000.0,-503000.0,57389000.0,37336000.0,4311000.0,,,20077000.0,0.0,17888000.0,,15884000.0,,36454000.0,48204000.0,1215000.0,,63059000.0,65000.0,6853000.0,,20575000.0,,,1977000.0,11734000.0,3245000.0,,,3614000.0,2083000.0,99002000.0,,,,-781000.0,289000.0,-205000.0,94000.0,-333000.0,,,11626000.0
NET,457076000.0,300972000.0,87565000.0,40997000.0,27542000.0,5847000.0,563000.0,32826000.0,-349000.0,7474000.0,,16133000.0,,16133000.0,,10953000.0,10953000.0,2624720000.0,545418000.0,1983227000.0,,116000.0,112502000.0,319602000.0,3716000.0,190734000.0,1009000.0,16194000.0,23968000.0,2560613000.0,2343323000.0,397833000.0,-122806000.0,1586268000.0,,31871000.0,,320809000.0,,,64763000.0,403559000.0,218344000.0,100004000.0,,,26897000.0,35728000.0,2890698000.0,,145175000.0,109666000.0,-57228000.0,57353000.0,-55736000.0,,7584000.0,120872000.0
NEU,1435086000.0,1301156000.0,69659000.0,35161000.0,29110000.0,1690000.0,8219000.0,22581000.0,4942000.0,3336000.0,-6000.0,14484000.0,,14484000.0,,12124000.0,11832000.0,515309000.0,265420000.0,356316000.0,8416000.0,6008000.0,1566379000.0,740673000.0,802349000.0,,24311000.0,8138000.0,371264000.0,160584000.0,4416000.0,,243451000.0,4903000.0,147019000.0,,5474000.0,,34181000.0,291625000.0,644072000.0,325254000.0,,,24938000.0,,1855916000.0,,,,19607000.0,5921000.0,2079000.0,4016000.0,-15252000.0,0.0,0.0,20779000.0
NNG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTT,170355000.0,162672000.0,5325000.0,1117000.0,1241000.0,1574000.0,2605000.0,210000.0,-71000.0,1337000.0,0.0,458000.0,,458000.0,,418000.0,418000.0,60168000.0,31764000.0,23443000.0,,777000.0,175602000.0,65872000.0,60312000.0,877000.0,9299000.0,3728000.0,,175569000.0,66536000.0,,30336000.0,277000.0,4226000.0,,,,,3389000.0,145148000.0,51931000.0,21162000.0,,,6421000.0,2782000.0,164498000.0,,,-7565000.0,180000.0,-70000.0,70000.0,2716000.0,,,9395000.0
NTU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NVA,37267000.0,32339000.0,182000.0,775000.0,3971000.0,52000.0,281000.0,3742000.0,14000.0,1586000.0,-90000.0,10728000.0,,6674000.0,,5493000.0,5493000.0,489853000.0,3149000.0,460072000.0,644000.0,11447000.0,14059000.0,69348000.0,71000.0,34589000.0,52756000.0,20449000.0,,192796000.0,148259000.0,8000000.0,,113848000.0,699000.0,13747000.0,102865000.0,206131000.0,,,281963000.0,180071000.0,38334000.0,,,368000.0,100000.0,157134000.0,,,25739000.0,680000.0,-15589000.0,10714000.0,-7077000.0,,4985000.0,26326000.0
