,IncomeRevenues,IncomeRevenues_yy,IncomeRevenues_sy,IncomeRevenues_qq,IncomeRevenues_sq,IncomeCostOfSales,IncomeCostOfSales_yy,IncomeCostOfSales_sy,IncomeCostOfSales_qq,IncomeCostOfSales_sq,IncomeDistributionExpenses,IncomeDistributionExpenses_yy,IncomeDistributionExpenses_sy,IncomeDistributionExpenses_qq,IncomeDistributionExpenses_sq,IncomeAdministrativExpenses,IncomeAdministrativExpenses_yy,IncomeAdministrativExpenses_sy,IncomeAdministrativExpenses_qq,IncomeAdministrativExpenses_sq,IncomeGrossProfit,IncomeGrossProfit_yy,IncomeGrossProfit_sy,IncomeGrossProfit_qq,IncomeGrossProfit_sq,IncomeOtherOperatingIncome,IncomeOtherOperatingIncome_yy,IncomeOtherOperatingIncome_sy,IncomeOtherOperatingIncome_qq,IncomeOtherOperatingIncome_sq,IncomeOtherOperatingCosts,IncomeOtherOperatingCosts_yy,IncomeOtherOperatingCosts_sy,IncomeOtherOperatingCosts_qq,IncomeOtherOperatingCosts_sq,IncomeEBIT,IncomeEBIT_yy,IncomeEBIT_sy,IncomeEBIT_qq,IncomeEBIT_sq,IncomeFinanceIncome,IncomeFinanceIncome_yy,IncomeFinanceIncome_sy,IncomeFinanceIncome_qq,IncomeFinanceIncome_sq,IncomeFinanceCosts,IncomeFinanceCosts_yy,IncomeFinanceCosts_sy,IncomeFinanceCosts_qq,IncomeFinanceCosts_sq,IncomeOtherIncome,IncomeOtherIncome_yy,IncomeOtherIncome_sy,IncomeOtherIncome_qq,IncomeOtherIncome_sq,IncomeNetGrossProfit,IncomeNetGrossProfit_yy,IncomeNetGrossProfit_sy,IncomeNetGrossProfit_qq,IncomeNetGrossProfit_sq,IncomeExtraordinarProfit,IncomeExtraordinarProfit_yy,IncomeExtraordinarProfit_sy,IncomeExtraordinarProfit_qq,IncomeExtraordinarProfit_sq,IncomeBeforeTaxProfit,IncomeBeforeTaxProfit_yy,IncomeBeforeTaxProfit_sy,IncomeBeforeTaxProfit_qq,IncomeBeforeTaxProfit_sq,IncomeDiscontinuedProfit,IncomeDiscontinuedProfit_yy,IncomeDiscontinuedProfit_sy,IncomeDiscontinuedProfit_qq,IncomeDiscontinuedProfit_sq,IncomeNetProfit,IncomeNetProfit_yy,IncomeNetProfit_sy,IncomeNetProfit_qq,IncomeNetProfit_sq,IncomeShareholderNetProfit,IncomeShareholderNetProfit_yy,IncomeShareholderNetProfit_sy,IncomeShareholderNetProfit_qq,IncomeShareholderNetProfit_sq,BalanceNoncurrentAssets,BalanceNoncurrentAssets_yy,BalanceNoncurrentAssets_sy,BalanceNoncurrentAssets_qq,BalanceNoncurrentAssets_sq,BalanceIntangibleAssets,BalanceIntangibleAssets_yy,BalanceIntangibleAssets_sy,BalanceIntangibleAssets_qq,BalanceIntangibleAssets_sq,BalanceProperty,BalanceProperty_yy,BalanceProperty_sy,BalanceProperty_qq,BalanceProperty_sq,BalanceNoncurrentReceivables,BalanceNoncurrentReceivables_yy,BalanceNoncurrentReceivables_sy,BalanceNoncurrentReceivables_qq,BalanceNoncurrentReceivables_sq,BalanceNoncurrInvestments,BalanceNoncurrInvestments_yy,BalanceNoncurrInvestments_sy,BalanceNoncurrInvestments_qq,BalanceNoncurrInvestments_sq,BalanceOtherNoncurrentAssets,BalanceOtherNoncurrentAssets_yy,BalanceOtherNoncurrentAssets_sy,BalanceOtherNoncurrentAssets_qq,BalanceOtherNoncurrentAssets_sq,BalanceCurrentAssets,BalanceCurrentAssets_yy,BalanceCurrentAssets_sy,BalanceCurrentAssets_qq,BalanceCurrentAssets_sq,BalanceInventory,BalanceInventory_yy,BalanceInventory_sy,BalanceInventory_qq,BalanceInventory_sq,BalanceCurrentReceivables,BalanceCurrentReceivables_yy,BalanceCurrentReceivables_sy,BalanceCurrentReceivables_qq,BalanceCurrentReceivables_sq,BalanceCurrentInvestments,BalanceCurrentInvestments_yy,BalanceCurrentInvestments_sy,BalanceCurrentInvestments_qq,BalanceCurrentInvestments_sq,BalanceCash,BalanceCash_yy,BalanceCash_sy,BalanceCash_qq,BalanceCash_sq,BalanceOtherCurrentAssets,BalanceOtherCurrentAssets_yy,BalanceOtherCurrentAssets_sy,BalanceOtherCurrentAssets_qq,BalanceOtherCurrentAssets_sq,BalanceAssetsForSale,BalanceAssetsForSale_yy,BalanceAssetsForSale_sy,BalanceAssetsForSale_qq,BalanceAssetsForSale_sq,BalanceTotalAssets,BalanceTotalAssets_yy,BalanceTotalAssets_sy,BalanceTotalAssets_qq,BalanceTotalAssets_sq,BalanceCapital,BalanceCapital_yy,BalanceCapital_sy,BalanceCapital_qq,BalanceCapital_sq,BalanceShareCapital,BalanceShareCapital_yy,BalanceShareCapital_sy,BalanceShareCapital_qq,BalanceShareCapital_sq,BalanceOwnShares,BalanceOwnShares_yy,BalanceOwnShares_sy,BalanceOwnShares_qq,BalanceOwnShares_sq,BalanceReserve,BalanceReserve_yy,BalanceReserve_sy,BalanceReserve_qq,BalanceReserve_sq,BalanceNonshareCapital,BalanceNonshareCapital_yy,BalanceNonshareCapital_sy,BalanceNonshareCapital_qq,BalanceNonshareCapital_sq,BalanceNoncurrentLiabilities,BalanceNoncurrentLiabilities_yy,BalanceNoncurrentLiabilities_sy,BalanceNoncurrentLiabilities_qq,BalanceNoncurrentLiabilities_sq,BalanceNoncurrentTradeLiabilities,BalanceNoncurrentTradeLiabilities_yy,BalanceNoncurrentTradeLiabilities_sy,BalanceNoncurrentTradeLiabilities_qq,BalanceNoncurrentTradeLiabilities_sq,BalanceNoncurrentBorrowings,BalanceNoncurrentBorrowings_yy,BalanceNoncurrentBorrowings_sy,BalanceNoncurrentBorrowings_qq,BalanceNoncurrentBorrowings_sq,BalanceNoncurrentObligations,BalanceNoncurrentObligations_yy,BalanceNoncurrentObligations_sy,BalanceNoncurrentObligations_qq,BalanceNoncurrentObligations_sq,BalanceNoncurrentLeasing,BalanceNoncurrentLeasing_yy,BalanceNoncurrentLeasing_sy,BalanceNoncurrentLeasing_qq,BalanceNoncurrentLeasing_sq,BalanceNoncurrentOtherLiabilities,BalanceNoncurrentOtherLiabilities_yy,BalanceNoncurrentOtherLiabilities_sy,BalanceNoncurrentOtherLiabilities_qq,BalanceNoncurrentOtherLiabilities_sq,BalanceCurrentLiabilities,BalanceCurrentLiabilities_yy,BalanceCurrentLiabilities_sy,BalanceCurrentLiabilities_qq,BalanceCurrentLiabilities_sq,BalanceCurrentTradePayablesv,BalanceCurrentTradePayablesv_yy,BalanceCurrentTradePayablesv_sy,BalanceCurrentTradePayablesv_qq,BalanceCurrentTradePayablesv_sq,BalanceCurrentBorrowings,BalanceCurrentBorrowings_yy,BalanceCurrentBorrowings_sy,BalanceCurrentBorrowings_qq,BalanceCurrentBorrowings_sq,BalanceCurrentObligations,BalanceCurrentObligations_yy,BalanceCurrentObligations_sy,BalanceCurrentObligations_qq,BalanceCurrentObligations_sq,BalanceCurrentLeasing,BalanceCurrentLeasing_yy,BalanceCurrentLeasing_sy,BalanceCurrentLeasing_qq,BalanceCurrentLeasing_sq,BalanceCurrentOtherLiabilities,BalanceCurrentOtherLiabilities_yy,BalanceCurrentOtherLiabilities_sy,BalanceCurrentOtherLiabilities_qq,BalanceCurrentOtherLiabilities_sq,BalanceReckoning,BalanceReckoning_yy,BalanceReckoning_sy,BalanceReckoning_qq,BalanceReckoning_sq,BalanceTotalEquityAndLiabilities,BalanceTotalEquityAndLiabilities_yy,BalanceTotalEquityAndLiabilities_sy,BalanceTotalEquityAndLiabilities_qq,BalanceTotalEquityAndLiabilities_sq,CashflowOperatingCashflow,CashflowOperatingCashflow_yy,CashflowOperatingCashflow_sy,CashflowOperatingCashflow_qq,CashflowOperatingCashflow_sq,CashflowAmortization,CashflowAmortization_yy,CashflowAmortization_sy,CashflowAmortization_qq,CashflowAmortization_sq,CashflowInvestingCashflow,CashflowInvestingCashflow_yy,CashflowInvestingCashflow_sy,CashflowInvestingCashflow_qq,CashflowInvestingCashflow_sq,CashflowCapex,CashflowCapex_yy,CashflowCapex_sy,CashflowCapex_qq,CashflowCapex_sq,CashflowFinancingCashflow,CashflowFinancingCashflow_yy,CashflowFinancingCashflow_sy,CashflowFinancingCashflow_qq,CashflowFinancingCashflow_sq,CashflowShareCapitalCash,CashflowShareCapitalCash_yy,CashflowShareCapitalCash_sy,CashflowShareCapitalCash_qq,CashflowShareCapitalCash_sq,CashflowDividend,CashflowDividend_yy,CashflowDividend_sy,CashflowDividend_qq,CashflowDividend_sq,CashflowNetCashflow,CashflowNetCashflow_yy,CashflowNetCashflow_sy,CashflowNetCashflow_qq,CashflowNetCashflow_sq,QuoteCurrent,QuoteCurrent_yy,QuoteCurrent_sy,QuoteCurrent_qq,QuoteCurrent_sq,ShareAmountCurrent,ShareAmountCurrent_yy,ShareAmountCurrent_sy,ShareAmountCurrent_qq,ShareAmountCurrent_sq,WKCurrent,WKCurrent_yy,WKCurrent_sy,WKCurrent_qq,WKCurrent_sq,CWKCurrent,CWKCurrent_yy,CWKCurrent_sy,CWKCurrent_qq,CWKCurrent_sq,WKGrahamCurrent,WKGrahamCurrent_yy,WKGrahamCurrent_sy,WKGrahamCurrent_qq,WKGrahamCurrent_sq,CWKGrahamCurrent,CWKGrahamCurrent_yy,CWKGrahamCurrent_sy,CWKGrahamCurrent_qq,CWKGrahamCurrent_sq,PCurrent,PCurrent_yy,PCurrent_sy,PCurrent_qq,PCurrent_sq,CPCurrent,CPCurrent_yy,CPCurrent_sy,CPCurrent_qq,CPCurrent_sq,ZCurrent,ZCurrent_yy,ZCurrent_sy,ZCurrent_qq,ZCurrent_sq,CZCurrent,CZCurrent_yy,CZCurrent_sy,CZCurrent_qq,CZCurrent_sq,ZOCurrent,ZOCurrent_yy,ZOCurrent_sy,ZOCurrent_qq,ZOCurrent_sq,CZOCurrent,CZOCurrent_yy,CZOCurrent_sy,CZOCurrent_qq,CZOCurrent_sq,EVCurrent,EVCurrent_yy,EVCurrent_sy,EVCurrent_qq,EVCurrent_sq,EVPCurrent,EVPCurrent_yy,EVPCurrent_sy,EVPCurrent_qq,EVPCurrent_sq,EVEBITCurrent,EVEBITCurrent_yy,EVEBITCurrent_sy,EVEBITCurrent_qq,EVEBITCurrent_sq,EVEBITDACurrent,EVEBITDACurrent_yy,EVEBITDACurrent_sy,EVEBITDACurrent_qq,EVEBITDACurrent_sq,ROE,ROE_yy,ROE_sy,ROE_qq,ROE_sq,ROA,ROA_yy,ROA_sy,ROA_qq,ROA_sq,OPM,OPM_yy,OPM_sy,OPM_qq,OPM_sq,ROS,ROS_yy,ROS_sy,ROS_qq,ROS_sq,RS,RS_yy,RS_sy,RS_qq,RS_sq,GPM,GPM_yy,GPM_sy,GPM_qq,GPM_sq,RBS,RBS_yy,RBS_sy,RBS_qq,RBS_sq,ROPA,ROPA_yy,ROPA_sy,ROPA_qq,ROPA_sq,ZNPO,ZNPO_yy,ZNPO_sy,ZNPO_qq,ZNPO_sq,ZFI,ZFI_yy,ZFI_sy,ZFI_qq,ZFI_sq,DTAR,DTAR_yy,DTAR_sy,DTAR_qq,DTAR_sq,CG,CG_yy,CG_sy,CG_qq,CG_sq,LDER,LDER_yy,LDER_sy,LDER_qq,LDER_sq,PZAT,PZAT_yy,PZAT_sy,PZAT_qq,PZAT_sq,PELDR,PELDR_yy,PELDR_sy,PELDR_qq,PELDR_sq,TSF,TSF_yy,TSF_sy,TSF_qq,TSF_sq,ZKO,ZKO_yy,ZKO_sy,ZKO_qq,ZKO_sq,OSF,OSF_yy,OSF_sy,OSF_qq,OSF_sq,NetDebt,NetDebt_yy,NetDebt_sy,NetDebt_qq,NetDebt_sq,NetDebtEBITDA,NetDebtEBITDA_yy,NetDebtEBITDA_sy,NetDebtEBITDA_qq,NetDebtEBITDA_sq,DebtFin,DebtFin_yy,DebtFin_sy,DebtFin_qq,DebtFin_sq,DebtFinEBITDA,DebtFinEBITDA_yy,DebtFinEBITDA_sy,DebtFinEBITDA_qq,DebtFinEBITDA_sq,SP1,SP1_yy,SP1_sy,SP1_qq,SP1_sq,SP2,SP2_yy,SP2_sy,SP2_qq,SP2_sq,CAR,CAR_yy,CAR_sy,CAR_qq,CAR_sq,QR,QR_yy,QR_sy,QR_qq,QR_sq,CR,CR_yy,CR_sy,CR_qq,CR_sq,PP,PP_yy,PP_sy,PP_qq,PP_sq,RCLR,RCLR_yy,RCLR_sy,RCLR_qq,RCLR_sq,KP,KP_yy,KP_sy,KP_qq,KP_sq,PKKO,PKKO_yy,PKKO_sy,PKKO_qq,PKKO_sq,RN,RN_yy,RN_sy,RN_qq,RN_sq,CRN,CRN_yy,CRN_sy,CRN_qq,CRN_sq,CPZ,CPZ_yy,CPZ_sy,CPZ_qq,CPZ_sq,RZ,RZ_yy,RZ_sy,RZ_qq,RZ_sq,CRZ,CRZ_yy,CRZ_sy,CRZ_qq,CRZ_sq,RMO,RMO_yy,RMO_sy,RMO_qq,RMO_sq,RMT,RMT_yy,RMT_sy,RMT_qq,RMT_sq,RM,RM_yy,RM_sy,RM_qq,RM_sq,COP,COP_yy,COP_sy,COP_qq,COP_sq,CSP,CSP_yy,CSP_sy,CSP_qq,CSP_sq,Price
CNT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CTG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
