,2009/Q4,2010/Q4,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
CWKCurrent_sq,,,,-4.50,7.24,-8.41,-8.05,1.20,7.95,-2.44,1.77,3.17,3.49,-4.56,-3.23,-2.55,4.71,-3.61,-1.21,-2.43,10.36,-1.29,-4.58,-5.66,2.20,-3.31,-39.51,68.33,-0.25
PCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCurrent_yy,,135.02,80.19,,,,33.87,22.40,11.23,15.40,12.54,-18.55,-15.89,-15.65,-4.62,31.17,31.57,31.32,9.14,9.93,-42.05,-44.53,-38.22,-35.63,30.69,40.24,1269.20,29.18,16.56
PCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCurrent_qq,,,,13.17,11.30,1.67,4.54,3.46,1.14,5.49,1.95,-25.12,4.45,5.78,15.28,2.98,4.77,5.58,-4.19,3.72,-44.77,1.07,6.71,8.06,12.14,8.45,941.84,-89.80,1.18
PCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPCurrent_yy,,-57.45,-44.50,,,,-25.30,-18.30,-10.09,-13.34,-11.14,22.78,18.89,18.56,4.85,-23.76,-23.99,-23.85,-8.38,-9.03,72.55,80.27,61.87,55.35,-23.48,-28.69,-92.70,-22.59,-14.21
CPCurrent_sy,,24.36,-16.29,,,,-15.05,-3.49,1.43,8.37,17.73,15.55,13.02,7.10,7.62,2.31,4.48,6.84,-17.88,-23.45,-12.03,-14.69,7.26,7.50,-13.92,-15.99,-20.32,-10.31,-8.77
CPCurrent_qq,,,,-11.63,-10.15,-1.64,-4.34,-3.35,-1.13,-5.20,-1.91,33.55,-4.27,-5.46,-13.25,-2.90,-4.56,-5.29,4.37,-3.58,81.04,-1.05,-6.28,-7.47,-10.82,-7.79,-90.40,880.60,-1.17
CPCurrent_sq,,,,-3.22,-2.12,-1.77,-8.70,9.95,2.86,4.96,-0.82,7.91,0.61,-0.53,-0.34,2.59,2.74,1.71,-23.40,-4.37,18.08,-1.36,-3.70,-4.16,-5.45,-3.73,-8.66,7.88,-3.83
ZCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZCurrent_yy,,61.67,246.34,,,,-59.83,-73.99,-77.28,-62.57,272.81,254.71,226.22,148.82,3.71,32.75,34.19,27.70,-7.66,-14.02,-53.03,-56.29,4.49,8.74,96.66,142.18,795.68,4.60,22.87
ZCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZCurrent_qq,,,,31.39,24.17,-11.38,-72.22,-14.94,8.47,46.01,176.76,-19.07,-0.24,11.36,15.36,3.58,0.84,5.97,-16.58,-3.55,-44.91,-1.38,99.42,0.37,-0.37,21.45,637.51,-88.28,17.03
ZCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZCurrent_yy,,,,,,,148.95,284.56,340.20,167.17,-73.18,-71.81,-69.35,-59.81,-3.58,-24.67,-25.48,-21.69,8.29,16.31,112.89,128.77,-4.30,-8.04,-49.15,-58.71,-88.84,-4.40,-18.61
CZCurrent_sy,,,,,,,1.83,11.96,17.44,-0.68,-0.95,-3.65,-6.25,-5.63,-3.54,-11.47,-8.66,0.69,12.03,49.38,36.62,33.02,2.66,-15.91,1.76,-7.71,-10.40,-15.17,-22.89
CZCurrent_qq,,,,-23.89,-19.46,12.84,259.91,17.57,-7.81,-31.51,-63.87,23.56,0.24,-10.20,-13.31,-3.46,-0.83,-5.64,19.88,3.68,81.52,1.40,-49.85,-0.37,0.37,-17.66,-86.44,753.14,-14.55
CZCurrent_sq,,,,-3.39,-4.11,13.67,-3.29,6.21,0.58,-3.86,-3.56,3.32,-2.14,-3.22,-1.42,-5.18,0.96,6.70,9.68,26.44,-7.67,3.88,-15.35,3.57,11.74,-5.79,-17.83,-1.93,1.56
ZOCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZOCurrent_yy,,62.95,234.67,,,,-45.53,-63.36,-61.14,-45.92,218.47,187.67,125.55,86.59,2.12,32.72,33.08,27.66,-7.38,-13.88,-50.37,-52.98,-5.52,-1.07,71.40,116.74,1036.16,28.87,52.07
ZOCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZOCurrent_qq,,,,32.32,19.51,-3.76,-64.21,-11.00,26.74,33.95,110.77,-19.60,-0.63,10.81,15.35,4.49,-0.36,6.30,-16.31,-2.84,-42.57,0.70,68.16,1.74,-0.52,27.35,781.49,-88.46,17.40
ZOCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZOCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZOCurrent_yy,,,,,,,83.59,172.92,157.36,84.91,-68.60,-65.24,-55.66,-46.41,-2.07,-24.65,-24.86,-21.67,7.97,16.11,101.49,112.68,5.84,1.08,-41.66,-53.86,-91.20,-22.40,-34.24
CZOCurrent_sy,,,,,,,8.97,10.68,1.78,-7.33,-17.22,-9.22,-1.08,0.08,10.71,-9.15,-7.45,3.89,11.38,31.94,27.39,21.09,-1.14,-10.10,-5.78,-11.42,-10.67,-15.49,-17.03
CZOCurrent_qq,,,,-24.43,-16.33,3.91,179.40,12.35,-21.10,-25.34,-52.56,24.39,0.63,-9.76,-13.30,-4.30,0.36,-5.92,19.49,2.92,74.14,-0.70,-40.53,-1.71,0.52,-21.47,-88.66,766.63,-14.82
CZOCurrent_sq,,,,1.51,0.28,2.33,4.62,3.10,-7.78,-6.83,-6.55,13.06,0.49,-5.74,3.38,-7.22,2.38,5.81,10.83,9.89,-1.15,0.57,-9.51,-0.07,3.61,-5.46,-8.74,-5.46,1.72
ROE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROE_yy,,57.68,228.33,,,,-77.34,-84.67,-85.00,-78.88,236.45,257.53,226.01,146.27,2.59,12.31,17.64,11.59,-17.66,-20.29,-51.86,-54.07,6.02,10.37,78.57,115.27,-18.42,7.21,25.11
ROE_sy,,59.56,54.89,,,,-28.17,-27.80,-24.36,-21.70,12.46,5.89,12.11,5.47,-3.63,-0.24,-1.23,3.62,-18.76,-24.62,-16.24,-20.40,2.78,5.61,-15.74,-8.90,-12.87,8.70,22.33
ROE_qq,,,,23.54,7.69,1.21,-83.17,-16.45,5.41,42.49,168.12,-11.22,-3.89,7.64,11.69,-2.80,0.67,2.10,-17.59,-5.90,-39.20,-2.58,90.22,-2.03,-1.64,17.44,-27.91,28.74,14.78
ROE_sq,,,,0.04,-8.32,-1.00,-20.89,0.56,-3.96,2.49,13.62,-5.31,1.68,-3.58,3.82,-1.98,0.67,1.15,-18.60,-9.05,11.86,-3.88,5.10,-6.55,-10.75,3.92,0.52,16.58,0.44
ROA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROA_yy,,74.13,187.50,,,,-70.41,-81.20,-83.33,-72.00,206.90,280.00,272.00,174.29,20.22,4.21,3.23,3.12,-28.04,-28.28,-35.42,-37.37,22.08,35.21,50.00,72.58,-21.28,-10.42,8.60
ROA_sy,,17.65,72.14,,,,-25.31,-28.46,-21.77,-18.07,23.33,6.28,6.19,9.74,-3.60,0.49,-6.80,-6.54,-22.43,-21.57,6.25,-5.00,18.07,20.00,-17.65,-5.26,-15.31,-10.42,10.71
ROA_qq,,,,35.71,12.78,-16.67,-76.80,-13.79,,40.00,154.29,6.74,-2.11,3.23,11.46,-7.48,-3.03,3.12,-22.22,-7.79,-12.68,,51.61,2.13,-3.12,15.05,-30.84,16.22,17.44
ROA_sq,,,,10.79,-7.12,-4.03,-24.37,6.11,,0.52,13.85,-8.56,1.48,3.88,,-4.67,-5.88,4.17,-17.00,-3.61,27.50,,3.16,-2.04,-12.50,7.14,-7.78,3.61,8.14
OPM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPM_yy,,84.24,174.76,,,,-59.30,-70.03,-65.03,-53.12,182.94,252.85,168.00,121.20,7.07,1.16,1.15,-2.78,-15.15,-21.63,-14.35,-15.26,52.86,53.66,31.09,54.56,-17.02,-0.26,30.47
OPM_sy,,81.28,50.14,,,,-19.53,-14.34,-22.61,-14.21,2.79,2.66,30.30,27.30,26.26,10.98,1.52,-1.05,-29.63,-31.72,-0.74,0.54,60.75,56.31,-16.70,-5.03,-17.63,-18.83,21.06
OPM_qq,,,,16.92,7.37,-5.34,-65.75,-13.92,25.28,26.91,106.73,7.35,-4.84,4.75,0.06,1.42,-4.85,0.67,-12.66,-6.33,3.99,-0.39,57.55,-5.84,-11.29,17.44,-15.41,13.17,16.05
OPM_sq,,,,8.47,-5.63,-4.05,-18.08,15.47,-14.74,6.36,-1.84,15.33,8.22,3.92,-2.65,1.37,-1.00,1.29,-30.77,-1.64,43.91,2.59,10.69,-4.35,-23.31,16.96,-3.99,-5.75,14.38
ROS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROS_yy,,83.69,181.21,,,,-70.00,-78.73,-79.58,-67.57,231.30,334.86,288.16,195.01,8.75,1.21,1.95,-2.74,-15.45,-21.76,-18.95,-21.19,69.17,68.92,50.56,72.58,-34.59,-19.07,5.38
ROS_sy,,70.69,58.75,,,,-15.25,-12.53,-16.14,-14.07,-4.96,0.05,26.07,22.47,33.77,13.70,5.91,4.27,-11.02,-12.75,1.57,-2.95,15.46,8.34,-23.50,-13.86,-21.81,-13.61,13.85
ROS_qq,,,,16.09,11.54,-12.83,-73.42,-17.68,7.04,38.49,171.50,8.05,-4.45,5.25,0.08,0.56,-3.76,0.42,-13.00,-6.95,-0.31,-2.36,86.76,-7.09,-11.14,11.92,-29.21,14.96,15.71
ROS_sq,,,,8.79,-12.46,3.59,-14.09,12.28,-16.08,6.15,-4.99,18.21,5.75,3.12,3.78,0.47,-1.50,1.52,-11.44,-1.48,14.67,-2.99,5.35,-7.55,-19.03,9.23,-4.37,2.14,6.70
ROPA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROPA_yy,,75.14,181.06,,,,-59.81,-73.29,-71.70,-59.03,162.79,205.13,157.78,101.69,17.70,4.20,2.59,4.20,-27.82,-28.23,-31.93,-33.06,10.42,22.47,30.86,54.22,,11.01,34.91
ROPA_sy,,30.20,55.67,,,,-25.17,-27.91,-19.46,-14.49,6.19,7.23,9.17,13.64,15.00,3.97,-6.87,-9.82,-30.43,-32.06,4.92,0.81,36.46,46.07,-13.28,2.40,,-6.92,13.51
ROPA_qq,,,,36.45,8.90,-9.43,-70.14,-9.30,15.38,31.11,91.53,5.31,-2.52,2.59,11.76,-6.77,-4.03,4.20,-22.58,-7.29,-8.99,2.47,27.71,2.83,-2.75,20.75,-17.19,14.15,18.18
ROPA_sq,,,,7.95,-8.59,-5.03,-20.14,3.98,2.13,0.83,-0.83,5.00,3.97,4.96,0.36,-5.07,-6.87,1.64,-22.58,-7.29,43.82,-2.34,4.80,-0.76,-14.62,15.32,1.56,-6.92,4.13
ZNPO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZNPO_yy,,98.75,2871.57,,,,-102.70,-101.26,99.61,-113.36,14012.92,2749.34,1310.39,-1157.61,-104.69,-138.31,-68.02,146.48,139.13,487.31,-119.51,-152.28,-162.01,-132.13,375.13,-1154.79,-245.92,-15.88,-343.83
ZNPO_sy,,-606.84,206.17,,,,-88.31,-401.45,81.41,1248.11,208.47,295.75,2300.00,-149.12,263.55,-189.10,-78.44,102.35,-58.04,133.55,-46.94,1171.43,-106.33,42.15,255.99,488.89,1995.11,-18.28,65.76
ZNPO_qq,,,,8.91,-504.94,103.44,-117.76,49.23,-26.54,-17.16,18586.41,-90.33,-42.19,-221.73,31.08,21.02,148.25,76.95,-41.97,681.67,-102.43,-374.24,31.18,-305.03,120.81,-2262.92,81.03,-35.69,56.21
ZNPO_sq,,,,-113.85,-280.02,72.04,179.41,-694.31,85.91,1826.70,-78.66,277.14,58.34,-138.55,257.91,-192.43,138.31,-95.80,2723.02,-26.09,-39.41,0.56,-114.04,1760.89,51.75,66.36,-54.80,-28.38,207.79
ZFI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZFI_yy,,,,,,,-62.25,322.50,329.69,-2305.54,9031.38,-78.48,-79.92,107.23,-98.12,,45.30,128.98,19.24,,-141.49,64.01,1199.30,-94.36,343.58,,-56.29,149.31,-199.59
ZFI_sy,,,,,,,-62.25,-18.28,57.42,44.45,-68.31,-28.88,-5.80,409.48,887.43,,348.80,7.38,-34.52,,-45.50,-54.39,258.86,51.23,108.92,,-50.58,-83.66,-48.14
ZFI_qq,,,,-51.62,1.80,-31.93,12.62,441.41,3.53,-449.38,566.28,-98.72,-3.37,25.77,21.37,,,98.21,-36.80,1818.75,-101.73,883.49,400.70,-91.67,-25.48,,,-52.47,-129.76
ZFI_sq,,,,-33.06,-65.94,-22.42,113.42,44.89,-34.38,-28.81,-53.17,225.15,-13.08,284.98,-9.25,,,-7.89,-44.66,72.01,-37.85,-22.92,335.47,-27.51,-14.13,,,-76.03,172.48
DTAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTAR_yy,,8.12,3.69,,,,-2.29,-1.90,-0.85,-2.46,0.84,-0.69,-1.51,-1.00,-1.57,0.81,1.38,0.79,1.34,1.05,-3.48,-3.66,-1.41,-2.06,2.28,2.82,0.38,1.92,1.51
DTAR_sy,,0.95,1.14,,,,-0.91,-0.62,-0.21,-0.48,-0.46,-0.13,-0.69,-0.58,-0.17,-0.21,0.33,0.73,0.20,-0.29,-0.56,-0.81,-0.29,-0.30,-0.53,-0.37,-0.89,0.23,1.43
DTAR_qq,,,,-0.75,-0.41,1.58,-2.68,-0.35,0.65,-0.07,0.61,-1.86,-0.18,0.45,0.02,0.52,0.39,-0.14,0.57,0.23,-4.11,-0.33,2.92,-0.42,0.13,0.19,0.48,1.11,-0.27
DTAR_sq,,,,-0.51,0.02,-0.15,-0.27,-0.22,0.42,-0.41,-0.25,0.12,-0.15,-0.30,0.16,0.08,0.39,0.10,-0.36,-0.41,0.11,-0.14,0.16,-0.42,-0.12,0.02,-0.37,0.71,1.07
CG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CG_yy,,77.56,51.17,,,,-24.55,-19.69,-9.39,-27.06,9.73,-6.70,-14.41,-10.00,-15.79,8.50,14.99,8.45,15.30,12.28,-28.20,-28.97,-14.01,-19.66,22.08,27.69,3.90,21.93,16.75
CG_sy,,10.25,12.53,,,,-9.82,-6.39,-2.29,-4.92,-4.70,-1.31,-6.76,-5.72,-1.77,-2.11,3.01,7.64,2.11,-2.88,-5.54,-7.84,-2.90,-2.85,-5.08,-3.57,-8.21,2.29,15.41
CG_qq,,,,-9.53,-5.00,23.35,-28.83,-3.70,7.18,-0.71,7.07,-18.12,-1.68,4.41,0.17,5.51,4.21,-1.53,6.50,2.74,-33.37,-2.58,28.93,-4.01,1.25,1.90,4.91,12.65,-3.05
CG_sq,,,,-5.82,0.17,-1.68,-2.78,-2.24,4.56,-4.32,-2.55,1.23,-1.20,-3.26,1.53,0.87,3.96,1.09,-3.68,-4.06,1.12,-1.37,1.48,-4.01,-1.21,0.21,-3.40,6.97,11.46
NetDebt,2086762000000,5319986000000,10705059000000,10946093000000,12004386000000,13158255000000,13685703000000,14662361000000,16324634000000,17232230000000,19349293000000,19791708000000,21455904000000,22731702000000,22865105000000,27167230000000,28165755000000,28105007000000,30095088000000,31390436000000,31607105000000,33714144000000,44121487000000,45420882000000,46180505000000,47290766000000,48123771000000,49524512000000,49840470000000
NetDebt_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NetDebt_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NetDebt_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NetDebt_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NetDebtEBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NetDebtEBITDA_yy,,-925.63,167.57,,,,74.27,137.56,151.95,98.13,-36.53,-46.35,-40.87,-34.24,-10.03,-3.33,-8.00,-10.25,32.79,53.33,46.16,60.11,-8.13,-22.69,-21.85,-39.62,-10.01,-16.66,-26.91
NetDebtEBITDA_sy,,-13.30,-8.62,,,,4.50,11.78,8.78,-2.47,-8.72,-2.84,-9.29,-5.46,8.25,19.83,31.04,31.39,43.15,-5.51,-23.58,-18.71,-31.59,-8.46,14.08,-0.37,5.86,6.40,-9.08
NetDebtEBITDA_qq,,,,-17.79,-7.11,11.74,104.24,12.07,-1.48,-12.13,-34.57,-5.28,8.59,-2.29,-10.48,1.78,3.34,-4.67,32.44,17.52,-1.49,4.42,-24.00,-1.10,-0.42,-19.33,13.26,-8.40,-12.67
NetDebtEBITDA_sq,,,,-9.99,9.67,6.60,-0.69,-3.72,6.73,-4.43,-7.06,2.49,-0.36,-0.39,6.42,13.45,8.96,-0.13,15.95,-25.11,-11.88,6.25,-2.43,0.21,9.82,-7.21,3.67,0.72,-6.16
RN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RN_yy,,12.37,-7.39,,,,14.43,-1.97,-14.55,-14.77,-17.43,-18.13,-13.54,-11.38,3.05,7.76,7.78,6.71,-12.90,-13.08,-17.74,-19.95,-14.81,-15.86,-6.72,-3.25,3.06,5.40,2.32
RN_sy,,2.30,-1.10,,,,1.43,-4.26,-8.42,-14.54,-20.47,-18.66,-15.99,-11.13,-7.40,-8.59,-11.71,-16.67,-18.14,-14.94,-11.14,-4.89,-2.04,-0.07,1.19,1.64,2.53,3.41,3.02
RN_qq,,,,11.80,6.99,-1.99,-2.39,-4.23,-6.74,-2.24,-5.44,-5.03,-1.51,0.19,9.97,-0.70,-1.49,-0.80,-10.24,-0.90,-6.77,-3.47,-4.49,-2.12,3.36,0.12,1.74,0.11,0.34
RN_sq,,,,-0.71,-0.36,0.36,2.15,-6.28,-4.69,-6.35,-4.94,-4.14,-1.56,-0.94,-0.95,-5.37,-4.92,-6.50,-2.70,-1.68,-0.67,0.07,0.22,0.30,0.59,0.52,1.10,1.16,0.22
CRN,3223000,2869000,3100000,2772000,2590000,2643000,2707000,2827000,3032000,3102000,3281000,3454000,3506000,3499000,3181000,3204000,3253000,3280000,3653000,3687000,3957000,4095000,4291000,4379000,4239000,4236000,4160000,4156000,4141000
CRN_yy,,-10.98,8.05,,,,-12.68,1.98,17.07,17.37,21.20,22.18,15.63,12.80,-3.05,-7.24,-7.22,-6.26,14.84,15.07,21.64,24.85,17.47,18.77,7.13,3.44,-3.05,-5.09,-2.31
CRN_sy,,-2.23,1.09,,,,-1.44,4.45,9.05,16.97,25.76,22.94,18.99,12.58,7.99,9.29,13.29,19.93,22.19,17.68,12.66,5.17,2.18,0.12,-1.26,-1.65,-2.44,-3.27,-2.95
CRN_qq,,,,-10.58,-6.57,2.05,2.42,4.43,7.25,2.31,5.77,5.27,1.51,-0.20,-9.09,0.72,1.53,0.83,11.37,0.93,7.32,3.49,4.79,2.05,-3.20,-0.07,-1.79,-0.10,-0.36
CRN_sq,,,,0.75,0.50,-0.44,-2.24,6.78,4.92,6.79,5.11,4.39,1.54,1.04,0.82,5.65,5.26,6.96,2.72,1.76,0.77,-0.15,-0.20,-0.29,-0.62,-0.55,-1.00,-1.14,-0.30
CPZ,6053000,4142000,3963000,3435000,3163000,3214000,3324000,3463000,3700000,3731000,3850000,3989000,3971000,3959000,3566000,3607000,3702000,3732000,4183000,4238000,4563000,4722000,4947000,4988000,4778000,4787000,4753000,4869000,4942000
CPZ_yy,,-31.57,-4.32,,,,-16.12,0.82,16.98,16.09,15.82,15.19,7.32,6.11,-7.38,-9.58,-6.77,-5.73,17.30,17.49,23.26,26.53,18.26,17.70,4.71,1.38,-3.92,-2.39,3.43
CPZ_sy,,-15.04,1.08,,,,-7.08,2.40,6.60,17.03,20.24,22.74,19.44,13.44,14.05,10.18,14.41,17.06,19.21,15.88,9.27,3.49,1.85,-0.62,-1.62,0.70,-1.54,-0.02,1.34
CPZ_qq,,,,-13.32,-7.92,1.61,3.42,4.18,6.84,0.84,3.19,3.61,-0.45,-0.30,-9.93,1.15,2.63,0.81,12.08,1.31,7.67,3.48,4.76,0.83,-4.21,0.19,-0.71,2.44,1.50
CPZ_sq,,,,-3.74,1.21,-2.23,-2.44,6.07,5.36,7.34,0.23,8.28,2.53,1.95,0.77,4.60,6.47,4.31,2.62,1.69,0.39,-1.21,0.99,-0.77,-0.63,1.13,-1.26,0.76,0.72
RM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RM_yy,,58.12,8.37,,,,18.01,-1.93,-15.41,-15.43,-14.57,-13.81,-7.67,-6.42,6.73,9.76,7.22,6.50,-13.91,-13.94,-19.08,-22.03,-17.05,-17.09,-5.41,-0.87,5.02,4.15,-1.91
RM_sy,,5.60,6.33,,,,3.46,-1.51,-5.57,-12.68,-17.00,-17.49,-16.08,-12.19,-10.81,-9.80,-14.14,-16.00,-12.93,-11.42,-5.15,0.11,-1.35,-0.42,0.32,-1.26,-1.05,-0.42,-0.74
RM_qq,,,,14.85,8.35,-1.32,-3.90,-4.56,-6.54,-1.33,-2.93,-3.71,0.12,,10.71,-0.98,-2.20,-0.67,-10.51,-1.01,-8.04,-4.30,-4.78,-1.07,4.92,0.29,0.88,-1.88,-1.18
RM_sq,,,,0.90,-0.14,1.37,1.29,-3.95,-4.25,-6.26,-3.73,-4.52,-2.62,,-2.21,-3.44,-7.30,-4.04,1.37,-1.77,-0.74,1.28,-0.11,-0.84,,-0.32,0.11,-0.21,-0.32
