,2006/Q4,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
GPM_yy,,122.54,,,,-289.94,-3115.68,-139.64,-81.32,-53.16,62.14,70.21,72.51,87.64,13.57,46.92,-81.94,-186.38,37.44,-80.24,112.42,45.46,-114.58,19.66,-551.53,129.33,111.69,66.91,51.33,-1414.64,-1388.83,118.14,195.06,140.97,133.47,-91.06,-182.40,-73.96,-12.90,9475.00,568.37,250.21,15.93,125.78
GPM_sy,,6.30,,,,-63.22,-31.88,-70.94,-56.97,-122.02,-50.91,51.44,-13.99,863.55,83.28,62.38,85.87,-28.06,-30.96,-66.58,-65.73,-30.93,-49.24,-78.40,-63.73,-42.94,-27.38,252.34,132.98,8.27,53.38,101.59,37.14,107.44,89.02,4.21,46.39,15.58,-12.64,24.03,51.14,1.55,93.04,52.97
GPM_qq,,,-91.08,-1569.46,-17.25,-23.53,-41.69,-16.77,11.28,-4.34,64.98,8.12,18.11,53.08,-144.87,43.58,-180.68,26.15,46.51,-62.57,119.34,-424.37,-110.43,39.13,-8.68,121.07,-16.11,-272.25,-59.88,-469.01,17.75,102.42,737.99,145.27,-32.81,-99.35,-7825.00,177.51,124.74,-28.84,277.87,-42.05,-25.60,38.58
GPM_sq,,,-15.99,-4.95,6.01,-56.55,55.58,-59.45,56.97,-122.23,446.91,25.08,-10.85,97.38,-16.73,10.82,2.05,-23.61,-20.08,-46.35,4.64,53.95,-41.27,-77.17,75.70,142.20,-25.26,10.77,16.18,12.56,5.88,45.59,-20.96,70.26,-3.52,-19.73,11.03,34.42,-27.07,13.96,35.29,-9.68,38.63,-9.70
RBS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RBS_yy,,151.05,,,,30.16,-7.00,-19.22,-21.39,2.85,-16.83,-24.07,-25.43,-38.22,2.59,22.05,34.71,57.53,35.34,24.06,18.63,9.15,8.53,12.54,7.63,-0.43,-6.37,-8.21,-5.54,7.73,20.43,20.15,5.37,-2.96,-10.97,-11.76,9.56,11.82,10.76,13.93,-11.65,-11.73,-13.47,-19.20
RBS_sy,,11.58,,,,0.38,9.27,1.68,-27.39,-8.00,-27.80,-21.58,-7.35,4.18,-5.58,-0.17,6.66,-4.99,12.59,6.54,5.17,3.79,-16.10,6.28,3.05,-16.10,14.93,-2.58,-11.03,7.65,3.07,-16.36,-4.43,-8.49,-14.83,0.49,-3.37,-0.47,6.37,3.51,4.16,-1.22,3.08,7.91
RBS_qq,,,26.13,15.00,2.05,-12.07,-9.88,-0.10,-0.69,15.04,-27.12,-8.80,-2.47,-4.69,21.01,8.50,7.65,11.46,3.97,-0.54,2.93,2.55,3.38,3.13,-1.56,-5.13,-2.79,1.09,1.32,8.20,8.67,0.86,-11.15,-0.36,-0.30,-0.03,10.32,1.70,-1.25,2.84,-14.46,1.61,-3.20,-3.97
RBS_sq,,,8.10,-5.64,14.95,-14.39,17.68,-12.19,-17.92,8.48,-7.65,-4.63,-3.04,21.98,-16.30,0.84,3.60,8.66,-0.81,-4.58,2.27,7.24,-19.83,20.87,-0.84,-12.69,9.82,2.46,-9.44,5.64,5.14,-16.86,3.49,1.16,-2.15,-1.90,-0.48,4.20,4.57,-4.54,0.14,-1.19,9.12,-0.07
ROPA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROPA_yy,,,,,,-123.68,-119.07,-1.17,,-1238.16,-2927.03,-97.11,,80.53,72.05,56.30,,180.81,186.26,150.67,,-349.37,-263.70,-192.72,-204.76,186.47,177.60,-37.14,-50.76,-361.74,-354.23,-204.69,-56.28,114.95,117.55,180.34,146.62,245.19,179.74,-66.60,-20.69,-171.89,-154.91,-17.20
ROPA_sy,,,,,,-71.82,-71.82,-79.03,,-102.96,-200.63,-1.05,,4993.75,297.30,143.09,,18.26,-39.22,-42.67,,-59.18,-24.22,-24.24,15.85,32.80,-25.34,-94.21,-50.94,24.30,12.54,3139.13,187.50,2.40,101.36,26.17,43.65,69.80,34.28,9.47,12.34,-39.91,-0.50,12.54
ROPA_qq,,,-39.56,-276.29,,,51.32,-835.14,,,-10.13,39.11,,,-58.08,4.79,,,68.75,-44.07,-16.56,-416.67,-10.78,68.33,5.71,361.36,-0.58,-155.98,-3.65,-353.77,3.43,32.91,46.84,143.41,13.33,207.19,-69.15,221.38,-8.15,-63.32,-26.75,-391.30,29.85,155.32
ROPA_sq,,,-11.27,6.59,,,-11.30,-20.67,,,-2912.50,178.01,,,21.46,-3.89,,,-37.58,-9.34,-30.15,3.28,15.87,-9.36,6.80,18.40,-34.86,-92.97,804.35,200.00,-41.03,102.45,-19.73,6.86,15.96,26.86,-8.62,26.31,-8.29,3.42,-6.22,-32.44,51.84,16.97
ZNPO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZNPO_yy,,-151.98,,,,369.74,4497.04,678.77,715.77,242.81,-38.96,-301.66,-122.15,-109.53,-137.07,96.80,-34.52,-105.88,9.63,-220.01,90.35,2.18,-141.79,29.11,-377.25,117.12,109.33,63.29,-217.66,-2101.69,-2141.22,168.21,137.89,172.95,203.48,172.27,-735.18,-57.00,-69.67,-11.48,132.26,-43.43,-46.82,50.61
ZNPO_sy,,-248.05,,,,59.31,-5515.58,46.54,90.65,252.59,275.58,347.66,-9.52,267.49,6.66,128.85,513.89,-121.17,-124.10,-140.12,-135.18,231.20,296.88,101.82,393.83,257.57,-0.91,1931.11,-79.41,-91.79,40.39,111.49,-88.03,707.55,18.71,85.00,4758.45,11.82,-82.32,-85.57,42.69,0.61,759.54,1265.50
ZNPO_qq,,,112.71,953.58,-39.07,230.55,116.66,78.48,-36.18,38.90,-61.42,-689.70,92.99,40.22,-50.00,49.04,-194.39,8.50,34.16,-80.45,91.12,-827.20,-62.75,47.09,40.22,133.26,-11.34,-308.23,-417.29,-109.59,9.58,106.96,187.33,303.60,28.25,-81.69,-770.30,127.32,-9.53,-46.57,144.24,-52.08,-14.96,51.33
ZNPO_sq,,,98.36,-5190.91,-222.56,85.46,-126.27,49.63,43.57,337.27,160.36,-28.95,-124.95,896.14,-24.43,52.43,-54.87,-140.73,13.97,-153.69,60.42,251.89,29.09,-97.66,6298.89,84.84,-64.23,-52.00,-35.12,-26.31,511.67,-27.68,-96.33,4870.42,-10.09,12.70,-3.54,14.39,-85.78,-8.02,853.88,-19.34,21.46,46.12
ZFI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZFI_yy,,101.16,,,,-116.07,-66.07,-99.73,107108.30,,,,,,,,,,,,,,,,128.04,,1405.05,132.08,-775.57,,938.78,-1579.59,111.45,,,,,,,,,,384.46,
ZFI_sy,,-23.30,,,,70.88,-83.50,270.51,511.29,,,,,,,,,,,,,,,,14.32,,-42.73,-55.26,-50.73,,73.89,100.08,117.00,,,,,,,,,,71.94,
ZFI_qq,,,-30.08,3276.25,-100.31,-116.49,247.62,-73.00,123929.35,,,,,,-132.70,55.17,,,,,,,,-2182.83,135.13,155.16,-36.23,-43.89,-839.86,,,-179.93,105.72,,,,,,,,,59.05,66.91,-6.58
ZFI_sq,,,38.06,-63.74,-59.68,746.63,-86.67,714.29,-33.47,,,,,,-68.64,55.85,,,,,,,,2.67,-1.20,-60.61,43.34,-19.80,8.80,,,-7.72,18.00,,,,,,,,,33.76,-34.17,7.56
DTAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTAR_yy,,,,,,14.66,53.20,54.17,,7.40,-3.99,-5.10,,-3.81,0.59,-2.85,,11.08,8.67,7.26,,1.62,3.88,5.98,7.17,-4.32,-2.58,0.70,2.02,11.93,6.87,-4.18,-10.90,-13.91,-11.76,-5.13,-1.32,-3.96,-4.99,-3.47,-12.42,-8.24,-8.32,-12.38
DTAR_sy,,,,,,0.29,35.21,12.53,,-4.10,-6.60,6.22,,10.79,-2.84,-7.30,,-16.25,-14.01,-7.66,,1.06,-13.27,-10.87,-19.91,7.91,13.22,8.36,9.63,-3.06,7.11,2.39,4.00,-5.19,1.83,2.03,2.79,8.94,6.77,7.43,5.61,3.35,-1.59,2.56
DTAR_qq,,,-20.46,3.78,,,6.27,4.44,,,-5.00,3.24,,,-0.66,-0.29,,,-2.81,-1.58,-1.70,8.08,-0.65,0.40,-0.60,-3.51,1.16,3.78,0.71,5.87,-3.42,-6.95,-6.35,2.30,-1.01,0.04,-2.59,-0.44,-2.07,1.64,-11.62,4.32,-2.16,-2.86
DTAR_sq,,,-17.54,11.34,,,11.16,-7.34,,,8.27,5.39,,,-5.05,0.54,,,-2.51,7.97,9.21,-12.09,-16.33,10.96,-1.87,18.45,-12.22,6.20,-0.72,4.73,-3.01,1.52,0.85,-4.52,4.17,1.72,1.60,1.19,2.10,2.34,-0.12,-0.98,-2.78,6.66
CG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CG_yy,,,,,,44.10,113.31,131.80,,47.03,0.92,-1.41,,-10.40,5.78,-7.70,,22.86,11.66,5.42,,6.27,15.95,25.42,30.06,-16.61,-10.25,3.16,9.24,69.43,34.30,-16.38,-35.97,-48.45,-39.97,-17.45,-4.24,-12.54,-15.14,-10.90,-31.21,-22.19,-21.60,-30.74
CG_sy,,,,,,5.32,65.01,19.34,,-9.36,-11.45,11.81,,27.61,-1.69,-12.59,,-33.51,-36.32,-22.78,,-9.40,-22.33,-23.52,-34.50,15.07,30.36,25.35,15.81,5.73,13.89,1.25,3.34,-13.07,-4.89,7.74,3.02,10.13,8.25,13.27,20.10,11.95,6.31,5.65
CG_qq,,,-18.28,7.58,,,20.97,16.91,,,-16.97,14.21,,,-1.97,-0.34,,,-10.90,-5.91,-6.02,34.90,-2.80,1.77,-2.54,-13.51,4.61,16.99,3.21,34.14,-17.08,-27.16,-20.98,8.01,-3.45,0.17,-8.33,-1.36,-6.31,5.17,-29.22,11.58,-5.61,-7.09
CG_sq,,,-18.46,15.85,,,27.76,-16.21,,,24.80,5.80,,,-3.85,-5.92,,,-7.92,14.08,24.66,-30.81,-21.06,12.34,6.76,21.54,-10.57,8.02,-1.37,10.97,-3.67,-3.96,0.66,-6.65,5.39,8.79,-3.74,-0.21,3.59,13.84,2.06,-6.98,-1.63,13.14
LDER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LDER_yy,,,,,,10.31,98.36,53.03,,-6.58,14.00,70.11,,68.52,14.67,-6.47,,17.52,3.39,-4.02,,-42.27,-38.86,-36.00,-32.35,90.85,108.75,145.18,67.68,-14.72,-82.49,-87.50,-47.30,-44.76,150.53,205.91,5.95,-4.92,-8.60,-9.52,-5.10,2.55,11.86,11.30
LDER_sy,,,,,,1.99,59.27,-6.98,,-36.88,-54.85,-19.04,,60.68,15.66,2.80,,-32.10,-5.34,14.52,,-8.00,-13.31,-22.11,-38.08,7.70,25.34,45.40,6.62,22.39,-11.80,-18.94,17.41,-18.31,-9.70,-31.04,-22.07,-15.81,7.35,44.47,31.91,32.02,4.48,-4.37
LDER_qq,,,-31.14,6.99,,,23.84,-17.46,,,51.12,23.15,,,2.83,0.45,,,-9.54,-6.74,-5.83,-27.33,-4.19,-2.38,-0.47,105.02,4.79,14.65,-31.93,4.27,-78.48,-18.18,187.06,9.30,-2.42,-0.09,-0.57,-1.91,-6.20,-1.09,4.28,5.99,2.31,-1.58
LDER_sq,,,-9.97,3.50,,,40.61,-39.55,,,0.57,8.39,,,-27.61,-3.66,,,0.92,16.55,19.81,-34.72,-4.90,4.72,-4.76,13.56,10.67,21.48,-30.16,30.35,-20.25,11.64,1.16,-9.30,-11.84,-14.74,14.32,-2.02,12.41,14.75,4.38,-1.93,-11.05,5.04
PZAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PZAT_yy,,,,,,2.98,-12.28,27.35,,36.53,-7.44,-33.83,,-36.84,3.20,9.69,,5.24,6.97,9.82,,82.23,82.19,84.94,74.03,-51.03,-52.77,-56.01,-31.59,57.65,539.28,508.78,28.77,15.14,-70.11,-67.12,1.17,1.48,-0.65,0.24,-20.36,-19.90,-23.55,-25.92
PZAT_sy,,,,,,21.75,21.08,-5.90,,-3.62,4.88,3.80,,0.67,-6.40,-12.12,,3.64,20.21,18.89,,6.23,5.63,16.84,16.61,-4.19,-3.81,-22.44,-14.38,-16.75,6.41,14.17,-1.37,18.11,4.89,-7.97,-7.97,-18.73,-22.88,9.26,5.64,11.13,10.17,-6.67
PZAT_qq,,,5.69,-9.78,,,-9.97,30.98,,,-38.97,-6.36,,,-0.28,-0.47,,,1.36,2.18,1.58,73.21,1.34,3.73,-4.42,-51.26,-2.26,-3.39,48.64,12.31,296.36,-8.00,-68.56,0.42,2.89,1.22,-3.27,0.73,0.74,2.12,-23.15,1.32,-3.85,-1.06
PZAT_sq,,,-19.01,45.63,,,-19.45,13.18,,,-12.35,12.01,,,-18.50,5.16,,,-5.48,4.01,5.58,2.35,-6.02,15.04,5.38,-15.91,-5.64,-7.24,16.32,-18.23,20.60,-0.47,0.48,-2.08,7.11,-12.68,0.49,-13.53,1.64,23.72,-2.84,-9.05,0.76,4.82
PELDR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PELDR_yy,,,,,,-12.64,-23.95,-35.35,,-23.95,5.05,24.00,,28.19,-7.49,-5.57,,-11.25,-7.79,-7.67,,-27.96,-33.04,-35.05,-32.53,52.18,60.48,63.32,18.24,-33.93,-63.19,-53.69,-0.35,8.70,90.25,50.63,-4.80,0.89,5.11,4.10,28.47,22.37,22.72,28.09
PELDR_sy,,,,,,-36.08,-27.43,-30.90,,-20.25,-14.71,-17.36,,11.24,18.59,19.19,,11.52,-6.67,-19.51,,-23.09,-19.42,-9.24,16.51,4.95,-7.89,5.64,-5.68,-3.85,-2.70,6.21,13.83,25.56,14.71,4.43,2.36,-5.44,4.54,-6.87,-4.16,-3.18,-3.85,13.75
PELDR_qq,,,14.14,-1.83,,,-0.65,-16.54,,,37.25,-1.49,,,-0.96,0.55,,,2.90,0.68,0.88,-31.07,-4.35,-2.34,4.79,55.47,0.87,-0.61,-24.14,-13.13,-43.81,25.05,63.24,-5.24,-1.65,-0.99,3.17,0.43,2.46,-1.94,27.32,-4.34,2.75,2.35
PELDR_sq,,,2.38,0.14,,,16.24,-4.64,,,24.30,-7.60,,,32.51,-7.13,,,10.90,-19.91,-17.37,4.80,16.19,-9.79,6.07,-5.60,1.98,3.45,-5.29,-3.77,3.20,12.93,1.50,6.15,-5.72,2.81,-0.52,-1.94,4.23,-8.41,2.37,-0.94,3.52,8.35
TSF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TSF_yy,,,,,,-16.31,0.82,-18.44,,-29.49,2.87,32.24,,44.91,3.63,0.77,,0.53,-0.55,-0.90,,-31.63,-33.09,-34.83,-34.16,71.43,71.51,72.35,26.63,-40.69,-66.68,-58.83,-3.66,17.69,112.20,75.17,6.08,7.01,7.04,3.08,24.03,19.44,23.71,33.45
TSF_sy,,,,,,-1.69,-6.62,-6.81,,-3.07,5.76,3.25,,2.62,0.14,7.16,,3.48,6.57,5.35,,-3.04,-1.88,-1.37,2.96,3.64,2.11,0.85,0.60,3.59,-0.79,-1.97,-1.30,-6.16,-5.25,2.49,-0.49,2.67,2.02,-5.35,-1.14,-7.75,-2.77,-5.62
TSF_qq,,,-17.92,-0.76,,,-1.12,-19.72,,,44.27,3.19,,,3.17,0.35,,,2.06,,0.73,-33.49,-0.12,-2.60,1.76,73.17,-0.07,-2.13,-25.24,-18.89,-43.86,20.94,74.93,-0.92,1.23,-0.17,5.94,-0.05,1.26,-3.86,27.47,-3.75,4.88,3.70
TSF_sq,,,-1.03,-3.90,,,-6.00,-4.10,,,2.57,-6.38,,,0.09,0.19,,,3.07,,-2.87,-2.21,4.30,-0.44,1.39,-1.56,2.76,-1.67,1.14,1.36,-1.58,-2.85,1.83,-3.63,-0.62,5.09,-1.13,-0.57,-1.26,-2.50,3.26,-7.21,4.08,-5.36
ZKO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZKO_yy,,,,,,5.18,41.73,36.01,,10.52,10.10,32.73,,29.90,43.40,22.41,,26.68,3.33,-1.40,,-15.11,1.95,5.99,0.29,48.36,26.38,23.05,28.74,-17.79,-18.03,-24.70,-3.64,12.35,21.01,41.85,32.34,16.37,2.66,-9.68,-29.07,-19.59,-4.11,9.69
ZKO_sy,,,,,,2.36,37.27,21.19,,-1.91,-5.04,13.29,,22.41,6.23,7.61,,3.22,-5.69,11.69,,-2.46,13.23,18.39,-26.26,5.66,13.68,0.99,18.37,13.95,17.67,-7.79,-4.97,-8.24,-10.00,-19.40,-18.04,-6.43,-12.98,23.63,26.11,6.51,12.77,3.23
ZKO_qq,,,-21.83,1.66,,,5.34,-2.44,,,4.93,17.61,,,15.83,0.40,,,-5.52,-4.20,-4.21,-2.09,13.47,-0.40,-9.36,44.84,-3.35,-3.02,-5.17,-7.51,-3.64,-10.91,21.35,7.83,3.80,4.44,13.21,-5.18,-8.43,-8.12,-11.09,7.50,9.20,5.10
ZKO_sq,,,-24.44,0.06,,,1.32,-11.66,,,-1.91,5.40,,,-14.87,6.76,,,-22.22,26.44,28.34,-22.72,-9.71,32.19,-20.06,10.73,-2.85,17.43,-6.30,6.60,0.32,-7.98,-3.43,2.93,-1.61,-17.58,-1.81,17.51,-8.50,17.09,0.16,-0.74,-3.12,7.19
OSF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSF_yy,,,,,,-12.63,-23.23,-28.31,,-12.93,6.97,19.81,,23.38,21.74,20.77,,1.13,-6.75,-6.55,,-14.49,-8.60,-10.74,-15.30,51.10,28.37,13.84,12.25,-39.49,-27.95,-2.95,38.71,73.30,59.49,40.18,22.37,20.49,12.86,-1.17,-6.45,-2.85,11.24,33.19
OSF_sy,,,,,,39.16,-6.48,-25.05,,0.46,-10.29,6.21,,-17.92,22.04,38.92,,-10.10,-38.58,-43.97,,13.10,11.92,12.10,-20.15,-0.37,12.86,10.51,12.41,30.43,30.29,6.79,21.18,-7.05,4.31,-8.96,-19.72,0.39,-20.95,3.47,-0.23,-8.78,5.95,20.89
OSF_qq,,,5.80,-2.99,,,-7.04,-9.41,,,14.21,1.47,,,12.69,0.66,,,3.90,0.88,0.35,-18.70,11.06,-1.49,-4.78,45.04,-5.65,-12.63,-6.11,-21.81,12.34,17.69,34.19,-2.32,3.39,3.44,17.14,-3.82,-3.16,-9.42,10.89,-0.12,10.89,8.45
OSF_sq,,,43.18,7.70,,,-3.78,-13.68,,,-14.08,2.20,,,27.75,16.34,,,-12.72,6.13,46.02,-16.39,-13.63,6.30,4.02,4.32,-2.15,4.08,5.81,21.04,-2.25,-14.70,20.07,-7.16,9.69,-25.55,5.88,16.10,-13.63,-2.55,2.09,6.16,0.32,11.20
NetDebt,,272523000000,218643000000,246261000000,,326907000000,318144000000,330033000000,,316907000000,296668000000,282903000000,,260465000000,252293000000,247269000000,,235681000000,238370000000,227770000000,229168000000,236930000000,222623000000,221845000000,223663000000,196309000000,198355000000,194477000000,205451000000,194879000000,198031000000,172782000000,147259000000,144122000000,141347000000,140512000000,141937000000,140181000000,143816000000,144477000000,119574000000,128823000000,122200000000,115081000000
NetDebt_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NetDebt_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NetDebt_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NetDebt_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NetDebtEBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NetDebtEBITDA_yy,,,,,,-624.95,-975.71,-59.39,,91.97,96.83,51.92,,-386.78,-262.65,-119.15,,238.66,224.35,309.85,,-140.27,-164.05,-215.68,-200.49,206.11,218.62,31.32,31.87,-142.52,-142.00,68.87,46.65,661.88,600.34,221.52,330.96,-76.04,-73.41,41.23,-48.21,-326.44,-504.71,12.96
NetDebtEBITDA_sy,,,,,,-9.38,36.37,199.16,,-83.97,-189.53,26.11,,1073.15,204.17,-16.62,,-3.09,-7.75,7.88,,9.13,-25.69,-43.92,-38.01,-13.33,60.56,-35.57,18.99,-22.43,18.64,36.26,-21.83,-12.57,-44.54,55.66,46.95,45.88,43.55,-8.52,-1.25,-5.54,-7.91,12.90
NetDebtEBITDA_qq,,,29.96,-162.19,,,-116.80,88.68,,,14.39,-71.71,,,36.22,-3.77,,,-42.81,75.12,17.21,-134.30,9.03,-216.30,-1.81,136.22,1.70,-283.14,-1.00,77.40,-0.46,-35.75,-73.08,338.05,-10.54,-67.03,228.97,-75.31,-0.71,75.11,20.63,-207.97,-77.46,148.88
NetDebtEBITDA_sq,,,8.78,-47.74,,,63.69,14.65,,,-1014.00,261.49,,,-18.84,29.26,,,-22.75,51.16,-7.63,1.17,-47.40,14.09,2.10,41.45,-2.55,-54.21,88.55,-7.80,49.05,-47.42,8.18,3.13,-5.45,47.58,2.13,2.37,-6.96,-5.95,10.24,-2.08,-9.30,15.31
DebtFin,,183627000000,124636000000,137453000000,,232397000000,236837000000,239978000000,,234699000000,233290000000,230680000000,,218258000000,212908000000,209467000000,,197541000000,197305000000,193759000000,191860000000,191435000000,182101000000,178787000000,168897000000,167500000000,164999000000,161663000000,168945000000,151888000000,150372000000,123731000000,122323000000,117774000000,118284000000,118056000000,116872000000,112221000000,108443000000,106372000000,78848000000,78496000000,77781000000,76788000000
DebtFin_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DebtFin_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DebtFin_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DebtFin_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DebtFinEBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DebtFinEBITDA_yy,,,,,,-653.85,-1243.61,-107.64,,91.64,96.65,46.09,,-450.77,-289.18,-127.68,,238.70,221.97,310.73,,-138.82,-163.29,-209.60,-190.64,212.05,220.63,29.16,25.81,-138.84,-138.34,73.18,46.11,689.12,651.41,242.57,328.94,-76.53,-76.04,23.76,-58.53,-272.36,-441.63,2.37
DebtFinEBITDA_sy,,,,,,-10.82,157.76,260.86,,-101.93,-182.18,-27.12,,9491.46,181.26,14.81,,-17.89,51.21,14.64,,-22.06,-27.34,-55.64,-41.39,26.33,17.59,-85.93,-21.54,-55.35,-33.70,262.44,-14.93,-49.56,-43.13,106.00,81.83,320.76,282.64,2.78,44.38,-34.13,-66.12,0.31
DebtFinEBITDA_qq,,,9.95,-160.89,,,-127.03,88.94,,,9.10,-78.05,,,35.77,-4.17,,,-43.52,79.98,15.36,-133.10,7.90,-211.64,4.60,140.92,-0.85,-283.02,0.08,78.58,2.13,-28.02,-100.77,334.18,-8.39,-66.90,222.40,-75.99,-6.48,70.98,8.04,-199.77,-85.37,151.24
DebtFinEBITDA_sq,,,-39.00,-8.02,,,76.30,28.77,,,-7415.99,214.20,,,-34.97,61.36,,,19.75,22.33,-23.46,-30.49,11.64,-25.32,1.12,49.83,3.92,-91.07,464.09,-14.74,54.33,-51.17,32.40,-49.45,74.03,76.88,16.86,16.97,58.26,-52.49,64.16,-46.63,-18.60,40.66
SP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP1_yy,,,,,,-16.94,-45.83,-47.29,,-21.21,-2.85,-9.72,,-5.03,-15.10,-1.35,,-20.18,-9.77,-5.22,,0.75,-10.35,-15.78,-15.55,1.85,1.59,-7.51,-12.80,-26.42,-12.11,28.89,43.96,54.27,31.80,-1.18,-7.55,3.54,9.95,9.45,31.90,20.82,16.00,21.42
SP1_sy,,,,,,-20.60,-38.21,-28.12,,4.01,7.14,-16.54,,-9.69,-2.15,4.31,,12.61,1.21,-12.79,,-12.96,-5.31,-2.00,42.22,-0.72,-5.54,3.59,-13.51,-17.36,-15.75,-4.18,2.33,31.47,24.20,14.86,18.36,8.09,1.73,-7.44,-12.33,-10.56,-9.82,-4.68
SP1_qq,,,35.33,-4.57,,,-11.74,-7.15,,,8.82,-13.71,,,-2.71,0.27,,,9.97,5.32,4.74,-16.95,-2.14,-1.06,5.03,0.16,-2.39,-9.92,-0.98,-15.48,16.59,32.10,10.60,-9.43,-0.39,-0.96,3.47,1.43,5.78,-1.41,24.70,-7.09,1.55,3.20
SP1_sq,,,33.21,2.47,,,3.66,19.20,,,6.78,-7.14,,,15.69,-1.00,,,3.97,-14.69,-23.51,28.30,13.11,-11.71,11.00,-10.43,7.62,-3.17,-7.33,-14.42,9.71,10.12,-1.03,9.95,3.65,1.84,1.99,0.41,-2.45,-7.34,-3.40,2.44,-1.65,-2.05
SP2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP2_yy,,,,,,-12.64,-23.95,-35.35,,-23.95,5.05,24.00,,28.19,-7.49,-5.57,,-11.25,-7.79,-7.67,,-27.96,-33.04,-35.05,-32.53,52.18,60.48,63.32,18.24,-33.93,-63.19,-53.69,-0.35,8.70,90.25,50.63,-4.80,0.89,5.11,4.10,28.47,22.37,22.72,28.09
SP2_sy,,,,,,-31.89,-27.55,-30.23,,-20.15,-12.66,-17.39,,11.24,18.59,19.27,,3.07,-19.15,-22.86,,-18.97,-13.18,-6.18,10.98,7.76,-1.31,3.61,0.59,-5.37,-2.70,2.99,8.14,20.33,13.95,5.57,2.67,-0.01,3.48,-4.54,-5.21,-11.91,-11.90,-3.50
SP2_qq,,,14.14,-1.83,,,-0.65,-16.54,,,37.25,-1.49,,,-0.96,0.55,,,2.90,0.68,0.88,-31.07,-4.35,-2.34,4.79,55.47,0.87,-0.61,-24.14,-13.13,-43.81,25.05,63.24,-5.24,-1.65,-0.99,3.17,0.43,2.46,-1.94,27.32,-4.34,2.75,2.35
SP2_sq,,,6.85,1.37,,,13.65,-2.37,,,24.30,-7.66,,,32.51,-7.13,,,3.95,-11.39,-15.13,3.66,11.37,-4.24,0.39,0.65,2.00,0.53,-2.54,-5.31,4.88,6.41,2.33,5.37,-0.68,-1.42,-0.47,2.62,2.78,-9.06,-1.17,-4.64,2.79,-0.39
CAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAR_yy,,,,,,-76.15,-72.49,-70.34,,-39.73,50.11,105.36,,170.78,3.39,41.28,,-25.48,11.19,-5.01,,-28.64,-56.99,-60.14,-32.13,438.22,616.99,697.17,33.25,-64.47,-77.43,-73.98,50.43,24.17,63.35,20.65,-56.48,-51.14,-38.39,-24.35,210.33,165.60,195.15,266.39
