,2006/Q4,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
GPM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPM_yy,,2485.37,,,,-78.96,-111.31,-119.75,-85.36,-117.49,-8.70,-427.74,-578.95,723.08,460.00,228.73,306.15,160.49,43.11,-40.84,-87.63,-132.07,-139.13,-136.28,-199.14,197.54,159.52,233.63,226.09,-154.04,-314.00,-301.32,-408.28,-2837.38,-909.66,-692.27,-833.11,420.11,727.83,-3615.32,1032.03,-570.88,-631.41,31.57
GPM_sy,,11.93,,,,-40.30,-45.34,-43.18,-64.04,-25.51,-25.73,-22.47,87.10,-9.02,42.12,48.67,77.96,58.85,49.81,49.02,-21.73,-23.78,-35.93,-53.90,-25.91,-27.05,-24.30,6.12,6.56,2.84,-6.05,-2.82,-7.50,28.18,57.14,41.67,30.27,24.78,3.48,-11.14,3.16,-26.25,-11.46,10.73
GPM_qq,,,-4.06,-22.81,-17.32,-65.64,-151.57,-34.78,161.29,-141.05,-220.51,-554.40,44.38,153.41,85.19,134.00,-10.92,-32.52,1.74,-3.26,-81.38,-275.00,-24.14,10.32,49.12,272.17,-24.24,101.33,-51.99,-173.79,-200.00,-89.41,26.48,-603.13,-3.12,-48.63,13.41,341.21,102.25,-979.53,121.72,-221.86,-128.25,-13.25
GPM_sq,,,-7.97,-5.85,-29.29,-2.57,-15.73,-2.12,-55.26,101.84,-15.98,2.17,7.98,-1.85,31.24,6.88,29.25,-12.39,23.78,6.32,-32.11,-14.68,4.04,-23.51,9.11,-15.99,7.95,7.24,9.57,-18.92,-1.38,10.92,4.29,12.35,20.91,,-4.10,7.62,0.26,-14.13,11.33,-23.06,20.37,7.39
RBS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RBS_yy,,8.20,,,,-2.75,-8.03,-6.30,-9.59,-14.18,-11.25,-14.09,-15.15,1.56,6.75,6.22,27.77,24.80,23.74,22.71,7.97,-17.24,-28.23,-25.13,-29.19,-12.48,5.66,4.62,19.20,23.66,20.71,17.88,8.94,-11.08,-20.42,-20.42,-20.09,1.78,18.78,-285.21,294.76,56.57,168.55,266.80
RBS_sy,,15.35,,,,-16.39,-6.96,3.75,2.89,6.08,-1.36,-9.78,-7.58,-4.91,-0.56,-2.95,14.52,-16.02,1.89,1.75,-23.53,-4.63,-16.57,-5.78,55.02,8.33,-20.45,-22.03,-31.57,0.59,28.80,26.41,8.27,8.05,14.52,19.67,17.64,-9.08,-11.77,-26.09,-10.89,-0.22,-4.49,15.05
RBS_qq,,,0.37,0.42,-1.97,-1.58,-5.08,2.30,-5.41,-6.57,-1.84,-0.97,-6.57,11.83,3.18,-1.46,12.38,9.23,2.31,-2.28,-1.13,-16.28,-11.28,1.94,-6.49,3.49,7.11,0.93,6.54,7.36,4.55,-1.43,-1.54,-12.36,-6.43,-1.44,-1.13,11.63,9.20,-253.68,310.72,-55.72,87.30,-4.55
RBS_sq,,,-11.53,-9.38,-3.47,8.04,-1.55,1.05,-4.27,11.39,-8.45,-7.58,-1.94,14.62,-4.27,-9.79,15.71,-15.95,16.15,-9.92,-13.04,4.81,1.62,1.73,43.08,-26.76,-25.38,-0.29,25.58,7.67,-4.46,-2.14,7.55,7.45,1.26,2.26,5.73,-16.96,-1.73,-14.34,27.48,-7.02,-5.94,3.19
ROPA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROPA_yy,,1137.96,,,,-81.82,-99.53,-104.13,,-18.11,2850.00,-1012.82,,87.44,157.63,316.59,,91.42,67.98,-17.87,,-78.01,-82.11,-82.90,-49.03,66.88,53.28,128.03,65.76,11.45,24.29,-69.77,-66.23,-330.14,-381.61,-1602.20,-2230.10,-517.11,-460.27,-282.81,-119.05,-34.72,-34.48,-94.99
ROPA_sy,,-4.44,,,,-29.27,-24.28,-26.51,,-15.90,-28.68,10.09,,-4.31,35.05,34.97,,63.17,44.50,20.13,,-10.93,-36.40,-62.88,-38.03,-49.14,-15.61,34.98,2.34,6.65,5.02,4.60,9.23,16.28,5.15,22.88,23.46,13.45,-1.07,2.11,-9.62,2.24,19.64,11.94
ROPA_qq,,,-5.09,-25.53,,,-97.53,-750.00,,,-11.06,-345.20,,,22.25,106.14,,,7.28,0.78,-53.24,-56.51,-12.74,-3.65,39.39,42.39,-19.85,43.33,1.33,-4.26,-10.62,-65.13,13.19,-752.43,-9.38,-85.99,-60.50,-89.02,0.70,-27.08,8.16,-16.25,0.88,-84.25
ROPA_sq,,,-14.80,-18.93,,,-8.79,-21.32,,,-22.65,21.44,,,9.17,21.37,,,-3.32,0.90,-20.42,14.74,-30.96,-41.11,32.86,-5.84,14.54,-5.81,0.73,-1.87,12.79,-6.19,5.19,4.46,2.00,9.63,5.69,-4.00,-11.06,13.15,-6.45,8.60,4.08,5.87
ZNPO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZNPO_yy,,4041.37,,,,-108.04,-91.08,-95.42,121.09,103.75,-120.69,-613.51,-355.04,3053.33,1550.72,192.66,216.87,-2176.53,-331.37,-168.98,-108.15,116.56,-68.83,-4.12,-366.67,-89.78,103.27,124.20,135.38,-536.99,-2950.78,-2553.68,-1419.48,-3453.75,-2713.81,-157.17,-1519.45,180.40,137.30,-286.75,93.92,-438.27,-601.88,-88.33
ZNPO_sy,,-13.71,,,,-44.28,-22.32,-71.72,-69.07,-38.85,11.36,16.91,439.19,171.68,239.98,175.28,56.51,40.16,3.54,32.46,-31.30,-47.83,-66.09,-81.20,-37.41,-38.51,-1.66,99.38,13.87,93.65,71.92,35.39,16.91,-20.06,23.69,8.85,45.18,22.68,1.27,6.51,-15.64,-5.04,3.94,-11.57
ZNPO_qq,,,-62.46,360.40,-129.10,84.01,141.64,136.43,33.99,-97.16,-330.00,-5768.12,33.45,135.11,5.81,274.83,-16.07,-723.82,88.21,-11.74,90.09,1368.62,-220.16,31.09,55.58,127.78,-61.50,409.38,-35.05,-443.09,-151.14,-338.42,65.07,-824.05,-98.85,59.93,-119.96,145.88,-7.76,-515.49,96.54,-2453.64,-36.86,-55.91
ZNPO_sq,,,-60.47,185.91,-61.43,27.81,-44.89,4.07,-57.81,152.71,0.35,9.26,94.58,27.33,25.58,-11.53,10.63,14.03,-7.23,13.18,-42.62,-13.41,-39.69,-37.27,91.06,-14.93,-3.55,27.19,9.12,44.66,-14.38,0.16,-5.77,-1.09,32.50,-11.86,25.69,-16.42,9.37,-7.30,-0.45,-5.92,19.72,-21.13
ZFI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZFI_yy,,-80.54,,,,-7522.65,-1389.82,-236.02,50.24,115.52,251.36,440.08,-500.39,4.61,-53.71,-41.73,128.70,-20.37,,,,16.02,,,,29.06,11.51,70.94,162.68,,,,,,,,,,,,,,,
ZFI_sy,,-1.97,,,,26.67,-9.06,5.67,-22.94,-13.17,-8.84,14.43,104.97,20.93,12.62,-29.77,-52.81,-26.11,,,,-9.83,,,,21.77,-12.58,-11.65,13.62,,,,,,,,,,,,,,,
ZFI_qq,,,6.27,290.39,35.53,-1420.09,81.53,58.83,249.70,36.40,80.05,-7.50,-276.25,135.64,-20.32,16.43,-13.20,-1.11,,,,,14.41,-4.75,-10.27,31.99,-1.15,46.01,37.88,,,,,,,,,,,,,,,
ZFI_sq,,,10.75,-3.94,-8.72,30.45,-20.49,11.62,-33.43,46.99,-16.53,40.11,19.24,-13.28,-22.27,-12.63,-19.88,35.79,,,,,27.80,4.67,-12.90,4.52,-8.25,5.78,12.01,,,,,,,,,,,,,,,
DTAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTAR_yy,,-41.04,,,,104.37,128.72,68.51,,7.99,9.78,26.25,,29.80,25.98,10.46,,1.64,-0.62,5.00,,5.51,5.56,3.98,0.14,-2.20,-1.67,-6.28,-3.89,-1.12,0.60,4.21,3.40,16.61,14.72,25.02,7.12,-5.94,-7.83,3.03,5.91,71.91,75.58,113.46
DTAR_sy,,-10.14,,,,9.16,15.01,-0.64,,-7.75,-4.71,9.83,,16.39,8.29,7.29,,-12.04,-10.15,-15.80,,-5.88,-5.68,-0.46,-8.22,-1.46,3.46,0.39,10.98,8.81,2.64,8.93,-2.71,-9.67,-6.21,-2.28,7.22,4.29,0.06,1.79,3.42,4.88,13.34,7.68
DTAR_qq,,,-7.52,31.66,,,3.50,-3.00,,,5.22,11.55,,,2.12,-2.19,,,-0.15,3.34,2.52,-0.26,-0.10,1.79,-1.26,-2.59,0.44,-2.99,1.26,0.22,2.19,0.49,0.47,13.02,0.54,9.51,-13.91,-0.76,-1.47,22.41,-11.51,61.07,0.63,48.83
DTAR_sq,,,-5.42,3.53,,,-0.35,-10.56,,,2.93,3.08,,,-4.23,2.14,,,-2.17,-4.30,0.74,-0.21,-1.96,0.99,-7.11,7.13,2.94,-2.00,2.70,5.03,-2.90,4.00,-8.28,-2.47,0.82,8.35,0.64,-5.14,-3.26,10.22,2.25,-3.81,4.54,4.72
CG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CG_yy,,-50.51,,,,179.45,225.36,119.61,,15.42,18.75,53.20,,64.29,57.71,18.37,,-0.42,-4.97,10.98,,12.63,12.42,9.00,-0.17,-5.19,-3.78,-13.88,-8.74,-2.51,1.39,9.83,8.00,47.47,42.42,88.41,18.76,28.40,20.43,161.96,288.00,-258.34,-267.07,-125.41
CG_sy,,-17.01,,,,7.35,0.88,-17.50,,-1.92,-24.92,45.69,,34.06,54.26,1.81,,-13.78,-10.24,-24.58,,-15.45,-3.85,-0.18,-24.48,-2.56,-0.74,-2.05,31.26,13.32,1.91,9.25,-9.76,-17.17,-6.21,-3.00,6.28,3.20,-3.88,3.16,8.28,3.45,13.66,7.33
CG_qq,,,-9.06,40.99,,,5.88,-4.83,,,8.94,22.77,,,4.57,-7.85,,,-0.21,7.61,5.92,-0.97,-0.40,4.33,-2.99,-5.95,1.08,-6.62,2.80,0.47,5.13,1.15,1.09,37.18,1.53,33.81,-36.28,48.32,-4.77,191.06,-5.62,-160.53,-0.48,55.74
CG_sq,,,4.72,6.40,,,-1.59,-12.99,,,-24.67,68.85,,,-13.33,11.44,,,-9.77,-6.36,7.80,-7.17,2.61,-2.79,-18.44,19.77,4.53,-4.07,9.30,3.40,-6.00,2.84,-9.72,-5.09,6.45,6.36,-1.09,-7.85,-0.85,14.14,3.82,-11.97,8.94,7.79
LDER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LDER_yy,,177.89,,,,33.56,52.42,24.31,,0.06,3.35,24.88,,57.14,26.68,44.10,,1.12,16.56,-7.15,,1.36,11.44,8.33,7.77,1.34,-7.31,-11.83,-14.56,-10.18,-7.04,2.25,8.17,42.42,43.87,18.47,1.24,1.82,-1.54,63.19,83.39,-146.72,-147.65,-111.48
LDER_sy,,4.35,,,,-25.79,-18.86,24.12,,2.58,18.92,24.88,,40.42,-14.43,-26.86,,-30.73,16.83,-8.16,,9.06,20.67,48.32,61.16,2.53,7.30,27.43,15.16,25.94,8.84,-10.64,1.74,11.77,-6.25,3.41,-5.01,-10.10,6.80,11.57,4.40,-14.91,-28.05,-21.22
LDER_qq,,,-14.02,14.54,,,-1.87,-6.59,,,1.36,12.86,,,-18.29,28.39,,,-5.82,2.27,1.96,3.20,3.56,-0.58,1.44,-2.97,-5.28,-5.43,-1.71,2.01,-1.97,4.02,3.98,34.32,-0.98,-14.34,-11.14,35.09,-4.24,41.97,-0.14,-134.41,2.34,65.81
LDER_sq,,,-22.79,-29.74,,,-15.58,7.48,,,-2.13,12.86,,,-40.36,-3.53,,,0.59,-24.17,-0.48,43.66,11.30,-6.79,8.13,-8.60,16.48,10.69,-2.28,-0.04,0.66,-9.11,11.25,9.82,-15.57,0.25,2.20,3.93,0.30,4.74,-4.37,-15.30,-15.19,14.69
PZAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PZAT_yy,,-78.24,,,,112.32,71.24,42.60,,17.94,19.67,-6.92,,-16.26,1.47,-8.34,,-7.89,-26.57,20.64,,26.68,29.11,14.41,12.15,11.48,34.74,36.03,38.43,36.45,19.15,5.34,-1.86,-6.41,-8.45,38.70,32.52,65.12,61.63,87.45,120.83,113.54,111.85,-5.97
PZAT_sy,,5.10,,,,-3.99,20.43,3.85,,10.95,-11.39,0.73,,6.66,7.83,10.96,,26.04,5.37,15.21,,-6.79,-6.18,-13.36,-12.47,-6.19,-0.90,-14.73,-18.96,-25.29,-17.81,6.49,6.34,11.93,9.76,-4.29,5.83,6.94,-13.34,-7.60,-21.42,-17.86,8.33,0.73
PZAT_qq,,,23.36,24.98,,,-0.51,4.08,,,0.95,-19.05,,,22.32,-26.88,,,-2.48,20.14,3.28,4.70,-0.62,6.46,1.24,4.08,20.11,7.48,3.03,2.59,4.88,-4.98,-4.01,-2.17,2.60,43.96,-8.29,21.89,0.44,66.95,8.04,17.87,-0.35,-25.90
PZAT_sq,,,5.95,5.15,,,32.90,-9.33,,,6.14,3.07,,,7.30,6.06,,,-10.29,15.96,-8.23,-2.36,-9.71,7.10,-7.29,4.65,-4.62,-7.85,-11.89,-3.52,4.92,19.39,-12.01,1.55,2.89,4.10,-2.70,2.61,-16.62,11.00,-17.25,7.25,9.98,3.21
PELDR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PELDR_yy,,74.47,,,,-42.90,-41.15,-30.36,,-13.14,-17.39,-15.85,,-22.83,-25.96,-22.05,,-4.09,7.52,-7.56,,-12.25,-15.14,-12.85,-10.60,-6.58,-9.28,-7.18,-8.06,-9.54,-10.04,-6.80,-4.46,-17.75,-15.96,-34.86,-16.43,-35.83,-33.11,-59.75,-71.27,-161.86,-162.41,-790.16
PELDR_sy,,-18.46,,,,-13.71,-14.90,-10.61,,1.64,4.71,4.94,,-3.49,-6.97,-7.12,,0.89,4.99,4.44,,5.64,4.61,4.95,0.83,-2.24,-5.01,-6.94,-4.54,-1.18,-0.10,0.12,2.92,1.14,4.47,1.68,3.96,-0.44,-1.07,0.52,-4.26,4.12,5.24,5.35
PELDR_qq,,,-2.01,-14.14,,,0.99,1.60,,,-3.95,3.49,,,-7.84,8.95,,,3.31,-6.33,-3.45,-6.08,-0.09,-3.80,-0.96,-1.86,-2.98,-1.57,-1.90,-3.44,-3.52,1.97,0.57,-16.88,-1.41,-20.96,29.01,-36.17,2.78,-52.44,-7.90,-237.41,-3.70,-425.89
PELDR_sq,,,1.71,-4.32,,,0.30,0.51,,,3.33,0.74,,,-0.40,0.58,,,3.66,0.05,0.77,1.08,2.65,0.37,-3.19,-2.00,-0.25,-1.67,-0.69,1.46,0.84,-1.45,2.08,-0.30,4.16,-4.08,4.36,-4.51,3.50,-2.54,-0.59,3.84,4.61,-2.43
TSF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TSF_yy,,28.73,,,,-23.99,-25.95,-21.10,,-6.42,-7.10,-14.75,,-14.22,-16.90,0.24,,2.30,7.79,-6.92,,-6.04,-3.86,-2.91,1.99,3.45,0.48,5.91,1.81,-0.88,-2.26,-4.67,-2.68,-14.03,-12.31,-31.10,-9.56,-26.39,-23.76,-54.76,-67.76,-165.14,-164.08,-624.04
TSF_sy,,3.86,,,,-0.21,-4.38,9.18,,4.76,2.85,-2.78,,-10.48,-5.90,-5.11,,-0.62,4.97,5.45,,4.08,2.81,-0.81,11.93,1.83,-2.58,2.64,-2.46,-0.81,4.47,-6.80,-0.26,2.91,2.33,8.97,1.14,-1.88,-6.99,-7.70,-3.35,-4.09,-2.14,-2.43
TSF_qq,,,0.07,-5.26,,,-2.50,0.94,,,-3.21,-7.38,,,-6.24,11.73,,,-1.20,-3.53,-2.80,1.41,1.09,-2.57,2.11,2.86,-1.81,2.70,-1.85,0.14,-3.18,0.17,0.21,-11.53,-1.24,-21.29,31.52,-28.00,2.29,-53.30,-6.28,-245.50,-0.61,-281.95
TSF_sq,,,-2.44,-7.94,,,-6.51,5.11,,,-8.22,-0.64,,,-3.53,0.19,,,1.90,0.65,-5.17,7.01,0.66,-2.90,7.01,-2.64,-3.70,2.30,1.70,-1.00,1.42,-8.74,8.84,2.15,0.85,-2.82,1.03,-0.90,-4.41,-3.56,5.79,-1.67,-2.46,-3.85
ZKO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZKO_yy,,-50.20,,,,139.44,158.83,81.10,,13.98,19.90,27.44,,42.55,38.90,36.28,,8.33,-0.47,5.24,,16.55,23.86,18.26,17.65,10.65,12.12,15.22,13.48,17.04,17.63,9.47,9.78,33.74,31.78,49.10,32.00,41.15,33.41,43.53,76.40,171.13,143.19,156.90
ZKO_sy,,-25.93,,,,57.17,37.03,21.88,,7.42,-14.35,3.87,,3.95,3.49,0.81,,-8.57,2.04,-9.03,,-15.55,-5.47,-4.62,8.28,5.91,5.91,9.97,6.86,5.70,9.14,8.68,6.74,6.46,-5.49,-1.30,-4.54,-3.94,2.14,-1.13,2.87,-5.25,-6.47,-5.32
ZKO_qq,,,-6.55,38.04,,,1.02,-3.41,,,6.26,2.67,,,3.54,0.73,,,-4.87,6.51,3.43,11.21,1.10,1.70,2.89,4.59,2.44,4.51,1.34,7.87,2.97,-2.75,1.63,31.41,1.46,10.03,-10.02,40.52,-4.10,18.38,10.58,115.98,-13.98,25.05
ZKO_sq,,,19.64,2.13,,,4.31,-9.16,,,-16.84,10.17,,,-17.20,7.32,,,-7.58,-4.34,-7.63,3.41,3.45,-3.48,4.86,1.15,3.46,0.22,1.90,0.04,6.82,-0.20,0.08,-0.21,-5.17,4.21,-3.20,0.42,0.83,0.88,0.71,-7.51,-0.47,2.12
OSF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSF_yy,,-19.81,,,,31.55,45.02,22.86,,-0.90,-1.95,3.51,,1.15,-0.60,-1.31,,3.80,3.94,-0.66,,1.91,2.62,1.18,3.60,3.28,3.42,9.97,7.94,8.34,7.44,1.55,3.10,0.80,1.19,-7.20,10.02,-9.72,-9.97,-49.91,-57.14,-382.26,-350.54,-2976.32
OSF_sy,,-5.16,,,,-3.25,1.17,-1.31,,4.22,-0.11,1.00,,0.59,6.23,3.96,,1.07,-5.21,-0.50,,-3.59,5.47,-1.47,3.14,1.98,-0.24,5.90,2.51,2.21,2.02,0.41,-1.19,-1.40,-2.55,0.13,2.40,-1.10,4.19,0.44,-0.60,0.35,-1.80,-0.29
OSF_qq,,,-7.07,16.98,,,2.44,-0.89,,,1.36,4.63,,,-0.39,3.88,,,-0.25,-0.73,-0.72,3.66,0.44,-2.11,1.65,3.34,0.57,4.09,-0.23,3.73,-0.26,-1.61,1.28,1.42,0.12,-9.77,20.08,-16.78,-0.16,-49.80,2.74,-648.09,11.38,-476.35
OSF_sq,,,-6.37,0.97,,,-2.09,-1.50,,,-6.15,-0.41,,,-0.89,-2.53,,,-7.05,2.31,-0.81,2.21,1.68,-4.42,3.83,1.06,-0.52,1.46,0.50,0.77,-0.71,-0.14,-1.10,0.55,-1.87,2.61,1.14,-2.89,3.38,-1.09,0.10,-1.97,1.17,0.43
NetDebt,17822000000,1108000000,-1222000000,7585000000,,39118000000,42726000000,37676000000,,44691000000,52400000000,54132000000,,82229000000,89687000000,86182000000,,96847000000,95765000000,99408000000,107184000000,102000000000,102990000000,105111000000,101704000000,97438000000,98009000000,93546000000,94109000000,92110000000,93796000000,94364000000,93699000000,92548000000,92585000000,90877000000,59987000000,42569000000,41843000000,45311000000,39311000000,56482000000,58142000000,46650000000
NetDebt_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NetDebt_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NetDebt_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NetDebt_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NetDebtEBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NetDebtEBITDA_yy,,-98.68,,,,7588.24,11654.36,1298.05,,7.10,-22.98,-605.73,,14.80,-13.54,108.69,,-32.96,-31.76,19.77,,153.13,196.40,213.04,58.01,-11.16,-3.15,-23.20,-10.86,7.85,-0.12,99.48,89.58,-198.24,-177.62,-124.52,-112.54,87.36,85.80,74.93,51.89,-26.12,-29.52,-7.93
NetDebtEBITDA_sy,,-44.52,,,,245.97,93.50,17.89,,-22.01,-16.54,18.81,,1.04,-0.52,-11.74,,-28.40,-46.77,-33.01,,14.83,67.11,102.89,31.03,-9.44,-18.25,-23.39,20.94,31.28,27.25,15.84,-7.73,-20.18,-25.23,-37.58,-27.94,-10.77,9.14,15.90,17.80,-6.24,-20.23,-6.43
NetDebtEBITDA_qq,,,-213.52,830.21,,,70.60,-11.65,,,22.69,-680.15,,,-7.60,-41.71,,,-5.95,2.31,77.50,48.20,10.13,8.06,-10.41,-16.68,20.06,-14.31,3.99,0.81,11.19,71.14,-1.17,-152.24,12.15,45.93,49.48,47.31,1.33,4.55,3.04,-38.11,-1.33,20.46
NetDebtEBITDA_sq,,,89.54,5.60,,,6.01,-35.66,,,13.44,-8.40,,,11.69,-18.74,,,-16.97,2.28,0.40,34.68,20.83,24.17,-35.16,-6.91,9.07,16.36,2.37,1.05,5.73,5.93,-18.46,-12.59,-0.97,-11.56,-5.87,8.23,21.13,-6.08,-4.33,-13.85,3.06,10.16
DebtFin,-2404000000,-5590000000,-8530000000,-1688000000,,19912000000,21529000000,17754000000,,19219000000,24806000000,20460000000,,20657000000,24873000000,30560000000,,41991000000,47999000000,52436000000,55138000000,57393000000,57878000000,59268000000,56008000000,53266000000,51755000000,50954000000,49516000000,47354000000,46747000000,47054000000,42641000000,41837000000,41579000000,39164000000,19810000000,18657000000,17352000000,17883000000,15381000000,17620000000,17716000000,9433000000
DebtFin_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DebtFin_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DebtFin_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DebtFin_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DebtFinEBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DebtFinEBITDA_yy,,50.56,,,,875.91,934.48,3060.11,,-9.52,-27.64,-505.64,,-32.94,-49.35,108.15,,15.71,23.33,78.17,,228.49,232.32,234.62,69.16,-13.69,-8.99,-25.81,-14.83,1.43,-5.73,82.61,63.98,-186.38,-169.94,-121.19,-109.10,87.74,86.89,77.04,43.00,10.22,4.84,44.71
DebtFinEBITDA_sy,,-165.42,,,,1190.57,5372.46,6332.65,,24.36,-4.20,26.33,,-5.61,27.01,-13.99,,-27.74,-49.55,-34.14,,3.48,32.95,0.90,-49.21,-57.60,-18.97,22.86,262.50,246.41,75.95,109.55,-34.30,-22.81,-35.26,-54.34,-20.40,-32.16,13.27,28.87,27.48,5.53,-8.83,-23.22
DebtFinEBITDA_qq,,,-57.02,76.71,,,68.88,-17.37,,,35.06,-563.20,,,2.01,-25.47,,,8.73,7.67,73.10,62.10,9.99,8.42,-12.50,-17.29,15.98,-11.61,0.45,-1.50,7.79,71.23,-9.80,-151.89,12.72,48.11,61.29,30.08,6.63,9.16,3.88,-10.13,1.03,47.22
DebtFinEBITDA_sq,,,119.71,-176.75,,,-1.11,-12.59,,,-23.82,15.26,,,2.51,-21.95,,,-28.42,1.88,18.64,19.61,-8.04,-22.68,-40.27,-0.16,75.75,17.24,76.22,-4.59,-10.73,39.62,-44.75,12.09,-25.13,-1.52,-3.69,-4.47,25.00,12.05,-4.73,-20.91,7.99,-5.64
SP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP1_yy,,61.05,,,,-45.06,-43.97,-32.16,,-13.05,-18.23,-18.78,,-29.05,-28.43,-27.59,,-4.17,4.42,-5.61,,-12.57,-17.15,-14.45,-11.95,-6.65,-7.77,-4.54,-4.88,-7.44,-8.65,-7.25,-6.09,-24.63,-23.21,-37.75,-16.65,-36.04,-32.53,-65.10,-75.69,-204.11,-203.03,-1219.35
SP1_sy,,-7.89,,,,-28.35,-26.89,-21.19,,13.92,18.59,12.26,,-5.68,0.77,-3.40,,5.03,-1.82,6.81,,15.13,7.36,6.54,0.10,-7.50,-2.28,-8.45,-11.17,-0.56,-1.94,-5.29,0.82,-4.56,-2.41,3.14,4.25,4.04,2.07,2.03,-2.99,1.21,1.44,6.54
SP1_qq,,,-0.57,-15.26,,,1.42,2.59,,,-4.62,1.90,,,-3.78,3.11,,,4.84,-6.79,-4.02,-6.78,-0.65,-3.76,-1.21,-1.18,-1.84,-0.39,-1.56,-3.84,-3.12,1.14,-0.33,-22.82,-1.31,-18.00,33.44,-40.77,4.11,-57.58,-7.08,-353.69,-3.03,-360.85
SP1_sq,,,-1.99,-2.16,,,0.01,5.47,,,4.10,-0.16,,,11.22,-4.29,,,3.97,4.12,5.03,1.25,-3.05,3.33,-1.32,-6.43,2.42,-3.19,-4.25,4.74,1.00,-6.50,1.94,-0.85,3.27,-1.19,3.04,-1.06,1.32,-1.22,-2.04,3.22,1.55,3.75
SP2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP2_yy,,74.04,,,,-42.92,-40.97,-30.26,,-13.04,-17.82,-15.97,,-22.97,-25.54,-22.22,,-3.96,7.61,-7.13,,-12.30,-15.17,-12.93,-10.47,-6.38,-9.30,-7.10,-8.07,-9.53,-10.03,-6.81,-4.53,-18.06,-16.39,-35.36,-16.43,-35.73,-32.80,-59.86,-71.29,-162.45,-162.82,-798.37
SP2_sy,,-7.99,,,,-15.27,-15.73,-10.80,,3.58,4.86,1.82,,-5.09,-7.08,-6.90,,2.50,6.32,6.22,,4.32,3.94,3.16,4.53,-1.82,-3.92,-4.08,-4.67,-0.53,-0.19,-0.96,1.91,-0.28,2.95,2.18,4.31,-0.03,-0.32,0.56,-3.82,3.69,3.74,3.30
SP2_qq,,,-2.19,-14.01,,,1.14,1.60,,,-4.42,3.88,,,-7.61,8.52,,,3.51,-6.34,-3.61,-6.15,0.12,-3.87,-0.88,-1.86,-2.99,-1.55,-1.91,-3.43,-3.53,1.97,0.50,-17.12,-1.57,-21.15,29.92,-36.26,2.92,-52.91,-7.08,-238.67,-3.53,-423.53
SP2_sq,,,0.89,-3.51,,,0.35,2.13,,,1.59,-0.82,,,-0.54,-0.64,,,3.17,-0.73,-1.49,3.40,2.80,-1.48,-0.18,-2.88,0.60,-1.65,-0.79,1.33,0.94,-2.41,2.08,-0.85,4.21,-3.14,4.21,-4.97,3.91,-2.29,-0.32,2.45,3.96,-2.70
